title,model,field_published_stock_code,field_product_type,field_product_category,field_original_publication_date, ,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm, field_outside_dia_cm,field_outside_dia_tole_bd_spe_in,field_outside_dia_tole_in,field_outside_dia_tole_mm,field_outside_dia_tole_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm, field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_spring_type,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_inside_dia_tole_bd_spe_in,field_inside_dia_tole_in,field_inside_dia_tole_mm,field_inside_dia_tole_cm,field_color,field_weight_per_item_lb
LC 035B 12 S,LC 035B 12 S,LC035B12S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.18,0.18,4.57,0.457,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.188,0.188,4.78,0.478,0.103,0.103,2.62,0.262,MIN,MIN,MIN,MIN,1.125,1.125,28.58,2.858,0.035,0.035,0.89,0.089,33.5,33.5,5.867,58.67,0.5982,5.982,598.24,5982.4,3.35,3.35,0.5867,5.867,0.05982,0.5982,59.824,598.24,0.734,0.734,18.64,1.864,0.035,0.035,0.89,Stainless Steel,SS,13.8278,13.828,61.51,6.272,6272.29,Squared and Ground,Factory Option,18.3667,18.3667,Reference,Reference,20.37,20.37,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.11,0.11,2.79,0.279,Reference,Reference,Reference,Reference,,0.0027173
LC 035B 12 S316,LC 035B 12 S316,LC035B12S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.18,0.18,4.57,0.457,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.188,0.188,4.78,0.478,0.103,0.103,2.62,0.262,MIN,MIN,MIN,MIN,1.125,1.125,28.58,2.858,0.035,0.035,0.89,0.089,33.5,33.5,5.867,58.67,0.5982,5.982,598.24,5982.4,3.35,3.35,0.5867,5.867,0.05982,0.5982,59.824,598.24,0.734,0.734,18.64,1.864,0.035,0.035,0.89,Stainless Steel Type 316,SS316,13.8278,13.828,61.51,6.272,6272.29,Squared and Ground,Factory Option,18.3667,18.3667,Reference,Reference,20.37,20.37,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.11,0.11,2.79,0.279,Reference,Reference,Reference,Reference,,0.0027173
LC 035B 13 M,LC 035B 13 M,LC035B13M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.18,0.18,4.57,0.457,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.188,0.188,4.78,0.478,0.103,0.103,2.62,0.262,MIN,MIN,MIN,MIN,1.25,1.25,31.75,3.175,0.039,0.039,0.99,0.099,36,36,6.305,63.05,0.6429,6.429,642.89,6428.9,3.6,3.6,0.6305,6.305,0.06429,0.6429,64.289,642.89,0.812,0.812,20.63,2.063,0.035,0.035,0.89,Music Wire,MW,16.6,16.6,73.84,7.53,7529.76,Squared and Ground,Factory Option,20.5095,20.5095,Reference,Reference,22.51,22.51,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.11,0.11,2.79,0.279,Reference,Reference,Reference,Reference,,0.0029471
LC 035B 13 S,LC 035B 13 S,LC035B13S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.18,0.18,4.57,0.457,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.188,0.188,4.78,0.478,0.103,0.103,2.62,0.262,MIN,MIN,MIN,MIN,1.25,1.25,31.75,3.175,0.039,0.039,0.99,0.099,30,30,5.254,52.54,0.5357,5.357,535.74,5357.4,3,3,0.5254,5.254,0.05357,0.5357,53.574,535.74,0.812,0.812,20.63,2.063,0.035,0.035,0.89,Stainless Steel,SS,13.8278,13.828,61.51,6.272,6272.29,Squared and Ground,Factory Option,20.5095,20.5095,Reference,Reference,22.51,22.51,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.11,0.11,2.79,0.279,Reference,Reference,Reference,Reference,,0.0030032
LC 035B 13 S316,LC 035B 13 S316,LC035B13S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.18,0.18,4.57,0.457,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.188,0.188,4.78,0.478,0.103,0.103,2.62,0.262,MIN,MIN,MIN,MIN,1.25,1.25,31.75,3.175,0.039,0.039,0.99,0.099,30,30,5.254,52.54,0.5357,5.357,535.74,5357.4,3,3,0.5254,5.254,0.05357,0.5357,53.574,535.74,0.812,0.812,20.63,2.063,0.035,0.035,0.89,Stainless Steel Type 316,SS316,13.8278,13.828,61.51,6.272,6272.29,Squared and Ground,Factory Option,20.5095,20.5095,Reference,Reference,22.51,22.51,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.11,0.11,2.79,0.279,Reference,Reference,Reference,Reference,,0.0030032
LC 035B 14 M,LC 035B 14 M,LC035B14M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.18,0.18,4.57,0.457,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.188,0.188,4.78,0.478,0.103,0.103,2.62,0.262,MIN,MIN,MIN,MIN,1.375,1.375,34.93,3.493,0.044,0.044,1.12,0.112,32.5,32.5,5.692,56.92,0.5804,5.804,580.39,5803.9,3.25,3.25,0.5692,5.692,0.05804,0.5804,58.039,580.39,0.89,0.89,22.61,2.261,0.035,0.035,0.89,Music Wire,MW,16.6,16.6,73.84,7.53,7529.76,Squared and Ground,Factory Option,22.7183,22.7183,Reference,Reference,24.72,24.72,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.11,0.11,2.79,0.279,Reference,Reference,Reference,Reference,,0.0032363
LC 035B 14 S,LC 035B 14 S,LC035B14S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.18,0.18,4.57,0.457,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.188,0.188,4.78,0.478,0.103,0.103,2.62,0.262,MIN,MIN,MIN,MIN,1.375,1.375,34.93,3.493,0.044,0.044,1.12,0.112,27.1,27.1,4.746,47.46,0.484,4.84,483.95,4839.5,2.71,2.71,0.4746,4.746,0.0484,0.484,48.395,483.95,0.89,0.89,22.61,2.261,0.035,0.035,0.89,Stainless Steel,SS,13.8278,13.828,61.51,6.272,6272.29,Squared and Ground,Factory Option,22.7043,22.7043,Reference,Reference,24.7,24.7,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.11,0.11,2.79,0.279,Reference,Reference,Reference,Reference,,0.003296
LC 035B 14 S316,LC 035B 14 S316,LC035B14S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.18,0.18,4.57,0.457,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.188,0.188,4.78,0.478,0.103,0.103,2.62,0.262,MIN,MIN,MIN,MIN,1.375,1.375,34.93,3.493,0.044,0.044,1.12,0.112,27.1,27.1,4.746,47.46,0.484,4.84,483.95,4839.5,2.71,2.71,0.4746,4.746,0.0484,0.484,48.395,483.95,0.89,0.89,22.61,2.261,0.035,0.035,0.89,Stainless Steel Type 316,SS316,13.8278,13.828,61.51,6.272,6272.29,Squared and Ground,Factory Option,22.7043,22.7043,Reference,Reference,24.7,24.7,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.11,0.11,2.79,0.279,Reference,Reference,Reference,Reference,,0.003296
LC 035B 15 M,LC 035B 15 M,LC035B15M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.18,0.18,4.57,0.457,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.188,0.188,4.78,0.478,0.103,0.103,2.62,0.262,MIN,MIN,MIN,MIN,1.5,1.5,38.1,3.81,0.048,0.048,1.22,0.122,29.7,29.7,5.201,52.01,0.5304,5.304,530.38,5303.8,2.97,2.97,0.5201,5.201,0.05304,0.5304,53.038,530.38,0.969,0.969,24.61,2.461,0.035,0.035,0.89,Music Wire,MW,16.6,16.6,73.84,7.53,7529.76,Squared and Ground,Factory Option,24.8601,24.8601,Reference,Reference,26.86,26.86,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.11,0.11,2.79,0.279,Reference,Reference,Reference,Reference,,0.0035167
LC 035B 15 S,LC 035B 15 S,LC035B15S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.18,0.18,4.57,0.457,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.188,0.188,4.78,0.478,0.103,0.103,2.62,0.262,MIN,MIN,MIN,MIN,1.5,1.5,38.1,3.81,0.048,0.048,1.22,0.122,24.7,24.7,4.326,43.26,0.4411,4.411,441.09,4410.9,2.47,2.47,0.4326,4.326,0.04411,0.4411,44.109,441.09,0.969,0.969,24.61,2.461,0.035,0.035,0.89,Stainless Steel,SS,13.8278,13.828,61.51,6.272,6272.29,Squared and Ground,Factory Option,24.9104,24.9104,Reference,Reference,26.91,26.91,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.11,0.11,2.79,0.279,Reference,Reference,Reference,Reference,,0.0035904
