title,model,field_published_stock_code,field_product_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_out_dia_tol_bld_spc_in,field_out_dia_tol_in,field_out_dia_tol_mm,field_out_dia_tol_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_spring_type,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_color,field_weight_per_item_lb
LC 016AB 04S,LC 016AB 04S,LC016AB04S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.148,0.148,3.76,0.376,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.156,0.156,3.96,0.396,0.108,0.108,2.74,0.274,MIN,MIN,MIN,MIN,0.438,0.438,11.13,1.113,0.018,0.018,0.46,0.046,5.33,5.33,0.933,9.33,0.0952,0.952,95.18,951.8,0.533,0.533,0.0933,0.933,0.00952,0.0952,9.518,95.18,0.144,0.144,3.66,0.366,0.016,0.016,0.41,0.041,Stainless Steel,SS,1.5827,1.583,7.04,0.718,717.91,Squared and Ground,Factory Option,6.6825,6.6825,Reference,Reference,8.68,8.68,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.116,0.116,2.95,0.295,Reference,Reference,Reference,Reference,,0.0002203
LC 016AB 04S316,LC 016AB 04S316,LC016AB04S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.148,0.148,3.76,0.376,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.156,0.156,3.96,0.396,0.108,0.108,2.74,0.274,MIN,MIN,MIN,MIN,0.438,0.438,11.13,1.113,0.018,0.018,0.46,0.046,5.33,5.33,0.933,9.33,0.0952,0.952,95.18,951.8,0.533,0.533,0.0933,0.933,0.00952,0.0952,9.518,95.18,0.144,0.144,3.66,0.366,0.016,0.016,0.41,0.041,Stainless Steel Type 316,SS316,1.5827,1.583,7.04,0.718,717.91,Squared and Ground,Factory Option,6.6825,6.6825,Reference,Reference,8.68,8.68,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.116,0.116,2.95,0.295,Reference,Reference,Reference,Reference,,0.0002203
LC 016AB 05M,LC 016AB 05M,LC016AB05M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.148,0.148,3.76,0.376,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.156,0.156,3.96,0.396,0.108,0.108,2.74,0.274,MIN,MIN,MIN,MIN,0.5,0.5,12.7,1.27,0.018,0.018,0.46,0.046,5.5,5.5,0.963,9.63,0.0982,0.982,98.22,982.2,0.55,0.55,0.0963,0.963,0.00982,0.0982,9.822,98.22,0.161,0.161,4.09,0.409,0.016,0.016,0.41,0.041,Music Wire,MW,1.9,1.9,8.45,0.862,861.84,Squared and Ground,Factory Option,7.7711,7.7711,Reference,Reference,9.77,9.77,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.116,0.116,2.95,0.295,Reference,Reference,Reference,Reference,,0.0002433
LC 016AB 05S,LC 016AB 05S,LC016AB05S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.148,0.148,3.76,0.376,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.156,0.156,3.96,0.396,0.108,0.108,2.74,0.274,MIN,MIN,MIN,MIN,0.5,0.5,12.7,1.27,0.018,0.018,0.46,0.046,4.58,4.58,0.802,8.02,0.0818,0.818,81.79,817.9,0.458,0.458,0.0802,0.802,0.00818,0.0818,8.179,81.79,0.161,0.161,4.09,0.409,0.016,0.016,0.41,0.041,Stainless Steel,SS,1.5827,1.583,7.04,0.718,717.91,Squared and Ground,Factory Option,7.7768,7.7768,Reference,Reference,9.78,9.78,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.116,0.116,2.95,0.295,Reference,Reference,Reference,Reference,,0.0002481
LC 016AB 05S316,LC 016AB 05S316,LC016AB05S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.148,0.148,3.76,0.376,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.156,0.156,3.96,0.396,0.108,0.108,2.74,0.274,MIN,MIN,MIN,MIN,0.5,0.5,12.7,1.27,0.018,0.018,0.46,0.046,4.58,4.58,0.802,8.02,0.0818,0.818,81.79,817.9,0.458,0.458,0.0802,0.802,0.00818,0.0818,8.179,81.79,0.161,0.161,4.09,0.409,0.016,0.016,0.41,0.041,Stainless Steel Type 316,SS316,1.5827,1.583,7.04,0.718,717.91,Squared and Ground,Factory Option,7.7768,7.7768,Reference,Reference,9.78,9.78,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.116,0.116,2.95,0.295,Reference,Reference,Reference,Reference,,0.0002481
LC 016AB 06M,LC 016AB 06M,LC016AB06M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.148,0.148,3.76,0.376,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.156,0.156,3.96,0.396,0.108,0.108,2.74,0.274,MIN,MIN,MIN,MIN,0.563,0.563,14.3,1.43,0.02,0.02,0.51,0.051,4.9,4.9,0.858,8.58,0.0875,0.875,87.5,875,0.49,0.49,0.0858,0.858,0.00875,0.0875,8.75,87.5,0.178,0.178,4.52,0.452,0.016,0.016,0.41,0.041,Music Wire,MW,1.9,1.9,8.45,0.862,861.84,Squared and Ground,Factory Option,8.7227,8.7227,Reference,Reference,10.72,10.72,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.116,0.116,2.95,0.295,Reference,Reference,Reference,Reference,,0.000267
LC 016AB 06S,LC 016AB 06S,LC016AB06S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.148,0.148,3.76,0.376,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.156,0.156,3.96,0.396,0.108,0.108,2.74,0.274,MIN,MIN,MIN,MIN,0.563,0.563,14.3,1.43,0.02,0.02,0.51,0.051,4.08,4.08,0.715,7.15,0.0729,0.729,72.86,728.6,0.408,0.408,0.0715,0.715,0.00729,0.0729,7.286,72.86,0.178,0.178,4.52,0.452,0.016,0.016,0.41,0.041,Stainless Steel,SS,1.5827,1.583,7.04,0.718,717.91,Squared and Ground,Factory Option,8.7298,8.7298,Reference,Reference,10.73,10.73,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.116,0.116,2.95,0.295,Reference,Reference,Reference,Reference,,0.0002723
LC 016AB 06S316,LC 016AB 06S316,LC016AB06S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.148,0.148,3.76,0.376,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.156,0.156,3.96,0.396,0.108,0.108,2.74,0.274,MIN,MIN,MIN,MIN,0.563,0.563,14.3,1.43,0.02,0.02,0.51,0.051,4.08,4.08,0.715,7.15,0.0729,0.729,72.86,728.6,0.408,0.408,0.0715,0.715,0.00729,0.0729,7.286,72.86,0.178,0.178,4.52,0.452,0.016,0.016,0.41,0.041,Stainless Steel Type 316,SS316,1.5827,1.583,7.04,0.718,717.91,Squared and Ground,Factory Option,8.7298,8.7298,Reference,Reference,10.73,10.73,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.116,0.116,2.95,0.295,Reference,Reference,Reference,Reference,,0.0002723
LC 016AB 07M,LC 016AB 07M,LC016AB07M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.148,0.148,3.76,0.376,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.156,0.156,3.96,0.396,0.108,0.108,2.74,0.274,MIN,MIN,MIN,MIN,0.625,0.625,15.88,1.588,0.02,0.02,0.51,0.051,4.4,4.4,0.771,7.71,0.0786,0.786,78.58,785.8,0.44,0.44,0.0771,0.771,0.00786,0.0786,7.858,78.58,0.195,0.195,4.95,0.495,0.016,0.016,0.41,0.041,Music Wire,MW,1.9,1.9,8.45,0.862,861.84,Squared and Ground,Factory Option,9.7139,9.7139,Reference,Reference,11.71,11.71,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.116,0.116,2.95,0.295,Reference,Reference,Reference,Reference,,0.0002917
LC 016AB 07S,LC 016AB 07S,LC016AB07S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.148,0.148,3.76,0.376,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.156,0.156,3.96,0.396,0.109,0.109,2.77,0.277,MIN,MIN,MIN,MIN,0.625,0.625,15.88,1.588,0.02,0.02,0.51,0.051,3.67,3.67,0.643,6.43,0.0655,0.655,65.54,655.4,0.367,0.367,0.0643,0.643,0.00655,0.0655,6.554,65.54,0.195,0.195,4.95,0.495,0.016,0.016,0.41,0.041,Stainless Steel,SS,1.5827,1.583,7.04,0.718,717.91,Squared and Ground,Factory Option,9.71,9.71,Reference,Reference,11.71,11.71,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.116,0.116,2.95,0.295,Reference,Reference,Reference,Reference,,0.000339
