title,model,field_published_stock_code,field_product_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_out_dia_tol_bld_spc_in,field_out_dia_tol_in,field_out_dia_tol_mm,field_out_dia_tol_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_spring_type,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_color,field_weight_per_item_lb
CB0040A 02 E,CB0040A 02 E,CB0040A02E,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.025,0.025,0.64,0.064,+/-0.002,+/-0.002,+/-0.05,+/-0.005,0.032,0.032,0.81,0.081,0.013,0.013,0.33,0.033,MIN,MIN,MIN,MIN,0.075,0.075,1.905,0.1905,0.005,0.005,0.127,0.0127,5.295,5.295,0.927,9.27,0.095,0.95,94.56,945.6,0.53,0.53,0.093,0.93,0.0095,0.095,9.465,94.65,0.041,0.041,1.04,0.104,0.004,0.004,0.1,0.01,Elgiloy,Elgiloy,0.179,0.179,0.8,0.081,81.19,Squared,Factory Option,7.31,7.31,Reference,Reference,9.31,9.31,None,1,Bantam™ Mini Series (inch),AMS 5833 (CHEM ONLY),0.017,0.017,0.43,0.043,Reference,Reference,Reference,Reference,,2E-06
CB0040A 03 E,CB0040A 03 E,CB0040A03E,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.025,0.025,0.64,0.064,+/-0.002,+/-0.002,+/-0.05,+/-0.005,0.032,0.032,0.81,0.081,0.013,0.013,0.33,0.033,MIN,MIN,MIN,MIN,0.1,0.1,2.54,0.254,0.005,0.005,0.127,0.0127,3.791,3.791,0.664,6.64,0.068,0.68,67.7,677,0.379,0.379,0.066,0.66,0.0068,0.068,6.768,67.68,0.053,0.053,1.35,0.135,0.004,0.004,0.1,0.01,Elgiloy,Elgiloy,0.179,0.179,0.8,0.081,81.19,Squared,Factory Option,10.21,10.21,Reference,Reference,12.21,12.21,None,1,Bantam™ Mini Series (inch),AMS 5833 (CHEM ONLY),0.017,0.017,0.43,0.043,Reference,Reference,Reference,Reference,,3E-06
CB0040A 04 E,CB0040A 04 E,CB0040A04E,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.025,0.025,0.64,0.064,+/-0.002,+/-0.002,+/-0.05,+/-0.005,0.032,0.032,0.81,0.081,0.013,0.013,0.33,0.033,MIN,MIN,MIN,MIN,0.125,0.125,3.175,0.3175,0.006,0.006,0.152,0.0152,2.952,2.952,0.517,5.17,0.053,0.53,52.72,527.2,0.295,0.295,0.052,0.52,0.0053,0.053,5.268,52.68,0.076,0.076,1.93,0.193,0.004,0.004,0.1,0.01,Elgiloy,Elgiloy,0.179,0.179,0.8,0.081,81.19,Squared,Factory Option,16.01,16.01,Reference,Reference,15.11,15.11,None,1,Bantam™ Mini Series (inch),AMS 5833 (CHEM ONLY),0.017,0.017,0.43,0.043,Reference,Reference,Reference,Reference,,4E-06
CB0040A 05 E,CB0040A 05 E,CB0040A05E,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.025,0.025,0.64,0.064,+/-0.002,+/-0.002,+/-0.05,+/-0.005,0.032,0.032,0.81,0.081,0.013,0.013,0.33,0.033,MIN,MIN,MIN,MIN,0.15,0.15,3.81,0.381,0.008,0.008,0.203,0.0203,2.417,2.417,0.423,4.23,0.043,0.43,43.16,431.6,0.242,0.242,0.042,0.42,0.0043,0.043,4.322,43.22,0.088,0.088,2.24,0.224,0.004,0.004,0.1,0.01,Elgiloy,Elgiloy,0.179,0.179,0.8,0.081,81.19,Squared,Factory Option,18.91,18.91,Reference,Reference,18.01,18.01,None,1,Bantam™ Mini Series (inch),AMS 5833 (CHEM ONLY),0.017,0.017,0.43,0.043,Reference,Reference,Reference,Reference,,5E-06
CB0040A 06 E,CB0040A 06 E,CB0040A06E,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.025,0.025,0.64,0.064,+/-0.002,+/-0.002,+/-0.05,+/-0.005,0.032,0.032,0.81,0.081,0.013,0.013,0.33,0.033,MIN,MIN,MIN,MIN,0.175,0.175,4.445,0.4445,0.009,0.009,0.229,0.0229,2.047,2.047,0.358,3.58,0.037,0.37,36.56,365.6,0.205,0.205,0.036,0.36,0.0037,0.037,3.661,36.61,0.099,0.099,2.52,0.252,0.004,0.004,0.1,0.01,Elgiloy,Elgiloy,0.179,0.179,0.8,0.081,81.19,Squared,Factory Option,21.81,21.81,Reference,Reference,20.91,20.91,None,1,Bantam™ Mini Series (inch),AMS 5833 (CHEM ONLY),0.017,0.017,0.43,0.043,Reference,Reference,Reference,Reference,,5E-06
CB0040A 07 E,CB0040A 07 E,CB0040A07E,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.025,0.025,0.64,0.064,+/-0.002,+/-0.002,+/-0.05,+/-0.005,0.032,0.032,0.81,0.081,0.013,0.013,0.33,0.033,MIN,MIN,MIN,MIN,0.2,0.2,5.08,0.508,0.01,0.01,0.254,0.0254,1.774,1.774,0.311,3.11,0.032,0.32,31.68,316.8,0.177,0.177,0.031,0.31,0.0032,0.032,3.161,31.61,0.111,0.111,2.82,0.282,0.004,0.004,0.1,0.01,Elgiloy,Elgiloy,0.179,0.179,0.8,0.081,81.19,Squared,Factory Option,24.71,24.71,Reference,Reference,23.81,23.81,None,1,Bantam™ Mini Series (inch),AMS 5833 (CHEM ONLY),0.017,0.017,0.43,0.043,Reference,Reference,Reference,Reference,,6E-06
CB0040A 08 E,CB0040A 08 E,CB0040A08E,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.025,0.025,0.64,0.064,+/-0.002,+/-0.002,+/-0.05,+/-0.005,0.032,0.032,0.81,0.081,0.013,0.013,0.33,0.033,MIN,MIN,MIN,MIN,0.225,0.225,5.715,0.5715,0.011,0.011,0.279,0.0279,1.566,1.566,0.274,2.74,0.028,0.28,27.97,279.7,0.157,0.157,0.027,0.27,0.0028,0.028,2.804,28.04,0.064,0.064,1.63,0.163,0.004,0.004,0.1,0.01,Elgiloy,Elgiloy,0.179,0.179,0.8,0.081,81.19,Squared,Factory Option,13.11,13.11,Reference,Reference,26.71,26.71,None,1,Bantam™ Mini Series (inch),AMS 5833 (CHEM ONLY),0.017,0.017,0.43,0.043,Reference,Reference,Reference,Reference,,7E-06
CB0040A 09 E,CB0040A 09 E,CB0040A09E,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.025,0.025,0.64,0.064,+/-0.002,+/-0.002,+/-0.05,+/-0.005,0.032,0.032,0.81,0.081,0.013,0.013,0.33,0.033,MIN,MIN,MIN,MIN,0.25,0.25,6.35,0.635,0.013,0.013,0.33,0.033,1.402,1.402,0.246,2.46,0.025,0.25,25.04,250.4,0.14,0.14,0.025,0.25,0.0025,0.025,2.5,25,0.122,0.122,3.1,0.31,0.004,0.004,0.1,0.01,Elgiloy,Elgiloy,0.179,0.179,0.8,0.081,81.19,Squared,Factory Option,27.61,27.61,Reference,Reference,29.61,29.61,None,1,Bantam™ Mini Series (inch),AMS 5833 (CHEM ONLY),0.017,0.017,0.43,0.043,Reference,Reference,Reference,Reference,,7E-06
CB0040B 01 E,CB0040B 01 E,CB0040B01E,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.04,0.04,1.02,0.102,+/-0.003,+/-0.003,+/-0.08,+/-0.008,0.047,0.047,1.19,0.119,0.027,0.027,0.69,0.069,MIN,MIN,MIN,MIN,0.1,0.1,2.54,0.254,0.005,0.005,0.127,0.0127,1.534,1.534,0.269,2.69,0.027,0.27,27.39,273.9,0.153,0.153,0.027,0.27,0.0027,0.027,2.732,27.32,0.032,0.032,0.81,0.081,0.004,0.004,0.1,0.01,Elgiloy,Elgiloy,0.104,0.104,0.46,0.047,47.17,Squared,Factory Option,5.01,5.01,Reference,Reference,7.01,7.01,None,1,Bantam™ Mini Series (inch),AMS 5833 (CHEM ONLY),0.032,0.032,0.81,0.081,Reference,Reference,Reference,Reference,,3E-06
CB0040B 02 E,CB0040B 02 E,CB0040B02E,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.04,0.04,1.02,0.102,+/-0.003,+/-0.003,+/-0.08,+/-0.008,0.047,0.047,1.19,0.119,0.027,0.027,0.69,0.069,MIN,MIN,MIN,MIN,0.15,0.15,3.81,0.381,0.008,0.008,0.203,0.0203,0.978,0.978,0.171,1.71,0.017,0.17,17.47,174.7,0.098,0.098,0.017,0.17,0.0018,0.018,1.75,17.5,0.043,0.043,1.09,0.109,0.004,0.004,0.1,0.01,Elgiloy,Elgiloy,0.104,0.104,0.46,0.047,47.17,Squared,Factory Option,7.85,7.85,Reference,Reference,9.85,9.85,None,1,Bantam™ Mini Series (inch),AMS 5833 (CHEM ONLY),0.032,0.032,0.81,0.081,Reference,Reference,Reference,Reference,,4E-06
