title,model,field_published_stock_code,field_product_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_out_dia_tol_bld_spc_in,field_out_dia_tol_in,field_out_dia_tol_mm,field_out_dia_tol_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_spring_type,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_color,field_weight_per_item_lb
LCM080C 07 S,LCM080C 07 S,LCM080C07S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.236,0.236,6,0.6,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.252,0.252,6.4,0.64,0.158,0.158,4,0.4,MIN,MIN,MIN,MIN,0.61,0.61,15.5,1.55,0.02,0.02,0.51,0.051,23.349,23.349,4.089,40.89,0.417,4.17,416.97,4169.7,2.3349,2.335,0.4089,4.089,0.0417,0.417,41.697,416.97,0.256,0.256,6.5,0.65,0.032,0.032,0.8,,Stainless Steel,SS,8.255,8.255,36.72,3.744,3744.47,Squared and Ground,Factory Option,6.16,6.16,Reference,Reference,8.16,8.16,Passivate per ASTM A967,1,Standard Compression Series (metric),ASTM A313,0.172,0.172,4.4,0.44,Reference,Reference,Reference,Reference,,0.001353
LCM080C 08 M,LCM080C 08 M,LCM080C08M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.236,0.236,6,0.6,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.252,0.252,6.4,0.64,0.158,0.158,4,0.4,MIN,MIN,MIN,MIN,0.669,0.669,17,1.7,0.022,0.022,0.56,0.056,25.3,25.3,4.431,44.31,0.4518,4.518,451.81,4518.1,2.53,2.53,0.4431,4.431,0.04518,0.4518,45.181,451.81,0.277,0.277,7.04,0.704,0.032,0.032,0.8,,Music Wire,MW,9.91,9.91,44.08,4.495,4495.18,Squared and Ground,Factory Option,6.83,6.83,Reference,Reference,8.83,8.83,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (metric),ASTM A228,0.172,0.172,4.4,0.44,Reference,Reference,Reference,Reference,,0.001435
LCM080C 08 S,LCM080C 08 S,LCM080C08S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.236,0.236,6,0.6,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.252,0.252,6.4,0.64,0.158,0.158,4,0.4,MIN,MIN,MIN,MIN,0.669,0.669,17,1.7,0.022,0.022,0.56,0.056,21.075,21.075,3.691,36.91,0.3764,3.764,376.36,3763.6,2.1075,2.108,0.3691,3.691,0.03764,0.3764,37.636,376.36,0.277,0.277,7.04,0.704,0.032,0.032,0.8,,Stainless Steel,SS,8.255,8.255,36.72,3.744,3744.47,Squared and Ground,Factory Option,6.83,6.83,Reference,Reference,8.83,8.83,Passivate per ASTM A967,1,Standard Compression Series (metric),ASTM A313,0.172,0.172,4.4,0.44,Reference,Reference,Reference,Reference,,0.001461
LCM080C 09 M,LCM080C 09 M,LCM080C09M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.236,0.236,6,0.6,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.252,0.252,6.4,0.64,0.158,0.158,4,0.4,MIN,MIN,MIN,MIN,0.748,0.748,19,1.9,0.024,0.024,0.61,0.061,22.39,22.39,3.921,39.21,0.3998,3.998,399.84,3998.4,2.239,2.239,0.3921,3.921,0.03998,0.3998,39.984,399.84,0.305,0.305,7.75,0.775,0.032,0.032,0.8,,Music Wire,MW,9.91,9.91,44.08,4.495,4495.18,Squared and Ground,Factory Option,7.71,7.71,Reference,Reference,9.71,9.71,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (metric),ASTM A228,0.172,0.172,4.4,0.44,Reference,Reference,Reference,Reference,,0.001581
LCM080C 09 S,LCM080C 09 S,LCM080C09S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.236,0.236,6,0.6,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.252,0.252,6.4,0.64,0.158,0.158,4,0.4,MIN,MIN,MIN,MIN,0.748,0.748,19,1.9,0.024,0.024,0.61,0.061,18.651,18.651,3.266,32.66,0.3331,3.331,333.07,3330.7,1.8651,1.865,0.3266,3.266,0.03331,0.3331,33.307,333.07,0.305,0.305,7.75,0.775,0.032,0.032,0.8,,Stainless Steel,SS,8.255,8.255,36.72,3.744,3744.47,Squared and Ground,Factory Option,7.71,7.71,Reference,Reference,9.71,9.71,Passivate per ASTM A967,1,Standard Compression Series (metric),ASTM A313,0.172,0.172,4.4,0.44,Reference,Reference,Reference,Reference,,0.001609
LCM080C 10 M,LCM080C 10 M,LCM080C10M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.236,0.236,6,0.6,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.252,0.252,6.4,0.64,0.158,0.158,4,0.4,MIN,MIN,MIN,MIN,0.984,0.984,25,2.5,0.033,0.033,0.84,0.084,16.65,16.65,2.916,29.16,0.2973,2.973,297.34,2973.4,1.665,1.665,0.2916,2.916,0.02973,0.2973,29.734,297.34,0.388,0.388,9.86,0.986,0.032,0.032,0.8,,Music Wire,MW,9.91,9.91,44.08,4.495,4495.18,Squared and Ground,Factory Option,10.37,10.37,Reference,Reference,12.37,12.37,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (metric),ASTM A228,0.172,0.172,4.4,0.44,Reference,Reference,Reference,Reference,,0.002016
LCM080C 10 S,LCM080C 10 S,LCM080C10S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.236,0.236,6,0.6,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.252,0.252,6.4,0.64,0.158,0.158,4,0.4,MIN,MIN,MIN,MIN,0.984,0.984,25,2.5,0.033,0.033,0.84,0.084,13.869,13.869,2.429,24.29,0.2477,2.477,247.67,2476.7,1.3869,1.387,0.2429,2.429,0.02477,0.2477,24.767,247.67,0.388,0.388,9.86,0.986,0.032,0.032,0.8,,Stainless Steel,SS,8.255,8.255,36.72,3.744,3744.47,Squared and Ground,Factory Option,10.37,10.37,Reference,Reference,12.37,12.37,Passivate per ASTM A967,1,Standard Compression Series (metric),ASTM A313,0.172,0.172,4.4,0.44,Reference,Reference,Reference,Reference,,0.002056
LCM080C 11 M,LCM080C 11 M,LCM080C11M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.236,0.236,6,0.6,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.252,0.252,6.4,0.64,0.158,0.158,4,0.4,MIN,MIN,MIN,MIN,1.083,1.083,27.5,2.75,0.035,0.035,0.89,0.089,15.04,15.04,2.634,26.34,0.2686,2.686,268.58,2685.8,1.504,1.504,0.2634,2.634,0.02686,0.2686,26.858,268.58,0.423,0.423,10.74,1.074,0.032,0.032,0.8,,Music Wire,MW,9.91,9.91,44.08,4.495,4495.18,Squared and Ground,Factory Option,11.48,11.48,Reference,Reference,13.48,13.48,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (metric),ASTM A228,0.172,0.172,4.4,0.44,Reference,Reference,Reference,Reference,,0.002209
LCM080C 11 S,LCM080C 11 S,LCM080C11S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.236,0.236,6,0.6,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.252,0.252,6.4,0.64,0.158,0.158,4,0.4,MIN,MIN,MIN,MIN,1.083,1.083,27.5,2.75,0.035,0.035,0.89,0.089,12.528,12.528,2.194,21.94,0.2237,2.237,223.73,2237.3,1.2528,1.253,0.2194,2.194,0.02237,0.2237,22.373,223.73,0.423,0.423,10.74,1.074,0.032,0.032,0.8,,Stainless Steel,SS,8.255,8.255,36.72,3.744,3744.47,Squared and Ground,Factory Option,11.48,11.48,Reference,Reference,13.48,13.48,Passivate per ASTM A967,1,Standard Compression Series (metric),ASTM A313,0.172,0.172,4.4,0.44,Reference,Reference,Reference,Reference,,0.002251
LCM080C 12 M,LCM080C 12 M,LCM080C12M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.236,0.236,6,0.6,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.252,0.252,6.4,0.64,0.158,0.158,4,0.4,MIN,MIN,MIN,MIN,1.181,1.181,30,3,0.039,0.039,0.99,0.099,13.72,13.72,2.403,24.03,0.245,2.45,245.01,2450.1,1.372,1.372,0.2403,2.403,0.0245,0.245,24.501,245.01,0.458,0.458,11.63,1.163,0.032,0.032,0.8,,Music Wire,MW,9.91,9.91,44.08,4.495,4495.18,Squared and Ground,Factory Option,12.59,12.59,Reference,Reference,14.59,14.59,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (metric),ASTM A228,0.172,0.172,4.4,0.44,Reference,Reference,Reference,Reference,,0.00239
LCM080C 12 S,LCM080C 12 S,LCM080C12S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.236,0.236,6,0.6,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.252,0.252,6.4,0.64,0.158,0.158,4,0.4,MIN,MIN,MIN,MIN,1.181,1.181,30,3,0.039,0.039,0.99,0.099,11.429,11.429,2.002,20.02,0.2041,2.041,204.1,2041,1.1429,1.143,0.2002,2.002,0.02041,0.2041,20.41,204.1,0.458,0.458,11.63,1.163,0.032,0.032,0.8,,Stainless Steel,SS,8.255,8.255,36.72,3.744,3744.47,Squared and Ground,Factory Option,12.59,12.59,Reference,Reference,14.59,14.59,Passivate per ASTM A967,1,Standard Compression Series (metric),ASTM A313,0.172,0.172,4.4,0.44,Reference,Reference,Reference,Reference,,0.002438
LCM080C 13 M,LCM080C 13 M,LCM080C13M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.236,0.236,6,0.6,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.252,0.252,6.4,0.64,0.158,0.158,4,0.4,MIN,MIN,MIN,MIN,1.378,1.378,35,3.5,0.048,0.048,1.22,0.122,11.66,11.66,2.042,20.42,0.2082,2.082,208.22,2082.2,1.166,1.166,0.2042,2.042,0.02082,0.2082,20.822,208.22,0.527,0.527,13.39,1.339,0.032,0.032,0.8,,Music Wire,MW,9.91,9.91,44.08,4.495,4495.18,Squared and Ground,Factory Option,14.81,14.81,Reference,Reference,16.81,16.81,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (metric),ASTM A228,0.172,0.172,4.4,0.44,Reference,Reference,Reference,Reference,,0.002746
LCM080C 13 S,LCM080C 13 S,LCM080C13S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.236,0.236,6,0.6,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.252,0.252,6.4,0.64,0.158,0.158,4,0.4,MIN,MIN,MIN,MIN,1.378,1.378,35,3.5,0.048,0.048,1.22,0.122,9.713,9.713,1.701,17.01,0.1735,1.735,173.45,1734.5,0.9713,0.971,0.1701,1.701,0.01735,0.1735,17.345,173.45,0.527,0.527,13.39,1.339,0.032,0.032,0.8,,Stainless Steel,SS,8.255,8.255,36.72,3.744,3744.47,Squared and Ground,Factory Option,14.81,14.81,Reference,Reference,16.81,16.81,Passivate per ASTM A967,1,Standard Compression Series (metric),ASTM A313,0.172,0.172,4.4,0.44,Reference,Reference,Reference,Reference,,0.002811
LCM080C 14 M,LCM080C 14 M,LCM080C14M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.236,0.236,6,0.6,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.252,0.252,6.4,0.64,0.158,0.158,4,0.4,MIN,MIN,MIN,MIN,1.575,1.575,40,4,0.053,0.053,1.35,0.135,10.15,10.15,1.778,17.78,0.1813,1.813,181.26,1812.6,1.015,1.015,0.1778,1.778,0.01813,0.1813,18.126,181.26,0.597,0.597,15.16,1.516,0.032,0.032,0.8,,Music Wire,MW,9.91,9.91,44.08,4.495,4495.18,Squared and Ground,Factory Option,17.01,17.01,Reference,Reference,19.01,19.01,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (metric),ASTM A228,0.172,0.172,4.4,0.44,Reference,Reference,Reference,Reference,,0.003104
LCM080C 14 S,LCM080C 14 S,LCM080C14S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.236,0.236,6,0.6,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.252,0.252,6.4,0.64,0.158,0.158,4,0.4,MIN,MIN,MIN,MIN,1.575,1.575,40,4,0.053,0.053,1.35,0.135,8.455,8.455,1.481,14.81,0.151,1.51,150.99,1509.9,0.8455,0.846,0.1481,1.481,0.0151,0.151,15.099,150.99,0.597,0.597,15.16,1.516,0.032,0.032,0.8,,Stainless Steel,SS,8.255,8.255,36.72,3.744,3744.47,Squared and Ground,Factory Option,17.01,17.01,Reference,Reference,19.01,19.01,Passivate per ASTM A967,1,Standard Compression Series (metric),ASTM A313,0.172,0.172,4.4,0.44,Reference,Reference,Reference,Reference,,0.003163
LCM080C 15 M,LCM080C 15 M,LCM080C15M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.236,0.236,6,0.6,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.252,0.252,6.4,0.64,0.158,0.158,4,0.4,MIN,MIN,MIN,MIN,1.772,1.772,45,4.5,0.062,0.062,1.57,0.157,8.98,8.98,1.573,15.73,0.1604,1.604,160.36,1603.6,0.898,0.898,0.1573,1.573,0.01604,0.1604,16.036,160.36,0.666,0.666,16.92,1.692,0.031,0.031,0.8,,Music Wire,MW,9.91,9.91,44.08,4.495,4495.18,Squared and Ground,Factory Option,19.23,19.23,Reference,Reference,21.23,21.23,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (metric),ASTM A228,0.172,0.172,4.4,0.44,Reference,Reference,Reference,Reference,,0.003477
LCM080C 15 S,LCM080C 15 S,LCM080C15S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.236,0.236,6,0.6,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.252,0.252,6.4,0.64,0.158,0.158,4,0.4,MIN,MIN,MIN,MIN,1.772,1.772,45,4.5,0.062,0.062,1.57,0.157,7.48,7.48,1.31,13.1,0.1336,1.336,133.58,1335.8,0.748,0.748,0.131,1.31,0.01336,0.1336,13.358,133.58,0.666,0.666,16.92,1.692,0.032,0.032,0.8,,Stainless Steel,SS,8.255,8.255,36.72,3.744,3744.47,Squared and Ground,Factory Option,19.23,19.23,Reference,Reference,21.23,21.23,Passivate per ASTM A967,1,Standard Compression Series (metric),ASTM A313,0.172,0.172,4.4,0.44,Reference,Reference,Reference,Reference,,0.003543
LCM080C 16 M,LCM080C 16 M,LCM080C16M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.236,0.236,6,0.6,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.252,0.252,6.4,0.64,0.158,0.158,4,0.4,MIN,MIN,MIN,MIN,1.969,1.969,50,5,0.062,0.062,1.57,0.157,8.05,8.05,1.41,14.1,0.1438,1.438,143.76,1437.6,0.805,0.805,0.141,1.41,0.01438,0.1438,14.376,143.76,0.736,0.736,18.69,1.869,0.032,0.032,0.8,,Music Wire,MW,9.91,9.91,44.08,4.495,4495.18,Squared and Ground,Factory Option,21.45,21.45,Reference,Reference,23.45,23.45,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (metric),ASTM A228,0.172,0.172,4.4,0.44,Reference,Reference,Reference,Reference,,0.003829
LCM080C 16 S,LCM080C 16 S,LCM080C16S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.236,0.236,6,0.6,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.252,0.252,6.4,0.64,0.158,0.158,4,0.4,MIN,MIN,MIN,MIN,1.969,1.969,50,5,0.062,0.062,1.57,0.157,6.706,6.706,1.174,11.74,0.1198,1.198,119.76,1197.6,0.6706,0.671,0.1174,1.174,0.01198,0.1198,11.976,119.76,0.736,0.736,18.69,1.869,0.032,0.032,0.8,,Stainless Steel,SS,8.255,8.255,36.72,3.744,3744.47,Squared and Ground,Factory Option,21.45,21.45,Reference,Reference,23.45,23.45,Passivate per ASTM A967,1,Standard Compression Series (metric),ASTM A313,0.172,0.172,4.4,0.44,Reference,Reference,Reference,Reference,,0.003929
LCM080CG 01 M,LCM080CG 01 M,LCM080CG01M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.28,0.28,7.1,0.71,+/-0.0079,+/-0.0079,+/-0.2,+/-0.02,0.303,0.303,7.7,0.77,0.197,0.197,5,0.5,MIN,MIN,MIN,MIN,0.413,0.413,10.5,1.05,0.021,0.021,0.53,0.053,27.639,27.639,4.841,48.41,0.4936,4.936,493.58,4935.8,2.764,2.764,0.4841,4.841,0.04936,0.4936,49.36,493.6,0.173,0.173,4.39,0.439,0.032,0.032,0.8,,Music Wire,MW,6.52,6.52,29,2.957,2957.47,Squared and Ground,Right Hand,3.5,3.5,Reference,Reference,5.5,5.5,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (metric),ASTM A228,0.217,0.217,5.5,0.55,Reference,Reference,Reference,Reference,,0.000996
