title,model,field_published_stock_code,field_product_type,field_spring_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_product_series,field_revision,field_material,field_material_short_description,field_material_specification,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_outside_dia_tole_bd_spe_in,field_outside_dia_tole_in,field_outside_dia_tole_mm,field_outside_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_total_coils_bd_spe,field_total_coils,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_end,field_initial_ten_bud_spec_lb,field_initial_tension_lb,field_initial_tension_n,field_initial_tension_kg,field_initial_tension_gm,field_initial_ten_tol_bud_spc_lb,field_initial_ten_tol_lb,field_initial_ten_tol_n,field_initial_ten_tol_kg,field_initial_ten_tol_gm,field_max_load_build_spec_lb,field_max_load_lb,field_max_load_n,field_max_load_kg,field_max_load_gm,field_max_extend_len_bd_spe_in,field_max_extended_length_in,field_max_extended_length_mm,field_max_extended_length_cm,field_body_length_build_spec_in,field_body_length_in,field_body_length_mm,field_body_length_cm,field_direction_of_wind,field_finish,field_weight_per_item_lb,field_loop_insid_dia_bd_spec_in,field_loop_inside_diameter_in,field_loop_inside_diameter_mm,field_loop_inside_diameter_cm,field_loop_position,field_loop_opening_build_spec_in,field_loop_opening_in,field_loop_opening_mm,field_loop_opening_cm
MS24586-827,MS24586-827,MS24586827,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,MIL SPEC Extension (MS24586),E,Music Wire,MW,ASTM A228,1,1,25.4,2.54,0.015,0.015,0.38,0.038,3.25,3.25,82.55,8.255,REF,Reference,Reference,Reference,3.07,3.07,0.538,5.38,0.0548,0.548,54.8,548,0.307,0.307,0.0538,0.538,0.00548,0.0548,5.48,54.8,0.85,0.85,21.59,2.159,REF,Reference,Reference,Reference,19.5,19.5,0.075,0.075,1.91,0.191,Machine Loops,1.4,1.4,6.228,0.635,635,REF,Reference,Reference,Reference,Reference,15.7,15.7,69.837,7.1215,7121.5,7.91,7.91,200.91,20.091,1.538,1.538,39.07,3.907,Factory Option,"CAD Plate and Bake per QQ-P-416, Type II, Class 2",0.08231,0.85,0.85,21.59,2.159,Inline,0.037,0.037,0.94,0.094
MS24586-828,MS24586-828,MS24586828,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,MIL SPEC Extension (MS24586),E,Music Wire,MW,ASTM A228,1,1,25.4,2.54,0.015,0.015,0.38,0.038,3.5,3.5,88.9,8.89,REF,Reference,Reference,Reference,2.6,2.6,0.455,4.55,0.0464,0.464,46.4,464,0.26,0.26,0.0455,0.455,0.00464,0.0464,4.64,46.4,0.85,0.85,21.59,2.159,REF,Reference,Reference,Reference,23,23,0.075,0.075,1.91,0.191,Machine Loops,1.4,1.4,6.228,0.635,635,REF,Reference,Reference,Reference,Reference,15.7,15.7,69.837,7.1215,7121.5,8.99,8.99,228.35,22.835,1.8,1.8,45.72,4.572,Factory Option,"CAD Plate and Bake per QQ-P-416, Type II, Class 2",0.09571,0.85,0.85,21.59,2.159,Inline,0.037,0.037,0.94,0.094
MS24586-829,MS24586-829,MS24586829,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,MIL SPEC Extension (MS24586),E,Music Wire,MW,ASTM A228,1,1,25.4,2.54,0.015,0.015,0.38,0.038,3.75,3.75,95.25,9.525,REF,Reference,Reference,Reference,2.26,2.26,0.396,3.96,0.0404,0.404,40.4,404,0.226,0.226,0.0396,0.396,0.00404,0.0404,4.04,40.4,0.85,0.85,21.59,2.159,REF,Reference,Reference,Reference,26.5,26.5,0.075,0.075,1.91,0.191,Machine Loops,1.4,1.4,6.228,0.635,635,REF,Reference,Reference,Reference,Reference,15.7,15.7,69.837,7.1215,7121.5,10.07,10.07,255.78,25.578,2.063,2.063,52.4,5.24,Factory Option,"CAD Plate and Bake per QQ-P-416, Type II, Class 2",0.10911,0.85,0.85,21.59,2.159,Inline,0.037,0.037,0.94,0.094
MS24586-83,MS24586-83,MS2458683,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,MIL SPEC Extension (MS24586),E,Music Wire,MW,ASTM A228,0.24,0.24,6.1,0.61,0.005,0.005,0.13,0.013,2.125,2.125,53.98,5.398,REF,Reference,Reference,Reference,12.47,12.47,2.184,21.84,0.2227,2.227,222.7,2227,1.247,1.247,0.2184,2.184,0.02227,0.2227,22.27,222.7,0.158,0.158,4.01,0.401,REF,Reference,Reference,Reference,43,43,0.041,0.041,1.04,0.104,Machine Loops,1,1,4.448,0.4536,453.6,REF,Reference,Reference,Reference,Reference,11.4,11.4,50.71,5.171,5171,2.96,2.96,75.18,7.518,1.804,1.804,45.82,4.582,Factory Option,None,0.01108,0.158,0.158,4.01,0.401,Inline,0.02,0.02,0.51,0.051
MS24586-830,MS24586-830,MS24586830,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,MIL SPEC Extension (MS24586),E,Music Wire,MW,ASTM A228,1,1,25.4,2.54,0.015,0.015,0.38,0.038,4,4,101.6,10.16,REF,Reference,Reference,Reference,2.03,2.03,0.356,3.56,0.0363,0.363,36.3,363,0.203,0.203,0.0356,0.356,0.00363,0.0363,3.63,36.3,0.85,0.85,21.59,2.159,REF,Reference,Reference,Reference,29.5,29.5,0.075,0.075,1.91,0.191,Machine Loops,1.4,1.4,6.228,0.635,635,REF,Reference,Reference,Reference,Reference,15.7,15.7,69.837,7.1215,7121.5,11.04,11.04,280.42,28.042,2.288,2.288,58.12,5.812,Factory Option,"CAD Plate and Bake per QQ-P-416, Type II, Class 2",0.12059,0.85,0.85,21.59,2.159,Inline,0.037,0.037,0.94,0.094
MS24586-831,MS24586-831,MS24586831,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,MIL SPEC Extension (MS24586),E,Music Wire,MW,ASTM A228,1,1,25.4,2.54,0.015,0.015,0.38,0.038,4.25,4.25,107.95,10.795,REF,Reference,Reference,Reference,1.82,1.82,0.319,3.19,0.0325,0.325,32.5,325,0.182,0.182,0.0319,0.319,0.00325,0.0325,3.25,32.5,0.85,0.85,21.59,2.159,REF,Reference,Reference,Reference,33,33,0.075,0.075,1.91,0.191,Machine Loops,1.4,1.4,6.228,0.635,635,REF,Reference,Reference,Reference,Reference,15.7,15.7,69.837,7.1215,7121.5,12.13,12.13,308.1,30.81,2.55,2.55,64.77,6.477,Factory Option,"CAD Plate and Bake per QQ-P-416, Type II, Class 2",0.13399,0.85,0.85,21.59,2.159,Inline,0.037,0.037,0.94,0.094
MS24586-832,MS24586-832,MS24586832,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,MIL SPEC Extension (MS24586),E,Music Wire,MW,ASTM A228,1,1,25.4,2.54,0.015,0.015,0.38,0.038,4.5,4.5,114.3,11.43,REF,Reference,Reference,Reference,1.64,1.64,0.287,2.87,0.0293,0.293,29.3,293,0.164,0.164,0.0287,0.287,0.00293,0.0293,2.93,29.3,0.85,0.85,21.59,2.159,REF,Reference,Reference,Reference,36.5,36.5,0.075,0.075,1.91,0.191,Machine Loops,1.4,1.4,6.228,0.635,635,REF,Reference,Reference,Reference,Reference,15.7,15.7,69.837,7.1215,7121.5,13.21,13.21,335.53,33.553,2.813,2.813,71.45,7.145,Factory Option,"CAD Plate and Bake per QQ-P-416, Type II, Class 2",0.14739,0.85,0.85,21.59,2.159,Inline,0.037,0.037,0.94,0.094
MS24586-833,MS24586-833,MS24586833,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,MIL SPEC Extension (MS24586),E,Music Wire,MW,ASTM A228,1,1,25.4,2.54,0.015,0.015,0.38,0.038,4.75,4.75,120.65,12.065,REF,Reference,Reference,Reference,1.52,1.52,0.266,2.66,0.0271,0.271,27.1,271,0.152,0.152,0.0266,0.266,0.00271,0.0271,2.71,27.1,0.85,0.85,21.59,2.159,REF,Reference,Reference,Reference,39.5,39.5,0.075,0.075,1.91,0.191,Machine Loops,1.4,1.4,6.228,0.635,635,REF,Reference,Reference,Reference,Reference,15.7,15.7,69.837,7.1215,7121.5,14.18,14.18,360.17,36.017,3.038,3.038,77.17,7.717,Factory Option,"CAD Plate and Bake per QQ-P-416, Type II, Class 2",0.15888,0.85,0.85,21.59,2.159,Inline,0.037,0.037,0.94,0.094
MS24586-834,MS24586-834,MS24586834,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,MIL SPEC Extension (MS24586),E,Music Wire,MW,ASTM A228,1,1,25.4,2.54,0.015,0.015,0.38,0.038,5,5,127,12.7,REF,Reference,Reference,Reference,1.39,1.39,0.243,2.43,0.0248,0.248,24.8,248,0.139,0.139,0.0243,0.243,0.00248,0.0248,2.48,24.8,0.85,0.85,21.59,2.159,REF,Reference,Reference,Reference,43,43,0.075,0.075,1.91,0.191,Machine Loops,1.4,1.4,6.228,0.635,635,REF,Reference,Reference,Reference,Reference,15.7,15.7,69.837,7.1215,7121.5,15.26,15.26,387.6,38.76,3.3,3.3,83.82,8.382,Factory Option,"CAD Plate and Bake per QQ-P-416, Type II, Class 2",0.17228,0.85,0.85,21.59,2.159,Inline,0.037,0.037,0.94,0.094
MS24586-835,MS24586-835,MS24586835,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,MIL SPEC Extension (MS24586),E,Music Wire,MW,ASTM A228,1,1,25.4,2.54,0.015,0.015,0.38,0.038,2.75,2.75,69.85,6.985,REF,Reference,Reference,Reference,8.53,8.53,1.494,14.94,0.1523,1.523,152.3,1523,0.853,0.853,0.1494,1.494,0.01523,0.1523,15.23,152.3,0.83,0.83,21.08,2.108,REF,Reference,Reference,Reference,12,12,0.085,0.085,2.16,0.216,Machine Loops,2,2,8.896,0.9072,907.2,REF,Reference,Reference,Reference,Reference,22.2,22.2,98.751,10.0699,10069.9,5.12,5.12,130.05,13.005,1.105,1.105,28.07,2.807,Factory Option,"CAD Plate and Bake per QQ-P-416, Type II, Class 2",0.0681,0.83,0.83,21.08,2.108,Inline,0.042,0.042,1.07,0.107
