title,model,field_published_stock_code,field_product_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_out_dia_tol_bld_spc_in,field_out_dia_tol_in,field_out_dia_tol_mm,field_out_dia_tol_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_spring_type,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_color,field_weight_per_item_lb
CI 009AB 05S316,CI 009AB 05S316,CI009AB05S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.063,0.063,1.6,0.16,+/-0.003,+/-0.003,+/-0.08,+/-0.008,0.078,0.078,1.98,0.198,0.04,0.04,1.02,0.102,MIN,MIN,MIN,MIN,0.375,0.375,9.53,0.953,0.018,0.018,0.46,0.046,3.594,3.594,0.629,6.29,0.0642,0.642,64.18,641.8,0.359,0.359,0.0629,0.629,0.00641,0.0641,6.411,64.11,0.157,0.157,3.99,0.399,0.009,0.009,0.23,0.023,Stainless Steel Type 316,SS316,0.782,0.782,3.48,0.355,354.72,Squared,Factory Option,14.492,14.492,Reference,Reference,16.492,16.492,Passivate per ASTM A967,1,Instrument Compression Series (inch),ASTM A313,0.045,0.045,1.14,0.114,Reference,Reference,Reference,Reference,,5.4E-05
CI 009AB 06M,CI 009AB 06M,CI009AB06M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.063,0.063,1.6,0.16,+/-0.003,+/-0.003,+/-0.08,+/-0.008,0.078,0.078,1.98,0.198,0.04,0.04,1.02,0.102,MIN,MIN,MIN,MIN,0.438,0.438,11.13,1.113,0.018,0.018,0.46,0.046,3.653,3.653,0.64,6.4,0.0652,0.652,65.24,652.4,0.365,0.365,0.0639,0.639,0.00652,0.0652,6.518,65.18,0.181,0.181,4.6,0.46,0.009,0.009,0.23,0.023,Music Wire,MW,0.939,0.939,4.18,0.426,425.93,Squared,Factory Option,17.109,17.109,Reference,Reference,19.109,19.109,Pre-coated with Tin,1,Instrument Compression Series (inch),ASTM A228,0.045,0.045,1.14,0.114,Reference,Reference,Reference,Reference,,6.1E-05
CI 009AB 06S,CI 009AB 06S,CI009AB06S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.063,0.063,1.6,0.16,+/-0.003,+/-0.003,+/-0.08,+/-0.008,0.078,0.078,1.98,0.198,0.04,0.04,1.02,0.102,MIN,MIN,MIN,MIN,0.438,0.438,11.13,1.113,0.018,0.018,0.46,0.046,3.043,3.043,0.533,5.33,0.0543,0.543,54.34,543.4,0.304,0.304,0.0532,0.532,0.00543,0.0543,5.429,54.29,0.181,0.181,4.6,0.46,0.009,0.009,0.23,0.023,Stainless Steel,SS,0.782,0.782,3.48,0.355,354.72,Squared,Factory Option,17.116,17.116,Reference,Reference,19.116,19.116,Passivate per ASTM A967,1,Instrument Compression Series (inch),ASTM A313,0.045,0.045,1.14,0.114,Reference,Reference,Reference,Reference,,6.2E-05
CI 009AB 06S316,CI 009AB 06S316,CI009AB06S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.063,0.063,1.6,0.16,+/-0.003,+/-0.003,+/-0.08,+/-0.008,0.078,0.078,1.98,0.198,0.04,0.04,1.02,0.102,MIN,MIN,MIN,MIN,0.438,0.438,11.13,1.113,0.018,0.018,0.46,0.046,3.043,3.043,0.533,5.33,0.0543,0.543,54.34,543.4,0.304,0.304,0.0532,0.532,0.00543,0.0543,5.429,54.29,0.181,0.181,4.6,0.46,0.009,0.009,0.23,0.023,Stainless Steel Type 316,SS316,0.782,0.782,3.48,0.355,354.72,Squared,Factory Option,17.116,17.116,Reference,Reference,19.116,19.116,Passivate per ASTM A967,1,Instrument Compression Series (inch),ASTM A313,0.045,0.045,1.14,0.114,Reference,Reference,Reference,Reference,,6.2E-05
CI 009AB 07M,CI 009AB 07M,CI009AB07M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.063,0.063,1.6,0.16,+/-0.003,+/-0.003,+/-0.08,+/-0.008,0.078,0.078,1.98,0.198,0.04,0.04,1.02,0.102,MIN,MIN,MIN,MIN,0.5,0.5,12.7,1.27,0.018,0.018,0.46,0.046,3.174,3.174,0.556,5.56,0.0567,0.567,56.68,566.8,0.317,0.317,0.0555,0.555,0.00566,0.0566,5.661,56.61,0.204,0.204,5.18,0.518,0.009,0.009,0.23,0.023,Music Wire,MW,0.939,0.939,4.18,0.426,425.93,Squared,Factory Option,19.69,19.69,Reference,Reference,21.69,21.69,Pre-coated with Tin,1,Instrument Compression Series (inch),ASTM A228,0.045,0.045,1.14,0.114,Reference,Reference,Reference,Reference,,7E-05
CI 009AB 07S,CI 009AB 07S,CI009AB07S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.063,0.063,1.6,0.16,+/-0.003,+/-0.003,+/-0.08,+/-0.008,0.078,0.078,1.98,0.198,0.04,0.04,1.02,0.102,MIN,MIN,MIN,MIN,0.5,0.5,12.7,1.27,0.018,0.018,0.46,0.046,2.644,2.644,0.463,4.63,0.0472,0.472,47.22,472.2,0.264,0.264,0.0462,0.462,0.00471,0.0471,4.715,47.15,0.204,0.204,5.18,0.518,0.009,0.009,0.23,0.023,Stainless Steel,SS,0.782,0.782,3.48,0.355,354.72,Squared,Factory Option,19.698,19.698,Reference,Reference,21.698,21.698,Passivate per ASTM A967,1,Instrument Compression Series (inch),ASTM A313,0.045,0.045,1.14,0.114,Reference,Reference,Reference,Reference,,7.1E-05
CI 009AB 07S316,CI 009AB 07S316,CI009AB07S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.063,0.063,1.6,0.16,+/-0.003,+/-0.003,+/-0.08,+/-0.008,0.078,0.078,1.98,0.198,0.04,0.04,1.02,0.102,MIN,MIN,MIN,MIN,0.5,0.5,12.7,1.27,0.018,0.018,0.46,0.046,2.644,2.644,0.463,4.63,0.0472,0.472,47.22,472.2,0.264,0.264,0.0462,0.462,0.00471,0.0471,4.715,47.15,0.204,0.204,5.18,0.518,0.009,0.009,0.23,0.023,Stainless Steel Type 316,SS316,0.782,0.782,3.48,0.355,354.72,Squared,Factory Option,19.698,19.698,Reference,Reference,21.698,21.698,Passivate per ASTM A967,1,Instrument Compression Series (inch),ASTM A313,0.045,0.045,1.14,0.114,Reference,Reference,Reference,Reference,,7.1E-05
CI 009AB 08M,CI 009AB 08M,CI009AB08M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.063,0.063,1.6,0.16,+/-0.003,+/-0.003,+/-0.08,+/-0.008,0.078,0.078,1.98,0.198,0.04,0.04,1.02,0.102,MIN,MIN,MIN,MIN,0.563,0.563,14.3,1.43,0.02,0.02,0.51,0.051,2.801,2.801,0.491,4.91,0.05,0.5,50.02,500.2,0.28,0.28,0.049,0.49,0.005,0.05,5,50,0.228,0.228,5.79,0.579,0.009,0.009,0.23,0.023,Music Wire,MW,0.939,0.939,4.18,0.426,425.93,Squared,Factory Option,22.313,22.313,Reference,Reference,24.313,24.313,Pre-coated with Tin,1,Instrument Compression Series (inch),ASTM A228,0.045,0.045,1.14,0.114,Reference,Reference,Reference,Reference,,7.8E-05
CI 009AB 08S,CI 009AB 08S,CI009AB08S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.063,0.063,1.6,0.16,+/-0.003,+/-0.003,+/-0.08,+/-0.008,0.078,0.078,1.98,0.198,0.04,0.04,1.02,0.102,MIN,MIN,MIN,MIN,0.563,0.563,14.3,1.43,0.02,0.02,0.51,0.051,2.333,2.333,0.409,4.09,0.0417,0.417,41.66,416.6,0.233,0.233,0.0408,0.408,0.00416,0.0416,4.161,41.61,0.228,0.228,5.79,0.579,0.009,0.009,0.23,0.023,Stainless Steel,SS,0.782,0.782,3.48,0.355,354.72,Squared,Factory Option,22.322,22.322,Reference,Reference,24.322,24.322,Passivate per ASTM A967,1,Instrument Compression Series (inch),ASTM A313,0.045,0.045,1.14,0.114,Reference,Reference,Reference,Reference,,7.9E-05
CI 009AB 08S316,CI 009AB 08S316,CI009AB08S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.063,0.063,1.6,0.16,+/-0.003,+/-0.003,+/-0.08,+/-0.008,0.078,0.078,1.98,0.198,0.04,0.04,1.02,0.102,MIN,MIN,MIN,MIN,0.563,0.563,14.3,1.43,0.02,0.02,0.51,0.051,2.333,2.333,0.409,4.09,0.0417,0.417,41.66,416.6,0.233,0.233,0.0408,0.408,0.00416,0.0416,4.161,41.61,0.228,0.228,5.79,0.579,0.009,0.009,0.23,0.023,Stainless Steel Type 316,SS316,0.782,0.782,3.48,0.355,354.72,Squared,Factory Option,22.322,22.322,Reference,Reference,24.322,24.322,Passivate per ASTM A967,1,Instrument Compression Series (inch),ASTM A313,0.045,0.045,1.14,0.114,Reference,Reference,Reference,Reference,,7.9E-05
