title,model,field_published_stock_code,field_product_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_out_dia_tol_bld_spc_in,field_out_dia_tol_in,field_out_dia_tol_mm,field_out_dia_tol_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_spring_type,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_color,field_weight_per_item_lb
LC 032E 07 S,LC 032E 07 S,LC032E07S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.375,0.375,9.53,0.953,0.282,0.282,7.16,0.716,MIN,MIN,MIN,MIN,0.875,0.875,22.23,2.223,0.028,0.028,0.71,0.071,8.3,8.3,1.454,14.54,0.1482,1.482,148.22,1482.2,0.83,0.83,0.1454,1.454,0.01482,0.1482,14.822,148.22,0.209,0.209,5.31,0.531,0.032,0.032,0.81,0.081,Stainless Steel,SS,5.2479,5.248,23.34,2.38,2380.45,Squared and Ground,Factory Option,4.4751,4.4751,Reference,Reference,6.48,6.48,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.296,0.296,7.52,0.752,Reference,Reference,Reference,Reference,,0.0016336
LC 032E 07 S316,LC 032E 07 S316,LC032E07S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.375,0.375,9.53,0.953,0.282,0.282,7.16,0.716,MIN,MIN,MIN,MIN,0.875,0.875,22.23,2.223,0.028,0.028,0.71,0.071,8.3,8.3,1.454,14.54,0.1482,1.482,148.22,1482.2,0.83,0.83,0.1454,1.454,0.01482,0.1482,14.822,148.22,0.209,0.209,5.31,0.531,0.032,0.032,0.81,0.081,Stainless Steel Type 316,SS316,5.2479,5.248,23.34,2.38,2380.45,Squared and Ground,Factory Option,4.4751,4.4751,Reference,Reference,6.48,6.48,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.296,0.296,7.52,0.752,Reference,Reference,Reference,Reference,,0.0016336
LC 032E 08 M,LC 032E 08 M,LC032E08M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.375,0.375,9.53,0.953,0.282,0.282,7.16,0.716,MIN,MIN,MIN,MIN,0.938,0.938,23.83,2.383,0.031,0.031,0.79,0.079,9.5,9.5,1.664,16.64,0.1697,1.697,169.65,1696.5,0.95,0.95,0.1664,1.664,0.01697,0.1697,16.965,169.65,0.225,0.225,5.72,0.572,0.032,0.032,0.81,0.081,Music Wire,MW,6.3,6.3,28.02,2.858,2857.68,Squared and Ground,Factory Option,4.6918,4.6918,Reference,Reference,6.69,6.69,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.296,0.296,7.52,0.752,Reference,Reference,Reference,Reference,,0.0016567
LC 032E 08 S,LC 032E 08 S,LC032E08S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.375,0.375,9.53,0.953,0.282,0.282,7.16,0.716,MIN,MIN,MIN,MIN,0.938,0.938,23.83,2.383,0.031,0.031,0.79,0.079,7.9,7.9,1.384,13.84,0.1411,1.411,141.08,1410.8,0.79,0.79,0.1384,1.384,0.01411,0.1411,14.108,141.08,0.225,0.225,5.72,0.572,0.032,0.032,0.81,0.081,Stainless Steel,SS,5.2479,5.248,23.34,2.38,2380.45,Squared and Ground,Factory Option,4.7017,4.7017,Reference,Reference,6.7,6.7,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.296,0.296,7.52,0.752,Reference,Reference,Reference,Reference,,0.0016907
LC 032E 08 S316,LC 032E 08 S316,LC032E08S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.375,0.375,9.53,0.953,0.282,0.282,7.16,0.716,MIN,MIN,MIN,MIN,0.938,0.938,23.83,2.383,0.031,0.031,0.79,0.079,7.9,7.9,1.384,13.84,0.1411,1.411,141.08,1410.8,0.79,0.79,0.1384,1.384,0.01411,0.1411,14.108,141.08,0.225,0.225,5.72,0.572,0.032,0.032,0.81,0.081,Stainless Steel Type 316,SS316,5.2479,5.248,23.34,2.38,2380.45,Squared and Ground,Factory Option,4.7017,4.7017,Reference,Reference,6.7,6.7,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.296,0.296,7.52,0.752,Reference,Reference,Reference,Reference,,0.0016907
LC 032E 09 M,LC 032E 09 M,LC032E09M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.375,0.375,9.53,0.953,0.282,0.282,7.16,0.716,MIN,MIN,MIN,MIN,1,1,25.4,2.54,0.033,0.033,0.84,0.084,8.5,8.5,1.489,14.89,0.1518,1.518,151.79,1517.9,0.85,0.85,0.1489,1.489,0.01518,0.1518,15.179,151.79,0.241,0.241,6.12,0.612,0.032,0.032,0.81,0.081,Music Wire,MW,6.3,6.3,28.02,2.858,2857.68,Squared and Ground,Factory Option,5.2438,5.2438,Reference,Reference,7.24,7.24,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.296,0.296,7.52,0.752,Reference,Reference,Reference,Reference,,0.0017933
LC 032E 09 S,LC 032E 09 S,LC032E09S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.375,0.375,9.53,0.953,0.282,0.282,7.16,0.716,MIN,MIN,MIN,MIN,1,1,25.4,2.54,0.033,0.033,0.84,0.084,7.1,7.1,1.243,12.43,0.1268,1.268,126.79,1267.9,0.71,0.71,0.1243,1.243,0.01268,0.1268,12.679,126.79,0.241,0.241,6.12,0.612,0.032,0.032,0.81,0.081,Stainless Steel,SS,5.2479,5.248,23.34,2.38,2380.45,Squared and Ground,Factory Option,5.2315,5.2315,Reference,Reference,7.23,7.23,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.296,0.296,7.52,0.752,Reference,Reference,Reference,Reference,,0.0018244
LC 032E 09 S316,LC 032E 09 S316,LC032E09S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.375,0.375,9.53,0.953,0.282,0.282,7.16,0.716,MIN,MIN,MIN,MIN,1,1,25.4,2.54,0.033,0.033,0.84,0.084,7.1,7.1,1.243,12.43,0.1268,1.268,126.79,1267.9,0.71,0.71,0.1243,1.243,0.01268,0.1268,12.679,126.79,0.241,0.241,6.12,0.612,0.032,0.032,0.81,0.081,Stainless Steel Type 316,SS316,5.2479,5.248,23.34,2.38,2380.45,Squared and Ground,Factory Option,5.2315,5.2315,Reference,Reference,7.23,7.23,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.296,0.296,7.52,0.752,Reference,Reference,Reference,Reference,,0.0018244
LC 032E 10 M,LC 032E 10 M,LC032E10M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.375,0.375,9.53,0.953,0.282,0.282,7.16,0.716,MIN,MIN,MIN,MIN,1.125,1.125,28.58,2.858,0.035,0.035,0.89,0.089,7.5,7.5,1.313,13.13,0.1339,1.339,133.94,1339.4,0.75,0.75,0.1313,1.313,0.01339,0.1339,13.394,133.94,0.265,0.265,6.73,0.673,0.032,0.032,0.81,0.081,Music Wire,MW,6.3,6.3,28.02,2.858,2857.68,Squared and Ground,Factory Option,5.943,5.943,Reference,Reference,7.94,7.94,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.296,0.296,7.52,0.752,Reference,Reference,Reference,Reference,,0.0019664
LC 032E 10 S,LC 032E 10 S,LC032E10S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.375,0.375,9.53,0.953,0.282,0.282,7.16,0.716,MIN,MIN,MIN,MIN,1.125,1.125,28.58,2.858,0.035,0.035,0.89,0.089,6.2,6.2,1.086,10.86,0.1107,1.107,110.72,1107.2,0.62,0.62,0.1086,1.086,0.01107,0.1107,11.072,110.72,0.265,0.265,6.73,0.673,0.032,0.032,0.81,0.081,Stainless Steel,SS,5.2479,5.248,23.34,2.38,2380.45,Squared and Ground,Factory Option,5.9909,5.9909,Reference,Reference,7.99,7.99,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.296,0.296,7.52,0.752,Reference,Reference,Reference,Reference,,0.002016
