stock_code,price_code,price,min,currency,display_price_range
LC 047EF 15S,A,6.48,19,$,0-19
LC 047EF 15S,B,3.74,49,$,20-49
LC 047EF 15S,C,1.94,99,$,50-99
LC 047EF 15S,D,1.18,199,$,100-199
LC 047EF 15S,E,0.971,299,$,200-299
LC 047EF 15S,F,0.891,399,$,300-399
LC 047EF 15S,G,0.818,499,$,400-499
LC 047EF 15S,H,0.755,599,$,500-599
LC 047EF 15S,I,0.699,699,$,600-699
LC 047EF 15S,J,0.652,799,$,700-799
LC 047EF 15S,K,0.612,899,$,800-899
LC 047EF 15S,L,0.58,999,$,900-999
LC 047EF 15S316,A,7.19,19,$,0-19
LC 047EF 15S316,B,4.16,49,$,20-49
LC 047EF 15S316,C,2.19,99,$,50-99
LC 047EF 15S316,D,1.38,199,$,100-199
LC 047EF 15S316,E,1.242,299,$,200-299
LC 047EF 15S316,F,1.141,399,$,300-399
LC 047EF 15S316,G,1.05,499,$,400-499
LC 047EF 15S316,H,0.967,599,$,500-599
LC 047EF 15S316,I,0.897,699,$,600-699
LC 047EF 15S316,J,0.836,799,$,700-799
LC 047EF 15S316,K,0.784,899,$,800-899
LC 047EF 15S316,L,0.744,999,$,900-999
LC 047F 01 M,A,6.28,19,$,0-19
LC 047F 01 M,B,3.6,49,$,20-49
LC 047F 01 M,C,1.86,99,$,50-99
LC 047F 01 M,D,1.13,199,$,100-199
LC 047F 01 M,E,0.906,299,$,200-299
LC 047F 01 M,F,0.816,399,$,300-399
LC 047F 01 M,G,0.736,499,$,400-499
LC 047F 01 M,H,0.664,599,$,500-599
LC 047F 01 M,I,0.602,699,$,600-699
LC 047F 01 M,J,0.548,799,$,700-799
LC 047F 01 M,K,0.504,899,$,800-899
LC 047F 01 M,L,0.468,999,$,900-999
LC 047F 01 S,A,6.28,19,$,0-19
LC 047F 01 S,B,3.6,49,$,20-49
LC 047F 01 S,C,1.86,99,$,50-99
LC 047F 01 S,D,1.13,199,$,100-199
LC 047F 01 S,E,0.917,299,$,200-299
LC 047F 01 S,F,0.833,399,$,300-399
LC 047F 01 S,G,0.758,499,$,400-499
LC 047F 01 S,H,0.689,599,$,500-599
LC 047F 01 S,I,0.629,699,$,600-699
LC 047F 01 S,J,0.58,799,$,700-799
LC 047F 01 S,K,0.537,899,$,800-899
LC 047F 01 S,L,0.504,999,$,900-999
LC 047F 01 S316,A,6.92,19,$,0-19
LC 047F 01 S316,B,3.99,49,$,20-49
LC 047F 01 S316,C,2.1,99,$,50-99
LC 047F 01 S316,D,1.31,199,$,100-199
LC 047F 01 S316,E,1.173,299,$,200-299
LC 047F 01 S316,F,1.066,399,$,300-399
LC 047F 01 S316,G,0.97,499,$,400-499
LC 047F 01 S316,H,0.882,599,$,500-599
LC 047F 01 S316,I,0.806,699,$,600-699
LC 047F 01 S316,J,0.742,799,$,700-799
LC 047F 01 S316,K,0.688,899,$,800-899
LC 047F 01 S316,L,0.645,999,$,900-999
LC 047F 02 M,A,6.28,19,$,0-19
LC 047F 02 M,B,3.6,49,$,20-49
LC 047F 02 M,C,1.86,99,$,50-99
LC 047F 02 M,D,1.13,199,$,100-199
LC 047F 02 M,E,0.906,299,$,200-299
LC 047F 02 M,F,0.816,399,$,300-399
LC 047F 02 M,G,0.737,499,$,400-499
LC 047F 02 M,H,0.665,599,$,500-599
LC 047F 02 M,I,0.603,699,$,600-699
LC 047F 02 M,J,0.55,799,$,700-799
LC 047F 02 M,K,0.506,899,$,800-899
