title,model,field_published_stock_code,field_product_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_out_dia_tol_bld_spc_in,field_out_dia_tol_in,field_out_dia_tol_mm,field_out_dia_tol_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_spring_type,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_color,field_weight_per_item_lb
LC 049HJ 09M,LC 049HJ 09M,LC049HJ09M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.66,0.66,16.76,1.676,+/-0.015,+/-0.015,+/-0.38,+/-0.038,0.687,0.687,17.45,1.745,0.538,0.538,13.67,1.367,MIN,MIN,MIN,MIN,2.25,2.25,57.15,5.715,0.07,0.07,1.78,0.178,5.5,5.5,0.963,9.63,0.0982,0.982,98.22,982.2,0.55,0.55,0.0963,0.963,0.00982,0.0982,9.822,98.22,0.445,0.445,11.3,1.13,0.049,0.049,1.24,0.124,Music Wire,MW,10,10,44.48,4.536,4536,Squared and Ground,Factory Option,6.8926,6.8926,Reference,Reference,8.89,8.89,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.562,0.562,14.27,1.427,Reference,Reference,Reference,Reference,,0.0096159
LC 049HJ 09S,LC 049HJ 09S,LC049HJ09S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.66,0.66,16.76,1.676,+/-0.015,+/-0.015,+/-0.38,+/-0.038,0.687,0.687,17.45,1.745,0.538,0.538,13.67,1.367,MIN,MIN,MIN,MIN,2.25,2.25,57.15,5.715,0.07,0.07,1.78,0.178,4.6,4.6,0.806,8.06,0.0821,0.821,82.15,821.5,0.46,0.46,0.0806,0.806,0.00821,0.0821,8.215,82.15,0.445,0.445,11.3,1.13,0.049,0.049,1.24,0.124,Stainless Steel,SS,8.33,8.33,37.05,3.778,3778.49,Squared and Ground,Factory Option,6.8677,6.8677,Reference,Reference,8.87,8.87,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.562,0.562,14.27,1.427,Reference,Reference,Reference,Reference,,0.0097716
LC 049HJ 09S316,LC 049HJ 09S316,LC049HJ09S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.66,0.66,16.76,1.676,+/-0.015,+/-0.015,+/-0.38,+/-0.038,0.687,0.687,17.45,1.745,0.538,0.538,13.67,1.367,MIN,MIN,MIN,MIN,2.25,2.25,57.15,5.715,0.07,0.07,1.78,0.178,4.6,4.6,0.806,8.06,0.0821,0.821,82.15,821.5,0.46,0.46,0.0806,0.806,0.00821,0.0821,8.215,82.15,0.445,0.445,11.3,1.13,0.049,0.049,1.24,0.124,Stainless Steel Type 316,SS316,8.33,8.33,37.05,3.778,3778.49,Squared and Ground,Factory Option,6.8677,6.8677,Reference,Reference,8.87,8.87,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.562,0.562,14.27,1.427,Reference,Reference,Reference,Reference,,0.0097716
LC 049HJ 10M,LC 049HJ 10M,LC049HJ10M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.66,0.66,16.76,1.676,+/-0.015,+/-0.015,+/-0.38,+/-0.038,0.687,0.687,17.45,1.745,0.538,0.538,13.67,1.367,MIN,MIN,MIN,MIN,2.5,2.5,63.5,6.35,0.088,0.088,2.24,0.224,5,5,0.876,8.76,0.0893,0.893,89.29,892.9,0.5,0.5,0.0876,0.876,0.00893,0.0893,8.929,89.29,0.484,0.484,12.29,1.229,0.049,0.049,1.24,0.124,Music Wire,MW,10,10,44.48,4.536,4536,Squared and Ground,Factory Option,7.5819,7.5819,Reference,Reference,9.58,9.58,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.562,0.562,14.27,1.427,Reference,Reference,Reference,Reference,,0.0103613
LC 049HJ 10S,LC 049HJ 10S,LC049HJ10S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.66,0.66,16.76,1.676,+/-0.015,+/-0.015,+/-0.38,+/-0.038,0.687,0.687,17.45,1.745,0.538,0.538,13.67,1.367,MIN,MIN,MIN,MIN,2.5,2.5,63.5,6.35,0.088,0.088,2.24,0.224,4.1,4.1,0.718,7.18,0.0732,0.732,73.22,732.2,0.41,0.41,0.0718,0.718,0.00732,0.0732,7.322,73.22,0.484,0.484,12.29,1.229,0.049,0.049,1.24,0.124,Stainless Steel,SS,8.33,8.33,37.05,3.778,3778.49,Squared and Ground,Factory Option,7.7052,7.7052,Reference,Reference,9.71,9.71,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.562,0.562,14.27,1.427,Reference,Reference,Reference,Reference,,0.0106945
LC 049HJ 10S316,LC 049HJ 10S316,LC049HJ10S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.66,0.66,16.76,1.676,+/-0.015,+/-0.015,+/-0.38,+/-0.038,0.687,0.687,17.45,1.745,0.538,0.538,13.67,1.367,MIN,MIN,MIN,MIN,2.5,2.5,63.5,6.35,0.088,0.088,2.24,0.224,4.1,4.1,0.718,7.18,0.0732,0.732,73.22,732.2,0.41,0.41,0.0718,0.718,0.00732,0.0732,7.322,73.22,0.484,0.484,12.29,1.229,0.049,0.049,1.24,0.124,Stainless Steel Type 316,SS316,8.33,8.33,37.05,3.778,3778.49,Squared and Ground,Factory Option,7.7052,7.7052,Reference,Reference,9.71,9.71,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.562,0.562,14.27,1.427,Reference,Reference,Reference,Reference,,0.0106945
LC 049HJ 11M,LC 049HJ 11M,LC049HJ11M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.66,0.66,16.76,1.676,+/-0.015,+/-0.015,+/-0.38,+/-0.038,0.687,0.687,17.45,1.745,0.538,0.538,13.67,1.367,MIN,MIN,MIN,MIN,2.75,2.75,69.85,6.985,0.096,0.096,2.44,0.244,4.5,4.5,0.788,7.88,0.0804,0.804,80.36,803.6,0.45,0.45,0.0788,0.788,0.00804,0.0804,8.036,80.36,0.523,0.523,13.28,1.328,0.049,0.049,1.24,0.124,Music Wire,MW,10,10,44.48,4.536,4536,Squared and Ground,Factory Option,8.4244,8.4244,Reference,Reference,10.42,10.42,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.562,0.562,14.27,1.427,Reference,Reference,Reference,Reference,,0.0112722
LC 049HJ 11S,LC 049HJ 11S,LC049HJ11S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.66,0.66,16.76,1.676,+/-0.015,+/-0.015,+/-0.38,+/-0.038,0.687,0.687,17.45,1.745,0.538,0.538,13.67,1.367,MIN,MIN,MIN,MIN,2.75,2.75,69.85,6.985,0.096,0.096,2.44,0.244,3.7,3.7,0.648,6.48,0.0661,0.661,66.07,660.7,0.37,0.37,0.0648,0.648,0.00661,0.0661,6.607,66.07,0.523,0.523,13.28,1.328,0.049,0.049,1.24,0.124,Stainless Steel,SS,8.33,8.33,37.05,3.778,3778.49,Squared and Ground,Factory Option,8.5382,8.5382,Reference,Reference,10.54,10.54,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.562,0.562,14.27,1.427,Reference,Reference,Reference,Reference,,0.0116124
LC 049HJ 11S316,LC 049HJ 11S316,LC049HJ11S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.66,0.66,16.76,1.676,+/-0.015,+/-0.015,+/-0.38,+/-0.038,0.687,0.687,17.45,1.745,0.538,0.538,13.67,1.367,MIN,MIN,MIN,MIN,2.75,2.75,69.85,6.985,0.096,0.096,2.44,0.244,3.7,3.7,0.648,6.48,0.0661,0.661,66.07,660.7,0.37,0.37,0.0648,0.648,0.00661,0.0661,6.607,66.07,0.523,0.523,13.28,1.328,0.049,0.049,1.24,0.124,Stainless Steel Type 316,SS316,8.33,8.33,37.05,3.778,3778.49,Squared and Ground,Factory Option,8.5382,8.5382,Reference,Reference,10.54,10.54,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.562,0.562,14.27,1.427,Reference,Reference,Reference,Reference,,0.0116124
LC 049HJ 12M,LC 049HJ 12M,LC049HJ12M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.66,0.66,16.76,1.676,+/-0.015,+/-0.015,+/-0.38,+/-0.038,0.687,0.687,17.45,1.745,0.538,0.538,13.67,1.367,MIN,MIN,MIN,MIN,3,3,76.2,7.62,0.105,0.105,2.67,0.267,4.1,4.1,0.718,7.18,0.0732,0.732,73.22,732.2,0.41,0.41,0.0718,0.718,0.00732,0.0732,7.322,73.22,0.562,0.562,14.28,1.428,0.049,0.049,1.24,0.124,Music Wire,MW,10,10,44.48,4.536,4536,Squared and Ground,Factory Option,9.2463,9.2463,Reference,Reference,11.25,11.25,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.562,0.562,14.27,1.427,Reference,Reference,Reference,Reference,,0.012161
