title,model,field_published_stock_code,field_product_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_out_dia_tol_bld_spc_in,field_out_dia_tol_in,field_out_dia_tol_mm,field_out_dia_tol_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_spring_type,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_color,field_weight_per_item_lb
LC 016C 11 M,LC 016C 11 M,LC016C11M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.24,0.24,6.1,0.61,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.25,0.25,6.35,0.635,0.196,0.196,4.98,0.498,MIN,MIN,MIN,MIN,0.875,0.875,22.23,2.223,0.028,0.028,0.71,0.071,1.6,1.6,0.28,2.8,0.0286,0.286,28.57,285.7,0.16,0.16,0.028,0.28,0.00286,0.0286,2.857,28.57,0.123,0.123,3.12,0.312,0.016,0.016,0.41,0.041,Music Wire,MW,1.2,1.2,5.34,0.544,544.32,Squared and Ground,Factory Option,5.4664,5.4664,Reference,Reference,7.47,7.47,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.208,0.208,5.28,0.528,Reference,Reference,Reference,Reference,,0.0003155
LC 016C 11 S,LC 016C 11 S,LC016C11S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.24,0.24,6.1,0.61,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.25,0.25,6.35,0.635,0.197,0.197,5,0.5,MIN,MIN,MIN,MIN,0.875,0.875,22.23,2.223,0.028,0.028,0.71,0.071,1.3,1.3,0.228,2.28,0.0232,0.232,23.22,232.2,0.13,0.13,0.0228,0.228,0.00232,0.0232,2.322,23.22,0.123,0.123,3.12,0.312,0.016,0.016,0.41,0.041,Stainless Steel,SS,0.9996,1,4.45,0.453,453.42,Squared and Ground,Factory Option,5.6066,5.6066,Reference,Reference,7.61,7.61,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.208,0.208,5.28,0.528,Reference,Reference,Reference,Reference,,0.0003276
LC 016C 11 S316,LC 016C 11 S316,LC016C11S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.24,0.24,6.1,0.61,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.25,0.25,6.35,0.635,0.197,0.197,5,0.5,MIN,MIN,MIN,MIN,0.875,0.875,22.23,2.223,0.028,0.028,0.71,0.071,1.3,1.3,0.228,2.28,0.0232,0.232,23.22,232.2,0.13,0.13,0.0228,0.228,0.00232,0.0232,2.322,23.22,0.123,0.123,3.12,0.312,0.016,0.016,0.41,0.041,Stainless Steel Type 316,SS316,0.9996,1,4.45,0.453,453.42,Squared and Ground,Factory Option,5.6066,5.6066,Reference,Reference,7.61,7.61,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.208,0.208,5.28,0.528,Reference,Reference,Reference,Reference,,0.0003276
LC 016C 12 M,LC 016C 12 M,LC016C12M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.24,0.24,6.1,0.61,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.25,0.25,6.35,0.635,0.196,0.196,4.98,0.498,MIN,MIN,MIN,MIN,0.938,0.938,23.83,2.383,0.031,0.031,0.79,0.079,1.5,1.5,0.263,2.63,0.0268,0.268,26.79,267.9,0.15,0.15,0.0263,0.263,0.00268,0.0268,2.679,26.79,0.129,0.129,3.28,0.328,0.016,0.016,0.41,0.041,Music Wire,MW,1.2,1.2,5.34,0.544,544.32,Squared and Ground,Factory Option,5.831,5.831,Reference,Reference,7.83,7.83,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.208,0.208,5.28,0.528,Reference,Reference,Reference,Reference,,0.00033
LC 016C 12 S,LC 016C 12 S,LC016C12S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.24,0.24,6.1,0.61,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.25,0.25,6.35,0.635,0.197,0.197,5,0.5,MIN,MIN,MIN,MIN,0.938,0.938,23.83,2.383,0.031,0.031,0.79,0.079,1.2,1.2,0.21,2.1,0.0214,0.214,21.43,214.3,0.12,0.12,0.021,0.21,0.00214,0.0214,2.143,21.43,0.129,0.129,3.28,0.328,0.016,0.016,0.41,0.041,Stainless Steel,SS,0.999,0.999,4.44,0.453,453.15,Squared and Ground,Factory Option,6.074,6.074,Reference,Reference,8.07,8.07,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.208,0.208,5.28,0.528,Reference,Reference,Reference,Reference,,0.000347
LC 016C 12 S316,LC 016C 12 S316,LC016C12S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.24,0.24,6.1,0.61,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.25,0.25,6.35,0.635,0.197,0.197,5,0.5,MIN,MIN,MIN,MIN,0.938,0.938,23.83,2.383,0.031,0.031,0.79,0.079,1.2,1.2,0.21,2.1,0.0214,0.214,21.43,214.3,0.12,0.12,0.021,0.21,0.00214,0.0214,2.143,21.43,0.129,0.129,3.28,0.328,0.016,0.016,0.41,0.041,Stainless Steel Type 316,SS316,0.9996,1,4.45,0.453,453.42,Squared and Ground,Factory Option,6.0738,6.0738,Reference,Reference,8.07,8.07,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.208,0.208,5.28,0.528,Reference,Reference,Reference,Reference,,0.0003477
LC 016C 13 M,LC 016C 13 M,LC016C13M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.24,0.24,6.1,0.61,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.25,0.25,6.35,0.635,0.196,0.196,4.98,0.498,MIN,MIN,MIN,MIN,1,1,25.4,2.54,0.033,0.033,0.84,0.084,1.4,1.4,0.245,2.45,0.025,0.25,25,250,0.14,0.14,0.0245,0.245,0.0025,0.025,2.5,25,0.136,0.136,3.45,0.345,0.016,0.016,0.41,0.041,Music Wire,MW,1.2,1.2,5.34,0.544,544.32,Squared and Ground,Factory Option,6.2473,6.2473,Reference,Reference,8.25,8.25,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.208,0.208,5.28,0.528,Reference,Reference,Reference,Reference,,0.0003486
LC 016C 13 S,LC 016C 13 S,LC016C13S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.24,0.24,6.1,0.61,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.25,0.25,6.35,0.635,0.196,0.196,4.98,0.498,MIN,MIN,MIN,MIN,1,1,25.4,2.54,0.033,0.033,0.84,0.084,1.2,1.2,0.21,2.1,0.0214,0.214,21.43,214.3,0.12,0.12,0.021,0.21,0.00214,0.0214,2.143,21.43,0.136,0.136,3.45,0.345,0.016,0.016,0.41,0.041,Stainless Steel,SS,0.9996,1,4.45,0.453,453.42,Squared and Ground,Factory Option,6.0738,6.0738,Reference,Reference,8.07,8.07,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.208,0.208,5.28,0.528,Reference,Reference,Reference,Reference,,0.0003477
LC 016C 13 S316,LC 016C 13 S316,LC016C13S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.24,0.24,6.1,0.61,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.25,0.25,6.35,0.635,0.196,0.196,4.98,0.498,MIN,MIN,MIN,MIN,1,1,25.4,2.54,0.033,0.033,0.84,0.084,1.2,1.2,0.21,2.1,0.0214,0.214,21.43,214.3,0.12,0.12,0.021,0.21,0.00214,0.0214,2.143,21.43,0.136,0.136,3.45,0.345,0.016,0.016,0.41,0.041,Stainless Steel Type 316,SS316,0.9996,1,4.45,0.453,453.42,Squared and Ground,Factory Option,6.0738,6.0738,Reference,Reference,8.07,8.07,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.208,0.208,5.28,0.528,Reference,Reference,Reference,Reference,,0.0003477
LC 016C 14 M,LC 016C 14 M,LC016C14M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.24,0.24,6.1,0.61,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.25,0.25,6.35,0.635,0.196,0.196,4.98,0.498,MIN,MIN,MIN,MIN,1.25,1.25,31.75,3.175,0.039,0.039,0.99,0.099,1.1,1.1,0.193,1.93,0.0196,0.196,19.64,196.4,0.11,0.11,0.0193,0.193,0.00196,0.0196,1.964,19.64,0.163,0.163,4.14,0.414,0.016,0.016,0.41,0.041,Music Wire,MW,1.2,1.2,5.34,0.544,544.32,Squared and Ground,Factory Option,7.9512,7.9512,Reference,Reference,9.95,9.95,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.208,0.208,5.28,0.528,Reference,Reference,Reference,Reference,,0.0004206
