title,model,field_published_stock_code,field_product_type,field_spring_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_out_dia_tol_bld_spc_in,field_out_dia_tol_in,field_out_dia_tol_mm,field_out_dia_tol_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_color,field_weight_per_item_lb,field_nominal_load_build_spec_lb,field_nominal_load_lb,field_nominal_load_n,field_nominal_load_kg,field_nominal_load_gm,field_working_height_bud_spc_in,field_working_height_in,field_working_height_mm,field_working_height_cm
LW 138 25 0700S,LW 138 25 0700S,LW138250700S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.336,1.336,33.93,3.393,Reference,Reference,Reference,Reference,1.375,1.375,34.93,3.493,1.03,1.03,26.16,2.616,MIN,MIN,MIN,MIN,0.7,0.7,17.78,1.778,0.09,0.09,2.29,0.229,69,69,12.084,120.84,1.2322,12.322,1232.2,12322,17.25,17.25,3.021,30.21,0.30805,3.0805,308.051,3080.51,0.128,0.128,3.25,0.325,0.016,0.016,0.41,0.041,Stainless Steel Type 17-7 PH,17-7 PH,39.468,39.468,175.56,17.903,17902.68,Plain (End Turn is Wavy),Factory Option,7,7,Reference,Reference,7,7,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,1.07,1.07,27.18,2.718,Reference,Reference,Reference,Reference,,0.025154,25,25,111.21,11.34,11340,0.34,0.34,8.64,0.864
LW 138 25 0800S,LW 138 25 0800S,LW138250800S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.336,1.336,33.93,3.393,Reference,Reference,Reference,Reference,1.375,1.375,34.93,3.493,1.03,1.03,26.16,2.616,MIN,MIN,MIN,MIN,0.8,0.8,20.32,2.032,0.12,0.12,3.05,0.305,60,60,10.508,105.08,1.0715,10.715,1071.48,10714.8,15,15,2.627,26.27,0.26787,2.6787,267.87,2678.7,0.144,0.144,3.66,0.366,0.016,0.016,0.41,0.041,Stainless Steel Type 17-7 PH,17-7 PH,39.36,39.36,175.08,17.854,17853.7,Plain (End Turn is Wavy),Factory Option,8,8,Reference,Reference,8,8,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,1.07,1.07,27.18,2.718,Reference,Reference,Reference,Reference,,0.021625,25,25,111.21,11.34,11340,0.384,0.384,9.75,0.975
LW 138 25 1000S,LW 138 25 1000S,LW138251000S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.336,1.336,33.93,3.393,Reference,Reference,Reference,Reference,1.375,1.375,34.93,3.493,1.03,1.03,26.16,2.616,MIN,MIN,MIN,MIN,1,1,25.4,2.54,0.12,0.12,3.05,0.305,49,49,8.582,85.82,0.875,8.75,875.04,8750.4,12.25,12.25,2.1454,21.454,0.21876,2.1876,218.761,2187.61,0.176,0.176,4.47,0.447,0.016,0.016,0.41,0.041,Stainless Steel Type 17-7 PH,17-7 PH,40.376,40.376,179.6,18.315,18314.55,Plain (End Turn is Wavy),Factory Option,10,10,Reference,Reference,10,10,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,1.07,1.07,27.18,2.718,Reference,Reference,Reference,Reference,,0.035935,25,25,111.21,11.34,11340,0.486,0.486,12.34,1.234
LW 138 25 1300S,LW 138 25 1300S,LW138251300S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.336,1.336,33.93,3.393,Reference,Reference,Reference,Reference,1.375,1.375,34.93,3.493,1.03,1.03,26.16,2.616,MIN,MIN,MIN,MIN,1.3,1.3,33.02,3.302,0.18,0.18,4.57,0.457,37,37,6.48,64.8,0.6607,6.607,660.75,6607.5,9.25,9.25,1.62,16.2,0.16519,1.6519,165.187,1651.87,0.224,0.224,5.69,0.569,0.016,0.016,0.41,0.041,Stainless Steel Type 17-7 PH,17-7 PH,39.812,39.812,177.09,18.059,18058.72,Plain (End Turn is Wavy),Factory Option,13,13,Reference,Reference,13,13,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,1.07,1.07,27.18,2.718,Reference,Reference,Reference,Reference,,0.03514,25,25,111.21,11.34,11340,0.632,0.632,16.05,1.605
LW 138 25 1600S,LW 138 25 1600S,LW138251600S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.336,1.336,33.93,3.393,Reference,Reference,Reference,Reference,1.375,1.375,34.93,3.493,1.03,1.03,26.16,2.616,MIN,MIN,MIN,MIN,1.6,1.6,40.64,4.064,0.21,0.21,5.33,0.533,31,31,5.429,54.29,0.5536,5.536,553.6,5536,7.75,7.75,1.3573,13.573,0.1384,1.384,138.4,1384,0.272,0.272,6.91,0.691,0.016,0.016,0.41,0.041,Stainless Steel Type 17-7 PH,17-7 PH,41.168,41.168,183.12,18.674,18673.8,Plain (End Turn is Wavy),Factory Option,16,16,Reference,Reference,16,16,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,1.07,1.07,27.18,2.718,Reference,Reference,Reference,Reference,,0.057495,25,25,111.21,11.34,11340,0.788,0.788,20.02,2.002
LW 138 25 2000S,LW 138 25 2000S,LW138252000S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.336,1.336,33.93,3.393,Reference,Reference,Reference,Reference,1.375,1.375,34.93,3.493,1.03,1.03,26.16,2.616,MIN,MIN,MIN,MIN,2,2,50.8,5.08,0.25,0.25,6.35,0.635,25,25,4.378,43.78,0.4465,4.465,446.45,4464.5,6.25,6.25,1.0946,10.946,0.11161,1.1161,111.613,1116.13,0.336,0.336,8.53,0.853,0.016,0.016,0.41,0.041,Stainless Steel Type 17-7 PH,17-7 PH,41.6,41.6,185.05,18.87,18869.76,Plain (End Turn is Wavy),Factory Option,20,20,Reference,Reference,20,20,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,1.07,1.07,27.18,2.718,Reference,Reference,Reference,Reference,,0.054062,25,25,111.21,11.34,11340,0.982,0.982,24.94,2.494
LW 138 35 0300S,LW 138 35 0300S,LW138350300S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.336,1.336,33.93,3.393,Reference,Reference,Reference,Reference,1.375,1.375,34.93,3.493,1.03,1.03,26.16,2.616,MIN,MIN,MIN,MIN,0.3,0.3,7.62,0.762,0.06,0.06,1.52,0.152,232,232,40.631,406.31,4.1431,41.431,4143.06,41430.6,58,58,10.1577,101.577,1.03576,10.3576,1035.764,10357.64,0.072,0.072,1.83,0.183,0.018,0.018,0.46,0.046,Stainless Steel Type 17-7 PH,17-7 PH,52.896,52.896,235.29,23.994,23993.63,Plain (End Turn is Wavy),Factory Option,3,3,Reference,Reference,3,3,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,1.07,1.07,27.18,2.718,Reference,Reference,Reference,Reference,,0.012128,35,35,155.69,15.876,15876,0.149,0.149,3.78,0.378
LW 138 35 0400S,LW 138 35 0400S,LW138350400S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.336,1.336,33.93,3.393,Reference,Reference,Reference,Reference,1.375,1.375,34.93,3.493,1.03,1.03,26.16,2.616,MIN,MIN,MIN,MIN,0.4,0.4,10.16,1.016,0.06,0.06,1.52,0.152,166,166,29.072,290.72,2.9644,29.644,2964.43,29644.3,41.5,41.5,7.268,72.68,0.74111,7.4111,741.107,7411.07,0.09,0.09,2.29,0.229,0.018,0.018,0.46,0.046,Stainless Steel Type 17-7 PH,17-7 PH,51.46,51.46,228.91,23.342,23342.26,Plain (End Turn is Wavy),Factory Option,4,4,Reference,Reference,4,4,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,1.07,1.07,27.18,2.718,Reference,Reference,Reference,Reference,,0.012164,35,35,155.69,15.876,15876,0.189,0.189,4.8,0.48
LW 138 35 0500S,LW 138 35 0500S,LW138350500S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.336,1.336,33.93,3.393,Reference,Reference,Reference,Reference,1.375,1.375,34.93,3.493,1.03,1.03,26.16,2.616,MIN,MIN,MIN,MIN,0.5,0.5,12.7,1.27,0.06,0.06,1.52,0.152,138,138,24.168,241.68,2.4644,24.644,2464.4,24644,34.5,34.5,6.0421,60.421,0.6161,6.161,616.101,6161.01,0.108,0.108,2.74,0.274,0.018,0.018,0.46,0.046,Stainless Steel Type 17-7 PH,17-7 PH,54.096,54.096,240.63,24.538,24537.95,Plain (End Turn is Wavy),Factory Option,5,5,Reference,Reference,5,5,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,1.07,1.07,27.18,2.718,Reference,Reference,Reference,Reference,,0.020213,35,35,155.69,15.876,15876,0.247,0.247,6.27,0.627
LW 138 35 0600S,LW 138 35 0600S,LW138350600S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.336,1.336,33.93,3.393,Reference,Reference,Reference,Reference,1.375,1.375,34.93,3.493,1.03,1.03,26.16,2.616,MIN,MIN,MIN,MIN,0.6,0.6,15.24,1.524,0.09,0.09,2.29,0.229,112,112,19.615,196.15,2.0001,20.001,2000.1,20001,28,28,4.9037,49.037,0.50002,5.0002,500.024,5000.24,0.126,0.126,3.2,0.32,0.018,0.018,0.46,0.046,Stainless Steel Type 17-7 PH,17-7 PH,53.088,53.088,236.15,24.081,24080.72,Plain (End Turn is Wavy),Factory Option,6,6,Reference,Reference,6,6,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,1.07,1.07,27.18,2.718,Reference,Reference,Reference,Reference,,0.018246,35,35,155.69,15.876,15876,0.287,0.287,7.29,0.729
