title,model,field_published_stock_code,field_product_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_out_dia_tol_bld_spc_in,field_out_dia_tol_in,field_out_dia_tol_mm,field_out_dia_tol_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_spring_type,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_color,field_weight_per_item_lb
LC 018A 12 S,LC 018A 12 S,LC018A12S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.12,0.12,3.05,0.305,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.125,0.125,3.18,0.318,0.077,0.077,1.96,0.196,MIN,MIN,MIN,MIN,1.25,1.25,31.75,3.175,0.039,0.039,0.99,0.099,4.2,4.2,0.736,7.36,0.075,0.75,75,750,0.42,0.42,0.0736,0.736,0.0075,0.075,7.5,75,0.577,0.577,14.66,1.466,0.018,0.018,0.46,0.046,Stainless Steel,SS,2.9155,2.916,12.97,1.322,1322.47,Squared and Ground,Factory Option,29.4408,29.4408,Reference,Reference,31.44,31.44,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.084,0.084,2.13,0.213,Reference,Reference,Reference,Reference,,0.0007804
LC 018A 12 S316,LC 018A 12 S316,LC018A12S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.12,0.12,3.05,0.305,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.125,0.125,3.18,0.318,0.077,0.077,1.96,0.196,MIN,MIN,MIN,MIN,1.25,1.25,31.75,3.175,0.039,0.039,0.99,0.099,4.2,4.2,0.736,7.36,0.075,0.75,75,750,0.42,0.42,0.0736,0.736,0.0075,0.075,7.5,75,0.577,0.577,14.66,1.466,0.018,0.018,0.46,0.046,Stainless Steel Type 316,SS316,2.9155,2.916,12.97,1.322,1322.47,Squared and Ground,Factory Option,29.4408,29.4408,Reference,Reference,31.44,31.44,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.084,0.084,2.13,0.213,Reference,Reference,Reference,Reference,,0.0007804
LC 018A 13 M,LC 018A 13 M,LC018A13M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.12,0.12,3.05,0.305,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.125,0.125,3.18,0.318,0.077,0.077,1.96,0.196,MIN,MIN,MIN,MIN,1.5,1.5,38.1,3.81,0.048,0.048,1.22,0.122,4.1,4.1,0.718,7.18,0.0732,0.732,73.22,732.2,0.41,0.41,0.0718,0.718,0.00732,0.0732,7.322,73.22,0.677,0.677,17.2,1.72,0.018,0.018,0.46,0.046,Music Wire,MW,3.5,3.5,15.57,1.588,1587.6,Squared and Ground,Factory Option,36.1906,36.1906,Reference,Reference,38.19,38.19,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.084,0.084,2.13,0.213,Reference,Reference,Reference,Reference,,0.0009303
LC 018A 13 S,LC 018A 13 S,LC018A13S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.12,0.12,3.05,0.305,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.125,0.125,3.18,0.318,0.077,0.077,1.96,0.196,MIN,MIN,MIN,MIN,1.5,1.5,38.1,3.81,0.048,0.048,1.22,0.122,3.4,3.4,0.595,5.95,0.0607,0.607,60.72,607.2,0.34,0.34,0.0595,0.595,0.00607,0.0607,6.072,60.72,0.677,0.677,17.2,1.72,0.018,0.018,0.46,0.046,Stainless Steel,SS,2.9155,2.916,12.97,1.322,1322.47,Squared and Ground,Factory Option,36.368,36.368,Reference,Reference,38.37,38.37,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.084,0.084,2.13,0.213,Reference,Reference,Reference,Reference,,0.0009524
LC 018A 13 S316,LC 018A 13 S316,LC018A13S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.12,0.12,3.05,0.305,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.125,0.125,3.18,0.318,0.077,0.077,1.96,0.196,MIN,MIN,MIN,MIN,1.5,1.5,38.1,3.81,0.048,0.048,1.22,0.122,3.4,3.4,0.595,5.95,0.0607,0.607,60.72,607.2,0.34,0.34,0.0595,0.595,0.00607,0.0607,6.072,60.72,0.677,0.677,17.2,1.72,0.018,0.018,0.46,0.046,Stainless Steel Type 316,SS316,2.9155,2.916,12.97,1.322,1322.47,Squared and Ground,Factory Option,36.368,36.368,Reference,Reference,38.37,38.37,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.084,0.084,2.13,0.213,Reference,Reference,Reference,Reference,,0.0009524
LC 018AA 01M,LC 018AA 01M,LC018AA01M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.125,0.125,3.18,0.318,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.141,0.141,3.58,0.358,0.082,0.082,2.08,0.208,MIN,MIN,MIN,MIN,0.25,0.25,6.35,0.635,0.018,0.018,0.46,0.046,28.4703,28.47,4.986,49.86,0.5084,5.084,508.42,5084.2,2.847,2.847,0.4986,4.986,0.05084,0.5084,50.842,508.42,0.1207,0.121,3.07,0.307,0.018,0.018,0.46,0.046,Music Wire,MW,3.6788,3.679,16.36,1.669,1668.7,Squared and Ground,Factory Option,4.5147,4.5147,Reference,Reference,6.5147,6.5147,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.089,0.089,2.26,0.226,Reference,Reference,Reference,Reference,,0.0001664
LC 018AA 01S,LC 018AA 01S,LC018AA01S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.125,0.125,3.18,0.318,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.141,0.141,3.58,0.358,0.082,0.082,2.08,0.208,MIN,MIN,MIN,MIN,0.25,0.25,6.35,0.635,0.018,0.018,0.46,0.046,23.7158,23.716,4.153,41.53,0.4235,4.235,423.52,4235.2,2.372,2.372,0.4154,4.154,0.04236,0.4236,42.359,423.59,0.1207,0.121,3.07,0.307,0.018,0.018,0.46,0.046,Stainless Steel,SS,3.0644,3.064,13.63,1.39,1390.01,Squared and Ground,Factory Option,4.5147,4.5147,Reference,Reference,6.5147,6.5147,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.089,0.089,2.26,0.226,Reference,Reference,Reference,Reference,,0.0001696
LC 018AA 01S316,LC 018AA 01S316,LC018AA01S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.125,0.125,3.18,0.318,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.141,0.141,3.58,0.358,0.082,0.082,2.08,0.208,MIN,MIN,MIN,MIN,0.25,0.25,6.35,0.635,0.018,0.018,0.46,0.046,23.716,23.716,4.153,41.53,0.4235,4.235,423.52,4235.2,2.372,2.372,0.4154,4.154,0.04236,0.4236,42.359,423.59,0.121,0.121,3.07,0.307,0.018,0.018,0.46,0.046,Stainless Steel Type 316,SS316,3.0644,3.064,13.63,1.39,1390.01,Squared and Ground,Factory Option,4.515,4.515,Reference,Reference,6.515,6.515,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.089,0.089,2.26,0.226,Reference,Reference,Reference,Reference,,0.000169
LC 018AA 02M,LC 018AA 02M,LC018AA02M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.125,0.125,3.18,0.318,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.141,0.141,3.58,0.358,0.082,0.082,2.08,0.208,MIN,MIN,MIN,MIN,0.313,0.313,7.95,0.795,0.018,0.018,0.46,0.046,21.9951,21.995,3.852,38.52,0.3928,3.928,392.79,3927.9,2.2,2.2,0.3853,3.853,0.03929,0.3929,39.288,392.88,0.1454,0.145,3.69,0.369,0.018,0.018,0.46,0.046,Music Wire,MW,3.6788,3.679,16.36,1.669,1668.7,Squared and Ground,Factory Option,5.8438,5.8438,Reference,Reference,7.8438,7.8438,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.089,0.089,2.26,0.226,Reference,Reference,Reference,Reference,,0.0002004
LC 018AA 02S,LC 018AA 02S,LC018AA02S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.125,0.125,3.18,0.318,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.141,0.141,3.58,0.358,0.082,0.082,2.08,0.208,MIN,MIN,MIN,MIN,0.313,0.313,7.95,0.795,0.018,0.018,0.46,0.046,18.3219,18.322,3.209,32.09,0.3272,3.272,327.19,3271.9,1.832,1.832,0.3208,3.208,0.03272,0.3272,32.716,327.16,0.1454,0.145,3.69,0.369,0.018,0.018,0.46,0.046,Stainless Steel,SS,3.0644,3.064,13.63,1.39,1390.01,Squared and Ground,Factory Option,5.8438,5.8438,Reference,Reference,7.8438,7.8438,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.089,0.089,2.26,0.226,Reference,Reference,Reference,Reference,,0.0002042
