title,model,field_published_stock_code,field_product_type,field_spring_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_out_dia_tol_bld_spc_in,field_out_dia_tol_in,field_out_dia_tol_mm,field_out_dia_tol_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_color,field_weight_per_item_lb,field_nominal_load_build_spec_lb,field_nominal_load_lb,field_nominal_load_n,field_nominal_load_kg,field_nominal_load_gm,field_working_height_bud_spc_in,field_working_height_in,field_working_height_mm,field_working_height_cm
LW 056 05 0195S,LW 056 05 0195S,LW056050195S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.526,0.526,13.36,1.336,Reference,Reference,Reference,Reference,0.562,0.562,14.27,1.427,0.375,0.375,9.53,0.953,MIN,MIN,MIN,MIN,0.195,0.195,4.95,0.495,0.03,0.03,0.76,0.076,43,43,7.531,75.31,0.7679,7.679,767.89,7678.9,10.75,10.75,1.8827,18.827,0.19197,1.9197,191.974,1919.74,0.036,0.036,0.91,0.091,0.009,0.009,0.23,0.023,Stainless Steel Type 17-7 PH,17-7 PH,6.837,6.837,30.41,3.101,3101.26,Plain (End Turn is Wavy),Factory Option,3,3,Reference,Reference,3,3,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.41,0.41,10.41,1.041,Reference,Reference,Reference,Reference,,0.000858,5,5,22.24,2.268,2268,0.08,0.08,2.03,0.203
LW 056 05 0260S,LW 056 05 0260S,LW056050260S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.526,0.526,13.36,1.336,Reference,Reference,Reference,Reference,0.562,0.562,14.27,1.427,0.375,0.375,9.53,0.953,MIN,MIN,MIN,MIN,0.26,0.26,6.6,0.66,0.06,0.06,1.52,0.152,37,37,6.48,64.8,0.6607,6.607,660.75,6607.5,9.25,9.25,1.62,16.2,0.16519,1.6519,165.187,1651.87,0.045,0.045,1.14,0.114,0.009,0.009,0.23,0.023,Stainless Steel Type 17-7 PH,17-7 PH,7.955,7.955,35.39,3.608,3608.39,Plain (End Turn is Wavy),Factory Option,4,4,Reference,Reference,4,4,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.41,0.41,10.41,1.041,Reference,Reference,Reference,Reference,,0.001374,5,5,22.24,2.268,2268,0.125,0.125,3.18,0.318
LW 056 05 0325S,LW 056 05 0325S,LW056050325S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.526,0.526,13.36,1.336,Reference,Reference,Reference,Reference,0.562,0.562,14.27,1.427,0.375,0.375,9.53,0.953,MIN,MIN,MIN,MIN,0.325,0.325,8.26,0.826,0.06,0.06,1.52,0.152,26,26,4.553,45.53,0.4643,4.643,464.31,4643.1,6.5,6.5,1.1384,11.384,0.11608,1.1608,116.077,1160.77,0.054,0.054,1.37,0.137,0.009,0.009,0.23,0.023,Stainless Steel Type 17-7 PH,17-7 PH,7.046,7.046,31.34,3.196,3196.07,Plain (End Turn is Wavy),Factory Option,5,5,Reference,Reference,5,5,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.41,0.41,10.41,1.041,Reference,Reference,Reference,Reference,,0.00143,5,5,22.24,2.268,2268,0.135,0.135,3.43,0.343
LW 056 05 0390S,LW 056 05 0390S,LW056050390S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.526,0.526,13.36,1.336,Reference,Reference,Reference,Reference,0.562,0.562,14.27,1.427,0.375,0.375,9.53,0.953,MIN,MIN,MIN,MIN,0.39,0.39,9.91,0.991,0.06,0.06,1.52,0.152,24,24,4.203,42.03,0.4286,4.286,428.59,4285.9,6,6,1.0508,10.508,0.10715,1.0715,107.148,1071.48,0.063,0.063,1.6,0.16,0.009,0.009,0.23,0.023,Stainless Steel Type 17-7 PH,17-7 PH,7.848,7.848,34.91,3.56,3559.85,Plain (End Turn is Wavy),Factory Option,6,6,Reference,Reference,6,6,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.41,0.41,10.41,1.041,Reference,Reference,Reference,Reference,,0.001568,5,5,22.24,2.268,2268,0.18,0.18,4.57,0.457
LW 056 05 0455S,LW 056 05 0455S,LW056050455S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.526,0.526,13.36,1.336,Reference,Reference,Reference,Reference,0.562,0.562,14.27,1.427,0.375,0.375,9.53,0.953,MIN,MIN,MIN,MIN,0.455,0.455,11.56,1.156,0.06,0.06,1.52,0.152,19,19,3.328,33.28,0.3393,3.393,339.3,3393,4.75,4.75,0.8319,8.319,0.08483,0.8483,84.826,848.26,0.072,0.072,1.83,0.183,0.009,0.009,0.23,0.023,Stainless Steel Type 17-7 PH,17-7 PH,7.277,7.277,32.37,3.301,3300.85,Plain (End Turn is Wavy),Factory Option,7,7,Reference,Reference,7,7,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.41,0.41,10.41,1.041,Reference,Reference,Reference,Reference,,0.002002,5,5,22.24,2.268,2268,0.19,0.19,4.83,0.483
LW 056 05 0520S,LW 056 05 0520S,LW056050520S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.526,0.526,13.36,1.336,Reference,Reference,Reference,Reference,0.562,0.562,14.27,1.427,0.375,0.375,9.53,0.953,MIN,MIN,MIN,MIN,0.52,0.52,13.21,1.321,0.09,0.09,2.29,0.229,17,17,2.977,29.77,0.3036,3.036,303.59,3035.9,4.25,4.25,0.7443,7.443,0.0759,0.759,75.897,758.97,0.081,0.081,2.06,0.206,0.009,0.009,0.23,0.023,Stainless Steel Type 17-7 PH,17-7 PH,7.463,7.463,33.2,3.385,3385.22,Plain (End Turn is Wavy),Factory Option,8,8,Reference,Reference,8,8,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.41,0.41,10.41,1.041,Reference,Reference,Reference,Reference,,0.002747,5,5,22.24,2.268,2268,0.23,0.23,5.84,0.584
LW 056 05 0585S,LW 056 05 0585S,LW056050585S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.526,0.526,13.36,1.336,Reference,Reference,Reference,Reference,0.562,0.562,14.27,1.427,0.375,0.375,9.53,0.953,MIN,MIN,MIN,MIN,0.585,0.585,14.86,1.486,0.09,0.09,2.29,0.229,15,15,2.627,26.27,0.2679,2.679,267.87,2678.7,3.75,3.75,0.6567,6.567,0.06697,0.6697,66.968,669.68,0.09,0.09,2.29,0.229,0.009,0.009,0.23,0.023,Stainless Steel Type 17-7 PH,17-7 PH,7.425,7.425,33.03,3.368,3367.98,Plain (End Turn is Wavy),Factory Option,9,9,Reference,Reference,9,9,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.41,0.41,10.41,1.041,Reference,Reference,Reference,Reference,,0.002352,5,5,22.24,2.268,2268,0.26,0.26,6.6,0.66
LW 056 05 0650S,LW 056 05 0650S,LW056050650S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.526,0.526,13.36,1.336,Reference,Reference,Reference,Reference,0.562,0.562,14.27,1.427,0.375,0.375,9.53,0.953,MIN,MIN,MIN,MIN,0.65,0.65,16.51,1.651,0.09,0.09,2.29,0.229,14,14,2.452,24.52,0.25,2.5,250.01,2500.1,3.5,3.5,0.613,6.13,0.0625,0.625,62.503,625.03,0.099,0.099,2.52,0.252,0.009,0.009,0.23,0.023,Stainless Steel Type 17-7 PH,17-7 PH,7.714,7.714,34.31,3.499,3499.07,Plain (End Turn is Wavy),Factory Option,10,10,Reference,Reference,10,10,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.41,0.41,10.41,1.041,Reference,Reference,Reference,Reference,,0.00286,5,5,22.24,2.268,2268,0.285,0.285,7.24,0.724
LW 056 05 0715S,LW 056 05 0715S,LW056050715S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.526,0.526,13.36,1.336,Reference,Reference,Reference,Reference,0.562,0.562,14.27,1.427,0.375,0.375,9.53,0.953,MIN,MIN,MIN,MIN,0.715,0.715,18.16,1.816,0.09,0.09,2.29,0.229,13,13,2.277,22.77,0.2322,2.322,232.15,2321.5,3.25,3.25,0.5692,5.692,0.05804,0.5804,58.039,580.39,0.108,0.108,2.74,0.274,0.009,0.009,0.23,0.023,Stainless Steel Type 17-7 PH,17-7 PH,7.891,7.891,35.1,3.579,3579.36,Plain (End Turn is Wavy),Factory Option,11,11,Reference,Reference,11,11,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.41,0.41,10.41,1.041,Reference,Reference,Reference,Reference,,0.003778,5,5,22.24,2.268,2268,0.315,0.315,8,0.8
LW 056 11 0195S,LW 056 11 0195S,LW056110195S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.528,0.528,13.41,1.341,Reference,Reference,Reference,Reference,0.562,0.562,14.27,1.427,0.375,0.375,9.53,0.953,MIN,MIN,MIN,MIN,0.195,0.195,4.95,0.495,0.03,0.03,0.76,0.076,101,101,17.688,176.88,1.8037,18.037,1803.66,18036.6,25.25,25.25,4.4221,44.221,0.45091,4.5091,450.915,4509.15,0.048,0.048,1.22,0.122,0.012,0.012,0.3,0.03,Stainless Steel Type 17-7 PH,17-7 PH,14.847,14.847,66.04,6.735,6734.6,Plain (End Turn is Wavy),Factory Option,3,3,Reference,Reference,3,3,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.408,0.408,10.36,1.036,Reference,Reference,Reference,Reference,,0.001184,11,11,48.93,4.99,4989.6,0.086,0.086,2.18,0.218
LW 056 11 0260S,LW 056 11 0260S,LW056110260S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.528,0.528,13.41,1.341,Reference,Reference,Reference,Reference,0.562,0.562,14.27,1.427,0.375,0.375,9.53,0.953,MIN,MIN,MIN,MIN,0.26,0.26,6.6,0.66,0.06,0.06,1.52,0.152,80,80,14.011,140.11,1.4286,14.286,1428.64,14286.4,20,20,3.5027,35.027,0.35716,3.5716,357.16,3571.6,0.06,0.06,1.52,0.152,0.012,0.012,0.3,0.03,Stainless Steel Type 17-7 PH,17-7 PH,16,16,71.17,7.258,7257.6,Plain (End Turn is Wavy),Factory Option,4,4,Reference,Reference,4,4,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.408,0.408,10.36,1.036,Reference,Reference,Reference,Reference,,0.001895,11,11,48.93,4.99,4989.6,0.123,0.123,3.12,0.312
LW 056 11 0325S,LW 056 11 0325S,LW056110325S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.528,0.528,13.41,1.341,Reference,Reference,Reference,Reference,0.562,0.562,14.27,1.427,0.375,0.375,9.53,0.953,MIN,MIN,MIN,MIN,0.325,0.325,8.26,0.826,0.06,0.06,1.52,0.152,61,61,10.683,106.83,1.0893,10.893,1089.34,10893.4,15.25,15.25,2.6708,26.708,0.27233,2.7233,272.335,2723.35,0.072,0.072,1.83,0.183,0.012,0.012,0.3,0.03,Stainless Steel Type 17-7 PH,17-7 PH,15.433,15.433,68.65,7,7000.41,Plain (End Turn is Wavy),Factory Option,5,5,Reference,Reference,5,5,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.408,0.408,10.36,1.036,Reference,Reference,Reference,Reference,,0.001973,11,11,48.93,4.99,4989.6,0.145,0.145,3.68,0.368
LW 056 11 0390S,LW 056 11 0390S,LW056110390S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.528,0.528,13.41,1.341,Reference,Reference,Reference,Reference,0.562,0.562,14.27,1.427,0.375,0.375,9.53,0.953,MIN,MIN,MIN,MIN,0.39,0.39,9.91,0.991,0.06,0.06,1.52,0.152,54,54,9.457,94.57,0.9643,9.643,964.33,9643.3,13.5,13.5,2.3643,23.643,0.24108,2.4108,241.083,2410.83,0.084,0.084,2.13,0.213,0.012,0.012,0.3,0.03,Stainless Steel Type 17-7 PH,17-7 PH,16.524,16.524,73.5,7.495,7495.29,Plain (End Turn is Wavy),Factory Option,6,6,Reference,Reference,6,6,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.408,0.408,10.36,1.036,Reference,Reference,Reference,Reference,,0.002171,11,11,48.93,4.99,4989.6,0.187,0.187,4.75,0.475
LW 056 11 0455S,LW 056 11 0455S,LW056110455S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.528,0.528,13.41,1.341,Reference,Reference,Reference,Reference,0.562,0.562,14.27,1.427,0.375,0.375,9.53,0.953,MIN,MIN,MIN,MIN,0.455,0.455,11.56,1.156,0.06,0.06,1.52,0.152,45,45,7.881,78.81,0.8036,8.036,803.61,8036.1,11.25,11.25,1.9702,19.702,0.2009,2.009,200.903,2009.03,0.096,0.096,2.44,0.244,0.012,0.012,0.3,0.03,Stainless Steel Type 17-7 PH,17-7 PH,16.155,16.155,71.86,7.328,7327.91,Plain (End Turn is Wavy),Factory Option,7,7,Reference,Reference,7,7,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.408,0.408,10.36,1.036,Reference,Reference,Reference,Reference,,0.002762,11,11,48.93,4.99,4989.6,0.209,0.209,5.31,0.531
LW 056 11 0520S,LW 056 11 0520S,LW056110520S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.528,0.528,13.41,1.341,Reference,Reference,Reference,Reference,0.562,0.562,14.27,1.427,0.375,0.375,9.53,0.953,MIN,MIN,MIN,MIN,0.52,0.52,13.21,1.321,0.09,0.09,2.29,0.229,41,41,7.18,71.8,0.7322,7.322,732.18,7321.8,10.25,10.25,1.7951,17.951,0.18304,1.8304,183.045,1830.45,0.108,0.108,2.74,0.274,0.012,0.012,0.3,0.03,Stainless Steel Type 17-7 PH,17-7 PH,16.892,16.892,75.14,7.662,7662.21,Plain (End Turn is Wavy),Factory Option,8,8,Reference,Reference,8,8,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.408,0.408,10.36,1.036,Reference,Reference,Reference,Reference,,0.00379,11,11,48.93,4.99,4989.6,0.253,0.253,6.43,0.643
LW 056 11 0585S,LW 056 11 0585S,LW056110585S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.529,0.529,13.44,1.344,Reference,Reference,Reference,Reference,0.562,0.562,14.27,1.427,0.375,0.375,9.53,0.953,MIN,MIN,MIN,MIN,0.585,0.585,14.86,1.486,0.09,0.09,2.29,0.229,35,35,6.13,61.3,0.625,6.25,625.03,6250.3,8.75,8.75,1.5324,15.324,0.15626,1.5626,156.258,1562.58,0.12,0.12,3.05,0.305,0.012,0.012,0.3,0.03,Stainless Steel Type 17-7 PH,17-7 PH,16.275,16.275,72.39,7.382,7382.34,Plain (End Turn is Wavy),Factory Option,9,9,Reference,Reference,9,9,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.409,0.409,10.39,1.039,Reference,Reference,Reference,Reference,,0.003257,11,11,48.93,4.99,4989.6,0.273,0.273,6.93,0.693
LW 056 11 0650S,LW 056 11 0650S,LW056110650S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.528,0.528,13.41,1.341,Reference,Reference,Reference,Reference,0.562,0.562,14.27,1.427,0.375,0.375,9.53,0.953,MIN,MIN,MIN,MIN,0.65,0.65,16.51,1.651,0.09,0.09,2.29,0.229,33,33,5.779,57.79,0.5893,5.893,589.31,5893.1,8.25,8.25,1.4448,14.448,0.14733,1.4733,147.329,1473.29,0.132,0.132,3.35,0.335,0.012,0.012,0.3,0.03,Stainless Steel Type 17-7 PH,17-7 PH,17.094,17.094,76.04,7.754,7753.84,Plain (End Turn is Wavy),Factory Option,10,10,Reference,Reference,10,10,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.408,0.408,10.36,1.036,Reference,Reference,Reference,Reference,,0.003945,11,11,48.93,4.99,4989.6,0.318,0.318,8.08,0.808
LW 056 11 0715S,LW 056 11 0715S,LW056110715S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.528,0.528,13.41,1.341,Reference,Reference,Reference,Reference,0.562,0.562,14.27,1.427,0.375,0.375,9.53,0.953,MIN,MIN,MIN,MIN,0.715,0.715,18.16,1.816,0.09,0.09,2.29,0.229,30,30,5.254,52.54,0.5357,5.357,535.74,5357.4,7.5,7.5,1.3135,13.135,0.13394,1.3394,133.935,1339.35,0.144,0.144,3.66,0.366,0.012,0.012,0.3,0.03,Stainless Steel Type 17-7 PH,17-7 PH,17.13,17.13,76.2,7.77,7770.17,Plain (End Turn is Wavy),Factory Option,11,11,Reference,Reference,11,11,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.408,0.408,10.36,1.036,Reference,Reference,Reference,Reference,,0.005211,11,11,48.93,4.99,4989.6,0.343,0.343,8.71,0.871
