title,model,field_published_stock_code,field_product_type,field_spring_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_product_series,field_revision,field_material,field_material_short_description,field_material_specification,field_outside_dia_bd_spe_in,field_outside_dia_base_in,field_outside_dia_base_mm,field_outside_dia_base_cm,field_outside_dia_tole_bd_spe_in,field_outside_dia_tole_in,field_outside_dia_tole_mm,field_outside_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_total_coils_bd_spe,field_total_coils,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_end,field_initial_ten_bud_spec_lb,field_initial_tension_lb,field_initial_tension_n,field_initial_tension_kg,field_initial_tension_gm,field_initial_ten_tol_bud_spc_lb,field_initial_ten_tol_lb,field_initial_ten_tol_n,field_initial_ten_tol_kg,field_initial_ten_tol_gm,field_max_load_build_spec_lb,field_max_load_lb,field_max_load_n,field_max_load_kg,field_max_load_gm,field_max_extend_len_bd_spe_in,field_max_extended_length_in,field_max_extended_length_mm,field_max_extended_length_cm,field_body_length_build_spec_in,field_body_length_in,field_body_length_mm,field_body_length_cm,field_direction_of_wind,field_finish,field_weight_per_item_lb,field_loop_insid_dia_bd_spec_in,field_loop_inside_diameter_in,field_loop_inside_diameter_mm,field_loop_inside_diameter_cm,field_loop_position,field_loop_opening_build_spec_in,field_loop_opening_in,field_loop_opening_mm,field_loop_opening_cm
LE 014B 02 S,LE 014B 02 S,LE014B02S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,0.188,0.188,4.78,0.478,0.005,0.005,0.13,0.013,0.875,0.875,22.23,2.223,0.03,0.03,0.76,0.076,0.23,0.23,0.04,0.4,0.0041,0.041,4.1,41,0.023,0.023,0.004,0.04,0.00041,0.0041,0.41,4.1,0.16,0.16,4.06,0.406,REF,Reference,Reference,Reference,39.632,39.6,0.014,0.014,0.36,0.036,Standard Loops,0.0333,0.0333,0.148,0.0151,15.1,0.00666,0.00666,0.0296,0.00302,3.02,0.6664,0.6664,2.964,0.3023,302.3,3.585,3.585,91.06,9.106,0.555,0.555,14.1,1.41,Factory Option,Passivate per ASTM A967,0.00107,0.16,0.16,4.06,0.406,Random,0.014,0.014,0.36,0.036
LE 014B 02 S316,LE 014B 02 S316,LE014B02S316,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Stainless Steel Type 316,SS 316,ASTM A313,0.188,0.188,4.78,0.478,0.005,0.005,0.13,0.013,0.875,0.875,22.23,2.223,0.03,0.03,0.76,0.076,0.23,0.23,0.04,0.4,0.0041,0.041,4.1,41,0.023,0.023,0.004,0.04,0.00041,0.0041,0.41,4.1,0.16,0.16,4.06,0.406,REF,Reference,Reference,Reference,39.632,39.6,0.014,0.014,0.36,0.036,Standard Loops,0.0333,0.0333,0.148,0.0151,15.1,0.00666,0.00666,0.0296,0.00302,3.02,0.499,0.499,2.22,0.2263,226.3,2.899,2.899,73.63,7.363,0.555,0.555,14.1,1.41,Factory Option,Ultrasonically Passivate with Citric Acid for 10 mins At 131 Deg F,0.00107,0.16,0.16,4.06,0.406,Random,0.014,0.014,0.36,0.036
LE 014B 03 M,LE 014B 03 M,LE014B03M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.188,0.188,4.78,0.478,0.005,0.005,0.13,0.013,1,1,25.4,2.54,0.03,0.03,0.76,0.076,0.23,0.23,0.04,0.4,0.0041,0.041,4.1,41,0.023,0.023,0.004,0.04,0.00041,0.0041,0.41,4.1,0.16,0.16,4.06,0.406,REF,Reference,Reference,Reference,47.5584,47.6,0.014,0.014,0.36,0.036,Standard Loops,0.04,0.04,0.178,0.0181,18.1,0.008,0.008,0.0356,0.00363,3.63,0.8,0.8,3.559,0.3629,362.9,4.3,4.3,109.22,10.922,0.68,0.68,17.27,1.727,Factory Option,Zinc Plate and Bake per ASTM B633,0.00125,0.16,0.16,4.06,0.406,Random,0.014,0.014,0.36,0.036
LE 014B 03 S,LE 014B 03 S,LE014B03S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,0.188,0.188,4.78,0.478,0.005,0.005,0.13,0.013,1,1,25.4,2.54,0.03,0.03,0.76,0.076,0.19,0.19,0.033,0.33,0.0034,0.034,3.4,34,0.019,0.019,0.0033,0.033,0.00034,0.0034,0.34,3.4,0.16,0.16,4.06,0.406,REF,Reference,Reference,Reference,47.9756,48,0.014,0.014,0.36,0.036,Standard Loops,0.0333,0.0333,0.148,0.0151,15.1,0.00666,0.00666,0.0296,0.00302,3.02,0.6664,0.6664,2.964,0.3023,302.3,4.3,4.3,109.22,10.922,0.68,0.68,17.27,1.727,Factory Option,Passivate per ASTM A967,0.00128,0.16,0.16,4.06,0.406,Random,0.014,0.014,0.36,0.036
LE 014B 03 S316,LE 014B 03 S316,LE014B03S316,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Stainless Steel Type 316,SS 316,ASTM A313,0.188,0.188,4.78,0.478,0.005,0.005,0.13,0.013,1,1,25.4,2.54,0.03,0.03,0.76,0.076,0.19,0.19,0.033,0.33,0.0034,0.034,3.4,34,0.019,0.019,0.0033,0.033,0.00034,0.0034,0.34,3.4,0.16,0.16,4.06,0.406,REF,Reference,Reference,Reference,47.9756,48,0.014,0.014,0.36,0.036,Standard Loops,0.0333,0.0333,0.148,0.0151,15.1,0.00666,0.00666,0.0296,0.00302,3.02,0.499,0.499,2.22,0.2263,226.3,3.451,3.451,87.66,8.766,0.68,0.68,17.27,1.727,Factory Option,Ultrasonically Passivate with Citric Acid for 10 mins At 131 Deg F,0.00128,0.16,0.16,4.06,0.406,Random,0.014,0.014,0.36,0.036
LE 014B 04 M,LE 014B 04 M,LE014B04M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.188,0.188,4.78,0.478,0.005,0.005,0.13,0.013,1.125,1.125,28.58,2.858,0.035,0.035,0.89,0.089,0.19,0.19,0.033,0.33,0.0034,0.034,3.4,34,0.019,0.019,0.0033,0.033,0.00034,0.0034,0.34,3.4,0.16,0.16,4.06,0.406,REF,Reference,Reference,Reference,57.5707,57.6,0.014,0.014,0.36,0.036,Standard Loops,0.04,0.04,0.178,0.0181,18.1,0.008,0.008,0.0356,0.00363,3.63,0.8,0.8,3.559,0.3629,362.9,5.125,5.125,130.18,13.018,0.805,0.805,20.45,2.045,Factory Option,Zinc Plate and Bake per ASTM B633,0.0015,0.16,0.16,4.06,0.406,Random,0.014,0.014,0.36,0.036
LE 014B 04 S,LE 014B 04 S,LE014B04S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,0.188,0.188,4.78,0.478,0.005,0.005,0.13,0.013,1.125,1.125,28.58,2.858,0.035,0.035,0.89,0.089,0.16,0.16,0.028,0.28,0.0029,0.029,2.9,29,0.016,0.016,0.0028,0.028,0.00029,0.0029,0.29,2.9,0.16,0.16,4.06,0.406,REF,Reference,Reference,Reference,56.971,57,0.014,0.014,0.36,0.036,Standard Loops,0.0333,0.0333,0.148,0.0151,15.1,0.00666,0.00666,0.0296,0.00302,3.02,0.6664,0.6664,2.964,0.3023,302.3,5.125,5.125,130.18,13.018,0.805,0.805,20.45,2.045,Factory Option,Passivate per ASTM A967,0.00151,0.16,0.16,4.06,0.406,Random,0.014,0.014,0.36,0.036
LE 014B 04 S316,LE 014B 04 S316,LE014B04S316,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Stainless Steel Type 316,SS 316,ASTM A313,0.188,0.188,4.78,0.478,0.005,0.005,0.13,0.013,1.125,1.125,28.58,2.858,0.035,0.035,0.89,0.089,0.16,0.16,0.028,0.28,0.0029,0.029,2.9,29,0.016,0.016,0.0028,0.028,0.00029,0.0029,0.29,2.9,0.16,0.16,4.06,0.406,REF,Reference,Reference,Reference,56.971,57,0.014,0.014,0.36,0.036,Standard Loops,0.0333,0.0333,0.148,0.0151,15.1,0.00666,0.00666,0.0296,0.00302,3.02,0.499,0.499,2.22,0.2263,226.3,4.035,4.035,102.49,10.249,0.805,0.805,20.45,2.045,Factory Option,Ultrasonically Passivate with Citric Acid for 10 mins At 131 Deg F,0.00151,0.16,0.16,4.06,0.406,Random,0.014,0.014,0.36,0.036
LE 014B 05 M,LE 014B 05 M,LE014B05M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.188,0.188,4.78,0.478,0.005,0.005,0.13,0.013,1.25,1.25,31.75,3.175,0.035,0.035,0.89,0.089,0.17,0.17,0.03,0.3,0.003,0.03,3,30,0.017,0.017,0.003,0.03,0.0003,0.003,0.3,3,0.16,0.16,4.06,0.406,REF,Reference,Reference,Reference,64.3438,64.3,0.014,0.014,0.36,0.036,Standard Loops,0.04,0.04,0.178,0.0181,18.1,0.008,0.008,0.0356,0.00363,3.63,0.8,0.8,3.559,0.3629,362.9,5.72,5.72,145.29,14.529,0.93,0.93,23.62,2.362,Factory Option,Zinc Plate and Bake per ASTM B633,0.00167,0.16,0.16,4.06,0.406,Random,0.014,0.014,0.36,0.036
LE 014B 05 S,LE 014B 05 S,LE014B05S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,0.188,0.188,4.78,0.478,0.005,0.005,0.13,0.013,1.25,1.25,31.75,3.175,0.035,0.035,0.89,0.089,0.14,0.14,0.025,0.25,0.0025,0.025,2.5,25,0.014,0.014,0.0025,0.025,0.00025,0.0025,0.25,2.5,0.16,0.16,4.06,0.406,REF,Reference,Reference,Reference,65.1098,65.1,0.014,0.014,0.36,0.036,Standard Loops,0.0333,0.0333,0.148,0.0151,15.1,0.00666,0.00666,0.0296,0.00302,3.02,0.6664,0.6664,2.964,0.3023,302.3,5.72,5.72,145.29,14.529,0.93,0.93,23.62,2.362,Factory Option,Passivate per ASTM A967,0.00172,0.16,0.16,4.06,0.406,Random,0.014,0.014,0.36,0.036
