title,model,field_published_stock_code,field_product_type,field_product_category,field_original_publication_date, ,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm, field_outside_dia_cm,field_outside_dia_tole_bd_spe_in,field_outside_dia_tole_in,field_outside_dia_tole_mm,field_outside_dia_tole_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm, field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_spring_type,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_inside_dia_tole_bd_spe_in,field_inside_dia_tole_in,field_inside_dia_tole_mm,field_inside_dia_tole_cm,field_color,field_weight_per_item_lb
LP 072V 04 S316,LP 072V 04 S316,LP072V04S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.4,1.4,35.56,3.556,+/-0.03,+/-0.03,+/-0.76,+/-0.076,1.437,1.437,36.5,3.65,1.219,1.219,30.96,3.096,MIN,MIN,MIN,MIN,2.25,2.25,57.15,5.715,0.054,0.054,1.37,0.137,3.498,3.498,0.613,6.13,0.0625,0.625,62.47,624.7,0.35,0.35,0.0613,0.613,0.00625,0.0625,6.25,62.5,0.511,0.511,12.98,1.298,0.072,0.072,1.83,Stainless Steel Type 316,SS316,6.082,6.082,27.05,2.759,2758.8,Squared,Factory Option,4.101,4.101,Reference,Reference,6.101,6.101,Passivate per ASTM A967,1,Lite Pressure™ Series (inch),ASTM A313,1.256,1.256,31.9,3.19,Reference,Reference,Reference,Reference,,0.031712
LP 072V 05 S316,LP 072V 05 S316,LP072V05S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.4,1.4,35.56,3.556,+/-0.03,+/-0.03,+/-0.76,+/-0.076,1.437,1.437,36.5,3.65,1.219,1.219,30.96,3.096,MIN,MIN,MIN,MIN,2.5,2.5,63.5,6.35,0.06,0.06,1.52,0.152,3.115,3.115,0.546,5.46,0.0556,0.556,55.63,556.3,0.311,0.311,0.0545,0.545,0.00555,0.0555,5.554,55.54,0.548,0.548,13.92,1.392,0.072,0.072,1.83,Stainless Steel Type 316,SS316,6.082,6.082,27.05,2.759,2758.8,Squared,Factory Option,4.605,4.605,Reference,Reference,6.605,6.605,Passivate per ASTM A967,1,Lite Pressure™ Series (inch),ASTM A313,1.256,1.256,31.9,3.19,Reference,Reference,Reference,Reference,,0.034332
LP 072V 06 S316,LP 072V 06 S316,LP072V06S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.4,1.4,35.56,3.556,+/-0.03,+/-0.03,+/-0.76,+/-0.076,1.437,1.437,36.5,3.65,1.219,1.219,30.96,3.096,MIN,MIN,MIN,MIN,2.75,2.75,69.85,6.985,0.066,0.066,1.68,0.168,2.808,2.808,0.492,4.92,0.0501,0.501,50.15,501.5,0.281,0.281,0.0492,0.492,0.00502,0.0502,5.018,50.18,0.584,0.584,14.83,1.483,0.072,0.072,1.83,Stainless Steel Type 316,SS316,6.082,6.082,27.05,2.759,2758.8,Squared,Factory Option,5.109,5.109,Reference,Reference,7.109,7.109,Passivate per ASTM A967,1,Lite Pressure™ Series (inch),ASTM A313,1.256,1.256,31.9,3.19,Reference,Reference,Reference,Reference,,0.036952
LP 072W 01 S316,LP 072W 01 S316,LP072W01S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.46,1.46,37.08,3.708,+/-0.03,+/-0.03,+/-0.76,+/-0.076,1.5,1.5,38.1,3.81,1.25,1.25,31.75,3.175,MIN,MIN,MIN,MIN,1.625,1.625,41.28,4.128,0.041,0.041,1.04,0.104,3.777,3.777,0.661,6.61,0.0674,0.674,67.45,674.5,0.378,0.378,0.0662,0.662,0.00675,0.0675,6.75,67.5,0.455,0.455,11.56,1.156,0.072,0.072,1.83,Stainless Steel Type 316,SS316,4.418,4.418,19.65,2.004,2004,Squared,Factory Option,3.326,3.326,Reference,Reference,5.326,5.326,Passivate per ASTM A967,1,Lite Pressure™ Series (inch),ASTM A313,1.316,1.316,33.43,3.343,Reference,Reference,Reference,Reference,,0.028935
LP 072W 02 S316,LP 072W 02 S316,LP072W02S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.46,1.46,37.08,3.708,+/-0.03,+/-0.03,+/-0.76,+/-0.076,1.5,1.5,38.1,3.81,1.25,1.25,31.75,3.175,MIN,MIN,MIN,MIN,1.75,1.75,44.45,4.445,0.045,0.045,1.14,0.114,3.47,3.47,0.608,6.08,0.062,0.62,61.97,619.7,0.347,0.347,0.0608,0.608,0.0062,0.062,6.197,61.97,0.477,0.477,12.12,1.212,0.072,0.072,1.83,Stainless Steel Type 316,SS316,4.418,4.418,19.65,2.004,2004,Squared,Factory Option,3.621,3.621,Reference,Reference,5.621,5.621,Passivate per ASTM A967,1,Lite Pressure™ Series (inch),ASTM A313,1.316,1.316,33.43,3.343,Reference,Reference,Reference,Reference,,0.030538
LP 072W 03 S316,LP 072W 03 S316,LP072W03S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.46,1.46,37.08,3.708,+/-0.03,+/-0.03,+/-0.76,+/-0.076,1.5,1.5,38.1,3.81,1.25,1.25,31.75,3.175,MIN,MIN,MIN,MIN,2,2,50.8,5.08,0.051,0.051,1.3,0.13,2.983,2.983,0.522,5.22,0.0533,0.533,53.27,532.7,0.298,0.298,0.0522,0.522,0.00532,0.0532,5.322,53.22,0.519,0.519,13.18,1.318,0.072,0.072,1.83,Stainless Steel Type 316,SS316,4.418,4.418,19.65,2.004,2004,Squared,Factory Option,4.211,4.211,Reference,Reference,6.211,6.211,Passivate per ASTM A967,1,Lite Pressure™ Series (inch),ASTM A313,1.316,1.316,33.43,3.343,Reference,Reference,Reference,Reference,,0.033744
LP 072W 04 S316,LP 072W 04 S316,LP072W04S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.46,1.46,37.08,3.708,+/-0.03,+/-0.03,+/-0.76,+/-0.076,1.5,1.5,38.1,3.81,1.25,1.25,31.75,3.175,MIN,MIN,MIN,MIN,2.25,2.25,57.15,5.715,0.057,0.057,1.45,0.145,2.617,2.617,0.458,4.58,0.0467,0.467,46.73,467.3,0.262,0.262,0.0459,0.459,0.00468,0.0468,4.679,46.79,0.562,0.562,14.28,1.428,0.072,0.072,1.83,Stainless Steel Type 316,SS316,4.418,4.418,19.65,2.004,2004,Squared,Factory Option,4.801,4.801,Reference,Reference,6.801,6.801,Passivate per ASTM A967,1,Lite Pressure™ Series (inch),ASTM A313,1.316,1.316,33.43,3.343,Reference,Reference,Reference,Reference,,0.036949
LP 072W 05 S316,LP 072W 05 S316,LP072W05S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.46,1.46,37.08,3.708,+/-0.03,+/-0.03,+/-0.76,+/-0.076,1.5,1.5,38.1,3.81,1.25,1.25,31.75,3.175,MIN,MIN,MIN,MIN,2.5,2.5,63.5,6.35,0.064,0.064,1.63,0.163,2.33,2.33,0.408,4.08,0.0416,0.416,41.61,416.1,0.233,0.233,0.0408,0.408,0.00416,0.0416,4.161,41.61,0.604,0.604,15.34,1.534,0.072,0.072,1.83,Stainless Steel Type 316,SS316,4.418,4.418,19.65,2.004,2004,Squared,Factory Option,5.391,5.391,Reference,Reference,7.391,7.391,Passivate per ASTM A967,1,Lite Pressure™ Series (inch),ASTM A313,1.316,1.316,33.43,3.343,Reference,Reference,Reference,Reference,,0.040155
LP 072W 06 S316,LP 072W 06 S316,LP072W06S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.46,1.46,37.08,3.708,+/-0.03,+/-0.03,+/-0.76,+/-0.076,1.5,1.5,38.1,3.81,1.25,1.25,31.75,3.175,MIN,MIN,MIN,MIN,2.75,2.75,69.85,6.985,0.07,0.07,1.78,0.178,2.1,2.1,0.368,3.68,0.0375,0.375,37.5,375,0.21,0.21,0.0368,0.368,0.00375,0.0375,3.75,37.5,0.647,0.647,16.43,1.643,0.072,0.072,1.83,Stainless Steel Type 316,SS316,4.418,4.418,19.65,2.004,2004,Squared,Factory Option,5.981,5.981,Reference,Reference,7.981,7.981,Passivate per ASTM A967,1,Lite Pressure™ Series (inch),ASTM A313,1.316,1.316,33.43,3.343,Reference,Reference,Reference,Reference,,0.043361
LP 072X 01 S316,LP 072X 01 S316,LP072X01S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.58,1.58,40.13,4.013,+/-0.04,+/-0.04,+/-1.02,+/-0.102,1.625,1.625,41.28,4.128,1.375,1.375,34.93,3.493,MIN,MIN,MIN,MIN,1.75,1.75,44.45,4.445,0.042,0.042,1.07,0.107,3.84,3.84,0.673,6.73,0.0686,0.686,68.57,685.7,0.384,0.384,0.0673,0.673,0.00686,0.0686,6.857,68.57,0.4,0.4,10.16,1.016,0.072,0.072,1.83,Stainless Steel Type 316,SS316,5.185,5.185,23.06,2.352,2351.92,Squared,Factory Option,2.551,2.551,Reference,Reference,4.551,4.551,Passivate per ASTM A967,1,Lite Pressure™ Series (inch),ASTM A313,1.436,1.436,36.47,3.647,Reference,Reference,Reference,Reference,,0.026864
