title,model,field_published_stock_code,field_product_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_out_dia_tol_bld_spc_in,field_out_dia_tol_in,field_out_dia_tol_mm,field_out_dia_tol_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_spring_type,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_color,field_weight_per_item_lb
LCM060C 07 S,LCM060C 07 S,LCM060C07S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.236,0.236,6,0.6,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.252,0.252,6.4,0.64,0.173,0.173,4.4,0.44,MIN,MIN,MIN,MIN,0.61,0.61,15.5,1.55,0.02,0.02,0.51,0.051,6.589,6.589,1.154,11.54,0.1177,1.177,117.67,1176.7,0.6589,0.659,0.1154,1.154,0.01177,0.1177,11.767,117.67,0.192,0.192,4.88,0.488,0.024,0.024,0.6,,Stainless Steel,SS,2.749,2.749,12.23,1.247,1246.95,Squared and Ground,Factory Option,6.14,6.14,Reference,Reference,8.14,8.14,Passivate per ASTM A967,1,Standard Compression Series (metric),ASTM A313,0.188,0.188,4.8,0.48,Reference,Reference,Reference,Reference,,0.000788
LCM060C 08 M,LCM060C 08 M,LCM060C08M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.236,0.236,6,0.6,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.252,0.252,6.4,0.64,0.173,0.173,4.4,0.44,MIN,MIN,MIN,MIN,0.669,0.669,17,1.7,0.022,0.022,0.56,0.056,7.16,7.16,1.254,12.54,0.1279,1.279,127.86,1278.6,0.716,0.716,0.1254,1.254,0.01279,0.1279,12.786,127.86,0.207,0.207,5.26,0.526,0.024,0.024,0.6,,Music Wire,MW,3.3,3.3,14.68,1.497,1496.88,Squared and Ground,Factory Option,6.78,6.78,Reference,Reference,8.78,8.78,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (metric),ASTM A228,0.188,0.188,4.8,0.48,Reference,Reference,Reference,Reference,,0.000832
LCM060C 08 S,LCM060C 08 S,LCM060C08S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.236,0.236,6,0.6,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.252,0.252,6.4,0.64,0.173,0.173,4.4,0.44,MIN,MIN,MIN,MIN,0.669,0.669,17,1.7,0.022,0.022,0.56,0.056,5.964,5.964,1.044,10.44,0.1065,1.065,106.51,1065.1,0.5964,0.596,0.1044,1.044,0.01065,0.1065,10.651,106.51,0.207,0.207,5.26,0.526,0.024,0.024,0.6,,Stainless Steel,SS,2.749,2.749,12.23,1.247,1246.95,Squared and Ground,Factory Option,6.78,6.78,Reference,Reference,8.78,8.78,Passivate per ASTM A967,1,Standard Compression Series (metric),ASTM A313,0.188,0.188,4.8,0.48,Reference,Reference,Reference,Reference,,0.000848
LCM060C 09 M,LCM060C 09 M,LCM060C09M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.236,0.236,6,0.6,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.252,0.252,6.4,0.64,0.173,0.173,4.4,0.44,MIN,MIN,MIN,MIN,0.748,0.748,19,1.9,0.024,0.024,0.61,0.061,6.36,6.36,1.114,11.14,0.1136,1.136,113.58,1135.8,0.636,0.636,0.1114,1.114,0.01136,0.1136,11.358,113.58,0.228,0.228,5.79,0.579,0.024,0.024,0.6,,Music Wire,MW,3.3,3.3,14.68,1.497,1496.88,Squared and Ground,Factory Option,7.64,7.64,Reference,Reference,9.64,9.64,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (metric),ASTM A228,0.188,0.188,4.8,0.48,Reference,Reference,Reference,Reference,,0.000914
LCM060C 09 S,LCM060C 09 S,LCM060C09S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.236,0.236,6,0.6,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.252,0.252,6.4,0.64,0.173,0.173,4.4,0.44,MIN,MIN,MIN,MIN,0.748,0.748,19,1.9,0.024,0.024,0.61,0.061,5.298,5.298,0.928,9.28,0.0946,0.946,94.61,946.1,0.5298,0.53,0.0928,0.928,0.00946,0.0946,9.461,94.61,0.228,0.228,5.79,0.579,0.024,0.024,0.6,,Stainless Steel,SS,2.749,2.749,12.23,1.247,1246.95,Squared and Ground,Factory Option,7.64,7.64,Reference,Reference,9.64,9.64,Passivate per ASTM A967,1,Standard Compression Series (metric),ASTM A313,0.188,0.188,4.8,0.48,Reference,Reference,Reference,Reference,,0.000936
LCM060C 10 M,LCM060C 10 M,LCM060C10M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.236,0.236,6,0.6,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.252,0.252,6.4,0.64,0.173,0.173,4.4,0.44,MIN,MIN,MIN,MIN,0.984,0.984,25,2.5,0.033,0.033,0.84,0.084,4.76,4.76,0.834,8.34,0.085,0.85,85,850,0.476,0.476,0.0834,0.834,0.0085,0.085,8.5,85,0.289,0.289,7.34,0.734,0.024,0.024,0.6,,Music Wire,MW,3.3,3.3,14.68,1.497,1496.88,Squared and Ground,Factory Option,10.2,10.2,Reference,Reference,12.2,12.2,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (metric),ASTM A228,0.188,0.188,4.8,0.48,Reference,Reference,Reference,Reference,,0.001159
LCM060C 10 S,LCM060C 10 S,LCM060C10S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.236,0.236,6,0.6,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.252,0.252,6.4,0.64,0.173,0.173,4.4,0.44,MIN,MIN,MIN,MIN,0.984,0.984,25,2.5,0.033,0.033,0.84,0.084,3.965,3.965,0.694,6.94,0.0708,0.708,70.81,708.1,0.3965,0.397,0.0694,0.694,0.00708,0.0708,7.081,70.81,0.289,0.289,7.34,0.734,0.024,0.024,0.6,,Stainless Steel,SS,2.749,2.749,12.23,1.247,1246.95,Squared and Ground,Factory Option,10.2,10.2,Reference,Reference,12.2,12.2,Passivate per ASTM A967,1,Standard Compression Series (metric),ASTM A313,0.188,0.188,4.8,0.48,Reference,Reference,Reference,Reference,,0.001181
LCM060C 11 M,LCM060C 11 M,LCM060C11M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.236,0.236,6,0.6,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.252,0.252,6.4,0.64,0.173,0.173,4.4,0.44,MIN,MIN,MIN,MIN,1.083,1.083,27.5,2.75,0.035,0.035,0.89,0.089,4.3,4.3,0.753,7.53,0.0768,0.768,76.79,767.9,0.43,0.43,0.0753,0.753,0.00768,0.0768,7.679,76.79,0.314,0.314,7.98,0.798,0.024,0.024,0.6,,Music Wire,MW,3.3,3.3,14.68,1.497,1496.88,Squared and Ground,Factory Option,11.29,11.29,Reference,Reference,13.29,13.29,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (metric),ASTM A228,0.188,0.188,4.8,0.48,Reference,Reference,Reference,Reference,,0.001273
LCM060C 11 S,LCM060C 11 S,LCM060C11S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.236,0.236,6,0.6,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.252,0.252,6.4,0.64,0.173,0.173,4.4,0.44,MIN,MIN,MIN,MIN,1.083,1.083,27.5,2.75,0.035,0.035,0.89,0.089,3.582,3.582,0.627,6.27,0.064,0.64,63.97,639.7,0.3582,0.358,0.0627,0.627,0.0064,0.064,6.397,63.97,0.314,0.314,7.98,0.798,0.024,0.024,0.6,,Stainless Steel,SS,2.749,2.749,12.23,1.247,1246.95,Squared and Ground,Factory Option,11.29,11.29,Reference,Reference,13.29,13.29,Passivate per ASTM A967,1,Standard Compression Series (metric),ASTM A313,0.188,0.188,4.8,0.48,Reference,Reference,Reference,Reference,,0.001292
LCM060C 12 M,LCM060C 12 M,LCM060C12M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.236,0.236,6,0.6,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.252,0.252,6.4,0.64,0.173,0.173,4.4,0.44,MIN,MIN,MIN,MIN,1.181,1.181,30,3,0.039,0.039,0.99,0.099,3.93,3.93,0.688,6.88,0.0702,0.702,70.18,701.8,0.393,0.393,0.0688,0.688,0.00702,0.0702,7.018,70.18,0.339,0.339,8.61,0.861,0.024,0.024,0.6,,Music Wire,MW,3.3,3.3,14.68,1.497,1496.88,Squared and Ground,Factory Option,12.36,12.36,Reference,Reference,14.36,14.36,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (metric),ASTM A228,0.188,0.188,4.8,0.48,Reference,Reference,Reference,Reference,,0.001385
