title,model,field_published_stock_code,field_product_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_out_dia_tol_bld_spc_in,field_out_dia_tol_in,field_out_dia_tol_mm,field_out_dia_tol_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_spring_type,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_color,field_weight_per_item_lb
LC 112P 05 S316,LC 112P 05 S316,LC112P05S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.46,1.46,37.08,3.708,+/-0.03,+/-0.03,+/-0.76,+/-0.076,1.5,1.5,38.1,3.81,1.193,1.193,30.3,3.03,MIN,MIN,MIN,MIN,3.5,3.5,88.9,8.89,0.125,0.125,3.18,0.318,14,14,2.452,24.52,0.25,2.5,250.01,2500.1,1.4,1.4,0.2452,2.452,0.025,0.25,25.001,250.01,0.892,0.892,22.66,2.266,0.112,0.112,2.84,,Stainless Steel Type 316,SS316,36.5065,36.507,162.39,16.559,16559.35,Squared and Ground,Factory Option,5.74,5.74,Reference,Reference,7.74,7.74,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,1.236,1.236,31.39,3.139,Reference,Reference,Reference,Reference,,0.098
LC 112P 06 M,LC 112P 06 M,LC112P06M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.46,1.46,37.08,3.708,+/-0.03,+/-0.03,+/-0.76,+/-0.076,1.5,1.5,38.1,3.81,1.193,1.193,30.3,3.03,MIN,MIN,MIN,MIN,4,4,101.6,10.16,0.14,0.14,3.56,0.356,13.9,13.9,2.434,24.34,0.2482,2.482,248.23,2482.3,1.39,1.39,0.2434,2.434,0.02482,0.2482,24.823,248.23,0.997,0.997,25.32,2.532,0.112,0.112,2.84,,Music Wire,MW,41.7401,41.74,185.67,18.933,18933.31,Squared and Ground,Factory Option,6.64,6.64,Reference,Reference,8.64,8.64,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,1.236,1.236,31.39,3.139,Reference,Reference,Reference,Reference,,0.108
LC 112P 06 S,LC 112P 06 S,LC112P06S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.46,1.46,37.08,3.708,+/-0.03,+/-0.03,+/-0.76,+/-0.076,1.5,1.5,38.1,3.81,1.193,1.193,30.3,3.03,MIN,MIN,MIN,MIN,4,4,101.6,10.16,0.14,0.14,3.56,0.356,12.0869,12.087,2.117,21.17,0.2158,2.158,215.85,2158.5,1.209,1.209,0.2117,2.117,0.02159,0.2159,21.59,215.9,0.997,0.997,25.32,2.532,0.112,0.112,2.84,,Stainless Steel,SS,36.2957,36.296,161.45,16.464,16463.73,Squared and Ground,Factory Option,6.64,6.64,Reference,Reference,8.64,8.64,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,1.236,1.236,31.39,3.139,Reference,Reference,Reference,Reference,,0.11
LC 112P 06 S316,LC 112P 06 S316,LC112P06S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.46,1.46,37.08,3.708,+/-0.03,+/-0.03,+/-0.76,+/-0.076,1.5,1.5,38.1,3.81,1.193,1.193,30.3,3.03,MIN,MIN,MIN,MIN,4,4,101.6,10.16,0.14,0.14,3.56,0.356,12.0869,12.087,2.117,21.17,0.2158,2.158,215.85,2158.5,1.209,1.209,0.2117,2.117,0.02159,0.2159,21.59,215.9,0.997,0.997,25.32,2.532,0.112,0.112,2.84,,Stainless Steel Type 316,SS316,36.2957,36.296,161.45,16.464,16463.73,Squared and Ground,Factory Option,6.64,6.64,Reference,Reference,8.64,8.64,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,1.236,1.236,31.39,3.139,Reference,Reference,Reference,Reference,,0.11
LC 115L 01 M,LC 115L 01 M,LC115L01M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.97,0.97,24.64,2.464,+/-0.02,+/-0.02,+/-0.51,+/-0.051,1,1,25.4,2.54,0.714,0.714,18.14,1.814,MIN,MIN,MIN,MIN,1.75,1.75,44.45,4.445,0.053,0.053,1.35,0.135,78,78,13.66,136.6,1.3929,13.929,1392.92,13929.2,7.8,7.8,1.366,13.66,0.13929,1.3929,139.292,1392.92,0.838,0.838,21.29,2.129,0.115,0.115,2.92,,Music Wire,MW,72,72,320.27,32.659,32659.2,Squared and Ground,Factory Option,5.1571,5.1571,Reference,Reference,7.16,7.16,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.74,0.74,18.8,1.88,Reference,Reference,Reference,Reference,,0.0596521
LC 115L 01 S,LC 115L 01 S,LC115L01S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.97,0.97,24.64,2.464,+/-0.02,+/-0.02,+/-0.51,+/-0.051,1,1,25.4,2.54,0.715,0.715,18.16,1.816,MIN,MIN,MIN,MIN,1.75,1.75,44.45,4.445,0.053,0.053,1.35,0.135,65,65,11.384,113.84,1.1608,11.608,1160.77,11607.7,6.5,6.5,1.1384,11.384,0.11608,1.1608,116.077,1160.77,0.838,0.838,21.29,2.129,0.115,0.115,2.92,,Stainless Steel,SS,59.976,59.976,266.79,27.205,27205.11,Squared and Ground,Factory Option,5.3813,5.3813,Reference,Reference,7.38,7.38,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.74,0.74,18.8,1.88,Reference,Reference,Reference,Reference,,0.0626927
LC 115L 02 M,LC 115L 02 M,LC115L02M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.97,0.97,24.64,2.464,+/-0.02,+/-0.02,+/-0.51,+/-0.051,1,1,25.4,2.54,0.714,0.714,18.14,1.814,MIN,MIN,MIN,MIN,2,2,50.8,5.08,0.062,0.062,1.57,0.157,68,68,11.909,119.09,1.2143,12.143,1214.34,12143.4,6.8,6.8,1.1909,11.909,0.12143,1.2143,121.434,1214.34,0.93,0.93,23.62,2.362,0.115,0.115,2.92,,Music Wire,MW,72,72,320.27,32.659,32659.2,Squared and Ground,Factory Option,5.9155,5.9155,Reference,Reference,7.92,7.92,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.74,0.74,18.8,1.88,Reference,Reference,Reference,Reference,,0.0659731
LC 115L 02 S,LC 115L 02 S,LC115L02S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.97,0.97,24.64,2.464,+/-0.02,+/-0.02,+/-0.51,+/-0.051,1,1,25.4,2.54,0.714,0.714,18.14,1.814,MIN,MIN,MIN,MIN,2,2,50.8,5.08,0.062,0.062,1.57,0.157,56.6,56.6,9.913,99.13,1.0108,10.108,1010.76,10107.6,5.66,5.66,0.9913,9.913,0.10108,1.0108,101.076,1010.76,0.93,0.93,23.62,2.362,0.115,0.115,2.92,,Stainless Steel,SS,59.976,59.976,266.79,27.205,27205.11,Squared and Ground,Factory Option,6.1799,6.1799,Reference,Reference,8.18,8.18,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.74,0.74,18.8,1.88,Reference,Reference,Reference,Reference,,0.0694759
LC 115L 03 M,LC 115L 03 M,LC115L03M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.97,0.97,24.64,2.464,+/-0.02,+/-0.02,+/-0.51,+/-0.051,1,1,25.4,2.54,0.714,0.714,18.14,1.814,MIN,MIN,MIN,MIN,2.25,2.25,57.15,5.715,0.07,0.07,1.78,0.178,59,59,10.333,103.33,1.0536,10.536,1053.62,10536.2,5.9,5.9,1.0333,10.333,0.10536,1.0536,105.362,1053.62,1.045,1.045,26.54,2.654,0.115,0.115,2.92,,Music Wire,MW,72,72,320.27,32.659,32659.2,Squared and Ground,Factory Option,6.8178,6.8178,Reference,Reference,8.82,8.82,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.74,0.74,18.8,1.88,Reference,Reference,Reference,Reference,,0.073494
LC 115L 03 S,LC 115L 03 S,LC115L03S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.97,0.97,24.64,2.464,+/-0.02,+/-0.02,+/-0.51,+/-0.051,1,1,25.4,2.54,0.715,0.715,18.16,1.816,MIN,MIN,MIN,MIN,2.25,2.25,57.15,5.715,0.07,0.07,1.78,0.178,49.1,49.1,8.599,85.99,0.8768,8.768,876.83,8768.3,4.91,4.91,0.8599,8.599,0.08768,0.8768,87.683,876.83,1.045,1.045,26.54,2.654,0.115,0.115,2.92,,Stainless Steel,SS,59.976,59.976,266.79,27.205,27205.11,Squared and Ground,Factory Option,7.1239,7.1239,Reference,Reference,9.12,9.12,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.74,0.74,18.8,1.88,Reference,Reference,Reference,Reference,,0.0774936
