title,model,field_published_stock_code,field_product_type,field_product_category,field_original_publication_date, ,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm, field_outside_dia_cm,field_outside_dia_tole_bd_spe_in,field_outside_dia_tole_in,field_outside_dia_tole_mm,field_outside_dia_tole_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm, field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_spring_type,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_inside_dia_tole_bd_spe_in,field_inside_dia_tole_in,field_inside_dia_tole_mm,field_inside_dia_tole_cm,field_color,field_weight_per_item_lb
LC 063GH 07S,LC 063GH 07S,LC063GH07S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.54,0.54,13.72,1.372,+/-0.015,+/-0.015,+/-0.38,+/-0.038,0.562,0.562,14.27,1.427,0.394,0.394,10.01,1.001,MIN,MIN,MIN,MIN,1.5,1.5,38.1,3.81,0.048,0.048,1.22,0.122,23.9,23.9,4.186,41.86,0.4268,4.268,426.81,4268.1,2.39,2.39,0.4186,4.186,0.04268,0.4268,42.681,426.81,0.614,0.614,15.6,1.56,0.063,0.063,1.6,Stainless Steel,SS,20.825,20.825,92.63,9.446,9446.22,Squared and Ground,Factory Option,7.5913,7.5913,Reference,Reference,9.59,9.59,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.414,0.414,10.52,1.052,Reference,Reference,Reference,Reference,,0.0136395
LC 063GH 07S316,LC 063GH 07S316,LC063GH07S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.54,0.54,13.72,1.372,+/-0.015,+/-0.015,+/-0.38,+/-0.038,0.562,0.562,14.27,1.427,0.394,0.394,10.01,1.001,MIN,MIN,MIN,MIN,1.5,1.5,38.1,3.81,0.048,0.048,1.22,0.122,23.9,23.9,4.186,41.86,0.4268,4.268,426.81,4268.1,2.39,2.39,0.4186,4.186,0.04268,0.4268,42.681,426.81,0.614,0.614,15.6,1.56,0.0625,0.063,1.59,Stainless Steel Type 316,SS316,20.825,20.825,92.63,9.446,9446.22,Squared and Ground,Factory Option,7.5913,7.5913,Reference,Reference,9.59,9.59,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.414,0.414,10.52,1.052,Reference,Reference,Reference,Reference,,0.0136395
LC 063GH 08M,LC 063GH 08M,LC063GH08M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.54,0.54,13.72,1.372,+/-0.015,+/-0.015,+/-0.38,+/-0.038,0.562,0.562,14.27,1.427,0.394,0.394,10.01,1.001,MIN,MIN,MIN,MIN,1.75,1.75,44.45,4.445,0.053,0.053,1.35,0.135,24.3,24.3,4.256,42.56,0.4339,4.339,433.95,4339.5,2.43,2.43,0.4256,4.256,0.04339,0.4339,43.395,433.95,0.701,0.701,17.81,1.781,0.063,0.063,1.6,Music Wire,MW,25,25,111.21,11.34,11340,Squared and Ground,Factory Option,8.9596,8.9596,Reference,Reference,10.96,10.96,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.414,0.414,10.52,1.052,Reference,Reference,Reference,Reference,,0.015294
LC 063GH 08S,LC 063GH 08S,LC063GH08S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.54,0.54,13.72,1.372,+/-0.015,+/-0.015,+/-0.38,+/-0.038,0.562,0.562,14.27,1.427,0.394,0.394,10.01,1.001,MIN,MIN,MIN,MIN,1.75,1.75,44.45,4.445,0.053,0.053,1.35,0.135,20.2,20.2,3.538,35.38,0.3607,3.607,360.73,3607.3,2.02,2.02,0.3538,3.538,0.03607,0.3607,36.073,360.73,0.701,0.701,17.81,1.781,0.063,0.063,1.6,Stainless Steel,SS,20.825,20.825,92.63,9.446,9446.22,Squared and Ground,Factory Option,8.9818,8.9818,Reference,Reference,10.98,10.98,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.414,0.414,10.52,1.052,Reference,Reference,Reference,Reference,,0.0156169
LC 063GH 08S316,LC 063GH 08S316,LC063GH08S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.54,0.54,13.72,1.372,+/-0.015,+/-0.015,+/-0.38,+/-0.038,0.562,0.562,14.27,1.427,0.394,0.394,10.01,1.001,MIN,MIN,MIN,MIN,1.75,1.75,44.45,4.445,0.053,0.053,1.35,0.135,20.2,20.2,3.538,35.38,0.3607,3.607,360.73,3607.3,2.02,2.02,0.3538,3.538,0.03607,0.3607,36.073,360.73,0.701,0.701,17.81,1.781,0.0625,0.063,1.59,Stainless Steel Type 316,SS316,20.825,20.825,92.63,9.446,9446.22,Squared and Ground,Factory Option,8.9818,8.9818,Reference,Reference,10.98,10.98,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.414,0.414,10.52,1.052,Reference,Reference,Reference,Reference,,0.0156169
LC 063GH 09M,LC 063GH 09M,LC063GH09M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.54,0.54,13.72,1.372,+/-0.015,+/-0.015,+/-0.38,+/-0.038,0.562,0.562,14.27,1.427,0.394,0.394,10.01,1.001,MIN,MIN,MIN,MIN,2,2,50.8,5.08,0.062,0.062,1.57,0.157,21,21,3.678,36.78,0.375,3.75,375.02,3750.2,2.1,2.1,0.3678,3.678,0.0375,0.375,37.502,375.02,0.788,0.788,20.02,2.002,0.063,0.063,1.6,Music Wire,MW,25,25,111.21,11.34,11340,Squared and Ground,Factory Option,10.3676,10.3676,Reference,Reference,12.37,12.37,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.414,0.414,10.52,1.052,Reference,Reference,Reference,Reference,,0.0172588
LC 063GH 09S,LC 063GH 09S,LC063GH09S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.54,0.54,13.72,1.372,+/-0.015,+/-0.015,+/-0.38,+/-0.038,0.562,0.562,14.27,1.427,0.394,0.394,10.01,1.001,MIN,MIN,MIN,MIN,2,2,50.8,5.08,0.062,0.062,1.57,0.157,17.5,17.5,3.065,30.65,0.3125,3.125,312.52,3125.2,1.75,1.75,0.3065,3.065,0.03125,0.3125,31.252,312.52,0.788,0.788,20.02,2.002,0.063,0.063,1.6,Stainless Steel,SS,20.825,20.825,92.63,9.446,9446.22,Squared and Ground,Factory Option,10.3676,10.3676,Reference,Reference,12.37,12.37,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.414,0.414,10.52,1.052,Reference,Reference,Reference,Reference,,0.0175875
LC 063GH 09S316,LC 063GH 09S316,LC063GH09S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.54,0.54,13.72,1.372,+/-0.015,+/-0.015,+/-0.38,+/-0.038,0.562,0.562,14.27,1.427,0.394,0.394,10.01,1.001,MIN,MIN,MIN,MIN,2,2,50.8,5.08,0.062,0.062,1.57,0.157,17.5,17.5,3.065,30.65,0.3125,3.125,312.52,3125.2,1.75,1.75,0.3065,3.065,0.03125,0.3125,31.252,312.52,0.788,0.788,20.02,2.002,0.0625,0.063,1.59,Stainless Steel Type 316,SS316,20.825,20.825,92.63,9.446,9446.22,Squared and Ground,Factory Option,10.3676,10.3676,Reference,Reference,12.37,12.37,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.414,0.414,10.52,1.052,Reference,Reference,Reference,Reference,,0.0175875
LC 063GH 10M,LC 063GH 10M,LC063GH10M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.54,0.54,13.72,1.372,+/-0.015,+/-0.015,+/-0.38,+/-0.038,0.562,0.562,14.27,1.427,0.394,0.394,10.01,1.001,MIN,MIN,MIN,MIN,2.25,2.25,57.15,5.715,0.07,0.07,1.78,0.178,18.6,18.6,3.257,32.57,0.3322,3.322,332.16,3321.6,1.86,1.86,0.3257,3.257,0.03322,0.3322,33.216,332.16,0.875,0.875,22.23,2.223,0.063,0.063,1.6,Music Wire,MW,25,25,111.21,11.34,11340,Squared and Ground,Factory Option,11.7053,11.7053,Reference,Reference,13.71,13.71,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.414,0.414,10.52,1.052,Reference,Reference,Reference,Reference,,0.0191256
LC 063GH 10S,LC 063GH 10S,LC063GH10S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.54,0.54,13.72,1.372,+/-0.015,+/-0.015,+/-0.38,+/-0.038,0.562,0.562,14.27,1.427,0.394,0.394,10.01,1.001,MIN,MIN,MIN,MIN,2.25,2.25,57.15,5.715,0.07,0.07,1.78,0.178,15.5,15.5,2.715,27.15,0.2768,2.768,276.8,2768,1.55,1.55,0.2715,2.715,0.02768,0.2768,27.68,276.8,0.875,0.875,22.23,2.223,0.063,0.063,1.6,Stainless Steel,SS,20.825,20.825,92.63,9.446,9446.22,Squared and Ground,Factory Option,11.7053,11.7053,Reference,Reference,13.71,13.71,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.414,0.414,10.52,1.052,Reference,Reference,Reference,Reference,,0.0194899
