title,model,field_published_stock_code,field_product_type,field_spring_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_product_series,field_revision,field_material,field_material_short_description,field_material_specification,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_outside_dia_tole_bd_spe_in,field_outside_dia_tole_in,field_outside_dia_tole_mm,field_outside_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_total_coils_bd_spe,field_total_coils,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_end,field_initial_ten_bud_spec_lb,field_initial_tension_lb,field_initial_tension_n,field_initial_tension_kg,field_initial_tension_gm,field_initial_ten_tol_bud_spc_lb,field_initial_ten_tol_lb,field_initial_ten_tol_n,field_initial_ten_tol_kg,field_initial_ten_tol_gm,field_max_load_build_spec_lb,field_max_load_lb,field_max_load_n,field_max_load_kg,field_max_load_gm,field_max_extend_len_bd_spe_in,field_max_extended_length_in,field_max_extended_length_mm,field_max_extended_length_cm,field_body_length_build_spec_in,field_body_length_in,field_body_length_mm,field_body_length_cm,field_direction_of_wind,field_finish,field_weight_per_item_lb,field_loop_insid_dia_bd_spec_in,field_loop_inside_diameter_in,field_loop_inside_diameter_mm,field_loop_inside_diameter_cm,field_loop_position,field_loop_opening_build_spec_in,field_loop_opening_in,field_loop_opening_mm,field_loop_opening_cm
EIM025B 07 S,EIM025B 07 S,EIM025B07S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (metric),NR,Stainless Steel,SS,ASTM A313,0.098,0.098,2.49,0.249,0.004,0.004,0.1,0.01,0.984,0.984,24.99,2.499,0.03,0.03,0.76,0.076,0.2,0.2,0.035,0.35,0.0036,0.036,3.6,36,0.02,0.02,0.0035,0.035,0.00036,0.0036,0.36,3.6,0.078,0.078,1.98,0.198,REF,Reference,Reference,Reference,91.7132,91.7,0.01,0.01,0.25,0.025,Standard Loops,0.0333,0.0333,0.148,0.0151,15.1,0.00666,0.00666,0.0296,0.00302,3.02,0.4581,0.4581,2.038,0.2078,207.8,3.114,3.114,79.1,7.91,0.828,0.828,21.03,2.103,Factory Option,Passivate per ASTM A967,0.00062,0.078,0.078,1.98,0.198,Random,0.01,0.01,0.25,0.025
EIM030B 01 M,EIM030B 01 M,EIM030B01M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (metric),NR,Music Wire,MW,ASTM A228,0.098,0.098,2.49,0.249,0.004,0.004,0.1,0.01,0.394,0.394,10.01,1.001,0.02,0.02,0.51,0.051,2.798,2.798,0.49,4.9,0.05,0.5,50,500,0.279,0.279,0.0489,0.489,0.00498,0.0498,4.98,49.8,0.074,0.074,1.88,0.188,REF,Reference,Reference,Reference,17.475,17.5,0.012,0.012,0.3,0.03,Crossover Loops,0.09,0.09,0.4,0.0408,40.8,0.018,0.018,0.0801,0.00816,8.16,1.036,1.036,4.608,0.4699,469.9,0.732,0.732,18.59,1.859,0.222,0.222,5.64,0.564,Factory Option,Pre-coated with Tin,0.00018,0.074,0.074,1.88,0.188,Random,0.012,0.012,0.3,0.03
EIM030B 01 S,EIM030B 01 S,EIM030B01S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (metric),NR,Stainless Steel,SS,ASTM A313,0.098,0.098,2.49,0.249,0.004,0.004,0.1,0.01,0.394,0.394,10.01,1.001,0.02,0.02,0.51,0.051,2.332,2.332,0.408,4.08,0.0416,0.416,41.6,416,0.233,0.233,0.0408,0.408,0.00416,0.0416,4.16,41.6,0.074,0.074,1.88,0.188,REF,Reference,Reference,Reference,17.475,17.5,0.012,0.012,0.3,0.03,Crossover Loops,0.075,0.075,0.334,0.034,34,0.014,0.014,0.0623,0.00635,6.35,0.87,0.87,3.87,0.3946,394.6,0.735,0.735,18.67,1.867,0.222,0.222,5.64,0.564,Factory Option,Passivate per ASTM A967,0.00018,0.074,0.074,1.88,0.188,Random,0.012,0.012,0.3,0.03
EIM030B 02 M,EIM030B 02 M,EIM030B02M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (metric),NR,Music Wire,MW,ASTM A228,0.098,0.098,2.49,0.249,0.004,0.004,0.1,0.01,0.492,0.492,12.5,1.25,0.02,0.02,0.51,0.051,1.904,1.904,0.333,3.33,0.034,0.34,34,340,0.19,0.19,0.0333,0.333,0.00339,0.0339,3.39,33.9,0.074,0.074,1.88,0.188,REF,Reference,Reference,Reference,25.677,25.7,0.012,0.012,0.3,0.03,Crossover Loops,0.09,0.09,0.4,0.0408,40.8,0.018,0.018,0.0801,0.00816,8.16,1.036,1.036,4.608,0.4699,469.9,0.989,0.989,25.12,2.512,0.32,0.32,8.13,0.813,Factory Option,Pre-coated with Tin,0.00025,0.074,0.074,1.88,0.188,Random,0.012,0.012,0.3,0.03
EIM030B 02 S,EIM030B 02 S,EIM030B02S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (metric),NR,Stainless Steel,SS,ASTM A313,0.098,0.098,2.49,0.249,0.004,0.004,0.1,0.01,0.492,0.492,12.5,1.25,0.02,0.02,0.51,0.051,1.587,1.587,0.278,2.78,0.0283,0.283,28.3,283,0.158,0.158,0.0277,0.277,0.00282,0.0282,2.82,28.2,0.074,0.074,1.88,0.188,REF,Reference,Reference,Reference,25.677,25.7,0.012,0.012,0.3,0.03,Crossover Loops,0.075,0.075,0.334,0.034,34,0.014,0.014,0.0623,0.00635,6.35,0.87,0.87,3.87,0.3946,394.6,0.993,0.993,25.22,2.522,0.32,0.32,8.13,0.813,Factory Option,Passivate per ASTM A967,0.00025,0.074,0.074,1.88,0.188,Random,0.012,0.012,0.3,0.03
EIM030B 03 M,EIM030B 03 M,EIM030B03M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (metric),NR,Music Wire,MW,ASTM A228,0.098,0.098,2.49,0.249,0.004,0.004,0.1,0.01,0.591,0.591,15.01,1.501,0.02,0.02,0.51,0.051,1.443,1.443,0.253,2.53,0.0258,0.258,25.8,258,0.144,0.144,0.0252,0.252,0.00257,0.0257,2.57,25.7,0.074,0.074,1.88,0.188,REF,Reference,Reference,Reference,33.879,33.9,0.012,0.012,0.3,0.03,Crossover Loops,0.09,0.09,0.4,0.0408,40.8,0.018,0.018,0.0801,0.00816,8.16,1.036,1.036,4.608,0.4699,469.9,1.246,1.246,31.65,3.165,0.419,0.419,10.64,1.064,Factory Option,Pre-coated with Tin,0.00033,0.074,0.074,1.88,0.188,Random,0.012,0.012,0.3,0.03
EIM030B 03 S,EIM030B 03 S,EIM030B03S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (metric),NR,Stainless Steel,SS,ASTM A313,0.098,0.098,2.49,0.249,0.004,0.004,0.1,0.01,0.591,0.591,15.01,1.501,0.02,0.02,0.51,0.051,1.203,1.203,0.211,2.11,0.0215,0.215,21.5,215,0.12,0.12,0.021,0.21,0.00214,0.0214,2.14,21.4,0.074,0.074,1.88,0.188,REF,Reference,Reference,Reference,33.879,33.9,0.012,0.012,0.3,0.03,Crossover Loops,0.075,0.075,0.334,0.034,34,0.014,0.014,0.0623,0.00635,6.35,0.87,0.87,3.87,0.3946,394.6,1.251,1.251,31.78,3.178,0.419,0.419,10.64,1.064,Factory Option,Passivate per ASTM A967,0.00033,0.074,0.074,1.88,0.188,Random,0.012,0.012,0.3,0.03
EIM030B 04 M,EIM030B 04 M,EIM030B04M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (metric),NR,Music Wire,MW,ASTM A228,0.098,0.098,2.49,0.249,0.004,0.004,0.1,0.01,0.689,0.689,17.5,1.75,0.02,0.02,0.51,0.051,1.162,1.162,0.204,2.04,0.0208,0.208,20.8,208,0.116,0.116,0.0203,0.203,0.00207,0.0207,2.07,20.7,0.074,0.074,1.88,0.188,REF,Reference,Reference,Reference,42.081,42.1,0.012,0.012,0.3,0.03,Crossover Loops,0.09,0.09,0.4,0.0408,40.8,0.018,0.018,0.0801,0.00816,8.16,1.036,1.036,4.608,0.4699,469.9,1.503,1.503,38.18,3.818,0.517,0.517,13.13,1.313,Factory Option,Pre-coated with Tin,0.0004,0.074,0.074,1.88,0.188,Random,0.012,0.012,0.3,0.03
EIM030B 04 S,EIM030B 04 S,EIM030B04S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (metric),NR,Stainless Steel,SS,ASTM A313,0.098,0.098,2.49,0.249,0.004,0.004,0.1,0.01,0.689,0.689,17.5,1.75,0.02,0.02,0.51,0.051,0.968,0.968,0.17,1.7,0.0173,0.173,17.3,173,0.096,0.096,0.0168,0.168,0.00171,0.0171,1.71,17.1,0.074,0.074,1.88,0.188,REF,Reference,Reference,Reference,42.081,42.1,0.012,0.012,0.3,0.03,Crossover Loops,0.075,0.075,0.334,0.034,34,0.014,0.014,0.0623,0.00635,6.35,0.87,0.87,3.87,0.3946,394.6,1.51,1.51,38.35,3.835,0.517,0.517,13.13,1.313,Factory Option,Passivate per ASTM A967,0.0004,0.074,0.074,1.88,0.188,Random,0.012,0.012,0.3,0.03
EIM030B 05 M,EIM030B 05 M,EIM030B05M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (metric),NR,Music Wire,MW,ASTM A228,0.098,0.098,2.49,0.249,0.004,0.004,0.1,0.01,0.787,0.787,19.99,1.999,0.02,0.02,0.51,0.051,0.973,0.973,0.17,1.7,0.0174,0.174,17.4,174,0.097,0.097,0.017,0.17,0.00173,0.0173,1.73,17.3,0.074,0.074,1.88,0.188,REF,Reference,Reference,Reference,50.284,50.3,0.012,0.012,0.3,0.03,Crossover Loops,0.09,0.09,0.4,0.0408,40.8,0.018,0.018,0.0801,0.00816,8.16,1.036,1.036,4.608,0.4699,469.9,1.76,1.76,44.7,4.47,0.615,0.615,15.62,1.562,Factory Option,Pre-coated with Tin,0.00048,0.074,0.074,1.88,0.188,Random,0.012,0.012,0.3,0.03
