title,model,field_published_stock_code,field_product_type,field_spring_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_out_dia_tol_bld_spc_in,field_out_dia_tol_in,field_out_dia_tol_mm,field_out_dia_tol_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_color,field_weight_per_item_lb
LWM20 100 0632S,LWM20 100 0632S,LWM201000632S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.735,0.735,18.67,1.867,Reference,Reference,Reference,Reference,0.787,0.787,20,2,0.551,0.551,14,1.4,MIN,MIN,MIN,MIN,0.249,0.249,6.32,0.632,0.04,0.04,1.02,0.102,274.132,274.132,48.01,480.1,4.8954,48.954,4895.45,48954.5,68.533,68.533,12.0024,120.024,1.22386,12.2386,1223.862,12238.62,0.052,0.052,1.32,0.132,0.013,0.013,0.33,0.033,Stainless Steel Type 17-7 PH,17-7,54.004,54.004,240.22,24.496,24496.21,Plain (End Turn is Wavy),Factory Option,3,3,Reference,Reference,3,3,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.577,0.577,18.01,1.801,Reference,Reference,Reference,Reference,,0.002837
LWM20 100 0843S,LWM20 100 0843S,LWM201000843S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.735,0.735,18.67,1.867,Reference,Reference,Reference,Reference,0.787,0.787,20,2,0.551,0.551,14,1.4,MIN,MIN,MIN,MIN,0.332,0.332,8.43,0.843,0.06,0.06,1.52,0.152,206.242,206.242,36.12,361.2,3.6831,36.831,3683.07,36830.7,51.56,51.56,9.0299,90.299,0.92076,9.2076,920.758,9207.58,0.065,0.065,1.65,0.165,0.013,0.013,0.33,0.033,Stainless Steel Type 17-7 PH,17-7,55.067,55.067,244.95,24.978,24978.39,Plain (End Turn is Wavy),Factory Option,4,4,Reference,Reference,4,4,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.577,0.577,18.01,1.801,Reference,Reference,Reference,Reference,,0.003782
LWM20 100 1054S,LWM20 100 1054S,LWM201001054S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.735,0.735,18.67,1.867,Reference,Reference,Reference,Reference,0.787,0.787,20,2,0.551,0.551,14,1.4,MIN,MIN,MIN,MIN,0.415,0.415,10.54,1.054,0.07,0.07,1.78,0.178,164.103,164.103,28.74,287.4,2.9306,29.306,2930.55,29305.5,41.026,41.026,7.185,71.85,0.73264,7.3264,732.642,7326.42,0.078,0.078,1.98,0.198,0.013,0.013,0.33,0.033,Stainless Steel Type 17-7 PH,17-7,55.303,55.303,246,25.085,25085.44,Plain (End Turn is Wavy),Factory Option,5,5,Reference,Reference,5,5,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.577,0.577,18.01,1.801,Reference,Reference,Reference,Reference,,0.004728
LWM20 100 1265S,LWM20 100 1265S,LWM201001265S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.735,0.735,18.67,1.867,Reference,Reference,Reference,Reference,0.787,0.787,20,2,0.551,0.551,14,1.4,MIN,MIN,MIN,MIN,0.498,0.498,12.65,1.265,0.08,0.08,2.03,0.203,137.095,137.095,24.01,240.1,2.4482,24.482,2448.24,24482.4,34.274,34.274,6.0025,60.025,0.61207,6.1207,612.065,6120.65,0.091,0.091,2.31,0.231,0.013,0.013,0.33,0.033,Stainless Steel Type 17-7 PH,17-7,55.798,55.798,248.2,25.31,25309.97,Plain (End Turn is Wavy),Factory Option,6,6,Reference,Reference,6,6,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.577,0.577,18.01,1.801,Reference,Reference,Reference,Reference,,0.005673
LWM20 100 1476S,LWM20 100 1476S,LWM201001476S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.735,0.735,18.67,1.867,Reference,Reference,Reference,Reference,0.787,0.787,20,2,0.551,0.551,14,1.4,MIN,MIN,MIN,MIN,0.581,0.581,14.76,1.476,0.09,0.09,2.29,0.229,117.681,117.681,20.61,206.1,2.1015,21.015,2101.55,21015.5,29.42,29.42,5.1524,51.524,0.52538,5.2538,525.382,5253.82,0.104,0.104,2.64,0.264,0.013,0.013,0.33,0.033,Stainless Steel Type 17-7 PH,17-7,56.134,56.134,249.7,25.462,25462.38,Plain (End Turn is Wavy),Factory Option,7,7,Reference,Reference,7,7,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.577,0.577,18.01,1.801,Reference,Reference,Reference,Reference,,0.006619
LWM20 100 1897S,LWM20 100 1897S,LWM201001897S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.735,0.735,18.67,1.867,Reference,Reference,Reference,Reference,0.787,0.787,20,2,0.551,0.551,14,1.4,MIN,MIN,MIN,MIN,0.747,0.747,18.97,1.897,0.1,0.1,2.54,0.254,91.358,91.358,16,160,1.6315,16.315,1631.47,16314.7,22.84,22.84,4,40,0.40788,4.0788,407.877,4078.77,0.13,0.13,3.3,0.33,0.013,0.013,0.33,0.033,Stainless Steel Type 17-7 PH,17-7,56.368,56.368,250.74,25.569,25568.52,Plain (End Turn is Wavy),Factory Option,9,9,Reference,Reference,9,9,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.577,0.577,18.01,1.801,Reference,Reference,Reference,Reference,,0.00851
LWM20 100 2530S,LWM20 100 2530S,LWM201002530S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.735,0.735,18.67,1.867,Reference,Reference,Reference,Reference,0.787,0.787,20,2,0.551,0.551,14,1.4,MIN,MIN,MIN,MIN,0.996,0.996,25.3,2.53,0.125,0.125,3.18,0.318,68.519,68.519,12,120,1.2236,12.236,1223.61,12236.1,17.13,17.13,3,30,0.30591,3.0591,305.908,3059.08,0.169,0.169,4.29,0.429,0.013,0.013,0.33,0.033,Stainless Steel Type 17-7 PH,17-7,56.665,56.665,252.06,25.703,25703.24,Plain (End Turn is Wavy),Factory Option,12,12,Reference,Reference,12,12,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.577,0.577,18.01,1.801,Reference,Reference,Reference,Reference,,0.011347
LWM25 050 0663S,LWM25 050 0663S,LWM250500663S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.941,0.941,23.9,2.39,Reference,Reference,Reference,Reference,0.984,0.984,25,2.5,0.748,0.748,19,1.9,MIN,MIN,MIN,MIN,0.261,0.261,6.63,0.663,0.05,0.05,1.27,0.127,62.466,62.466,10.94,109.4,1.1155,11.155,1115.52,11155.2,15.617,15.617,2.7351,27.351,0.27889,2.7889,278.888,2788.88,0.04,0.04,1.02,0.102,0.01,0.01,0.25,0.025,Stainless Steel Type 17-7 PH,17-7,13.805,13.805,61.41,6.262,6261.95,Plain (End Turn is Wavy),Factory Option,3,3,Reference,Reference,3,3,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.77,0.77,23.4,2.34,Reference,Reference,Reference,Reference,,0.003038
LWM25 050 0884S,LWM25 050 0884S,LWM250500884S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.941,0.941,23.9,2.39,Reference,Reference,Reference,Reference,0.984,0.984,25,2.5,0.748,0.748,19,1.9,MIN,MIN,MIN,MIN,0.348,0.348,8.84,0.884,0.06,0.06,1.52,0.152,46.821,46.821,8.2,82,0.8361,8.361,836.13,8361.3,11.705,11.705,2.0499,20.499,0.20903,2.0903,209.028,2090.28,0.05,0.05,1.27,0.127,0.01,0.01,0.25,0.025,Stainless Steel Type 17-7 PH,17-7,13.953,13.953,62.07,6.329,6329.08,Plain (End Turn is Wavy),Factory Option,4,4,Reference,Reference,4,4,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.77,0.77,23.4,2.34,Reference,Reference,Reference,Reference,,0.00405
LWM25 050 1105S,LWM25 050 1105S,LWM250501105S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.941,0.941,23.9,2.39,Reference,Reference,Reference,Reference,0.984,0.984,25,2.5,0.748,0.748,19,1.9,MIN,MIN,MIN,MIN,0.435,0.435,11.05,1.105,0.07,0.07,1.78,0.178,37.457,37.457,6.56,65.6,0.6689,6.689,668.91,6689.1,9.364,9.364,1.6399,16.399,0.16722,1.6722,167.222,1672.22,0.06,0.06,1.52,0.152,0.01,0.01,0.25,0.025,Stainless Steel Type 17-7 PH,17-7,14.046,14.046,62.48,6.371,6371.27,Plain (End Turn is Wavy),Factory Option,5,5,Reference,Reference,5,5,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.77,0.77,23.4,2.34,Reference,Reference,Reference,Reference,,0.005063
