stock_code,price_code,price,min,currency,display_price_range
MS24585-C416,G,1.719,499,$,400-499
MS24585-C416,H,1.455,599,$,500-599
MS24585-C416,I,1.267,699,$,600-699
MS24585-C416,J,1.124,799,$,700-799
MS24585-C416,K,1.015,899,$,800-899
MS24585-C416,L,0.925,999,$,900-999
MS24585-C417,A,15.54,19,$,0-19
MS24585-C417,B,9.68,49,$,20-49
MS24585-C417,C,6.24,99,$,50-99
MS24585-C417,D,4.46,199,$,100-199
MS24585-C417,E,2.838,299,$,200-299
MS24585-C417,F,2.136,399,$,300-399
MS24585-C417,G,1.733,499,$,400-499
MS24585-C417,H,1.468,599,$,500-599
MS24585-C417,I,1.279,699,$,600-699
MS24585-C417,J,1.136,799,$,700-799
MS24585-C417,K,1.025,899,$,800-899
MS24585-C417,L,0.935,999,$,900-999
MS24585-C418,A,15.96,19,$,0-19
MS24585-C418,B,10,49,$,20-49
MS24585-C418,C,6.49,99,$,50-99
MS24585-C418,D,4.66,199,$,100-199
MS24585-C418,E,2.929,299,$,200-299
MS24585-C418,F,2.189,399,$,300-399
MS24585-C418,G,1.77,499,$,400-499
MS24585-C418,H,1.494,599,$,500-599
MS24585-C418,I,1.301,699,$,600-699
MS24585-C418,J,1.155,799,$,700-799
MS24585-C418,K,1.039,899,$,800-899
MS24585-C418,L,0.947,999,$,900-999
MS24585-C419,A,15.96,19,$,0-19
MS24585-C419,B,10,49,$,20-49
MS24585-C419,C,6.49,99,$,50-99
MS24585-C419,D,4.66,199,$,100-199
MS24585-C419,E,2.939,299,$,200-299
MS24585-C419,F,2.202,399,$,300-399
MS24585-C419,G,1.78,499,$,400-499
MS24585-C419,H,1.504,599,$,500-599
MS24585-C419,I,1.31,699,$,600-699
MS24585-C419,J,1.163,799,$,700-799
MS24585-C419,K,1.047,899,$,800-899
MS24585-C419,L,0.955,999,$,900-999
MS24585-C42,A,15.1,19,$,0-19
MS24585-C42,B,9.37,49,$,20-49
MS24585-C42,C,5.97,99,$,50-99
MS24585-C42,D,4.23,199,$,100-199
MS24585-C42,E,2.527,299,$,200-299
MS24585-C42,F,1.849,399,$,300-399
MS24585-C42,G,1.476,499,$,400-499
MS24585-C42,H,1.236,599,$,500-599
MS24585-C42,I,1.067,699,$,600-699
MS24585-C42,J,0.941,799,$,700-799
MS24585-C42,K,0.845,899,$,800-899
MS24585-C42,L,0.768,999,$,900-999
MS24585-C420,A,15.96,19,$,0-19
MS24585-C420,B,10,49,$,20-49
MS24585-C420,C,6.49,99,$,50-99
MS24585-C420,D,4.66,199,$,100-199
MS24585-C420,E,2.95,299,$,200-299
MS24585-C420,F,2.214,399,$,300-399
MS24585-C420,G,1.793,499,$,400-499
MS24585-C420,H,1.517,599,$,500-599
MS24585-C420,I,1.319,699,$,600-699
MS24585-C420,J,1.172,799,$,700-799
MS24585-C420,K,1.055,899,$,800-899
MS24585-C420,L,0.963,999,$,900-999
MS24585-C421,A,15.96,19,$,0-19
MS24585-C421,B,10,49,$,20-49
MS24585-C421,C,6.49,99,$,50-99
MS24585-C421,D,4.66,199,$,100-199
MS24585-C421,E,2.973,299,$,200-299
MS24585-C421,F,2.236,399,$,300-399
MS24585-C421,G,1.814,499,$,400-499
MS24585-C421,H,1.536,599,$,500-599
MS24585-C421,I,1.339,699,$,600-699
MS24585-C421,J,1.189,799,$,700-799
MS24585-C421,K,1.073,899,$,800-899
MS24585-C421,L,0.98,999,$,900-999
MS24585-C422,A,15.96,19,$,0-19
MS24585-C422,B,10,49,$,20-49
MS24585-C422,C,6.49,99,$,50-99
MS24585-C422,D,4.66,199,$,100-199
MS24585-C422,E,2.992,299,$,200-299
MS24585-C422,F,2.258,399,$,300-399
MS24585-C422,G,1.835,499,$,400-499
MS24585-C422,H,1.556,599,$,500-599
MS24585-C422,I,1.356,699,$,600-699
MS24585-C422,J,1.205,799,$,700-799
MS24585-C422,K,1.088,899,$,800-899
MS24585-C422,L,0.994,999,$,900-999
MS24585-C423,A,15.54,19,$,0-19
MS24585-C423,B,9.68,49,$,20-49
MS24585-C423,C,6.24,99,$,50-99
MS24585-C423,D,4.46,199,$,100-199
MS24585-C423,E,2.583,299,$,200-299
MS24585-C423,F,1.867,399,$,300-399
MS24585-C423,G,1.479,499,$,400-499
MS24585-C423,H,1.231,599,$,500-599
MS24585-C423,I,1.059,699,$,600-699
MS24585-C423,J,0.931,799,$,700-799
MS24585-C423,K,0.834,899,$,800-899
MS24585-C423,L,0.755,999,$,900-999
MS24585-C424,A,15.96,19,$,0-19
MS24585-C424,B,10,49,$,20-49
MS24585-C424,C,6.49,99,$,50-99
MS24585-C424,D,4.66,199,$,100-199
MS24585-C424,E,2.659,299,$,200-299
MS24585-C424,F,1.905,399,$,300-399
MS24585-C424,G,1.499,499,$,400-499
MS24585-C424,H,1.244,599,$,500-599
MS24585-C424,I,1.066,699,$,600-699
MS24585-C424,J,0.936,799,$,700-799
MS24585-C424,K,0.837,899,$,800-899
MS24585-C424,L,0.756,999,$,900-999
MS24585-C425,A,15.96,19,$,0-19
MS24585-C425,B,10,49,$,20-49
MS24585-C425,C,6.49,99,$,50-99
MS24585-C425,D,4.66,199,$,100-199
MS24585-C425,E,2.659,299,$,200-299
MS24585-C425,F,1.905,399,$,300-399
MS24585-C425,G,1.499,499,$,400-499
MS24585-C425,H,1.244,599,$,500-599
MS24585-C425,I,1.066,699,$,600-699
MS24585-C425,J,0.936,799,$,700-799
MS24585-C425,K,0.837,899,$,800-899
MS24585-C425,L,0.756,999,$,900-999
MS24585-C426,A,15.96,19,$,0-19
MS24585-C426,B,10,49,$,20-49
MS24585-C426,C,6.49,99,$,50-99
MS24585-C426,D,4.66,199,$,100-199
MS24585-C426,E,2.927,299,$,200-299
MS24585-C426,F,2.188,399,$,300-399
MS24585-C426,G,1.768,499,$,400-499
MS24585-C426,H,1.493,599,$,500-599
MS24585-C426,I,1.298,699,$,600-699
MS24585-C426,J,1.154,799,$,700-799
MS24585-C426,K,1.038,899,$,800-899
MS24585-C426,L,0.945,999,$,900-999
MS24585-C427,A,15.96,19,$,0-19
MS24585-C427,B,10,49,$,20-49
MS24585-C427,C,6.49,99,$,50-99
