stock_code,price_code,price,min,currency,display_price_range
LE 105G 02 S,A,10.46,19,$,0-19
LE 105G 02 S,B,6.22,49,$,20-49
LE 105G 02 S,C,3.54,99,$,50-99
LE 105G 02 S,D,2.34,199,$,100-199
LE 105G 02 S,E,2.029,299,$,200-299
LE 105G 02 S,F,1.912,399,$,300-399
LE 105G 02 S,G,1.807,499,$,400-499
LE 105G 02 S,H,1.714,599,$,500-599
LE 105G 02 S,I,1.63,699,$,600-699
LE 105G 02 S,J,1.559,799,$,700-799
LE 105G 02 S,K,1.5,899,$,800-899
LE 105G 02 S,L,1.454,999,$,900-999
LE 105G 03 M,A,9.1,19,$,0-19
LE 105G 03 M,B,5.35,49,$,20-49
LE 105G 03 M,C,2.95,99,$,50-99
LE 105G 03 M,D,1.93,199,$,100-199
LE 105G 03 M,E,1.694,299,$,200-299
LE 105G 03 M,F,1.61,399,$,300-399
LE 105G 03 M,G,1.534,499,$,400-499
LE 105G 03 M,H,1.467,599,$,500-599
LE 105G 03 M,I,1.407,699,$,600-699
LE 105G 03 M,J,1.356,799,$,700-799
LE 105G 03 M,K,1.314,899,$,800-899
LE 105G 03 M,L,1.28,999,$,900-999
LE 105G 03 S,A,10.77,19,$,0-19
LE 105G 03 S,B,6.42,49,$,20-49
LE 105G 03 S,C,3.69,99,$,50-99
LE 105G 03 S,D,2.44,199,$,100-199
LE 105G 03 S,E,2.149,299,$,200-299
LE 105G 03 S,F,2.041,399,$,300-399
LE 105G 03 S,G,1.943,499,$,400-499
LE 105G 03 S,H,1.856,599,$,500-599
LE 105G 03 S,I,1.78,699,$,600-699
LE 105G 03 S,J,1.716,799,$,700-799
LE 105G 03 S,K,1.662,899,$,800-899
LE 105G 03 S,L,1.617,999,$,900-999
LE 105G 04 M,A,9.45,19,$,0-19
LE 105G 04 M,B,5.58,49,$,20-49
LE 105G 04 M,C,3.11,99,$,50-99
LE 105G 04 M,D,2.03,199,$,100-199
LE 105G 04 M,E,1.81,299,$,200-299
LE 105G 04 M,F,1.724,399,$,300-399
LE 105G 04 M,G,1.648,499,$,400-499
LE 105G 04 M,H,1.579,599,$,500-599
LE 105G 04 M,I,1.518,699,$,600-699
LE 105G 04 M,J,1.467,799,$,700-799
LE 105G 04 M,K,1.423,899,$,800-899
LE 105G 04 M,L,1.389,999,$,900-999
LE 105G 04 S,A,11.42,19,$,0-19
LE 105G 04 S,B,6.83,49,$,20-49
LE 105G 04 S,C,3.99,99,$,50-99
LE 105G 04 S,D,2.7,199,$,100-199
LE 105G 04 S,E,2.391,299,$,200-299
LE 105G 04 S,F,2.279,399,$,300-399
LE 105G 04 S,G,2.177,499,$,400-499
LE 105G 04 S,H,2.089,599,$,500-599
LE 105G 04 S,I,2.01,699,$,600-699
LE 105G 04 S,J,1.943,799,$,700-799
LE 105G 04 S,K,1.887,899,$,800-899
LE 105G 04 S,L,1.843,999,$,900-999
LE 105G 05 M,A,9.85,19,$,0-19
LE 105G 05 M,B,5.82,49,$,20-49
LE 105G 05 M,C,3.29,99,$,50-99
LE 105G 05 M,D,2.15,199,$,100-199
LE 105G 05 M,E,1.905,299,$,200-299
LE 105G 05 M,F,1.818,399,$,300-399
LE 105G 05 M,G,1.739,499,$,400-499
LE 105G 05 M,H,1.67,599,$,500-599
LE 105G 05 M,I,1.607,699,$,600-699
LE 105G 05 M,J,1.556,799,$,700-799
LE 105G 05 M,K,1.512,899,$,800-899
LE 105G 05 M,L,1.477,999,$,900-999
LE 105G 05 S,A,11.74,19,$,0-19
LE 105G 05 S,B,7.07,49,$,20-49
LE 105G 05 S,C,4.18,99,$,50-99
LE 105G 05 S,D,2.82,199,$,100-199
LE 105G 05 S,E,2.524,299,$,200-299
LE 105G 05 S,F,2.417,399,$,300-399
LE 105G 05 S,G,2.322,499,$,400-499
LE 105G 05 S,H,2.238,599,$,500-599
LE 105G 05 S,I,2.163,699,$,600-699
LE 105G 05 S,J,2.099,799,$,700-799
LE 105G 05 S,K,2.047,899,$,800-899
LE 105G 05 S,L,2.005,999,$,900-999
LE 105G 06 M,A,10.15,19,$,0-19
LE 105G 06 M,B,6.01,49,$,20-49
LE 105G 06 M,C,3.41,99,$,50-99
LE 105G 06 M,D,2.24,199,$,100-199
LE 105G 06 M,E,2,299,$,200-299
LE 105G 06 M,F,1.91,399,$,300-399
LE 105G 06 M,G,1.832,499,$,400-499
LE 105G 06 M,H,1.76,599,$,500-599
LE 105G 06 M,I,1.698,699,$,600-699
LE 105G 06 M,J,1.645,799,$,700-799
