title,model,field_published_stock_code,field_product_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_out_dia_tol_bld_spc_in,field_out_dia_tol_in,field_out_dia_tol_mm,field_out_dia_tol_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_spring_type,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_color,field_weight_per_item_lb
LC 018BC 08M,LC 018BC 08M,LC018BC08M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.21,0.21,5.33,0.533,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.219,0.219,5.56,0.556,0.165,0.165,4.19,0.419,MIN,MIN,MIN,MIN,0.688,0.688,17.48,1.748,0.022,0.022,0.56,0.056,3.7,3.7,0.648,6.48,0.0661,0.661,66.07,660.7,0.37,0.37,0.0648,0.648,0.00661,0.0661,6.607,66.07,0.15,0.15,3.81,0.381,0.018,0.018,0.46,0.046,Music Wire,MW,2,2,8.9,0.907,907.2,Squared and Ground,Factory Option,6.0127,6.0127,Reference,Reference,8.01,8.01,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.174,0.174,4.42,0.442,Reference,Reference,Reference,Reference,,0.0003674
LC 018BC 08S,LC 018BC 08S,LC018BC08S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.21,0.21,5.33,0.533,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.219,0.219,5.56,0.556,0.165,0.165,4.19,0.419,MIN,MIN,MIN,MIN,0.688,0.688,17.48,1.748,0.022,0.022,0.56,0.056,3.0821,3.082,0.54,5.4,0.055,0.55,55.04,550.4,0.30821,0.308,0.054,0.54,0.0055,0.055,5.504,55.04,0.15,0.15,3.81,0.381,0.018,0.018,0.46,0.046,Stainless Steel,SS,1.666,1.666,7.41,0.756,755.7,Squared and Ground,Factory Option,6.02,6.02,Reference,Reference,8.02,8.02,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.174,0.174,4.42,0.442,Reference,Reference,Reference,Reference,,0.00037
LC 018BC 08S316,LC 018BC 08S316,LC018BC08S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.21,0.21,5.33,0.533,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.219,0.219,5.56,0.556,0.165,0.165,4.19,0.419,MIN,MIN,MIN,MIN,0.688,0.688,17.48,1.748,0.022,0.022,0.56,0.056,3.0821,3.082,0.54,5.4,0.055,0.55,55.04,550.4,0.30821,0.308,0.054,0.54,0.0055,0.055,5.504,55.04,0.15,0.15,3.81,0.381,0.018,0.018,0.46,0.046,Stainless Steel Type 316,SS316,1.666,1.666,7.41,0.756,755.7,Squared and Ground,Factory Option,6.02,6.02,Reference,Reference,8.02,8.02,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.174,0.174,4.42,0.442,Reference,Reference,Reference,Reference,,0.00037
LC 018BC 09M,LC 018BC 09M,LC018BC09M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.21,0.21,5.33,0.533,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.219,0.219,5.56,0.556,0.165,0.165,4.19,0.419,MIN,MIN,MIN,MIN,0.75,0.75,19.05,1.905,0.024,0.024,0.61,0.061,3.3,3.3,0.578,5.78,0.0589,0.589,58.93,589.3,0.33,0.33,0.0578,0.578,0.00589,0.0589,5.893,58.93,0.161,0.161,4.09,0.409,0.018,0.018,0.46,0.046,Music Wire,MW,2,2,8.9,0.907,907.2,Squared and Ground,Factory Option,6.7416,6.7416,Reference,Reference,8.74,8.74,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.174,0.174,4.42,0.442,Reference,Reference,Reference,Reference,,0.0004008
LC 018BC 09S,LC 018BC 09S,LC018BC09S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.21,0.21,5.33,0.533,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.219,0.219,5.56,0.556,0.165,0.165,4.19,0.419,MIN,MIN,MIN,MIN,0.75,0.75,19.05,1.905,0.024,0.024,0.61,0.061,2.7489,2.749,0.481,4.81,0.0491,0.491,49.09,490.9,0.27489,0.275,0.0481,0.481,0.00491,0.0491,4.909,49.09,0.161,0.161,4.09,0.409,0.018,0.018,0.46,0.046,Stainless Steel,SS,1.666,1.666,7.41,0.756,755.7,Squared and Ground,Factory Option,6.74,6.74,Reference,Reference,8.74,8.74,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.174,0.174,4.42,0.442,Reference,Reference,Reference,Reference,,0.00041
LC 018BC 09S316,LC 018BC 09S316,LC018BC09S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.21,0.21,5.33,0.533,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.219,0.219,5.56,0.556,0.165,0.165,4.19,0.419,MIN,MIN,MIN,MIN,0.75,0.75,19.05,1.905,0.024,0.024,0.61,0.061,2.7489,2.749,0.481,4.81,0.0491,0.491,49.09,490.9,0.27489,0.275,0.0481,0.481,0.00491,0.0491,4.909,49.09,0.161,0.161,4.09,0.409,0.018,0.018,0.46,0.046,Stainless Steel Type 316,SS316,1.666,1.666,7.41,0.756,755.7,Squared and Ground,Factory Option,6.74,6.74,Reference,Reference,8.74,8.74,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.174,0.174,4.42,0.442,Reference,Reference,Reference,Reference,,0.00041
LC 018BC 10M,LC 018BC 10M,LC018BC10M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.21,0.21,5.33,0.533,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.219,0.219,5.56,0.556,0.165,0.165,4.19,0.419,MIN,MIN,MIN,MIN,0.813,0.813,20.65,2.065,0.026,0.026,0.66,0.066,3.1,3.1,0.543,5.43,0.0554,0.554,55.36,553.6,0.31,0.31,0.0543,0.543,0.00554,0.0554,5.536,55.36,0.172,0.172,4.37,0.437,0.018,0.018,0.46,0.046,Music Wire,MW,2,2,8.9,0.907,907.2,Squared and Ground,Factory Option,7.1765,7.1765,Reference,Reference,9.18,9.18,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.174,0.174,4.42,0.442,Reference,Reference,Reference,Reference,,0.0004207
LC 018BC 10S,LC 018BC 10S,LC018BC10S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.21,0.21,5.33,0.533,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.219,0.219,5.56,0.556,0.165,0.165,4.19,0.419,MIN,MIN,MIN,MIN,0.813,0.813,20.65,2.065,0.026,0.026,0.66,0.066,2.5823,2.582,0.452,4.52,0.0461,0.461,46.11,461.1,0.25823,0.258,0.0452,0.452,0.00461,0.0461,4.611,46.11,0.172,0.172,4.37,0.437,0.018,0.018,0.46,0.046,Stainless Steel,SS,1.666,1.666,7.41,0.756,755.7,Squared and Ground,Factory Option,7.18,7.18,Reference,Reference,9.18,9.18,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.174,0.174,4.42,0.442,Reference,Reference,Reference,Reference,,0.00043
LC 018BC 10S316,LC 018BC 10S316,LC018BC10S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.21,0.21,5.33,0.533,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.219,0.219,5.56,0.556,0.165,0.165,4.19,0.419,MIN,MIN,MIN,MIN,0.813,0.813,20.65,2.065,0.026,0.026,0.66,0.066,2.5823,2.582,0.452,4.52,0.0461,0.461,46.11,461.1,0.25823,0.258,0.0452,0.452,0.00461,0.0461,4.611,46.11,0.172,0.172,4.37,0.437,0.018,0.018,0.46,0.046,Stainless Steel Type 316,SS316,1.666,1.666,7.41,0.756,755.7,Squared and Ground,Factory Option,7.18,7.18,Reference,Reference,9.18,9.18,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.174,0.174,4.42,0.442,Reference,Reference,Reference,Reference,,0.00043
LC 018BC 11M,LC 018BC 11M,LC018BC11M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.21,0.21,5.33,0.533,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.219,0.219,5.56,0.556,0.165,0.165,4.19,0.419,MIN,MIN,MIN,MIN,0.88,0.88,22.35,2.235,0.031,0.031,0.79,0.079,2.8,2.8,0.49,4.9,0.05,0.5,50,500,0.28,0.28,0.049,0.49,0.005,0.05,5,50,0.183,0.183,4.65,0.465,0.018,0.018,0.46,0.046,Music Wire,MW,2,2,8.9,0.907,907.2,Squared and Ground,Factory Option,7.9454,7.9454,Reference,Reference,9.95,9.95,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.174,0.174,4.42,0.442,Reference,Reference,Reference,Reference,,0.000456
