title,model,field_published_stock_code,field_product_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_out_dia_tol_bld_spc_in,field_out_dia_tol_in,field_out_dia_tol_mm,field_out_dia_tol_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_spring_type,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_color,field_weight_per_item_lb
LB 024C 01 AAA,LB 024C 01 AAA,LB024C01AAA,Specialty Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.208,0.208,5.28,0.528,Reference,Reference,Reference,Reference,,,,,,0,,0,,,,,0.355,0.355,9.02,0.902,0.015,0.015,0.38,0.038,9.375,9.375,1.642,16.42,0.1674,1.674,167.42,1674.2,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,,,,,0.024,0.024,0.61,0.061,Nickel Coated Music Wire,OTCS,2.121,2.121,9.43,0.962,962.09,Squared,Factory Option,,,,,4.53,4.53,Pre-coated with Nickel,1,Battery Spring,ASTM A228,0.16,0.16,4.06,0.406,+/-0.004,+/-0.004,+/-0.1,+/-0.01,,0.00073
LB 024D 01 AA,LB 024D 01 AA,LB024D01AA,Specialty Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.268,0.268,6.81,0.681,Reference,Reference,Reference,Reference,,,,,,0,,0,,,,,0.44,0.44,11.18,1.118,0.015,0.015,0.38,0.038,5.872,5.872,1.028,10.28,0.1049,1.049,104.86,1048.6,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,,,,,0.024,0.024,0.61,0.061,Nickel Coated Music Wire,OTCS,1.828,1.828,8.13,0.829,829.18,Squared,Factory Option,,,,,4.62,4.62,Pre-coated with Nickel,1,Battery Spring,ASTM A228,0.22,0.22,5.59,0.559,+/-0.004,+/-0.004,+/-0.1,+/-0.01,,0.00152
LB 024D 01 AAA,LB 024D 01 AAA,LB024D01AAA,Specialty Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.208,0.208,5.28,0.528,Reference,Reference,Reference,Reference,,,,,,0,,0,,,,,0.355,0.355,9.02,0.902,0.015,0.015,0.38,0.038,9.375,9.375,1.642,16.42,0.1674,1.674,167.42,1674.2,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,,,,,0.024,0.024,0.61,0.061,Nickel Coated Music Wire,OTCS,2.121,2.121,9.43,0.962,962.09,Squared,Factory Option,,,,,4.53,4.53,Pre-coated with Nickel,1,Battery Spring,ASTM A228,0.16,0.16,4.06,0.406,+/-0.004,+/-0.004,+/-0.1,+/-0.01,,0.00126
LB 032A 01 C,LB 032A 01 C,LB032A01C,Specialty Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.394,0.394,10.01,1.001,Reference,Reference,Reference,Reference,,,,,,0,,0,,,,,0.52,0.52,13.21,1.321,0.02,0.02,0.51,0.051,5.556,5.556,0.973,9.73,0.0992,0.992,99.22,992.2,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,,,,,0.032,0.032,0.81,0.081,Nickel Coated Music Wire,OTCS,1.943,1.943,8.64,0.881,881.34,Squared,Factory Option,,,,,5.1,5.1,Pre-coated with Nickel,1,Battery Spring,ASTM A228,0.33,0.33,8.38,0.838,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,0.00195
LB 032B 01 C,LB 032B 01 C,LB032B01C,Specialty Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.394,0.394,10.01,1.001,Reference,Reference,Reference,Reference,,,,,0.174,0.174,4.42,0.442,MIN,MIN,MIN,MIN,0.52,0.52,13.21,1.321,0.02,0.02,0.51,0.051,5.556,5.556,0.973,9.73,0.0992,0.992,99.22,992.2,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,,,,,0.032,0.032,0.81,0.081,Nickel Coated Music Wire,OTCS,1.943,1.943,8.64,0.881,881.34,Squared,Factory Option,,,,,5.1,5.1,Pre-coated with Nickel,1,Battery Spring,ASTM A228,0.33,0.33,8.38,0.838,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,0.00212
LB 032C 01 C,LB 032C 01 C,LB032C01C,Specialty Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.394,0.394,10.01,1.001,Reference,Reference,Reference,Reference,,,,,,0,,0,,,,,0.52,0.52,13.21,1.321,0.02,0.02,0.51,0.051,5.556,5.556,0.973,9.73,0.0992,0.992,99.22,992.2,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,,,,,0.032,0.032,0.81,0.081,Nickel Coated Music Wire,OTCS,1.943,1.943,8.64,0.881,881.34,Squared,Factory Option,,,,,5.1,5.1,Pre-coated with Nickel,1,Battery Spring,ASTM A228,0.33,0.33,8.38,0.838,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,0.00212
LB 032D 01 C,LB 032D 01 C,LB032D01C,Specialty Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.394,0.394,10.01,1.001,Reference,Reference,Reference,Reference,,,,,,0,,0,,,,,0.52,0.52,13.21,1.321,0.02,0.02,0.51,0.051,5.556,5.556,0.973,9.73,0.0992,0.992,99.22,992.2,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,,,,,0.032,0.032,0.81,0.081,Nickel Coated Music Wire,OTCS,1.943,1.943,8.64,0.881,881.34,Squared,Factory Option,,,,,5.1,5.1,Pre-coated with Nickel,1,Battery Spring,ASTM A228,0.33,0.33,8.38,0.838,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,0.003695
LB 036A 01 D,LB 036A 01 D,LB036A01D,Specialty Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.432,0.432,10.97,1.097,Reference,Reference,Reference,Reference,,,,,,0,,0,,,,,0.72,0.72,18.29,1.829,0.02,0.02,0.51,0.051,5.505,5.505,0.964,9.64,0.0983,0.983,98.31,983.1,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,,,,,0.036,0.036,0.91,0.091,Nickel Coated Music Wire,OTCS,2.952,2.952,13.13,1.339,1339.03,Squared,Factory Option,,,,,5.04,5.04,Pre-coated with Nickel,1,Battery Spring,ASTM A228,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,0.00316
LB 036B 01 D,LB 036B 01 D,LB036B01D,Specialty Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.432,0.432,10.97,1.097,Reference,Reference,Reference,Reference,,,,,0.174,0.174,4.42,0.442,MIN,MIN,MIN,MIN,0.72,0.72,18.29,1.829,0.02,0.02,0.51,0.051,5.505,5.505,0.964,9.64,0.0983,0.983,98.31,983.1,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,,,,,0.036,0.036,0.91,0.091,Nickel Coated Music Wire,OTCS,2.952,2.952,13.13,1.339,1339.03,Squared,Factory Option,,,,,5.04,5.04,Pre-coated with Nickel,1,Battery Spring,ASTM A228,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,0.0034
LB 036C 01 D,LB 036C 01 D,LB036C01D,Specialty Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.432,0.432,10.97,1.097,Reference,Reference,Reference,Reference,,,,,,0,,0,,,,,0.72,0.72,18.29,1.829,0.02,0.02,0.51,0.051,5.505,5.505,0.964,9.64,0.0983,0.983,98.31,983.1,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,,,,,0.036,0.036,0.91,0.091,Nickel Coated Music Wire,OTCS,2.952,2.952,13.13,1.339,1339.03,Squared,Factory Option,,,,,5.04,5.04,Pre-coated with Nickel,1,Battery Spring,ASTM A228,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,0.0034
LB 036D 01 D,LB 036D 01 D,LB036D01D,Specialty Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.435,0.435,11.05,1.105,Reference,Reference,Reference,Reference,,,,,,0,,0,,,,,0.72,0.72,18.29,1.829,0.02,0.02,0.51,0.051,5.505,5.505,0.964,9.64,0.0983,0.983,98.31,983.1,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,,,,,0.036,0.036,0.91,0.091,Nickel Coated Music Wire,OTCS,2.952,2.952,13.13,1.339,1339.03,Squared,Factory Option,,,,,5.04,5.04,Pre-coated with Nickel,1,Battery Spring,ASTM A228,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,0.00604
LBC 028A 01 AA,LBC 028A 01 AA,LBC028A01AA,Specialty Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.276,0.276,7.01,0.701,Reference,Reference,Reference,Reference,,,,,,0,,0,,,,,0.44,0.44,11.18,1.118,0.015,0.015,0.38,0.038,5.872,5.872,1.028,10.28,0.1049,1.049,104.86,1048.6,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,,,,,0.028,0.028,0.71,0.071,Silver Coated Beryllium Copper,OTCS,1.758,1.758,7.82,0.797,797.43,Squared,Factory Option,,,,,4.87,4.87,Pre-coated with Silver,1,Battery Spring,ASTM B197,0.22,0.22,5.59,0.559,+/-0.004,+/-0.004,+/-0.1,+/-0.01,,0.000899
