title,model,field_published_stock_code,field_product_type,field_spring_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_product_series,field_revision,field_material,field_material_short_description,field_material_specification,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_outside_dia_tole_bd_spe_in,field_outside_dia_tole_in,field_outside_dia_tole_mm,field_outside_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_total_coils_bd_spe,field_total_coils,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_end,field_initial_ten_bud_spec_lb,field_initial_tension_lb,field_initial_tension_n,field_initial_tension_kg,field_initial_tension_gm,field_initial_ten_tol_bud_spc_lb,field_initial_ten_tol_lb,field_initial_ten_tol_n,field_initial_ten_tol_kg,field_initial_ten_tol_gm,field_max_load_build_spec_lb,field_max_load_lb,field_max_load_n,field_max_load_kg,field_max_load_gm,field_max_extend_len_bd_spe_in,field_max_extended_length_in,field_max_extended_length_mm,field_max_extended_length_cm,field_body_length_build_spec_in,field_body_length_in,field_body_length_mm,field_body_length_cm,field_direction_of_wind,field_finish,field_weight_per_item_lb,field_loop_insid_dia_bd_spec_in,field_loop_inside_diameter_in,field_loop_inside_diameter_mm,field_loop_inside_diameter_cm,field_loop_position,field_loop_opening_build_spec_in,field_loop_opening_in,field_loop_opening_mm,field_loop_opening_cm
EI 007A 01 S,EI 007A 01 S,EI007A01S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,0.063,0.063,1.6,0.16,0.004,0.004,0.1,0.01,0.25,0.25,6.35,0.635,0.02,0.02,0.51,0.051,0.83,0.83,0.145,1.45,0.0148,0.148,14.8,148,0.083,0.083,0.0145,0.145,0.00148,0.0148,1.48,14.8,0.049,0.049,1.24,0.124,REF,Reference,Reference,Reference,20.5901,20.6,0.007,0.007,0.18,0.08,Standard Loops,0.0249,0.0249,0.111,0.0113,11.3,0.00498,0.00498,0.0222,0.00226,2.26,0.2665,0.2665,1.185,0.1209,120.9,0.54,0.54,13.72,1.372,0.152,0.152,3.86,0.386,Factory Option,Passivate per ASTM A967,0.00005,0.049,0.049,1.24,0.124,Random,0.007,0.007,0.18,0.018
EI 007A 01 S316,EI 007A 01 S316,EI007A01S316,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel Type 316,SS 316,ASTM A313,0.063,0.063,1.6,0.16,0.004,0.004,0.1,0.01,0.25,0.25,6.35,0.635,0.02,0.02,0.51,0.051,0.83,0.83,0.145,1.45,0.0148,0.148,14.8,148,0.083,0.083,0.0145,0.145,0.00148,0.0148,1.48,14.8,0.049,0.049,1.24,0.124,REF,Reference,Reference,Reference,20.5901,20.6,0.007,0.007,0.18,0.08,Standard Loops,0.0249,0.0249,0.111,0.0113,11.3,0.00498,0.00498,0.0222,0.00226,2.26,0.199,0.199,0.885,0.0903,90.3,0.459,0.459,11.66,1.166,0.152,0.152,3.86,0.386,Factory Option,Ultrasonically Passivate with Citric Acid for 10 mins At 131 Deg F,0.00005,0.049,0.049,1.24,0.124,Random,0.007,0.007,0.18,0.018
EI 007A 02 M,EI 007A 02 M,EI007A02M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.063,0.063,1.6,0.16,0.004,0.004,0.1,0.01,0.313,0.313,7.95,0.795,0.02,0.02,0.51,0.051,0.69,0.69,0.121,1.21,0.0123,0.123,12.3,123,0.069,0.069,0.0121,0.121,0.00123,0.0123,1.23,12.3,0.049,0.049,1.24,0.124,REF,Reference,Reference,Reference,29.7214,29.7,0.007,0.007,0.18,0.08,Standard Loops,0.03,0.03,0.133,0.0136,13.6,0.006,0.006,0.0267,0.00272,2.72,0.32,0.32,1.423,0.1452,145.2,0.733,0.733,18.62,1.862,0.215,0.215,5.46,0.546,Factory Option,Pre-coated with Tin,0.00006,0.049,0.049,1.24,0.124,Random,0.007,0.007,0.18,0.018
EI 007A 02 S,EI 007A 02 S,EI007A02S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,0.063,0.063,1.6,0.16,0.004,0.004,0.1,0.01,0.313,0.313,7.95,0.795,0.02,0.02,0.51,0.051,0.57,0.57,0.1,1,0.0102,0.102,10.2,102,0.057,0.057,0.01,0.1,0.00102,0.0102,1.02,10.2,0.049,0.049,1.24,0.124,REF,Reference,Reference,Reference,29.9821,30,0.007,0.007,0.18,0.08,Standard Loops,0.0249,0.0249,0.111,0.0113,11.3,0.00498,0.00498,0.0222,0.00226,2.26,0.2665,0.2665,1.185,0.1209,120.9,0.733,0.733,18.62,1.862,0.215,0.215,5.46,0.546,Factory Option,Passivate per ASTM A967,0.00007,0.049,0.049,1.24,0.124,Random,0.007,0.007,0.18,0.018
EI 007A 02 S316,EI 007A 02 S316,EI007A02S316,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel Type 316,SS 316,ASTM A313,0.063,0.063,1.6,0.16,0.004,0.004,0.1,0.01,0.313,0.313,7.95,0.795,0.02,0.02,0.51,0.051,0.57,0.57,0.1,1,0.0102,0.102,10.2,102,0.057,0.057,0.01,0.1,0.00102,0.0102,1.02,10.2,0.049,0.049,1.24,0.124,REF,Reference,Reference,Reference,29.9821,30,0.007,0.007,0.18,0.08,Standard Loops,0.0249,0.0249,0.111,0.0113,11.3,0.00498,0.00498,0.0222,0.00226,2.26,0.199,0.199,0.885,0.0903,90.3,0.618,0.618,15.7,1.57,0.215,0.215,5.46,0.546,Factory Option,Ultrasonically Passivate with Citric Acid for 10 mins At 131 Deg F,0.00007,0.049,0.049,1.24,0.124,Random,0.007,0.007,0.18,0.018
EI 007A 03 M,EI 007A 03 M,EI007A03M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.063,0.063,1.6,0.16,0.004,0.004,0.1,0.01,0.375,0.375,9.53,0.953,0.02,0.02,0.51,0.051,0.53,0.53,0.093,0.93,0.0095,0.095,9.5,95,0.053,0.053,0.0093,0.093,0.00095,0.0095,0.95,9.5,0.049,0.049,1.24,0.124,REF,Reference,Reference,Reference,38.6939,38.7,0.007,0.007,0.18,0.08,Standard Loops,0.03,0.03,0.133,0.0136,13.6,0.006,0.006,0.0267,0.00272,2.72,0.32,0.32,1.423,0.1452,145.2,0.925,0.925,23.5,2.35,0.277,0.277,7.04,0.704,Factory Option,Pre-coated with Tin,0.00008,0.049,0.049,1.24,0.124,Random,0.007,0.007,0.18,0.018
EI 007A 03 S,EI 007A 03 S,EI007A03S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,0.063,0.063,1.6,0.16,0.004,0.004,0.1,0.01,0.375,0.375,9.53,0.953,0.02,0.02,0.51,0.051,0.44,0.44,0.077,0.77,0.0079,0.079,7.9,79,0.044,0.044,0.0077,0.077,0.00079,0.0079,0.79,7.9,0.049,0.049,1.24,0.124,REF,Reference,Reference,Reference,38.8405,38.8,0.007,0.007,0.18,0.08,Standard Loops,0.0249,0.0249,0.111,0.0113,11.3,0.00498,0.00498,0.0222,0.00226,2.26,0.2665,0.2665,1.185,0.1209,120.9,0.925,0.925,23.5,2.35,0.277,0.277,7.04,0.704,Factory Option,Passivate per ASTM A967,0.00008,0.049,0.049,1.24,0.124,Random,0.007,0.007,0.18,0.018
EI 007A 03 S316,EI 007A 03 S316,EI007A03S316,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel Type 316,SS 316,ASTM A313,0.063,0.063,1.6,0.16,0.004,0.004,0.1,0.01,0.375,0.375,9.53,0.953,0.02,0.02,0.51,0.051,0.44,0.44,0.077,0.77,0.0079,0.079,7.9,79,0.044,0.044,0.0077,0.077,0.00079,0.0079,0.79,7.9,0.049,0.049,1.24,0.124,REF,Reference,Reference,Reference,38.8405,38.8,0.007,0.007,0.18,0.08,Standard Loops,0.0249,0.0249,0.111,0.0113,11.3,0.00498,0.00498,0.0222,0.00226,2.26,0.199,0.199,0.885,0.0903,90.3,0.77,0.77,19.56,1.956,0.277,0.277,7.04,0.704,Factory Option,Ultrasonically Passivate with Citric Acid for 10 mins At 131 Deg F,0.00008,0.049,0.049,1.24,0.124,Random,0.007,0.007,0.18,0.018
EI 007A 04 M,EI 007A 04 M,EI007A04M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.063,0.063,1.6,0.16,0.004,0.004,0.1,0.01,0.438,0.438,11.13,1.113,0.02,0.02,0.51,0.051,0.43,0.43,0.075,0.75,0.0077,0.077,7.7,77,0.043,0.043,0.0075,0.075,0.00077,0.0077,0.77,7.7,0.049,0.049,1.24,0.124,REF,Reference,Reference,Reference,47.6925,47.7,0.007,0.007,0.18,0.08,Standard Loops,0.03,0.03,0.133,0.0136,13.6,0.006,0.006,0.0267,0.00272,2.72,0.32,0.32,1.423,0.1452,145.2,1.108,1.108,28.14,2.814,0.34,0.34,8.64,0.864,Factory Option,Pre-coated with Tin,0.0001,0.049,0.049,1.24,0.124,Random,0.007,0.007,0.18,0.018
EI 007A 04 S,EI 007A 04 S,EI007A04S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,0.063,0.063,1.6,0.16,0.004,0.004,0.1,0.01,0.438,0.438,11.13,1.113,0.02,0.02,0.51,0.051,0.36,0.36,0.063,0.63,0.0064,0.064,6.4,64,0.036,0.036,0.0063,0.063,0.00064,0.0064,0.64,6.4,0.049,0.049,1.24,0.124,REF,Reference,Reference,Reference,47.4717,47.5,0.007,0.007,0.18,0.08,Standard Loops,0.0249,0.0249,0.111,0.0113,11.3,0.00498,0.00498,0.0222,0.00226,2.26,0.2665,0.2665,1.185,0.1209,120.9,1.108,1.108,28.14,2.814,0.34,0.34,8.64,0.864,Factory Option,Passivate per ASTM A967,0.0001,0.049,0.049,1.24,0.124,Random,0.007,0.007,0.18,0.018
EI 007A 04 S316,EI 007A 04 S316,EI007A04S316,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel Type 316,SS 316,ASTM A313,0.063,0.063,1.6,0.16,0.004,0.004,0.1,0.01,0.438,0.438,11.13,1.113,0.02,0.02,0.51,0.051,0.36,0.36,0.063,0.63,0.0064,0.064,6.4,64,0.036,0.036,0.0063,0.063,0.00064,0.0064,0.64,6.4,0.049,0.049,1.24,0.124,REF,Reference,Reference,Reference,47.4717,47.5,0.007,0.007,0.18,0.08,Standard Loops,0.0249,0.0249,0.111,0.0113,11.3,0.00498,0.00498,0.0222,0.00226,2.26,0.199,0.199,0.885,0.0903,90.3,0.921,0.921,23.39,2.339,0.34,0.34,8.64,0.864,Factory Option,Ultrasonically Passivate with Citric Acid for 10 mins At 131 Deg F,0.0001,0.049,0.049,1.24,0.124,Random,0.007,0.007,0.18,0.018
EI 007A 05 M,EI 007A 05 M,EI007A05M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.063,0.063,1.6,0.16,0.004,0.004,0.1,0.01,0.5,0.5,12.7,1.27,0.02,0.02,0.51,0.051,0.36,0.36,0.063,0.63,0.0064,0.064,6.4,64,0.036,0.036,0.0063,0.063,0.00064,0.0064,0.64,6.4,0.049,0.049,1.24,0.124,REF,Reference,Reference,Reference,56.9661,57,0.007,0.007,0.18,0.08,Standard Loops,0.03,0.03,0.133,0.0136,13.6,0.006,0.006,0.0267,0.00272,2.72,0.32,0.32,1.423,0.1452,145.2,1.31,1.31,33.27,3.327,0.402,0.402,10.21,1.021,Factory Option,Pre-coated with Tin,0.00012,0.049,0.049,1.24,0.124,Random,0.007,0.007,0.18,0.018
EI 007A 05 S,EI 007A 05 S,EI007A05S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,0.063,0.063,1.6,0.16,0.004,0.004,0.1,0.01,0.5,0.5,12.7,1.27,0.02,0.02,0.51,0.051,0.3,0.3,0.053,0.53,0.0054,0.054,5.4,54,0.03,0.03,0.0053,0.053,0.00054,0.0054,0.54,5.4,0.049,0.049,1.24,0.124,REF,Reference,Reference,Reference,56.9661,57,0.007,0.007,0.18,0.08,Standard Loops,0.0249,0.0249,0.111,0.0113,11.3,0.00498,0.00498,0.0222,0.00226,2.26,0.2665,0.2665,1.185,0.1209,120.9,1.31,1.31,33.27,3.327,0.402,0.402,10.21,1.021,Factory Option,Passivate per ASTM A967,0.00012,0.049,0.049,1.24,0.124,Random,0.007,0.007,0.18,0.018
EI 007A 05 S316,EI 007A 05 S316,EI007A05S316,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel Type 316,SS 316,ASTM A313,0.063,0.063,1.6,0.16,0.004,0.004,0.1,0.01,0.5,0.5,12.7,1.27,0.02,0.02,0.51,0.051,0.3,0.3,0.053,0.53,0.0054,0.054,5.4,54,0.03,0.03,0.0053,0.053,0.00054,0.0054,0.54,5.4,0.049,0.049,1.24,0.124,REF,Reference,Reference,Reference,56.9661,57,0.007,0.007,0.18,0.08,Standard Loops,0.0249,0.0249,0.111,0.0113,11.3,0.00498,0.00498,0.0222,0.00226,2.26,0.199,0.199,0.885,0.0903,90.3,1.08,1.08,27.43,2.743,0.402,0.402,10.21,1.021,Factory Option,Ultrasonically Passivate with Citric Acid for 10 mins At 131 Deg F,0.00012,0.049,0.049,1.24,0.124,Random,0.007,0.007,0.18,0.018
EI 007AA 01M,EI 007AA 01M,EI007AA01M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.078,0.078,1.98,0.198,0.004,0.004,0.1,0.01,0.25,0.25,6.35,0.635,0.02,0.02,0.51,0.051,0.611,0.611,0.107,1.07,0.0109,0.109,10.9,109,0.061,0.061,0.0107,0.107,0.00109,0.0109,1.09,10.9,0.064,0.064,1.63,0.163,REF,Reference,Reference,Reference,16.393,16.4,0.007,0.007,0.18,0.08,Standard Loops,0.025,0.025,0.111,0.0113,11.3,0.005,0.005,0.0222,0.00227,2.27,0.257,0.257,1.143,0.1166,116.6,0.63,0.63,16,1.6,0.122,0.122,3.1,0.31,Factory Option,Pre-coated with Tin,0.00005,0.064,0.064,1.63,0.163,Random,0.007,0.007,0.18,0.018
EI 007AA 01S,EI 007AA 01S,EI007AA01S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,0.078,0.078,1.98,0.198,0.004,0.004,0.1,0.01,0.25,0.25,6.35,0.635,0.02,0.02,0.51,0.051,0.509,0.509,0.089,0.89,0.0091,0.091,9.1,91,0.05,0.05,0.0088,0.088,0.00089,0.0089,0.89,8.9,0.064,0.064,1.63,0.163,REF,Reference,Reference,Reference,16.393,16.4,0.007,0.007,0.18,0.08,Standard Loops,0.021,0.021,0.093,0.0095,9.5,0.004,0.004,0.0178,0.00181,1.81,0.215,0.215,0.956,0.0975,97.5,0.632,0.632,16.05,1.605,0.122,0.122,3.1,0.31,Factory Option,Passivate per ASTM A967,0.00005,0.064,0.064,1.63,0.163,Random,0.007,0.007,0.18,0.018
EI 007AA 01S316,EI 007AA 01S316,EI007AA01S316,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel Type 316,SS 316,ASTM A313,0.078,0.078,1.98,0.198,0.004,0.004,0.1,0.01,0.25,0.25,6.35,0.635,0.02,0.02,0.51,0.051,0.509,0.509,0.089,0.89,0.0091,0.091,9.1,91,0.05,0.05,0.0088,0.088,0.00089,0.0089,0.89,8.9,0.064,0.064,1.63,0.163,REF,Reference,Reference,Reference,16.393,16.4,0.007,0.007,0.18,0.08,Standard Loops,0.021,0.021,0.093,0.0095,9.5,0.004,0.004,0.0178,0.00181,1.81,0.161,0.161,0.716,0.073,73,0.525,0.525,13.34,1.334,0.122,0.122,3.1,0.31,Factory Option,Ultrasonically Passivate with Citric Acid for 10 mins At 131 Deg F,0.00005,0.064,0.064,1.63,0.163,Random,0.007,0.007,0.18,0.018
EI 007AA 02M,EI 007AA 02M,EI007AA02M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.078,0.078,1.98,0.198,0.004,0.004,0.1,0.01,0.313,0.313,7.95,0.795,0.02,0.02,0.51,0.051,0.394,0.394,0.069,0.69,0.007,0.07,7,70,0.039,0.039,0.0068,0.068,0.0007,0.007,0.7,7,0.064,0.064,1.63,0.163,REF,Reference,Reference,Reference,25.393,25.4,0.007,0.007,0.18,0.08,Standard Loops,0.025,0.025,0.111,0.0113,11.3,0.005,0.005,0.0222,0.00227,2.27,0.257,0.257,1.143,0.1166,116.6,0.902,0.902,22.91,2.291,0.185,0.185,4.7,0.47,Factory Option,Pre-coated with Tin,0.00007,0.064,0.064,1.63,0.163,Random,0.007,0.007,0.18,0.018
EI 007AA 02S,EI 007AA 02S,EI007AA02S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,0.078,0.078,1.98,0.198,0.004,0.004,0.1,0.01,0.313,0.313,7.95,0.795,0.02,0.02,0.51,0.051,0.328,0.328,0.057,0.57,0.0059,0.059,5.9,59,0.032,0.032,0.0056,0.056,0.00057,0.0057,0.57,5.7,0.064,0.064,1.63,0.163,REF,Reference,Reference,Reference,25.393,25.4,0.007,0.007,0.18,0.08,Standard Loops,0.021,0.021,0.093,0.0095,9.5,0.004,0.004,0.0178,0.00181,1.81,0.215,0.215,0.956,0.0975,97.5,0.905,0.905,22.99,2.299,0.185,0.185,4.7,0.47,Factory Option,Passivate per ASTM A967,0.00007,0.064,0.064,1.63,0.163,Random,0.007,0.007,0.18,0.018
EI 007AA 02S316,EI 007AA 02S316,EI007AA02S316,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel Type 316,SS 316,ASTM A313,0.078,0.078,1.98,0.198,0.004,0.004,0.1,0.01,0.313,0.313,7.95,0.795,0.02,0.02,0.51,0.051,0.328,0.328,0.057,0.57,0.0059,0.059,5.9,59,0.032,0.032,0.0056,0.056,0.00057,0.0057,0.57,5.7,0.064,0.064,1.63,0.163,REF,Reference,Reference,Reference,25.393,25.4,0.007,0.007,0.18,0.08,Standard Loops,0.021,0.021,0.093,0.0095,9.5,0.004,0.004,0.0178,0.00181,1.81,0.161,0.161,0.716,0.073,73,0.739,0.739,18.77,1.877,0.185,0.185,4.7,0.47,Factory Option,Ultrasonically Passivate with Citric Acid for 10 mins At 131 Deg F,0.00007,0.064,0.064,1.63,0.163,Random,0.007,0.007,0.18,0.018
EI 007AA 03M,EI 007AA 03M,EI007AA03M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.078,0.078,1.98,0.198,0.004,0.004,0.1,0.01,0.375,0.375,9.53,0.953,0.02,0.02,0.51,0.051,0.292,0.292,0.051,0.51,0.0052,0.052,5.2,52,0.029,0.029,0.0051,0.051,0.00052,0.0052,0.52,5.2,0.064,0.064,1.63,0.163,REF,Reference,Reference,Reference,34.25,34.3,0.007,0.007,0.18,0.08,Standard Loops,0.025,0.025,0.111,0.0113,11.3,0.005,0.005,0.0222,0.00227,2.27,0.257,0.257,1.143,0.1166,116.6,1.169,1.169,29.69,2.969,0.247,0.247,6.27,0.627,Factory Option,Pre-coated with Tin,0.00009,0.064,0.064,1.63,0.163,Random,0.007,0.007,0.18,0.018
EI 007AA 03S,EI 007AA 03S,EI007AA03S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,0.078,0.078,1.98,0.198,0.004,0.004,0.1,0.01,0.375,0.375,9.53,0.953,0.02,0.02,0.51,0.051,0.244,0.244,0.043,0.43,0.0044,0.044,4.4,44,0.024,0.024,0.0042,0.042,0.00043,0.0043,0.43,4.3,0.064,0.064,1.63,0.163,REF,Reference,Reference,Reference,34.25,34.3,0.007,0.007,0.18,0.08,Standard Loops,0.021,0.021,0.093,0.0095,9.5,0.004,0.004,0.0178,0.00181,1.81,0.215,0.215,0.956,0.0975,97.5,1.174,1.174,29.82,2.982,0.247,0.247,6.27,0.627,Factory Option,Passivate per ASTM A967,0.0001,0.064,0.064,1.63,0.163,Random,0.007,0.007,0.18,0.018
EI 007AA 03S316,EI 007AA 03S316,EI007AA03S316,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel Type 316,SS 316,ASTM A313,0.078,0.078,1.98,0.198,0.004,0.004,0.1,0.01,0.375,0.375,9.53,0.953,0.02,0.02,0.51,0.051,0.244,0.244,0.043,0.43,0.0044,0.044,4.4,44,0.024,0.024,0.0042,0.042,0.00043,0.0043,0.43,4.3,0.064,0.064,1.63,0.163,REF,Reference,Reference,Reference,34.25,34.3,0.007,0.007,0.18,0.08,Standard Loops,0.021,0.021,0.093,0.0095,9.5,0.004,0.004,0.0178,0.00181,1.81,0.161,0.161,0.716,0.073,73,0.948,0.948,24.08,2.408,0.247,0.247,6.27,0.627,Factory Option,Ultrasonically Passivate with Citric Acid for 10 mins At 131 Deg F,0.0001,0.064,0.064,1.63,0.163,Random,0.007,0.007,0.18,0.018
EI 007AA 04M,EI 007AA 04M,EI007AA04M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.078,0.078,1.98,0.198,0.004,0.004,0.1,0.01,0.438,0.438,11.13,1.113,0.02,0.02,0.51,0.051,0.231,0.231,0.04,0.4,0.0041,0.041,4.1,41,0.023,0.023,0.004,0.04,0.00041,0.0041,0.41,4.1,0.064,0.064,1.63,0.163,REF,Reference,Reference,Reference,43.25,43.3,0.007,0.007,0.18,0.08,Standard Loops,0.025,0.025,0.111,0.0113,11.3,0.005,0.005,0.0222,0.00227,2.27,0.257,0.257,1.143,0.1166,116.6,1.441,1.441,36.6,3.66,0.31,0.31,7.87,0.787,Factory Option,Pre-coated with Tin,0.00012,0.064,0.064,1.63,0.163,Random,0.007,0.007,0.18,0.018
EI 007AA 04S,EI 007AA 04S,EI007AA04S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,0.078,0.078,1.98,0.198,0.004,0.004,0.1,0.01,0.438,0.438,11.13,1.113,0.02,0.02,0.51,0.051,0.193,0.193,0.034,0.34,0.0034,0.034,3.4,34,0.019,0.019,0.0033,0.033,0.00034,0.0034,0.34,3.4,0.064,0.064,1.63,0.163,REF,Reference,Reference,Reference,43.25,43.3,0.007,0.007,0.18,0.08,Standard Loops,0.021,0.021,0.093,0.0095,9.5,0.004,0.004,0.0178,0.00181,1.81,0.215,0.215,0.956,0.0975,97.5,1.447,1.447,36.75,3.675,0.31,0.31,7.87,0.787,Factory Option,Passivate per ASTM A967,0.00012,0.064,0.064,1.63,0.163,Random,0.007,0.007,0.18,0.018
EI 007AA 04S316,EI 007AA 04S316,EI007AA04S316,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel Type 316,SS 316,ASTM A313,0.078,0.078,1.98,0.198,0.004,0.004,0.1,0.01,0.438,0.438,11.13,1.113,0.02,0.02,0.51,0.051,0.193,0.193,0.034,0.34,0.0034,0.034,3.4,34,0.019,0.019,0.0033,0.033,0.00034,0.0034,0.34,3.4,0.064,0.064,1.63,0.163,REF,Reference,Reference,Reference,43.25,43.3,0.007,0.007,0.18,0.08,Standard Loops,0.021,0.021,0.093,0.0095,9.5,0.004,0.004,0.0178,0.00181,1.81,0.161,0.161,0.716,0.073,73,1.163,1.163,29.54,2.954,0.31,0.31,7.87,0.787,Factory Option,Ultrasonically Passivate with Citric Acid for 10 mins At 131 Deg F,0.00012,0.064,0.064,1.63,0.163,Random,0.007,0.007,0.18,0.018
