title,model,field_published_stock_code,field_product_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_out_dia_tol_bld_spc_in,field_out_dia_tol_in,field_out_dia_tol_mm,field_out_dia_tol_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_spring_type,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_color,field_weight_per_item_lb
LC 038E 08 M,LC 038E 08 M,LC038E08M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.375,0.375,9.53,0.953,0.271,0.271,6.88,0.688,MIN,MIN,MIN,MIN,0.875,0.875,22.23,2.223,0.028,0.028,0.71,0.071,17,17,2.977,29.77,0.3036,3.036,303.59,3035.9,1.7,1.7,0.2977,2.977,0.03036,0.3036,30.359,303.59,0.286,0.286,7.26,0.726,0.038,0.038,0.97,0.097,Music Wire,MW,10.3,10.3,45.82,4.672,4672.08,Squared and Ground,Factory Option,5.5107,5.5107,Reference,Reference,7.51,7.51,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.284,0.284,7.21,0.721,Reference,Reference,Reference,Reference,,0.0025741
LC 038E 08 S,LC 038E 08 S,LC038E08S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.375,0.375,9.53,0.953,0.271,0.271,6.88,0.688,MIN,MIN,MIN,MIN,0.875,0.875,22.23,2.223,0.028,0.028,0.71,0.071,14.2,14.2,2.487,24.87,0.2536,2.536,253.58,2535.8,1.42,1.42,0.2487,2.487,0.02536,0.2536,25.358,253.58,0.286,0.286,7.26,0.726,0.038,0.038,0.97,0.097,Stainless Steel,SS,8.5799,8.58,38.17,3.892,3891.84,Squared and Ground,Factory Option,5.4977,5.4977,Reference,Reference,7.5,7.5,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.284,0.284,7.21,0.721,Reference,Reference,Reference,Reference,,0.0026186
LC 038E 08 S316,LC 038E 08 S316,LC038E08S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.375,0.375,9.53,0.953,0.271,0.271,6.88,0.688,MIN,MIN,MIN,MIN,0.875,0.875,22.23,2.223,0.028,0.028,0.71,0.071,14.2,14.2,2.487,24.87,0.2536,2.536,253.58,2535.8,1.42,1.42,0.2487,2.487,0.02536,0.2536,25.358,253.58,0.286,0.286,7.26,0.726,0.038,0.038,0.97,0.097,Stainless Steel Type 316,SS316,8.5799,8.58,38.17,3.892,3891.84,Squared and Ground,Factory Option,5.4977,5.4977,Reference,Reference,7.5,7.5,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.284,0.284,7.21,0.721,Reference,Reference,Reference,Reference,,0.0026186
LC 038E 09 M,LC 038E 09 M,LC038E09M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.375,0.375,9.53,0.953,0.271,0.271,6.88,0.688,MIN,MIN,MIN,MIN,0.938,0.938,23.83,2.383,0.031,0.031,0.79,0.079,16,16,2.802,28.02,0.2857,2.857,285.73,2857.3,1.6,1.6,0.2802,2.802,0.02857,0.2857,28.573,285.73,0.305,0.305,7.75,0.775,0.038,0.038,0.97,0.097,Music Wire,MW,10.3,10.3,45.82,4.672,4672.08,Squared and Ground,Factory Option,5.8551,5.8551,Reference,Reference,7.86,7.86,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.284,0.284,7.21,0.721,Reference,Reference,Reference,Reference,,0.0026921
LC 038E 09 S,LC 038E 09 S,LC038E09S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.375,0.375,9.53,0.953,0.271,0.271,6.88,0.688,MIN,MIN,MIN,MIN,0.938,0.938,23.83,2.383,0.031,0.031,0.79,0.079,13.3,13.3,2.329,23.29,0.2375,2.375,237.51,2375.1,1.33,1.33,0.2329,2.329,0.02375,0.2375,23.751,237.51,0.305,0.305,7.75,0.775,0.038,0.038,0.97,0.097,Stainless Steel,SS,8.5799,8.58,38.17,3.892,3891.84,Squared and Ground,Factory Option,5.8698,5.8698,Reference,Reference,7.87,7.87,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.284,0.284,7.21,0.721,Reference,Reference,Reference,Reference,,0.0027485
LC 038E 09 S316,LC 038E 09 S316,LC038E09S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.375,0.375,9.53,0.953,0.271,0.271,6.88,0.688,MIN,MIN,MIN,MIN,0.938,0.938,23.83,2.383,0.031,0.031,0.79,0.079,13.3,13.3,2.329,23.29,0.2375,2.375,237.51,2375.1,1.33,1.33,0.2329,2.329,0.02375,0.2375,23.751,237.51,0.305,0.305,7.75,0.775,0.038,0.038,0.97,0.097,Stainless Steel Type 316,SS316,8.5799,8.58,38.17,3.892,3891.84,Squared and Ground,Factory Option,5.8698,5.8698,Reference,Reference,7.87,7.87,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.284,0.284,7.21,0.721,Reference,Reference,Reference,Reference,,0.0027485
LC 038E 10 M,LC 038E 10 M,LC038E10M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.375,0.375,9.53,0.953,0.271,0.271,6.88,0.688,MIN,MIN,MIN,MIN,1,1,25.4,2.54,0.033,0.033,0.84,0.084,15,15,2.627,26.27,0.2679,2.679,267.87,2678.7,1.5,1.5,0.2627,2.627,0.02679,0.2679,26.787,267.87,0.324,0.324,8.23,0.823,0.038,0.038,0.97,0.097,Music Wire,MW,10.3,10.3,45.82,4.672,4672.08,Squared and Ground,Factory Option,6.2454,6.2454,Reference,Reference,8.25,8.25,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.284,0.284,7.21,0.721,Reference,Reference,Reference,Reference,,0.0028259
LC 038E 10 S,LC 038E 10 S,LC038E10S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.375,0.375,9.53,0.953,0.271,0.271,6.88,0.688,MIN,MIN,MIN,MIN,1,1,25.4,2.54,0.033,0.033,0.84,0.084,12.5,12.5,2.189,21.89,0.2232,2.232,223.23,2232.3,1.25,1.25,0.2189,2.189,0.02232,0.2232,22.323,223.23,0.324,0.324,8.23,0.823,0.038,0.038,0.97,0.097,Stainless Steel,SS,8.5799,8.58,38.17,3.892,3891.84,Squared and Ground,Factory Option,6.2454,6.2454,Reference,Reference,8.25,8.25,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.284,0.284,7.21,0.721,Reference,Reference,Reference,Reference,,0.0028797
LC 038E 10 S316,LC 038E 10 S316,LC038E10S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.375,0.375,9.53,0.953,0.271,0.271,6.88,0.688,MIN,MIN,MIN,MIN,1,1,25.4,2.54,0.033,0.033,0.84,0.084,12.5,12.5,2.189,21.89,0.2232,2.232,223.23,2232.3,1.25,1.25,0.2189,2.189,0.02232,0.2232,22.323,223.23,0.324,0.324,8.23,0.823,0.038,0.038,0.97,0.097,Stainless Steel Type 316,SS316,8.5799,8.58,38.17,3.892,3891.84,Squared and Ground,Factory Option,6.2454,6.2454,Reference,Reference,8.25,8.25,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.284,0.284,7.21,0.721,Reference,Reference,Reference,Reference,,0.0028797
LC 038E 11 M,LC 038E 11 M,LC038E11M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.375,0.375,9.53,0.953,0.271,0.271,6.88,0.688,MIN,MIN,MIN,MIN,1.125,1.125,28.58,2.858,0.035,0.035,0.89,0.089,13,13,2.277,22.77,0.2322,2.322,232.15,2321.5,1.3,1.3,0.2277,2.277,0.02322,0.2322,23.215,232.15,0.352,0.352,8.94,0.894,0.038,0.038,0.97,0.097,Music Wire,MW,10.3,10.3,45.82,4.672,4672.08,Squared and Ground,Factory Option,7.2063,7.2063,Reference,Reference,9.21,9.21,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.284,0.284,7.21,0.721,Reference,Reference,Reference,Reference,,0.0031552
