title,model,field_published_stock_code,field_product_type,field_spring_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_product_series,field_revision,field_material,field_material_short_description,field_material_specification,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_outside_dia_tole_bd_spe_in,field_outside_dia_tole_in,field_outside_dia_tole_mm,field_outside_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_total_coils_bd_spe,field_total_coils,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_end,field_initial_ten_bud_spec_lb,field_initial_tension_lb,field_initial_tension_n,field_initial_tension_kg,field_initial_tension_gm,field_initial_ten_tol_bud_spc_lb,field_initial_ten_tol_lb,field_initial_ten_tol_n,field_initial_ten_tol_kg,field_initial_ten_tol_gm,field_max_load_build_spec_lb,field_max_load_lb,field_max_load_n,field_max_load_kg,field_max_load_gm,field_max_extend_len_bd_spe_in,field_max_extended_length_in,field_max_extended_length_mm,field_max_extended_length_cm,field_body_length_build_spec_in,field_body_length_in,field_body_length_mm,field_body_length_cm,field_direction_of_wind,field_finish,field_weight_per_item_lb,field_loop_insid_dia_bd_spec_in,field_loop_inside_diameter_in,field_loop_inside_diameter_mm,field_loop_inside_diameter_cm,field_loop_position,field_loop_opening_build_spec_in,field_loop_opening_in,field_loop_opening_mm,field_loop_opening_cm
LE 045DD 07M,LE 045DD 07M,LE045DD07M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.42,0.42,10.67,1.067,0.01,0.01,0.25,0.025,2,2,50.8,5.08,0.04,0.04,1.02,0.102,4.05,4.05,0.709,7.09,0.0723,0.723,72.3,723,0.405,0.405,0.0709,0.709,0.00723,0.0723,7.23,72.3,0.33,0.33,8.38,0.838,REF,Reference,Reference,Reference,28.78,28.8,0.045,0.045,1.14,0.114,Standard Loops,0.9,0.9,4.003,0.4082,408.2,0.18,0.18,0.8007,0.08165,81.65,8.8,8.8,39.144,3.9917,3991.7,3.951,3.951,100.36,10.036,1.34,1.34,34.04,3.404,Factory Option,Zinc Plate and Bake per ASTM B633,0.0172,0.33,0.33,8.38,0.838,Random,0.045,0.045,1.14,0.114
LE 045DD 07S,LE 045DD 07S,LE045DD07S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,0.42,0.42,10.67,1.067,0.01,0.01,0.25,0.025,2,2,50.8,5.08,0.04,0.04,1.02,0.102,3.375,3.375,0.591,5.91,0.0603,0.603,60.3,603,0.3375,0.3375,0.0591,0.591,0.00603,0.0603,6.03,60.3,0.33,0.33,8.38,0.838,REF,Reference,Reference,Reference,28.78,28.8,0.045,0.045,1.14,0.114,Standard Loops,0.75,0.75,3.336,0.3402,340.2,0.15,0.15,0.6672,0.06804,68.04,7.333,7.333,32.619,3.3262,3326.2,3.951,3.951,100.36,10.036,1.34,1.34,34.04,3.404,Factory Option,Passivate per ASTM A967,0.01732,0.33,0.33,8.38,0.838,Random,0.045,0.045,1.14,0.114
LE 045DD 07S316,LE 045DD 07S316,LE045DD07S316,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Stainless Steel Type 316,SS 316,ASTM A313,0.42,0.42,10.67,1.067,0.01,0.01,0.25,0.025,2,2,50.8,5.08,0.04,0.04,1.02,0.102,3.375,3.375,0.591,5.91,0.0603,0.603,60.3,603,0.3375,0.3375,0.0591,0.591,0.00603,0.0603,6.03,60.3,0.33,0.33,8.38,0.838,REF,Reference,Reference,Reference,28.78,28.8,0.045,0.045,1.14,0.114,Standard Loops,0.75,0.75,3.336,0.3402,340.2,0.15,0.15,0.6672,0.06804,68.04,5.499,5.499,24.461,2.4943,2494.3,3.407,3.407,86.54,8.654,1.34,1.34,34.04,3.404,Factory Option,Ultrasonically Passivate with Citric Acid for 10 mins At 131 Deg F,0.01732,0.33,0.33,8.38,0.838,Random,0.045,0.045,1.14,0.114
LE 045DD 08M,LE 045DD 08M,LE045DD08M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.42,0.42,10.67,1.067,0.01,0.01,0.25,0.025,2.25,2.25,57.15,5.715,0.06,0.06,1.52,0.152,3.4,3.4,0.595,5.95,0.0607,0.607,60.7,607,0.34,0.34,0.0595,0.595,0.00607,0.0607,6.07,60.7,0.33,0.33,8.38,0.838,REF,Reference,Reference,Reference,34.33,34.3,0.045,0.045,1.14,0.114,Standard Loops,0.9,0.9,4.003,0.4082,408.2,0.18,0.18,0.8007,0.08165,81.65,8.8,8.8,39.144,3.9917,3991.7,4.574,4.574,116.18,11.618,1.59,1.59,40.39,4.039,Factory Option,Zinc Plate and Bake per ASTM B633,0.0203,0.33,0.33,8.38,0.838,Random,0.045,0.045,1.14,0.114
LE 045DD 08S,LE 045DD 08S,LE045DD08S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,0.42,0.42,10.67,1.067,0.01,0.01,0.25,0.025,2.25,2.25,57.15,5.715,0.06,0.06,1.52,0.152,2.833,2.833,0.496,4.96,0.0506,0.506,50.6,506,0.2833,0.2833,0.0496,0.496,0.00506,0.0506,5.06,50.6,0.33,0.33,8.38,0.838,REF,Reference,Reference,Reference,34.33,34.3,0.045,0.045,1.14,0.114,Standard Loops,0.75,0.75,3.336,0.3402,340.2,0.15,0.15,0.6672,0.06804,68.04,7.333,7.333,32.619,3.3262,3326.2,4.574,4.574,116.18,11.618,1.59,1.59,40.39,4.039,Factory Option,Passivate per ASTM A967,0.02044,0.33,0.33,8.38,0.838,Random,0.045,0.045,1.14,0.114
LE 045DD 08S316,LE 045DD 08S316,LE045DD08S316,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Stainless Steel Type 316,SS 316,ASTM A313,0.42,0.42,10.67,1.067,0.01,0.01,0.25,0.025,2.25,2.25,57.15,5.715,0.06,0.06,1.52,0.152,2.833,2.833,0.496,4.96,0.0506,0.506,50.6,506,0.2833,0.2833,0.0496,0.496,0.00506,0.0506,5.06,50.6,0.33,0.33,8.38,0.838,REF,Reference,Reference,Reference,34.33,34.3,0.045,0.045,1.14,0.114,Standard Loops,0.75,0.75,3.336,0.3402,340.2,0.15,0.15,0.6672,0.06804,68.04,5.499,5.499,24.461,2.4943,2494.3,3.926,3.926,99.72,9.972,1.59,1.59,40.39,4.039,Factory Option,Ultrasonically Passivate with Citric Acid for 10 mins At 131 Deg F,0.02044,0.33,0.33,8.38,0.838,Random,0.045,0.045,1.14,0.114
LE 045DD 09M,LE 045DD 09M,LE045DD09M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.42,0.42,10.67,1.067,0.01,0.01,0.25,0.025,2.5,2.5,63.5,6.35,0.06,0.06,1.52,0.152,2.92,2.92,0.511,5.11,0.0521,0.521,52.1,521,0.292,0.292,0.0511,0.511,0.00521,0.0521,5.21,52.1,0.33,0.33,8.38,0.838,REF,Reference,Reference,Reference,39.89,39.9,0.045,0.045,1.14,0.114,Standard Loops,0.9,0.9,4.003,0.4082,408.2,0.18,0.18,0.8007,0.08165,81.65,8.8,8.8,39.144,3.9917,3991.7,5.205,5.205,132.21,13.221,1.84,1.84,46.74,4.674,Factory Option,Zinc Plate and Bake per ASTM B633,0.02341,0.33,0.33,8.38,0.838,Random,0.045,0.045,1.14,0.114
LE 045DD 09S,LE 045DD 09S,LE045DD09S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,0.42,0.42,10.67,1.067,0.01,0.01,0.25,0.025,2.5,2.5,63.5,6.35,0.06,0.06,1.52,0.152,2.433,2.433,0.426,4.26,0.0434,0.434,43.4,434,0.2433,0.2433,0.0426,0.426,0.00434,0.0434,4.34,43.4,0.33,0.33,8.38,0.838,REF,Reference,Reference,Reference,39.89,39.9,0.045,0.045,1.14,0.114,Standard Loops,0.75,0.75,3.336,0.3402,340.2,0.15,0.15,0.6672,0.06804,68.04,7.333,7.333,32.619,3.3262,3326.2,5.205,5.205,132.21,13.221,1.84,1.84,46.74,4.674,Factory Option,Passivate per ASTM A967,0.02357,0.33,0.33,8.38,0.838,Random,0.045,0.045,1.14,0.114
LE 045DD 09S316,LE 045DD 09S316,LE045DD09S316,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Stainless Steel Type 316,SS 316,ASTM A313,0.42,0.42,10.67,1.067,0.01,0.01,0.25,0.025,2.5,2.5,63.5,6.35,0.06,0.06,1.52,0.152,2.433,2.433,0.426,4.26,0.0434,0.434,43.4,434,0.2433,0.2433,0.0426,0.426,0.00434,0.0434,4.34,43.4,0.33,0.33,8.38,0.838,REF,Reference,Reference,Reference,39.89,39.9,0.045,0.045,1.14,0.114,Standard Loops,0.75,0.75,3.336,0.3402,340.2,0.15,0.15,0.6672,0.06804,68.04,5.499,5.499,24.461,2.4943,2494.3,4.451,4.451,113.06,11.306,1.84,1.84,46.74,4.674,Factory Option,Ultrasonically Passivate with Citric Acid for 10 mins At 131 Deg F,0.02357,0.33,0.33,8.38,0.838,Random,0.045,0.045,1.14,0.114
LE 045DD 10M,LE 045DD 10M,LE045DD10M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.42,0.42,10.67,1.067,0.01,0.01,0.25,0.025,2.75,2.75,69.85,6.985,0.06,0.06,1.52,0.152,2.57,2.57,0.45,4.5,0.0459,0.459,45.9,459,0.257,0.257,0.045,0.45,0.00459,0.0459,4.59,45.9,0.33,0.33,8.38,0.838,REF,Reference,Reference,Reference,45.44,45.4,0.045,0.045,1.14,0.114,Standard Loops,0.9,0.9,4.003,0.4082,408.2,0.18,0.18,0.8007,0.08165,81.65,8.8,8.8,39.144,3.9917,3991.7,5.824,5.824,147.93,14.793,2.09,2.09,53.09,5.309,Factory Option,Zinc Plate and Bake per ASTM B633,0.02651,0.33,0.33,8.38,0.838,Random,0.045,0.045,1.14,0.114
