title,model,field_published_stock_code,field_product_type,field_spring_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_out_dia_tol_bld_spc_in,field_out_dia_tol_in,field_out_dia_tol_mm,field_out_dia_tol_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_color,field_weight_per_item_lb,field_nominal_load_build_spec_lb,field_nominal_load_lb,field_nominal_load_n,field_nominal_load_kg,field_nominal_load_gm,field_working_height_bud_spc_in,field_working_height_in,field_working_height_mm,field_working_height_cm
LWM28 050 1207S,LWM28 050 1207S,LWM280501207S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.07,1.07,27.18,2.718,Reference,Reference,Reference,Reference,1.102,1.102,28,2.8,0.866,0.866,22,2.2,MIN,MIN,MIN,MIN,0.475,0.475,12.07,1.207,0.08,0.08,2.03,0.203,49.276,49.276,8.63,86.3,0.88,8.8,879.97,8799.7,12.319,12.319,2.1575,21.575,0.21999,2.1999,219.993,2199.93,0.072,0.072,1.83,0.183,0.012,0.012,0.3,0.03,Stainless Steel Type 17-7 PH,17-7 PH,19.858,19.858,88.33,9.008,9007.59,Plain (End Turn is Wavy),Factory Option,5,5,Reference,Reference,5,5,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.882,0.882,26.58,2.658,Reference,Reference,Reference,Reference,,0.007602,11.24,11.24,50,5.098,5098.46,0.247,0.247,6.27,0.627
LWM28 050 1448S,LWM28 050 1448S,LWM280501448S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.07,1.07,27.18,2.718,Reference,Reference,Reference,Reference,1.102,1.102,28,2.8,0.866,0.866,22,2.2,MIN,MIN,MIN,MIN,0.57,0.57,14.48,1.448,0.09,0.09,2.29,0.229,40.997,40.997,7.18,71.8,0.7321,7.321,732.12,7321.2,10.249,10.249,1.7949,17.949,0.18303,1.8303,183.027,1830.27,0.084,0.084,2.13,0.213,0.012,0.012,0.3,0.03,Stainless Steel Type 17-7 PH,17-7 PH,19.925,19.925,88.63,9.038,9037.98,Plain (End Turn is Wavy),Factory Option,6,6,Reference,Reference,6,6,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.882,0.882,26.58,2.658,Reference,Reference,Reference,Reference,,0.009122,11.24,11.24,50,5.098,5098.46,0.296,0.296,7.52,0.752
LWM28 050 1689S,LWM28 050 1689S,LWM280501689S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.07,1.07,27.18,2.718,Reference,Reference,Reference,Reference,1.102,1.102,28,2.8,0.866,0.866,22,2.2,MIN,MIN,MIN,MIN,0.665,0.665,16.89,1.689,0.09,0.09,2.29,0.229,35.23,35.23,6.17,61.7,0.6291,6.291,629.14,6291.4,8.808,8.808,1.5426,15.426,0.15729,1.5729,157.293,1572.93,0.096,0.096,2.44,0.244,0.012,0.012,0.3,0.03,Stainless Steel Type 17-7 PH,17-7 PH,20.046,20.046,89.17,9.093,9092.87,Plain (End Turn is Wavy),Factory Option,7,7,Reference,Reference,7,7,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.882,0.882,26.58,2.658,Reference,Reference,Reference,Reference,,0.010643,11.24,11.24,50,5.098,5098.46,0.346,0.346,8.79,0.879
LWM28 050 1930S,LWM28 050 1930S,LWM280501930S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.07,1.07,27.18,2.718,Reference,Reference,Reference,Reference,1.102,1.102,28,2.8,0.866,0.866,22,2.2,MIN,MIN,MIN,MIN,0.76,0.76,19.3,1.93,0.12,0.12,3.05,0.305,30.776,30.776,5.39,53.9,0.5496,5.496,549.6,5496,7.694,7.694,1.3475,13.475,0.1374,1.374,137.399,1373.99,0.108,0.108,2.74,0.274,0.012,0.012,0.3,0.03,Stainless Steel Type 17-7 PH,17-7 PH,20.066,20.066,89.26,9.102,9101.94,Plain (End Turn is Wavy),Factory Option,8,8,Reference,Reference,8,8,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.882,0.882,26.58,2.658,Reference,Reference,Reference,Reference,,0.012163,11.24,11.24,50,5.098,5098.46,0.395,0.395,10.03,1.003
LWM28 050 2172S,LWM28 050 2172S,LWM280502172S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.07,1.07,27.18,2.718,Reference,Reference,Reference,Reference,1.102,1.102,28,2.8,0.866,0.866,22,2.2,MIN,MIN,MIN,MIN,0.855,0.855,21.72,2.172,0.12,0.12,3.05,0.305,27.35,27.35,4.79,47.9,0.4884,4.884,488.42,4884.2,6.838,6.838,1.1976,11.976,0.12211,1.2211,122.113,1221.13,0.12,0.12,3.05,0.305,0.012,0.012,0.3,0.03,Stainless Steel Type 17-7 PH,17-7 PH,20.102,20.102,89.42,9.118,9118.27,Plain (End Turn is Wavy),Factory Option,9,9,Reference,Reference,9,9,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.882,0.882,26.58,2.658,Reference,Reference,Reference,Reference,,0.013684,11.24,11.24,50,5.098,5098.46,0.444,0.444,11.28,1.128
LWM28 050 2654S,LWM28 050 2654S,LWM280502654S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.07,1.07,27.18,2.718,Reference,Reference,Reference,Reference,1.102,1.102,28,2.8,0.866,0.866,22,2.2,MIN,MIN,MIN,MIN,1.045,1.045,26.54,2.654,0.15,0.15,3.81,0.381,22.383,22.383,3.92,39.2,0.3997,3.997,399.72,3997.2,5.596,5.596,0.98,9.8,0.09993,0.9993,99.933,999.33,0.144,0.144,3.66,0.366,0.012,0.012,0.3,0.03,Stainless Steel Type 17-7 PH,17-7 PH,20.167,20.167,89.71,9.148,9147.75,Plain (End Turn is Wavy),Factory Option,11,11,Reference,Reference,11,11,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.882,0.882,26.58,2.658,Reference,Reference,Reference,Reference,,0.016724,11.24,11.24,50,5.098,5098.46,0.543,0.543,13.79,1.379
LWM28 050 3137S,LWM28 050 3137S,LWM280503137S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.07,1.07,27.18,2.718,Reference,Reference,Reference,Reference,1.102,1.102,28,2.8,0.866,0.866,22,2.2,MIN,MIN,MIN,MIN,1.235,1.235,31.37,3.137,0.15,0.15,3.81,0.381,18.957,18.957,3.32,33.2,0.3385,3.385,338.53,3385.3,4.739,4.739,0.83,8.3,0.08463,0.8463,84.629,846.29,0.168,0.168,4.27,0.427,0.012,0.012,0.3,0.03,Stainless Steel Type 17-7 PH,17-7 PH,20.227,20.227,89.97,9.175,9174.97,Plain (End Turn is Wavy),Factory Option,13,13,Reference,Reference,13,13,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.882,0.882,26.58,2.658,Reference,Reference,Reference,Reference,,0.019765,11.24,11.24,50,5.098,5098.46,0.642,0.642,16.31,1.631
LWM28 080 0724S,LWM28 080 0724S,LWM280800724S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.07,1.07,27.18,2.718,Reference,Reference,Reference,Reference,1.102,1.102,28,2.8,0.866,0.866,22,2.2,MIN,MIN,MIN,MIN,0.285,0.285,7.24,0.724,0.05,0.05,1.27,0.127,160.562,160.562,28.12,281.2,2.8673,28.673,2867.32,28673.2,40.141,40.141,7.03,70.3,0.71684,7.1684,716.838,7168.38,0.06,0.06,1.52,0.152,0.015,0.015,0.38,0.038,Stainless Steel Type 17-7 PH,17-7 PH,36.126,36.126,160.7,16.387,16386.75,Plain (End Turn is Wavy),Factory Option,3,3,Reference,Reference,3,3,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.882,0.882,26.42,2.642,Reference,Reference,Reference,Reference,,0.005778,17.985,17.985,80,8.158,8158,0.173,0.173,4.39,0.439
LWM28 080 0965S,LWM28 080 0965S,LWM280800965S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.07,1.07,27.18,2.718,Reference,Reference,Reference,Reference,1.102,1.102,28,2.8,0.866,0.866,22,2.2,MIN,MIN,MIN,MIN,0.38,0.38,9.65,0.965,0.06,0.06,1.52,0.152,119.908,119.908,21,210,2.1413,21.413,2141.32,21413.2,29.977,29.977,5.25,52.5,0.53533,5.3533,535.329,5353.29,0.075,0.075,1.91,0.191,0.015,0.015,0.38,0.038,Stainless Steel Type 17-7 PH,17-7 PH,36.572,36.572,162.68,16.589,16589.06,Plain (End Turn is Wavy),Factory Option,4,4,Reference,Reference,4,4,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.882,0.882,26.42,2.642,Reference,Reference,Reference,Reference,,0.007703,17.985,17.985,80,8.158,8158,0.23,0.23,5.84,0.584
LWM28 080 1207S,LWM28 080 1207S,LWM280801207S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.07,1.07,27.18,2.718,Reference,Reference,Reference,Reference,1.102,1.102,28,2.8,0.866,0.866,22,2.2,MIN,MIN,MIN,MIN,0.475,0.475,12.07,1.207,0.08,0.08,2.03,0.203,96.155,96.155,16.84,168.4,1.7171,17.171,1717.14,17171.4,24.039,24.039,4.21,42.1,0.42929,4.2929,429.288,4292.88,0.09,0.09,2.29,0.229,0.015,0.015,0.38,0.038,Stainless Steel Type 17-7 PH,17-7 PH,37.02,37.02,164.67,16.792,16792.27,Plain (End Turn is Wavy),Factory Option,5,5,Reference,Reference,5,5,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.882,0.882,26.42,2.642,Reference,Reference,Reference,Reference,,0.009629,17.985,17.985,80,8.158,8158,0.288,0.288,7.32,0.732
