title,model,field_published_stock_code,field_product_type,field_spring_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_out_dia_tol_bld_spc_in,field_out_dia_tol_in,field_out_dia_tol_mm,field_out_dia_tol_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_color,field_weight_per_item_lb,field_nominal_load_build_spec_lb,field_nominal_load_lb,field_nominal_load_n,field_nominal_load_kg,field_nominal_load_gm,field_working_height_bud_spc_in,field_working_height_in,field_working_height_mm,field_working_height_cm
LW 112 20 1600S,LW 112 20 1600S,LW112201600S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.082,1.082,27.48,2.748,Reference,Reference,Reference,Reference,1.125,1.125,28.58,2.858,0.85,0.85,21.59,2.159,MIN,MIN,MIN,MIN,1.6,1.6,40.64,4.064,0.21,0.21,5.33,0.533,27,27,4.729,47.29,0.4822,4.822,482.17,4821.7,6.75,6.75,1.1821,11.821,0.12054,1.2054,120.542,1205.42,0.255,0.255,6.48,0.648,0.015,0.015,0.38,0.038,Stainless Steel Type 17-7 PH,17-7 PH,36.315,36.315,161.54,16.472,16472.48,Plain (End Turn is Wavy),Factory Option,16,16,Reference,Reference,16,16,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.894,0.894,22.71,2.271,Reference,Reference,Reference,Reference,,0.023215,20,20,88.96,9.072,9072,0.861,0.861,21.87,2.187
LW 112 20 2000S,LW 112 20 2000S,LW112202000S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.082,1.082,27.48,2.748,Reference,Reference,Reference,Reference,1.125,1.125,28.58,2.858,0.85,0.85,21.59,2.159,MIN,MIN,MIN,MIN,2,2,50.8,5.08,0.25,0.25,6.35,0.635,22,22,3.853,38.53,0.3929,3.929,392.88,3928.8,5.5,5.5,0.9632,9.632,0.09822,0.9822,98.219,982.19,0.315,0.315,8,0.8,0.015,0.015,0.38,0.038,Stainless Steel Type 17-7 PH,17-7 PH,37.07,37.07,164.9,16.815,16814.95,Plain (End Turn is Wavy),Factory Option,20,20,Reference,Reference,20,20,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.894,0.894,22.71,2.271,Reference,Reference,Reference,Reference,,0.032572,20,20,88.96,9.072,9072,1.088,1.088,27.64,2.764
LW 112 30 0300S,LW 112 30 0300S,LW112300300S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.082,1.082,27.48,2.748,Reference,Reference,Reference,Reference,1.125,1.125,28.58,2.858,0.85,0.85,21.59,2.159,MIN,MIN,MIN,MIN,0.3,0.3,7.62,0.762,0.06,0.06,1.52,0.152,246,246,43.083,430.83,4.3931,43.931,4393.07,43930.7,61.5,61.5,10.7707,107.707,1.09827,10.9827,1098.267,10982.67,0.072,0.072,1.83,0.183,0.018,0.018,0.46,0.046,Stainless Steel Type 17-7 PH,17-7 PH,56.088,56.088,249.49,25.442,25441.52,Plain (End Turn is Wavy),Factory Option,3,3,Reference,Reference,3,3,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.894,0.894,22.71,2.271,Reference,Reference,Reference,Reference,,0.005223,30,30,133.45,13.608,13608,0.178,0.178,4.52,0.452
LW 112 30 0400S,LW 112 30 0400S,LW112300400S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.082,1.082,27.48,2.748,Reference,Reference,Reference,Reference,1.125,1.125,28.58,2.858,0.85,0.85,21.59,2.159,MIN,MIN,MIN,MIN,0.4,0.4,10.16,1.016,0.06,0.06,1.52,0.152,175,175,30.648,306.48,3.1252,31.252,3125.15,31251.5,43.75,43.75,7.6621,76.621,0.78129,7.8129,781.288,7812.88,0.09,0.09,2.29,0.229,0.018,0.018,0.46,0.046,Stainless Steel Type 17-7 PH,17-7 PH,54.25,54.25,241.32,24.608,24607.8,Plain (End Turn is Wavy),Factory Option,4,4,Reference,Reference,4,4,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.894,0.894,22.71,2.271,Reference,Reference,Reference,Reference,,0.007817,30,30,133.45,13.608,13608,0.229,0.229,5.82,0.582
LW 112 30 0500S,LW 112 30 0500S,LW112300500S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.082,1.082,27.48,2.748,Reference,Reference,Reference,Reference,1.125,1.125,28.58,2.858,0.85,0.85,21.59,2.159,MIN,MIN,MIN,MIN,0.5,0.5,12.7,1.27,0.06,0.06,1.52,0.152,152,152,26.62,266.2,2.7144,27.144,2714.42,27144.2,38,38,6.6551,66.551,0.6786,6.786,678.604,6786.04,0.108,0.108,2.74,0.274,0.018,0.018,0.46,0.046,Stainless Steel Type 17-7 PH,17-7 PH,59.584,59.584,265.04,27.027,27027.3,Plain (End Turn is Wavy),Factory Option,5,5,Reference,Reference,5,5,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.894,0.894,22.71,2.271,Reference,Reference,Reference,Reference,,0.008705,30,30,133.45,13.608,13608,0.303,0.303,7.7,0.77
LW 112 30 0600S,LW 112 30 0600S,LW112300600S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.082,1.082,27.48,2.748,Reference,Reference,Reference,Reference,1.125,1.125,28.58,2.858,0.85,0.85,21.59,2.159,MIN,MIN,MIN,MIN,0.6,0.6,15.24,1.524,0.09,0.09,2.29,0.229,120,120,21.016,210.16,2.143,21.43,2142.96,21429.6,30,30,5.254,52.54,0.53574,5.3574,535.74,5357.4,0.126,0.126,3.2,0.32,0.018,0.018,0.46,0.046,Stainless Steel Type 17-7 PH,17-7 PH,56.88,56.88,253.01,25.801,25800.77,Plain (End Turn is Wavy),Factory Option,6,6,Reference,Reference,6,6,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.894,0.894,22.71,2.271,Reference,Reference,Reference,Reference,,0.011726,30,30,133.45,13.608,13608,0.35,0.35,8.89,0.889
LW 112 30 0700S,LW 112 30 0700S,LW112300700S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.082,1.082,27.48,2.748,Reference,Reference,Reference,Reference,1.125,1.125,28.58,2.858,0.85,0.85,21.59,2.159,MIN,MIN,MIN,MIN,0.7,0.7,17.78,1.778,0.09,0.09,2.29,0.229,108,108,18.914,189.14,1.9287,19.287,1928.66,19286.6,27,27,4.7286,47.286,0.48217,4.8217,482.166,4821.66,0.144,0.144,3.66,0.366,0.018,0.018,0.46,0.046,Stainless Steel Type 17-7 PH,17-7 PH,60.048,60.048,267.11,27.238,27237.77,Plain (End Turn is Wavy),Factory Option,7,7,Reference,Reference,7,7,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.894,0.894,22.71,2.271,Reference,Reference,Reference,Reference,,0.012187,30,30,133.45,13.608,13608,0.421,0.421,10.69,1.069
LW 112 30 0800S,LW 112 30 0800S,LW112300800S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.082,1.082,27.48,2.748,Reference,Reference,Reference,Reference,1.125,1.125,28.58,2.858,0.85,0.85,21.59,2.159,MIN,MIN,MIN,MIN,0.8,0.8,20.32,2.032,0.12,0.12,3.05,0.305,91,91,15.937,159.37,1.6251,16.251,1625.08,16250.8,22.75,22.75,3.9843,39.843,0.40627,4.0627,406.27,4062.7,0.162,0.162,4.12,0.412,0.018,0.018,0.46,0.046,Stainless Steel Type 17-7 PH,17-7 PH,58.058,58.058,258.25,26.335,26335.11,Plain (End Turn is Wavy),Factory Option,8,8,Reference,Reference,8,8,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.894,0.894,22.71,2.271,Reference,Reference,Reference,Reference,,0.015634,30,30,133.45,13.608,13608,0.47,0.47,11.94,1.194
LW 112 30 1000S,LW 112 30 1000S,LW112301000S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.082,1.082,27.48,2.748,Reference,Reference,Reference,Reference,1.125,1.125,28.58,2.858,0.85,0.85,21.59,2.159,MIN,MIN,MIN,MIN,1,1,25.4,2.54,0.12,0.12,3.05,0.305,74,74,12.96,129.6,1.3215,13.215,1321.49,13214.9,18.5,18.5,3.24,32.4,0.33037,3.3037,330.373,3303.73,0.198,0.198,5.03,0.503,0.018,0.018,0.46,0.046,Stainless Steel Type 17-7 PH,17-7 PH,59.348,59.348,263.99,26.92,26920.25,Plain (End Turn is Wavy),Factory Option,10,10,Reference,Reference,10,10,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.894,0.894,22.71,2.271,Reference,Reference,Reference,Reference,,0.017411,30,30,133.45,13.608,13608,0.593,0.593,15.06,1.506
LW 112 30 1300S,LW 112 30 1300S,LW112301300S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.082,1.082,27.48,2.748,Reference,Reference,Reference,Reference,1.125,1.125,28.58,2.858,0.85,0.85,21.59,2.159,MIN,MIN,MIN,MIN,1.3,1.3,33.02,3.302,0.18,0.18,4.57,0.457,58,58,10.158,101.58,1.0358,10.358,1035.76,10357.6,14.5,14.5,2.5394,25.394,0.25894,2.5894,258.941,2589.41,0.252,0.252,6.4,0.64,0.018,0.018,0.46,0.046,Stainless Steel Type 17-7 PH,17-7 PH,60.784,60.784,270.38,27.572,27571.62,Plain (End Turn is Wavy),Factory Option,13,13,Reference,Reference,13,13,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.894,0.894,22.71,2.271,Reference,Reference,Reference,Reference,,0.025406,30,30,133.45,13.608,13608,0.787,0.787,19.99,1.999
LW 112 30 1600S,LW 112 30 1600S,LW112301600S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.082,1.082,27.48,2.748,Reference,Reference,Reference,Reference,1.125,1.125,28.58,2.858,0.85,0.85,21.59,2.159,MIN,MIN,MIN,MIN,1.6,1.6,40.64,4.064,0.21,0.21,5.33,0.533,47,47,8.231,82.31,0.8393,8.393,839.33,8393.3,11.75,11.75,2.0578,20.578,0.20983,2.0983,209.832,2098.32,0.306,0.306,7.77,0.777,0.018,0.018,0.46,0.046,Stainless Steel Type 17-7 PH,17-7 PH,60.818,60.818,270.53,27.587,27587.04,Plain (End Turn is Wavy),Factory Option,16,16,Reference,Reference,16,16,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.894,0.894,22.71,2.271,Reference,Reference,Reference,Reference,,0.027857,30,30,133.45,13.608,13608,0.956,0.956,24.28,2.428
