title,model,field_published_stock_code,field_product_type,field_product_category,field_product_series,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_material,field_material_short_description,field_material_specification,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_outside_dia_tole_bd_spe_in,field_outside_dia_tole_in,field_outside_dia_tole_mm,field_outside_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_inside_dia_tole_bd_spe_in,field_inside_dia_tole_in,field_inside_dia_tole_mm,field_inside_dia_tole_cm,field_appr_num_coil_buld_spec_in,field_appr_num_coils_per_in,field_appr_num_coils_per_mm,field_appr_num_coils_per_cm,field_stiffness_build_spec_lb_in,field_stiffness_lb_in,field_stiffness_n_mm,field_stiffness_n_cm,field_stiffness_kg_mm,field_stiffness_kg_cm,field_stiffness_gm_mm,field_stiffness_gm_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_initial_ten_bud_spec_lb,field_initial_tension_lb,field_initial_tension_n,field_initial_tension_kg,field_initial_tension_gm,field_initial_ten_tol_bud_spc_lb,field_initial_ten_tol_lb,field_initial_ten_tol_n,field_initial_ten_tol_kg,field_initial_ten_tol_gm,field_direction_of_wind,field_total_coils_bd_spe,field_total_coils,field_finish,field_weight_per_item_lb
LEC063G 12 S,LEC063G 12 S,LEC063G12S,Specialty Spring,Stock,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Stainless Steel,SS,ASTM A313,0.75,0.75,19.05,1.905,+/-0.015,+/-0.015,+/-0.38,+/-0.038,12,12,305,30.5,+/-0.24,+/-0.24,+/-6,+/-0.6,0.6444,0.644,0.11286,1.1286,0.01151,0.1151,11.51,115.1,+/-0.064,+/-0.064,+/-0.01121,+/-0.1121,+/-0.00114,+/-0.0114,+/-1.143,+/-11.43,0.624,0.624,15.85,1.585,Reference,Reference,Reference,Reference,16,16,0.6,6.3,60.73,58.7,346.8,3468,1.085,10.85,1085,10850,0.0625,0.063,1.59,0.159,0.9996,1,4.45,0.453,453,+/-0.2,+/-0.2,+/-0.89,+/-0.091,+/-91,Right Hand,189.4761,189,Natural,0.392169
LEC063G 24 M,LEC063G 24 M,LEC063G24M,Specialty Spring,Stock,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Music Wire,MW,ASTM A228,0.75,0.75,19.05,1.905,+/-0.015,+/-0.015,+/-0.38,+/-0.038,24,24,610,61,+/-0.480,+/-0.480,+/-12,+/-1.2,0.7733,0.773,0.13543,1.3543,0.01381,0.1381,13.81,138.1,+/-0.077,+/-0.077,+/-0.01349,+/-0.1349,+/-0.00138,+/-0.0138,+/-1.375,+/-13.75,0.624,0.624,15.85,1.585,Reference,Reference,Reference,Reference,16,16,0.6,6.3,72.876,70.4,416.1,4161,1.301,13.01,1301,13010,0.0625,0.063,1.59,0.159,1.2,1.2,5.34,0.544,544,+/-0.24,+/-0.24,+/-1.068,+/-0.109,+/-109,Right Hand,379.9523,380,Light Oil Coat,0.767668
LEC063G 24 S,LEC063G 24 S,LEC063G24S,Specialty Spring,Stock,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Stainless Steel,SS,ASTM A313,0.75,0.75,19.05,1.905,+/-0.015,+/-0.015,+/-0.38,+/-0.038,24,24,610,61,+/-0.480,+/-0.480,+/-12,+/-1.2,0.6444,0.644,0.11286,1.1286,0.01151,0.1151,11.51,115.1,+/-0.064,+/-0.064,+/-0.01121,+/-0.1121,+/-0.00114,+/-0.0114,+/-1.143,+/-11.43,0.624,0.624,15.85,1.585,Reference,Reference,Reference,Reference,16,16,0.6,6.3,60.73,58.7,346.8,3468,1.085,10.85,1085,10850,0.0625,0.063,1.59,0.159,0.9996,1,4.45,0.453,453,+/-0.2,+/-0.2,+/-0.89,+/-0.091,+/-91,Right Hand,379.9523,380,Natural,0.78229
LEC063G 36 M,LEC063G 36 M,LEC063G36M,Specialty Spring,Stock,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Music Wire,MW,ASTM A228,0.75,0.75,19.05,1.905,+/-0.015,+/-0.015,+/-0.38,+/-0.038,36,36,914,91.4,+/-0.720,+/-0.720,+/-18,+/-1.8,0.7733,0.773,0.13543,1.3543,0.01381,0.1381,13.81,138.1,+/-0.077,+/-0.077,+/-0.01349,+/-0.1349,+/-0.00138,+/-0.0138,+/-1.375,+/-13.75,0.624,0.624,15.85,1.585,Reference,Reference,Reference,Reference,16,16,0.6,6.3,72.876,70.4,416.1,4161,1.301,13.01,1301,13010,0.0625,0.063,1.59,0.159,1.2,1.2,5.34,0.544,544,+/-0.24,+/-0.24,+/-1.068,+/-0.109,+/-109,Right Hand,570.4285,570,Light Oil Coat,1.150497
LEC063G 36 S,LEC063G 36 S,LEC063G36S,Specialty Spring,Stock,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Stainless Steel,SS,ASTM A313,0.75,0.75,19.05,1.905,+/-0.015,+/-0.015,+/-0.38,+/-0.038,36,36,914,91.4,+/-0.720,+/-0.720,+/-18,+/-1.8,0.6444,0.644,0.11286,1.1286,0.01151,0.1151,11.51,115.1,+/-0.064,+/-0.064,+/-0.01121,+/-0.1121,+/-0.00114,+/-0.0114,+/-1.143,+/-11.43,0.624,0.624,15.85,1.585,Reference,Reference,Reference,Reference,16,16,0.6,6.3,60.73,58.7,346.8,3468,1.085,10.85,1085,10850,0.0625,0.063,1.59,0.159,0.9996,1,4.45,0.453,453,+/-0.2,+/-0.2,+/-0.89,+/-0.091,+/-91,Right Hand,570.4285,570,Natural,1.172411
LEC067E 12 M,LEC067E 12 M,LEC067E12M,Specialty Spring,Stock,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Music Wire,MW,ASTM A228,0.5,0.5,12.7,1.27,+/-0.01,+/-0.01,+/-0.25,+/-0.025,12,12,305,30.5,+/-0.24,+/-0.24,+/-6,+/-0.6,4.2046,4.205,0.73636,7.3636,0.07509,0.7509,75.09,750.9,+/-0.42,+/-0.42,+/-0.07356,+/-0.7356,+/-0.0075,+/-0.075,+/-7.5,+/-75,0.366,0.366,9.3,0.93,Reference,Reference,Reference,Reference,14.925,14.9,0.6,5.9,372.329,372.3,2126,21260,6.649,66.49,6649,66490,0.067,0.067,1.7,0.17,3.5,3.5,15.57,1.588,1588,+/-0.7,+/-0.7,+/-3.114,+/-0.318,+/-318,Right Hand,178.1044,178,Light Oil Coat,0.258041
LEC067E 12 S,LEC067E 12 S,LEC067E12S,Specialty Spring,Stock,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Stainless Steel,SS,ASTM A313,0.5,0.5,12.7,1.27,+/-0.01,+/-0.01,+/-0.25,+/-0.025,12,12,305,30.5,+/-0.24,+/-0.24,+/-6,+/-0.6,3.5038,3.504,0.61363,6.1363,0.06257,0.6257,62.57,625.7,+/-0.35,+/-0.35,+/-0.0613,+/-0.613,+/-0.00625,+/-0.0625,+/-6.25,+/-62.5,0.366,0.366,9.3,0.93,Reference,Reference,Reference,Reference,14.925,14.9,0.6,5.9,310.274,310.3,1771.6,17716,5.541,55.41,5541,55410,0.067,0.067,1.7,0.17,2.9155,2.92,12.97,1.322,1322,+/-0.583,+/-0.583,+/-2.593,+/-0.264,+/-264,Right Hand,178.1044,178,Natural,0.262956
LEC067E 24 M,LEC067E 24 M,LEC067E24M,Specialty Spring,Stock,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Music Wire,MW,ASTM A228,0.5,0.5,12.7,1.27,+/-0.01,+/-0.01,+/-0.25,+/-0.025,24,24,610,61,+/-0.480,+/-0.480,+/-12,+/-1.2,4.2046,4.205,0.73636,7.3636,0.07509,0.7509,75.09,750.9,+/-0.42,+/-0.42,+/-0.07356,+/-0.7356,+/-0.0075,+/-0.075,+/-7.5,+/-75,0.366,0.366,9.3,0.93,Reference,Reference,Reference,Reference,14.925,14.9,0.6,5.9,372.329,372.3,2126,21260,6.649,66.49,6649,66490,0.067,0.067,1.7,0.17,3.5,3.5,15.57,1.588,1588,+/-0.7,+/-0.7,+/-3.114,+/-0.318,+/-318,Right Hand,357.2089,357,Light Oil Coat,0.514649
LEC067E 24 S,LEC067E 24 S,LEC067E24S,Specialty Spring,Stock,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Stainless Steel,SS,ASTM A313,0.5,0.5,12.7,1.27,+/-0.01,+/-0.01,+/-0.25,+/-0.025,24,24,610,61,+/-0.480,+/-0.480,+/-12,+/-1.2,3.5038,3.504,0.61363,6.1363,0.06257,0.6257,62.57,625.7,+/-0.35,+/-0.35,+/-0.0613,+/-0.613,+/-0.00625,+/-0.0625,+/-6.25,+/-62.5,0.366,0.366,9.3,0.93,Reference,Reference,Reference,Reference,14.925,14.9,0.6,5.9,310.274,310.3,1771.6,17716,5.541,55.41,5541,55410,0.067,0.067,1.7,0.17,2.9155,2.92,12.97,1.322,1322,+/-0.583,+/-0.583,+/-2.593,+/-0.264,+/-264,Right Hand,357.2089,357,Natural,0.524452
LEC067E 36 M,LEC067E 36 M,LEC067E36M,Specialty Spring,Stock,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Music Wire,MW,ASTM A228,0.5,0.5,12.7,1.27,+/-0.01,+/-0.01,+/-0.25,+/-0.025,36,36,914,91.4,+/-0.720,+/-0.720,+/-18,+/-1.8,4.2046,4.205,0.73636,7.3636,0.07509,0.7509,75.09,750.9,+/-0.42,+/-0.42,+/-0.07356,+/-0.7356,+/-0.0075,+/-0.075,+/-7.5,+/-75,0.366,0.366,9.3,0.93,Reference,Reference,Reference,Reference,14.925,14.9,0.6,5.9,372.329,372.3,2126,21260,6.649,66.49,6649,66490,0.067,0.067,1.7,0.17,3.5,3.5,15.57,1.588,1588,+/-0.7,+/-0.7,+/-3.114,+/-0.318,+/-318,Right Hand,536.3134,536,Light Oil Coat,0.771257
