title,model,field_published_stock_code,field_product_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_out_dia_tol_bld_spc_in,field_out_dia_tol_in,field_out_dia_tol_mm,field_out_dia_tol_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_spring_type,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_color,field_weight_per_item_lb
LHC 207S 05M,LHC 207S 05M,LHC207S05M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.58,1.58,40.13,4.013,+/-0.04,+/-0.04,+/-1.02,+/-0.102,1.625,1.625,41.28,4.128,1.119,1.119,28.42,2.842,MIN,MIN,MIN,MIN,4.5,4.5,114.3,11.43,0.156,0.156,3.96,0.396,107,107,18.739,187.39,1.9108,19.108,1910.81,19108.1,10.7,10.7,1.8739,18.739,0.19108,1.9108,191.081,1910.81,2.386,2.386,60.6,6.06,0.207,0.207,5.26,,Music Wire,MW,230,230,1023.09,104.328,104328,Squared and Ground,Factory Option,9.53,9.53,Reference,Reference,11.53,11.53,Zinc Plate and Bake per ASTM B633,1,Heavy Duty Series (inch),ASTM A228,1.166,1.166,29.62,2.962,Reference,Reference,Reference,Reference,,0.4999973
LHC 207S 05S,LHC 207S 05S,LHC207S05S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.58,1.58,40.13,4.013,+/-0.04,+/-0.04,+/-1.02,+/-0.102,1.625,1.625,41.28,4.128,1.119,1.119,28.42,2.842,MIN,MIN,MIN,MIN,4.5,4.5,114.3,11.43,0.156,0.156,3.96,0.396,93.09,93.09,16.303,163.03,1.6624,16.624,1662.4,16624,9.309,9.309,1.6303,16.303,0.16624,1.6624,166.24,1662.4,2.386,2.386,60.6,6.06,0.207,0.207,5.26,,Stainless Steel,SS,200.1,200.1,890.09,90.765,90765.36,Squared and Ground,Factory Option,9.5252,9.5252,Reference,Reference,11.53,11.53,Passivate per ASTM A967,1,Heavy Duty Series (inch),ASTM A313,1.166,1.166,29.62,2.962,Reference,Reference,Reference,Reference,,0.5093106
LHC 207S 06M,LHC 207S 06M,LHC207S06M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.58,1.58,40.13,4.013,+/-0.04,+/-0.04,+/-1.02,+/-0.102,1.625,1.625,41.28,4.128,1.119,1.119,28.42,2.842,MIN,MIN,MIN,MIN,5,5,127,12.7,0.175,0.175,4.45,0.445,95,95,16.638,166.38,1.6965,16.965,1696.51,16965.1,9.5,9.5,1.6638,16.638,0.16965,1.6965,169.651,1696.51,2.635,2.635,66.93,6.693,0.207,0.207,5.26,,Music Wire,MW,230,230,1023.09,104.328,104328,Squared and Ground,Factory Option,10.7338,10.7338,Reference,Reference,12.73,12.73,Zinc Plate and Bake per ASTM B633,1,Heavy Duty Series (inch),ASTM A228,1.166,1.166,29.62,2.962,Reference,Reference,Reference,Reference,,0.5521996
LHC 207S 06S,LHC 207S 06S,LHC207S06S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.58,1.58,40.13,4.013,+/-0.04,+/-0.04,+/-1.02,+/-0.102,1.625,1.625,41.28,4.128,1.119,1.119,28.42,2.842,MIN,MIN,MIN,MIN,5,5,127,12.7,0.175,0.175,4.45,0.445,82.65,82.65,14.475,144.75,1.476,14.76,1475.96,14759.6,8.265,8.265,1.4475,14.475,0.1476,1.476,147.596,1475.96,2.635,2.635,66.93,6.693,0.207,0.207,5.26,,Stainless Steel,SS,200.1,200.1,890.09,90.765,90765.36,Squared and Ground,Factory Option,10.7284,10.7284,Reference,Reference,12.73,12.73,Passivate per ASTM A967,1,Heavy Duty Series (inch),ASTM A313,1.166,1.166,29.62,2.962,Reference,Reference,Reference,Reference,,0.5624806
LHC 207S 07M,LHC 207S 07M,LHC207S07M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.58,1.58,40.13,4.013,+/-0.04,+/-0.04,+/-1.02,+/-0.102,1.625,1.625,41.28,4.128,1.119,1.119,28.42,2.842,MIN,MIN,MIN,MIN,5.5,5.5,139.7,13.97,0.175,0.175,4.45,0.445,86,86,15.061,150.61,1.5358,15.358,1535.79,15357.9,8.6,8.6,1.5061,15.061,0.15358,1.5358,153.579,1535.79,2.806,2.806,71.27,7.127,0.207,0.207,5.26,,Music Wire,MW,230,230,1023.09,104.328,104328,Squared and Ground,Factory Option,11.8571,11.8571,Reference,Reference,13.86,13.86,Zinc Plate and Bake per ASTM B633,1,Heavy Duty Series (inch),ASTM A228,1.166,1.166,29.62,2.962,Reference,Reference,Reference,Reference,,0.6009115
LHC 207S 07S,LHC 207S 07S,LHC207S07S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.58,1.58,40.13,4.013,+/-0.04,+/-0.04,+/-1.02,+/-0.102,1.625,1.625,41.28,4.128,1.119,1.119,28.42,2.842,MIN,MIN,MIN,MIN,5.5,5.5,139.7,13.97,0.175,0.175,4.45,0.445,74.82,74.82,13.103,131.03,1.3361,13.361,1336.14,13361.4,7.482,7.482,1.3103,13.103,0.13361,1.3361,133.614,1336.14,2.806,2.806,71.27,7.127,0.207,0.207,5.26,,Stainless Steel,SS,200.1,200.1,890.09,90.765,90765.36,Squared and Ground,Factory Option,11.8511,11.8511,Reference,Reference,13.85,13.85,Passivate per ASTM A967,1,Heavy Duty Series (inch),ASTM A313,1.166,1.166,29.62,2.962,Reference,Reference,Reference,Reference,,0.6120956
LHC 207S 08M,LHC 207S 08M,LHC207S08M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.58,1.58,40.13,4.013,+/-0.04,+/-0.04,+/-1.02,+/-0.102,1.625,1.625,41.28,4.128,1.119,1.119,28.42,2.842,MIN,MIN,MIN,MIN,6,6,152.4,15.24,0.175,0.175,4.45,0.445,79,79,13.836,138.36,1.4108,14.108,1410.78,14107.8,7.9,7.9,1.3836,13.836,0.14108,1.4108,141.078,1410.78,3.086,3.086,78.38,7.838,0.207,0.207,5.26,,Music Wire,MW,230,230,1023.09,104.328,104328,Squared and Ground,Factory Option,12.9077,12.9077,Reference,Reference,14.91,14.91,Zinc Plate and Bake per ASTM B633,1,Heavy Duty Series (inch),ASTM A228,1.166,1.166,29.62,2.962,Reference,Reference,Reference,Reference,,0.646472
LHC 207S 08S,LHC 207S 08S,LHC207S08S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.58,1.58,40.13,4.013,+/-0.04,+/-0.04,+/-1.02,+/-0.102,1.625,1.625,41.28,4.128,1.119,1.119,28.42,2.842,MIN,MIN,MIN,MIN,6,6,152.4,15.24,0.175,0.175,4.45,0.445,68.73,68.73,12.037,120.37,1.2274,12.274,1227.38,12273.8,6.873,6.873,1.2037,12.037,0.12274,1.2274,122.738,1227.38,3.086,3.086,78.38,7.838,0.207,0.207,5.26,,Stainless Steel,SS,200.1,200.1,890.09,90.765,90765.36,Squared and Ground,Factory Option,12.9012,12.9012,Reference,Reference,14.9,14.9,Passivate per ASTM A967,1,Heavy Duty Series (inch),ASTM A313,1.166,1.166,29.62,2.962,Reference,Reference,Reference,Reference,,0.6585007
LHC 207U 01M,LHC 207U 01M,LHC207U01M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.937,1.937,49.2,4.92,+/-0.04,+/-0.04,+/-1.02,+/-0.102,2,2,50.8,5.08,1.472,1.472,37.39,3.739,MIN,MIN,MIN,MIN,2.5,2.5,63.5,6.35,0.088,0.088,2.24,0.224,146.4,146.4,25.639,256.39,2.6144,26.144,2614.41,26144.1,14.64,14.64,2.5639,25.639,0.26144,2.6144,261.441,2614.41,1.135,1.135,28.83,2.883,0.207,0.207,5.26,,Music Wire,MW,200.1,200.1,890.09,90.765,90765.36,Squared and Ground,Factory Option,3.4818,3.4818,Reference,Reference,5.48,5.48,Zinc Plate and Bake per ASTM B633,1,Heavy Duty Series (inch),ASTM A228,1.523,1.523,38.68,3.868,Reference,Reference,Reference,Reference,,0.2995299
LHC 207U 01S,LHC 207U 01S,LHC207U01S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.937,1.937,49.2,4.92,+/-0.04,+/-0.04,+/-1.02,+/-0.102,2,2,50.8,5.08,1.472,1.472,37.39,3.739,MIN,MIN,MIN,MIN,2.5,2.5,63.5,6.35,0.088,0.088,2.24,0.224,127.37,127.37,22.307,223.07,2.2746,22.746,2274.57,22745.7,12.737,12.737,2.2307,22.307,0.22746,2.2746,227.457,2274.57,1.135,1.135,28.83,2.883,0.207,0.207,5.26,,Stainless Steel,SS,174.087,174.087,774.38,78.966,78965.86,Squared and Ground,Factory Option,3.48,3.48,Reference,Reference,5.48,5.48,Passivate per ASTM A967,1,Heavy Duty Series (inch),ASTM A313,1.523,1.523,38.68,3.868,Reference,Reference,Reference,Reference,,0.3051353
LHC 207U 02M,LHC 207U 02M,LHC207U02M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.937,1.937,49.2,4.92,+/-0.04,+/-0.04,+/-1.02,+/-0.102,2,2,50.8,5.08,1.472,1.472,37.39,3.739,MIN,MIN,MIN,MIN,3,3,76.2,7.62,0.105,0.105,2.67,0.267,118.2,118.2,20.701,207.01,2.1108,21.108,2110.82,21108.2,11.82,11.82,2.0701,20.701,0.21108,2.1108,211.082,2110.82,1.307,1.307,33.2,3.32,0.207,0.207,5.26,,Music Wire,MW,200.1,200.1,890.09,90.765,90765.36,Squared and Ground,Factory Option,4.3125,4.3125,Reference,Reference,6.31,6.31,Zinc Plate and Bake per ASTM B633,1,Heavy Duty Series (inch),ASTM A228,1.523,1.523,38.68,3.868,Reference,Reference,Reference,Reference,,0.3449193
LHC 207U 02S,LHC 207U 02S,LHC207U02S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.937,1.937,49.2,4.92,+/-0.04,+/-0.04,+/-1.02,+/-0.102,2,2,50.8,5.08,1.472,1.472,37.39,3.739,MIN,MIN,MIN,MIN,3,3,76.2,7.62,0.105,0.105,2.67,0.267,102.83,102.83,18.009,180.09,1.8363,18.363,1836.34,18363.4,10.283,10.283,1.8009,18.009,0.18363,1.8363,183.634,1836.34,1.307,1.307,33.2,3.32,0.207,0.207,5.26,,Stainless Steel,SS,174.087,174.087,774.38,78.966,78965.86,Squared and Ground,Factory Option,4.3105,4.3105,Reference,Reference,6.31,6.31,Passivate per ASTM A967,1,Heavy Duty Series (inch),ASTM A313,1.523,1.523,38.68,3.868,Reference,Reference,Reference,Reference,,0.3513785
LHC 207U 03M,LHC 207U 03M,LHC207U03M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.937,1.937,49.2,4.92,+/-0.04,+/-0.04,+/-1.02,+/-0.102,2,2,50.8,5.08,1.472,1.472,37.39,3.739,MIN,MIN,MIN,MIN,3.5,3.5,88.9,8.89,0.125,0.125,3.18,0.318,99,99,17.338,173.38,1.7679,17.679,1767.94,17679.4,9.9,9.9,1.7338,17.338,0.17679,1.7679,176.794,1767.94,1.48,1.48,37.59,3.759,0.207,0.207,5.26,,Music Wire,MW,200.1,200.1,890.09,90.765,90765.36,Squared and Ground,Factory Option,5.1489,5.1489,Reference,Reference,7.15,7.15,Zinc Plate and Bake per ASTM B633,1,Heavy Duty Series (inch),ASTM A228,1.523,1.523,38.68,3.868,Reference,Reference,Reference,Reference,,0.3906189
LHC 207U 03S,LHC 207U 03S,LHC207U03S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.937,1.937,49.2,4.92,+/-0.04,+/-0.04,+/-1.02,+/-0.102,2,2,50.8,5.08,1.472,1.472,37.39,3.739,MIN,MIN,MIN,MIN,3.5,3.5,88.9,8.89,0.125,0.125,3.18,0.318,86.13,86.13,15.084,150.84,1.5381,15.381,1538.11,15381.1,8.613,8.613,1.5084,15.084,0.15381,1.5381,153.811,1538.11,1.48,1.48,37.59,3.759,0.207,0.207,5.26,,Stainless Steel,SS,174.087,174.087,774.38,78.966,78965.86,Squared and Ground,Factory Option,5.1463,5.1463,Reference,Reference,7.15,7.15,Passivate per ASTM A967,1,Heavy Duty Series (inch),ASTM A313,1.523,1.523,38.68,3.868,Reference,Reference,Reference,Reference,,0.397916
