stock_code,price_code,price,min,currency,display_price_range
CI 012B 07 M,A,6,19,$,0-19
CI 012B 07 M,B,3.44,49,$,20-49
CI 012B 07 M,C,1.75,99,$,50-99
CI 012B 07 M,D,1.11,199,$,100-199
CI 012B 07 M,E,0.868,299,$,200-299
CI 012B 07 M,F,0.778,399,$,300-399
CI 012B 07 M,G,0.698,499,$,400-499
CI 012B 07 M,H,0.625,599,$,500-599
CI 012B 07 M,I,0.561,699,$,600-699
CI 012B 07 M,J,0.508,799,$,700-799
CI 012B 07 M,K,0.463,899,$,800-899
CI 012B 07 M,L,0.428,999,$,900-999
CI 012B 07 S,A,6.68,19,$,0-19
CI 012B 07 S,B,3.85,49,$,20-49
CI 012B 07 S,C,2.01,99,$,50-99
CI 012B 07 S,D,1.25,199,$,100-199
CI 012B 07 S,E,0.983,299,$,200-299
CI 012B 07 S,F,0.885,399,$,300-399
CI 012B 07 S,G,0.797,499,$,400-499
CI 012B 07 S,H,0.72,599,$,500-599
CI 012B 07 S,I,0.652,699,$,600-699
CI 012B 07 S,J,0.593,799,$,700-799
CI 012B 07 S,K,0.543,899,$,800-899
CI 012B 07 S,L,0.506,999,$,900-999
CI 012B 07 S316,A,7.19,19,$,0-19
CI 012B 07 S316,B,4.16,49,$,20-49
CI 012B 07 S316,C,2.19,99,$,50-99
CI 012B 07 S316,D,1.38,199,$,100-199
CI 012B 07 S316,E,1.184,299,$,200-299
CI 012B 07 S316,F,1.065,399,$,300-399
CI 012B 07 S316,G,0.959,499,$,400-499
CI 012B 07 S316,H,0.865,599,$,500-599
CI 012B 07 S316,I,0.782,699,$,600-699
CI 012B 07 S316,J,0.712,799,$,700-799
CI 012B 07 S316,K,0.653,899,$,800-899
CI 012B 07 S316,L,0.607,999,$,900-999
CI 012B 08 M,A,6,19,$,0-19
CI 012B 08 M,B,3.44,49,$,20-49
CI 012B 08 M,C,1.75,99,$,50-99
CI 012B 08 M,D,1.11,199,$,100-199
CI 012B 08 M,E,0.868,299,$,200-299
CI 012B 08 M,F,0.778,399,$,300-399
CI 012B 08 M,G,0.698,499,$,400-499
CI 012B 08 M,H,0.625,599,$,500-599
CI 012B 08 M,I,0.561,699,$,600-699
CI 012B 08 M,J,0.508,799,$,700-799
CI 012B 08 M,K,0.463,899,$,800-899
CI 012B 08 M,L,0.428,999,$,900-999
CI 012B 08 S,A,6.68,19,$,0-19
CI 012B 08 S,B,3.85,49,$,20-49
CI 012B 08 S,C,2.01,99,$,50-99
CI 012B 08 S,D,1.25,199,$,100-199
CI 012B 08 S,E,0.986,299,$,200-299
CI 012B 08 S,F,0.89,399,$,300-399
CI 012B 08 S,G,0.804,499,$,400-499
CI 012B 08 S,H,0.729,599,$,500-599
CI 012B 08 S,I,0.661,699,$,600-699
CI 012B 08 S,J,0.604,799,$,700-799
CI 012B 08 S,K,0.556,899,$,800-899
CI 012B 08 S,L,0.518,999,$,900-999
CI 012B 08 S316,A,7.19,19,$,0-19
CI 012B 08 S316,B,4.16,49,$,20-49
CI 012B 08 S316,C,2.19,99,$,50-99
CI 012B 08 S316,D,1.38,199,$,100-199
CI 012B 08 S316,E,1.184,299,$,200-299
CI 012B 08 S316,F,1.065,399,$,300-399
CI 012B 08 S316,G,0.959,499,$,400-499
CI 012B 08 S316,H,0.865,599,$,500-599
CI 012B 08 S316,I,0.782,699,$,600-699
CI 012B 08 S316,J,0.712,799,$,700-799
