title,model,field_published_stock_code,field_product_type,field_product_category,field_original_publication_date, ,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm, field_outside_dia_cm,field_outside_dia_tole_bd_spe_in,field_outside_dia_tole_in,field_outside_dia_tole_mm,field_outside_dia_tole_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm, field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_spring_type,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_inside_dia_tole_bd_spe_in,field_inside_dia_tole_in,field_inside_dia_tole_mm,field_inside_dia_tole_cm,field_color,field_weight_per_item_lb
CB0040A 01 E,CB0040A 01 E,CB0040A01E,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.025,0.025,0.64,0.064,+/-0.002,+/-0.002,+/-0.05,+/-0.005,0.032,0.032,0.81,0.081,0.013,0.013,0.33,0.033,MIN,MIN,MIN,MIN,0.05,0.05,1.27,0.127,0.005,0.005,0.127,0.0127,8.779,8.779,1.537,15.37,0.157,1.57,156.78,1567.8,0.878,0.878,0.154,1.54,0.0157,0.157,15.679,156.79,0.03,0.03,0.76,0.076,0.004,0.004,0.1,Elgiloy,Elgiloy,0.179,0.179,0.8,0.081,81.19,Squared,Factory Option,4.41,4.41,Reference,Reference,6.41,6.41,None,1,Bantam™ Mini Series (inch),AMS 5833 (CHEM ONLY),0.017,0.017,0.43,0.043,Reference,Reference,Reference,Reference,,2E-06
CB0040A 02 E,CB0040A 02 E,CB0040A02E,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.025,0.025,0.64,0.064,+/-0.002,+/-0.002,+/-0.05,+/-0.005,0.032,0.032,0.81,0.081,0.013,0.013,0.33,0.033,MIN,MIN,MIN,MIN,0.075,0.075,1.905,0.1905,0.005,0.005,0.127,0.0127,5.295,5.295,0.927,9.27,0.095,0.95,94.56,945.6,0.53,0.53,0.093,0.93,0.0095,0.095,9.465,94.65,0.041,0.041,1.04,0.104,0.004,0.004,0.1,Elgiloy,Elgiloy,0.179,0.179,0.8,0.081,81.19,Squared,Factory Option,7.31,7.31,Reference,Reference,9.31,9.31,None,1,Bantam™ Mini Series (inch),AMS 5833 (CHEM ONLY),0.017,0.017,0.43,0.043,Reference,Reference,Reference,Reference,,2E-06
CB0040A 03 E,CB0040A 03 E,CB0040A03E,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.025,0.025,0.64,0.064,+/-0.002,+/-0.002,+/-0.05,+/-0.005,0.032,0.032,0.81,0.081,0.013,0.013,0.33,0.033,MIN,MIN,MIN,MIN,0.1,0.1,2.54,0.254,0.005,0.005,0.127,0.0127,3.791,3.791,0.664,6.64,0.068,0.68,67.7,677,0.379,0.379,0.066,0.66,0.0068,0.068,6.768,67.68,0.053,0.053,1.35,0.135,0.004,0.004,0.1,Elgiloy,Elgiloy,0.179,0.179,0.8,0.081,81.19,Squared,Factory Option,10.21,10.21,Reference,Reference,12.21,12.21,None,1,Bantam™ Mini Series (inch),AMS 5833 (CHEM ONLY),0.017,0.017,0.43,0.043,Reference,Reference,Reference,Reference,,3E-06
CB0040A 04 E,CB0040A 04 E,CB0040A04E,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.025,0.025,0.64,0.064,+/-0.002,+/-0.002,+/-0.05,+/-0.005,0.032,0.032,0.81,0.081,0.013,0.013,0.33,0.033,MIN,MIN,MIN,MIN,0.125,0.125,3.175,0.3175,0.006,0.006,0.152,0.0152,2.952,2.952,0.517,5.17,0.053,0.53,52.72,527.2,0.295,0.295,0.052,0.52,0.0053,0.053,5.268,52.68,0.076,0.076,1.93,0.193,0.004,0.004,0.1,Elgiloy,Elgiloy,0.179,0.179,0.8,0.081,81.19,Squared,Factory Option,16.01,16.01,Reference,Reference,15.11,15.11,None,1,Bantam™ Mini Series (inch),AMS 5833 (CHEM ONLY),0.017,0.017,0.43,0.043,Reference,Reference,Reference,Reference,,4E-06
