title,model,field_published_stock_code,field_product_type,field_spring_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_out_dia_tol_bld_spc_in,field_out_dia_tol_in,field_out_dia_tol_mm,field_out_dia_tol_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_color,field_weight_per_item_lb
LW 100 12 1250S,LW 100 12 1250S,LW100121250S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.951,0.951,24.16,2.416,Reference,Reference,Reference,Reference,1,1,25.4,2.54,0.73,0.73,18.54,1.854,MIN,MIN,MIN,MIN,1.25,1.25,31.75,3.175,0.18,0.18,4.57,0.457,15,15,2.627,26.27,0.2679,2.679,267.87,2678.7,3,3,0.5254,5.254,0.05357,0.5357,53.574,535.74,0.16,0.16,4.06,0.406,0.01,0.01,0.25,0.025,Stainless Steel Type 17-7 PH,17-7,16.35,16.35,72.73,7.416,7416.36,Plain (End Turn is Wavy),Factory Option,15,15,Reference,Reference,15,15,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.779,0.779,19.79,1.979,Reference,Reference,Reference,Reference,,0.013052
LW 100 12 1500S,LW 100 12 1500S,LW100121500S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.951,0.951,24.16,2.416,Reference,Reference,Reference,Reference,1,1,25.4,2.54,0.73,0.73,18.54,1.854,MIN,MIN,MIN,MIN,1.5,1.5,38.1,3.81,0.18,0.18,4.57,0.457,12,12,2.102,21.02,0.2143,2.143,214.3,2143,3,3,0.5254,5.254,0.05357,0.5357,53.574,535.74,0.19,0.19,4.83,0.483,0.01,0.01,0.25,0.025,Stainless Steel Type 17-7 PH,17-7,15.72,15.72,69.93,7.131,7130.59,Plain (End Turn is Wavy),Factory Option,18,18,Reference,Reference,18,18,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.779,0.779,19.79,1.979,Reference,Reference,Reference,Reference,,0.014006
LW 100 12 1750S,LW 100 12 1750S,LW100121750S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.951,0.951,24.16,2.416,Reference,Reference,Reference,Reference,1,1,25.4,2.54,0.73,0.73,18.54,1.854,MIN,MIN,MIN,MIN,1.75,1.75,44.45,4.445,0.21,0.21,5.33,0.533,11,11,1.926,19.26,0.1964,1.964,196.44,1964.4,2.75,2.75,0.4816,4.816,0.04911,0.4911,49.11,491.1,0.22,0.22,5.59,0.559,0.01,0.01,0.25,0.025,Stainless Steel Type 17-7 PH,17-7,16.83,16.83,74.86,7.634,7634.09,Plain (End Turn is Wavy),Factory Option,21,21,Reference,Reference,21,21,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.779,0.779,19.79,1.979,Reference,Reference,Reference,Reference,,0.021938
LW 100 12 2000S,LW 100 12 2000S,LW100122000S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.951,0.951,24.16,2.416,Reference,Reference,Reference,Reference,1,1,25.4,2.54,0.73,0.73,18.54,1.854,MIN,MIN,MIN,MIN,2,2,50.8,5.08,0.25,0.25,6.35,0.635,9,9,1.576,15.76,0.1607,1.607,160.72,1607.2,2.25,2.25,0.394,3.94,0.04018,0.4018,40.181,401.81,0.25,0.25,6.35,0.635,0.01,0.01,0.25,0.025,Stainless Steel Type 17-7 PH,17-7,15.75,15.75,70.06,7.144,7144.2,Plain (End Turn is Wavy),Factory Option,24,24,Reference,Reference,24,24,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.779,0.779,19.79,1.979,Reference,Reference,Reference,Reference,,0.018675
LW 100 18 0250S,LW 100 18 0250S,LW100180250S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.959,0.959,24.36,2.436,Reference,Reference,Reference,Reference,1,1,25.4,2.54,0.73,0.73,18.54,1.854,MIN,MIN,MIN,MIN,0.25,0.25,6.35,0.635,0.03,0.03,0.76,0.076,110,110,19.265,192.65,1.9644,19.644,1964.38,19643.8,27.5,27.5,4.8162,48.162,0.4911,4.911,491.095,4910.95,0.048,0.048,1.22,0.122,0.012,0.012,0.3,0.03,Stainless Steel Type 17-7 PH,17-7,22.22,22.22,98.84,10.079,10078.99,Plain (End Turn is Wavy),Factory Option,3,3,Reference,Reference,3,3,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.771,0.771,19.58,1.958,Reference,Reference,Reference,Reference,,0.003424
LW 100 18 0333S,LW 100 18 0333S,LW100180333S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.959,0.959,24.36,2.436,Reference,Reference,Reference,Reference,1,1,25.4,2.54,0.73,0.73,18.54,1.854,MIN,MIN,MIN,MIN,0.333,0.333,8.46,0.846,0.06,0.06,1.52,0.152,82,82,14.361,143.61,1.4644,14.644,1464.36,14643.6,20.5,20.5,3.5902,35.902,0.36609,3.6609,366.089,3660.89,0.06,0.06,1.52,0.152,0.012,0.012,0.3,0.03,Stainless Steel Type 17-7 PH,17-7,22.386,22.386,99.58,10.154,10154.29,Plain (End Turn is Wavy),Factory Option,4,4,Reference,Reference,4,4,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.771,0.771,19.58,1.958,Reference,Reference,Reference,Reference,,0.004116
LW 100 18 0417S,LW 100 18 0417S,LW100180417S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.959,0.959,24.36,2.436,Reference,Reference,Reference,Reference,1,1,25.4,2.54,0.73,0.73,18.54,1.854,MIN,MIN,MIN,MIN,0.417,0.417,10.59,1.059,0.06,0.06,1.52,0.152,67,67,11.734,117.34,1.1965,11.965,1196.49,11964.9,16.75,16.75,2.9335,29.335,0.29912,2.9912,299.122,2991.22,0.072,0.072,1.83,0.183,0.012,0.012,0.3,0.03,Stainless Steel Type 17-7 PH,17-7,23.115,23.115,102.82,10.485,10484.96,Plain (End Turn is Wavy),Factory Option,5,5,Reference,Reference,5,5,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.771,0.771,19.58,1.958,Reference,Reference,Reference,Reference,,0.005706
LW 100 18 0500S,LW 100 18 0500S,LW100180500S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.959,0.959,24.36,2.436,Reference,Reference,Reference,Reference,1,1,25.4,2.54,0.73,0.73,18.54,1.854,MIN,MIN,MIN,MIN,0.5,0.5,12.7,1.27,0.06,0.06,1.52,0.152,55,55,9.632,96.32,0.9822,9.822,982.19,9821.9,13.75,13.75,2.4081,24.081,0.24555,2.4555,245.548,2455.48,0.084,0.084,2.13,0.213,0.012,0.012,0.3,0.03,Stainless Steel Type 17-7 PH,17-7,22.88,22.88,101.78,10.378,10378.37,Plain (End Turn is Wavy),Factory Option,6,6,Reference,Reference,6,6,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.771,0.771,19.58,1.958,Reference,Reference,Reference,Reference,,0.006174
LW 100 18 0583S,LW 100 18 0583S,LW100180583S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.959,0.959,24.36,2.436,Reference,Reference,Reference,Reference,1,1,25.4,2.54,0.73,0.73,18.54,1.854,MIN,MIN,MIN,MIN,0.583,0.583,14.81,1.481,0.09,0.09,2.29,0.229,49,49,8.582,85.82,0.875,8.75,875.04,8750.4,12.25,12.25,2.1454,21.454,0.21876,2.1876,218.761,2187.61,0.096,0.096,2.44,0.244,0.012,0.012,0.3,0.03,Stainless Steel Type 17-7 PH,17-7,23.863,23.863,106.15,10.824,10824.26,Plain (End Turn is Wavy),Factory Option,7,7,Reference,Reference,7,7,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.771,0.771,19.58,1.958,Reference,Reference,Reference,Reference,,0.007989
LW 100 18 0750S,LW 100 18 0750S,LW100180750S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.959,0.959,24.36,2.436,Reference,Reference,Reference,Reference,1,1,25.4,2.54,0.73,0.73,18.54,1.854,MIN,MIN,MIN,MIN,0.75,0.75,19.05,1.905,0.09,0.09,2.29,0.229,38,38,6.655,66.55,0.6786,6.786,678.6,6786,9.5,9.5,1.6638,16.638,0.16965,1.6965,169.651,1696.51,0.12,0.12,3.05,0.305,0.012,0.012,0.3,0.03,Stainless Steel Type 17-7 PH,17-7,23.94,23.94,106.49,10.859,10859.18,Plain (End Turn is Wavy),Factory Option,9,9,Reference,Reference,9,9,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.771,0.771,19.58,1.958,Reference,Reference,Reference,Reference,,0.009261
