title,model,field_published_stock_code,field_product_type,field_spring_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_product_series,field_revision,field_material,field_material_short_description,field_material_specification,field_outside_dia_bd_spe_in,field_outside_dia_base_in,field_outside_dia_base_mm,field_outside_dia_base_cm,field_outside_dia_tole_bd_spe_in,field_outside_dia_tole_in,field_outside_dia_tole_mm,field_outside_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_total_coils_bd_spe,field_total_coils,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_end,field_initial_ten_bud_spec_lb,field_initial_tension_lb,field_initial_tension_n,field_initial_tension_kg,field_initial_tension_gm,field_initial_ten_tol_bud_spc_lb,field_initial_ten_tol_lb,field_initial_ten_tol_n,field_initial_ten_tol_kg,field_initial_ten_tol_gm,field_max_load_build_spec_lb,field_max_load_lb,field_max_load_n,field_max_load_kg,field_max_load_gm,field_max_extend_len_bd_spe_in,field_max_extended_length_in,field_max_extended_length_mm,field_max_extended_length_cm,field_body_length_build_spec_in,field_body_length_in,field_body_length_mm,field_body_length_cm,field_direction_of_wind,field_finish,field_weight_per_item_lb,field_loop_insid_dia_bd_spec_in,field_loop_inside_diameter_in,field_loop_inside_diameter_mm,field_loop_inside_diameter_cm,field_loop_position,field_loop_opening_build_spec_in,field_loop_opening_in,field_loop_opening_mm,field_loop_opening_cm
EIM025A 04 M,EIM025A 04 M,EIM025A04M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (metric),NR,Music Wire,MW,ASTM A228,0.079,0.079,2.01,0.201,0.004,0.004,0.1,0.01,0.689,0.689,17.5,1.75,0.02,0.02,0.51,0.051,0.844,0.844,0.148,1.48,0.0151,0.151,15.1,151,0.084,0.084,0.0147,0.147,0.0015,0.015,1.5,15,0.059,0.059,1.5,0.15,REF,Reference,Reference,Reference,54.098,54.1,0.01,0.01,0.25,0.025,Crossover Loops,0.06,0.06,0.267,0.0272,27.2,0.012,0.012,0.0534,0.00544,5.44,0.757,0.757,3.367,0.3434,343.4,1.515,1.515,38.48,3.848,0.551,0.551,14,1.4,Factory Option,Pre-coated with Tin,0.00029,0.059,0.059,1.5,0.15,Random,0.01,0.01,0.25,0.025
EIM025A 04 S,EIM025A 04 S,EIM025A04S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (metric),NR,Stainless Steel,SS,ASTM A313,0.079,0.079,2.01,0.201,0.004,0.004,0.1,0.01,0.689,0.689,17.5,1.75,0.02,0.02,0.51,0.051,0.703,0.703,0.123,1.23,0.0126,0.126,12.6,126,0.07,0.07,0.0123,0.123,0.00125,0.0125,1.25,12.5,0.059,0.059,1.5,0.15,REF,Reference,Reference,Reference,54.098,54.1,0.01,0.01,0.25,0.025,Crossover Loops,0.05,0.05,0.222,0.0227,22.7,0.009,0.009,0.04,0.00408,4.08,0.635,0.635,2.825,0.288,288,1.521,1.521,38.63,3.863,0.551,0.551,14,1.4,Factory Option,Passivate per ASTM A967,0.00029,0.059,0.059,1.5,0.15,Random,0.01,0.01,0.25,0.025
EIM025A 05 M,EIM025A 05 M,EIM025A05M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (metric),NR,Music Wire,MW,ASTM A228,0.079,0.079,2.01,0.201,0.004,0.004,0.1,0.01,0.787,0.787,19.99,1.999,0.02,0.02,0.51,0.051,0.714,0.714,0.125,1.25,0.0128,0.128,12.8,128,0.071,0.071,0.0124,0.124,0.00127,0.0127,1.27,12.7,0.059,0.059,1.5,0.15,REF,Reference,Reference,Reference,63.94,63.9,0.01,0.01,0.25,0.025,Crossover Loops,0.06,0.06,0.267,0.0272,27.2,0.012,0.012,0.0534,0.00544,5.44,0.757,0.757,3.367,0.3434,343.4,1.763,1.763,44.78,4.478,0.649,0.649,16.48,1.648,Factory Option,Pre-coated with Tin,0.00034,0.059,0.059,1.5,0.15,Random,0.01,0.01,0.25,0.025
EIM025A 05 S,EIM025A 05 S,EIM025A05S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (metric),NR,Stainless Steel,SS,ASTM A313,0.079,0.079,2.01,0.201,0.004,0.004,0.1,0.01,0.787,0.787,19.99,1.999,0.02,0.02,0.51,0.051,0.595,0.595,0.104,1.04,0.0106,0.106,10.6,106,0.059,0.059,0.0103,0.103,0.00105,0.0105,1.05,10.5,0.059,0.059,1.5,0.15,REF,Reference,Reference,Reference,63.94,63.9,0.01,0.01,0.25,0.025,Crossover Loops,0.05,0.05,0.222,0.0227,22.7,0.009,0.009,0.04,0.00408,4.08,0.635,0.635,2.825,0.288,288,1.771,1.771,44.98,4.498,0.649,0.649,16.48,1.648,Factory Option,Passivate per ASTM A967,0.00034,0.059,0.059,1.5,0.15,Random,0.01,0.01,0.25,0.025
EIM025A 06 M,EIM025A 06 M,EIM025A06M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (metric),NR,Music Wire,MW,ASTM A228,0.079,0.079,2.01,0.201,0.004,0.004,0.1,0.01,0.886,0.886,22.5,2.25,0.02,0.02,0.51,0.051,0.619,0.619,0.108,1.08,0.0111,0.111,11.1,111,0.061,0.061,0.0107,0.107,0.00109,0.0109,1.09,10.9,0.059,0.059,1.5,0.15,REF,Reference,Reference,Reference,73.783,73.8,0.01,0.01,0.25,0.025,Crossover Loops,0.06,0.06,0.267,0.0272,27.2,0.012,0.012,0.0534,0.00544,5.44,0.757,0.757,3.367,0.3434,343.4,2.012,2.012,51.1,5.11,0.748,0.748,19,1.9,Factory Option,Pre-coated with Tin,0.00039,0.059,0.059,1.5,0.15,Random,0.01,0.01,0.25,0.025
EIM025A 06 S,EIM025A 06 S,EIM025A06S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (metric),NR,Stainless Steel,SS,ASTM A313,0.079,0.079,2.01,0.201,0.004,0.004,0.1,0.01,0.886,0.886,22.5,2.25,0.02,0.02,0.51,0.051,0.516,0.516,0.09,0.9,0.0092,0.092,9.2,92,0.051,0.051,0.0089,0.089,0.00091,0.0091,0.91,9.1,0.059,0.059,1.5,0.15,REF,Reference,Reference,Reference,73.783,73.8,0.01,0.01,0.25,0.025,Crossover Loops,0.05,0.05,0.222,0.0227,22.7,0.009,0.009,0.04,0.00408,4.08,0.635,0.635,2.825,0.288,288,2.021,2.021,51.33,5.133,0.748,0.748,19,1.9,Factory Option,Passivate per ASTM A967,0.00039,0.059,0.059,1.5,0.15,Random,0.01,0.01,0.25,0.025
EIM025A 07 M,EIM025A 07 M,EIM025A07M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (metric),NR,Music Wire,MW,ASTM A228,0.079,0.079,2.01,0.201,0.004,0.004,0.1,0.01,0.984,0.984,24.99,2.499,0.02,0.02,0.51,0.051,0.546,0.546,0.096,0.96,0.0098,0.098,9.8,98,0.054,0.054,0.0095,0.095,0.00096,0.0096,0.96,9.6,0.059,0.059,1.5,0.15,REF,Reference,Reference,Reference,83.625,83.6,0.01,0.01,0.25,0.025,Crossover Loops,0.06,0.06,0.267,0.0272,27.2,0.012,0.012,0.0534,0.00544,5.44,0.757,0.757,3.367,0.3434,343.4,2.261,2.261,57.43,5.743,0.846,0.846,21.49,2.149,Factory Option,Pre-coated with Tin,0.00044,0.059,0.059,1.5,0.15,Random,0.01,0.01,0.25,0.025
EIM025A 07 S,EIM025A 07 S,EIM025A07S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (metric),NR,Stainless Steel,SS,ASTM A313,0.079,0.079,2.01,0.201,0.004,0.004,0.1,0.01,0.984,0.984,24.99,2.499,0.02,0.02,0.51,0.051,0.455,0.455,0.08,0.8,0.0081,0.081,8.1,81,0.045,0.045,0.0079,0.079,0.0008,0.008,0.8,8,0.059,0.059,1.5,0.15,REF,Reference,Reference,Reference,83.625,83.6,0.01,0.01,0.25,0.025,Crossover Loops,0.05,0.05,0.222,0.0227,22.7,0.009,0.009,0.04,0.00408,4.08,0.635,0.635,2.825,0.288,288,2.271,2.271,57.68,5.768,0.846,0.846,21.49,2.149,Factory Option,Passivate per ASTM A967,0.00044,0.059,0.059,1.5,0.15,Random,0.01,0.01,0.25,0.025
EIM025B 01 M,EIM025B 01 M,EIM025B01M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (metric),NR,Music Wire,MW,ASTM A228,0.098,0.098,2.49,0.249,0.004,0.004,0.1,0.01,0.374,0.374,9.5,0.95,0.02,0.02,0.51,0.051,0.96,0.96,0.168,1.68,0.0171,0.171,17.1,171,0.096,0.096,0.0168,0.168,0.00171,0.0171,1.71,17.1,0.078,0.078,1.98,0.198,REF,Reference,Reference,Reference,22.9283,22.9,0.01,0.01,0.25,0.025,Standard Loops,0.04,0.04,0.178,0.0181,18.1,0.008,0.008,0.0356,0.00363,3.63,0.55,0.55,2.447,0.2495,249.5,0.904,0.904,22.96,2.296,0.218,0.218,5.54,0.554,Factory Option,Pre-coated with Tin,0.00016,0.078,0.078,1.98,0.198,Random,0.01,0.01,0.25,0.025
EIM025B 01 S,EIM025B 01 S,EIM025B01S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (metric),NR,Stainless Steel,SS,ASTM A313,0.098,0.098,2.49,0.249,0.004,0.004,0.1,0.01,0.374,0.374,9.5,0.95,0.02,0.02,0.51,0.051,0.8,0.8,0.14,1.4,0.0143,0.143,14.3,143,0.08,0.08,0.014,0.14,0.00143,0.0143,1.43,14.3,0.078,0.078,1.98,0.198,REF,Reference,Reference,Reference,22.9283,22.9,0.01,0.01,0.25,0.025,Standard Loops,0.0333,0.0333,0.148,0.0151,15.1,0.00666,0.00666,0.0296,0.00302,3.02,0.4581,0.4581,2.038,0.2078,207.8,0.904,0.904,22.96,2.296,0.218,0.218,5.54,0.554,Factory Option,Passivate per ASTM A967,0.00016,0.078,0.078,1.98,0.198,Random,0.01,0.01,0.25,0.025
