title,model,field_published_stock_code,field_product_type,field_spring_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_product_series,field_revision,field_material,field_material_short_description,field_material_specification,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_outside_dia_tole_bd_spe_in,field_outside_dia_tole_in,field_outside_dia_tole_mm,field_outside_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_total_coils_bd_spe,field_total_coils,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_end,field_initial_ten_bud_spec_lb,field_initial_tension_lb,field_initial_tension_n,field_initial_tension_kg,field_initial_tension_gm,field_initial_ten_tol_bud_spc_lb,field_initial_ten_tol_lb,field_initial_ten_tol_n,field_initial_ten_tol_kg,field_initial_ten_tol_gm,field_max_load_build_spec_lb,field_max_load_lb,field_max_load_n,field_max_load_kg,field_max_load_gm,field_max_extend_len_bd_spe_in,field_max_extended_length_in,field_max_extended_length_mm,field_max_extended_length_cm,field_body_length_build_spec_in,field_body_length_in,field_body_length_mm,field_body_length_cm,field_direction_of_wind,field_finish,field_weight_per_item_lb,field_loop_insid_dia_bd_spec_in,field_loop_inside_diameter_in,field_loop_inside_diameter_mm,field_loop_inside_diameter_cm,field_loop_position,field_loop_opening_build_spec_in,field_loop_opening_in,field_loop_opening_mm,field_loop_opening_cm
LE 026B 06 M,LE 026B 06 M,LE026B06M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.188,0.188,4.78,0.478,0.005,0.005,0.13,0.013,1.75,1.75,44.45,4.445,0.04,0.04,1.02,0.102,2.9,2.9,0.508,5.08,0.0518,0.518,51.8,518,0.29,0.29,0.0508,0.508,0.00518,0.0518,5.18,51.8,0.136,0.136,3.45,0.345,REF,Reference,Reference,Reference,55.5957,55.6,0.026,0.026,0.66,0.066,Standard Loops,0.5,0.5,2.224,0.2268,226.8,0.1,0.1,0.4448,0.04536,45.36,4.3,4.3,19.127,1.9505,1950.5,3.06,3.06,77.72,7.772,1.478,1.478,37.54,3.754,Factory Option,Zinc Plate and Bake per ASTM B633,0.00465,0.136,0.136,3.45,0.345,Random,0.026,0.026,0.66,0.066
LE 026B 06 S,LE 026B 06 S,LE026B06S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,0.188,0.188,4.78,0.478,0.005,0.005,0.13,0.013,1.75,1.75,44.45,4.445,0.04,0.04,1.02,0.102,2.42,2.42,0.424,4.24,0.0432,0.432,43.2,432,0.242,0.242,0.0424,0.424,0.00432,0.0432,4.32,43.2,0.136,0.136,3.45,0.345,REF,Reference,Reference,Reference,55.5191,55.5,0.026,0.026,0.66,0.066,Standard Loops,0.4165,0.4165,1.853,0.1889,188.9,0.0833,0.0833,0.3705,0.03778,37.78,3.5819,3.5819,15.933,1.6247,1624.7,3.06,3.06,77.72,7.772,1.478,1.478,37.54,3.754,Factory Option,Passivate per ASTM A967,0.00473,0.136,0.136,3.45,0.345,Random,0.026,0.026,0.66,0.066
LE 026B 06 S316,LE 026B 06 S316,LE026B06S316,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Stainless Steel Type 316,SS 316,ASTM A313,0.188,0.188,4.78,0.478,0.005,0.005,0.13,0.013,1.75,1.75,44.45,4.445,0.04,0.04,1.02,0.102,2.42,2.42,0.424,4.24,0.0432,0.432,43.2,432,0.242,0.242,0.0424,0.424,0.00432,0.0432,4.32,43.2,0.136,0.136,3.45,0.345,REF,Reference,Reference,Reference,55.5191,55.5,0.026,0.026,0.66,0.066,Standard Loops,0.4165,0.4165,1.853,0.1889,188.9,0.0833,0.0833,0.3705,0.03778,37.78,2.686,2.686,11.948,1.2184,1218.4,2.687,2.687,68.25,6.825,1.478,1.478,37.54,3.754,Factory Option,Ultrasonically Passivate with Citric Acid for 10 mins At 131 Deg F,0.00473,0.136,0.136,3.45,0.345,Random,0.026,0.026,0.66,0.066
LE 026B 07 M,LE 026B 07 M,LE026B07M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.188,0.188,4.78,0.478,0.005,0.005,0.13,0.013,2,2,50.8,5.08,0.04,0.04,1.02,0.102,2.5,2.5,0.438,4.38,0.0446,0.446,44.6,446,0.25,0.25,0.0438,0.438,0.00446,0.0446,4.46,44.6,0.136,0.136,3.45,0.345,REF,Reference,Reference,Reference,64.491,64.5,0.026,0.026,0.66,0.066,Standard Loops,0.5,0.5,2.224,0.2268,226.8,0.1,0.1,0.4448,0.04536,45.36,4.3,4.3,19.127,1.9505,1950.5,3.52,3.52,89.41,8.941,1.728,1.728,43.89,4.389,Factory Option,Zinc Plate and Bake per ASTM B633,0.00537,0.136,0.136,3.45,0.345,Random,0.026,0.026,0.66,0.066
LE 026B 07 S,LE 026B 07 S,LE026B07S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,0.188,0.188,4.78,0.478,0.005,0.005,0.13,0.013,2,2,50.8,5.08,0.04,0.04,1.02,0.102,2.08,2.08,0.364,3.64,0.0371,0.371,37.1,371,0.208,0.208,0.0364,0.364,0.00371,0.0371,3.71,37.1,0.136,0.136,3.45,0.345,REF,Reference,Reference,Reference,64.5944,64.6,0.026,0.026,0.66,0.066,Standard Loops,0.4165,0.4165,1.853,0.1889,188.9,0.0833,0.0833,0.3705,0.03778,37.78,3.5819,3.5819,15.933,1.6247,1624.7,3.52,3.52,89.41,8.941,1.728,1.728,43.89,4.389,Factory Option,Passivate per ASTM A967,0.00548,0.136,0.136,3.45,0.345,Random,0.026,0.026,0.66,0.066
LE 026B 07 S316,LE 026B 07 S316,LE026B07S316,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Stainless Steel Type 316,SS 316,ASTM A313,0.188,0.188,4.78,0.478,0.005,0.005,0.13,0.013,2,2,50.8,5.08,0.04,0.04,1.02,0.102,2.08,2.08,0.364,3.64,0.0371,0.371,37.1,371,0.208,0.208,0.0364,0.364,0.00371,0.0371,3.71,37.1,0.136,0.136,3.45,0.345,REF,Reference,Reference,Reference,64.5944,64.6,0.026,0.026,0.66,0.066,Standard Loops,0.4165,0.4165,1.853,0.1889,188.9,0.0833,0.0833,0.3705,0.03778,37.78,2.686,2.686,11.948,1.2184,1218.4,3.091,3.091,78.51,7.851,1.728,1.728,43.89,4.389,Factory Option,Ultrasonically Passivate with Citric Acid for 10 mins At 131 Deg F,0.00548,0.136,0.136,3.45,0.345,Random,0.026,0.026,0.66,0.066
LE 026B 08 M,LE 026B 08 M,LE026B08M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.188,0.188,4.78,0.478,0.005,0.005,0.13,0.013,2.25,2.25,57.15,5.715,0.05,0.05,1.27,0.127,2.2,2.2,0.385,3.85,0.0393,0.393,39.3,393,0.22,0.22,0.0385,0.385,0.00393,0.0393,3.93,39.3,0.136,0.136,3.45,0.345,REF,Reference,Reference,Reference,73.2853,73.3,0.026,0.026,0.66,0.066,Standard Loops,0.5,0.5,2.224,0.2268,226.8,0.1,0.1,0.4448,0.04536,45.36,4.3,4.3,19.127,1.9505,1950.5,3.98,3.98,101.09,10.109,1.978,1.978,50.24,5.024,Factory Option,Zinc Plate and Bake per ASTM B633,0.00608,0.136,0.136,3.45,0.345,Random,0.026,0.026,0.66,0.066
LE 026B 08 S,LE 026B 08 S,LE026B08S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,0.188,0.188,4.78,0.478,0.005,0.005,0.13,0.013,2.25,2.25,57.15,5.715,0.05,0.05,1.27,0.127,1.83,1.83,0.32,3.2,0.0327,0.327,32.7,327,0.183,0.183,0.032,0.32,0.00327,0.0327,3.27,32.7,0.136,0.136,3.45,0.345,REF,Reference,Reference,Reference,73.4187,73.4,0.026,0.026,0.66,0.066,Standard Loops,0.4165,0.4165,1.853,0.1889,188.9,0.0833,0.0833,0.3705,0.03778,37.78,3.5819,3.5819,15.933,1.6247,1624.7,3.98,3.98,101.09,10.109,1.978,1.978,50.24,5.024,Factory Option,Passivate per ASTM A967,0.0062,0.136,0.136,3.45,0.345,Random,0.026,0.026,0.66,0.066
LE 026B 08 S316,LE 026B 08 S316,LE026B08S316,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Stainless Steel Type 316,SS 316,ASTM A313,0.188,0.188,4.78,0.478,0.005,0.005,0.13,0.013,2.25,2.25,57.15,5.715,0.05,0.05,1.27,0.127,1.83,1.83,0.32,3.2,0.0327,0.327,32.7,327,0.183,0.183,0.032,0.32,0.00327,0.0327,3.27,32.7,0.136,0.136,3.45,0.345,REF,Reference,Reference,Reference,73.4187,73.4,0.026,0.026,0.66,0.066,Standard Loops,0.4165,0.4165,1.853,0.1889,188.9,0.0833,0.0833,0.3705,0.03778,37.78,2.686,2.686,11.948,1.2184,1218.4,3.49,3.49,88.65,8.865,1.978,1.978,50.24,5.024,Factory Option,Ultrasonically Passivate with Citric Acid for 10 mins At 131 Deg F,0.0062,0.136,0.136,3.45,0.345,Random,0.026,0.026,0.66,0.066
LE 026B 09 M,LE 026B 09 M,LE026B09M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.188,0.188,4.78,0.478,0.005,0.005,0.13,0.013,2.5,2.5,63.5,6.35,0.05,0.05,1.27,0.127,1.93,1.93,0.338,3.38,0.0345,0.345,34.5,345,0.193,0.193,0.0338,0.338,0.00345,0.0345,3.45,34.5,0.136,0.136,3.45,0.345,REF,Reference,Reference,Reference,83.5376,83.5,0.026,0.026,0.66,0.066,Standard Loops,0.5,0.5,2.224,0.2268,226.8,0.1,0.1,0.4448,0.04536,45.36,4.3,4.3,19.127,1.9505,1950.5,4.47,4.47,113.54,11.354,2.228,2.228,56.59,5.659,Factory Option,Zinc Plate and Bake per ASTM B633,0.0069,0.136,0.136,3.45,0.345,Random,0.026,0.026,0.66,0.066
