title,model,field_published_stock_code,field_product_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_out_dia_tol_bld_spc_in,field_out_dia_tol_in,field_out_dia_tol_mm,field_out_dia_tol_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_spring_type,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_color,field_weight_per_item_lb
CBM011B 06 E,CBM011B 06 E,CBM011B06E,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.052,0.052,1.32,0.132,+/-0.003,+/-0.003,+/-0.08,+/-0.008,0.059,0.059,1.5,0.15,0.038,0.038,0.97,0.097,MIN,MIN,MIN,MIN,0.276,0.276,7,0.7,0.012,0.012,0.3,0.03,0.521,0.521,0.091,0.91,0.0093,0.093,9.3,93,0.0521,0.052,0.0091,0.091,0.00093,0.0093,0.93,9.3,0.06,0.06,1.52,0.152,0.0045,0.005,0.11,0.011,Elgiloy,Elgiloy,0.112,0.112,0.5,0.051,50.8,Squared,Factory Option,10.29,10.29,Reference,Reference,12.29,12.29,None,1,Bantam™ Mini Series (metric),AMS 5833 (CHEM ONLY),0.043,0.043,1.09,0.109,Reference,Reference,Reference,Reference,,8.8E-06
CBM011B 07 E,CBM011B 07 E,CBM011B07E,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.052,0.052,1.32,0.132,+/-0.003,+/-0.003,+/-0.08,+/-0.008,0.059,0.059,1.5,0.15,0.038,0.038,0.97,0.097,MIN,MIN,MIN,MIN,0.315,0.315,8,0.8,0.013,0.013,0.33,0.033,0.453,0.453,0.079,0.79,0.0081,0.081,8.09,80.9,0.0453,0.045,0.0079,0.079,0.00081,0.0081,0.809,8.09,0.067,0.067,1.7,0.17,0.0045,0.005,0.11,0.011,Elgiloy,Elgiloy,0.112,0.112,0.5,0.051,50.8,Squared,Factory Option,11.83,11.83,Reference,Reference,13.83,13.83,None,1,Bantam™ Mini Series (metric),AMS 5833 (CHEM ONLY),0.043,0.043,1.09,0.109,Reference,Reference,Reference,Reference,,1E-05
CBM011B 08 E,CBM011B 08 E,CBM011B08E,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.052,0.052,1.32,0.132,+/-0.003,+/-0.003,+/-0.08,+/-0.008,0.059,0.059,1.5,0.15,0.038,0.038,0.97,0.097,MIN,MIN,MIN,MIN,0.354,0.354,9,0.9,0.015,0.015,0.38,0.038,0.4,0.4,0.07,0.7,0.0071,0.071,7.14,71.4,0.04,0.04,0.007,0.07,0.00071,0.0071,0.714,7.14,0.074,0.074,1.88,0.188,0.0045,0.005,0.11,0.011,Elgiloy,Elgiloy,0.112,0.112,0.5,0.051,50.8,Squared,Factory Option,13.38,13.38,Reference,Reference,15.38,15.38,None,1,Bantam™ Mini Series (metric),AMS 5833 (CHEM ONLY),0.043,0.043,1.09,0.109,Reference,Reference,Reference,Reference,,1.11E-05
CBM011B 09 E,CBM011B 09 E,CBM011B09E,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.052,0.052,1.32,0.132,+/-0.003,+/-0.003,+/-0.08,+/-0.008,0.059,0.059,1.5,0.15,0.038,0.038,0.97,0.097,MIN,MIN,MIN,MIN,0.394,0.394,10,1,0.017,0.017,0.43,0.043,0.359,0.359,0.063,0.63,0.0064,0.064,6.41,64.1,0.0359,0.036,0.0063,0.063,0.00064,0.0064,0.641,6.41,0.081,0.081,2.06,0.206,0.0045,0.005,0.11,0.011,Elgiloy,Elgiloy,0.112,0.112,0.5,0.051,50.8,Squared,Factory Option,14.92,14.92,Reference,Reference,16.92,16.92,None,1,Bantam™ Mini Series (metric),AMS 5833 (CHEM ONLY),0.043,0.043,1.09,0.109,Reference,Reference,Reference,Reference,,1.22E-05
CBM011C 01 E,CBM011C 01 E,CBM011C01E,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.065,0.065,1.65,0.165,+/-0.003,+/-0.003,+/-0.08,+/-0.008,0.071,0.071,1.8,0.18,0.05,0.05,1.27,0.127,MIN,MIN,MIN,MIN,0.118,0.118,3,0.3,0.005,0.005,0.13,0.013,0.973,0.973,0.17,1.7,0.0174,0.174,17.38,173.8,0.0973,0.097,0.017,0.17,0.00174,0.0174,1.738,17.38,0.025,0.025,0.64,0.064,0.0045,0.005,0.11,0.011,Elgiloy,Elgiloy,0.09,0.09,0.4,0.041,40.82,Squared,Factory Option,2.67,2.67,Reference,Reference,4.67,4.67,None,1,Bantam™ Mini Series (metric),AMS 5833 (CHEM ONLY),0.056,0.056,1.42,0.142,Reference,Reference,Reference,Reference,,4.3E-06
CBM011C 02 E,CBM011C 02 E,CBM011C02E,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.065,0.065,1.65,0.165,+/-0.003,+/-0.003,+/-0.08,+/-0.008,0.071,0.071,1.8,0.18,0.05,0.05,1.27,0.127,MIN,MIN,MIN,MIN,0.157,0.157,4,0.4,0.007,0.007,0.18,0.018,0.706,0.706,0.124,1.24,0.0126,0.126,12.61,126.1,0.0706,0.071,0.0124,0.124,0.00126,0.0126,1.261,12.61,0.03,0.03,0.76,0.076,0.0045,0.005,0.11,0.011,Elgiloy,Elgiloy,0.09,0.09,0.4,0.041,40.82,Squared,Factory Option,3.67,3.67,Reference,Reference,5.67,5.67,None,1,Bantam™ Mini Series (metric),AMS 5833 (CHEM ONLY),0.056,0.056,1.42,0.142,Reference,Reference,Reference,Reference,,5.2E-06
CBM011C 03 E,CBM011C 03 E,CBM011C03E,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.065,0.065,1.65,0.165,+/-0.003,+/-0.003,+/-0.08,+/-0.008,0.071,0.071,1.8,0.18,0.05,0.05,1.27,0.127,MIN,MIN,MIN,MIN,0.197,0.197,5,0.5,0.008,0.008,0.2,0.02,0.554,0.554,0.097,0.97,0.0099,0.099,9.89,98.9,0.0554,0.055,0.0097,0.097,0.00099,0.0099,0.989,9.89,0.035,0.035,0.89,0.089,0.0045,0.005,0.11,0.011,Elgiloy,Elgiloy,0.09,0.09,0.4,0.041,40.82,Squared,Factory Option,4.68,4.68,Reference,Reference,6.68,6.68,None,1,Bantam™ Mini Series (metric),AMS 5833 (CHEM ONLY),0.056,0.056,1.42,0.142,Reference,Reference,Reference,Reference,,6.1E-06
CBM011C 04 E,CBM011C 04 E,CBM011C04E,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.065,0.065,1.65,0.165,+/-0.003,+/-0.003,+/-0.08,+/-0.008,0.071,0.071,1.8,0.18,0.05,0.05,1.27,0.127,MIN,MIN,MIN,MIN,0.236,0.236,6,0.6,0.01,0.01,0.25,0.025,0.456,0.456,0.08,0.8,0.0081,0.081,8.14,81.4,0.0456,0.046,0.008,0.08,0.00081,0.0081,0.814,8.14,0.039,0.039,0.99,0.099,0.0045,0.005,0.11,0.011,Elgiloy,Elgiloy,0.09,0.09,0.4,0.041,40.82,Squared,Factory Option,5.68,5.68,Reference,Reference,7.68,7.68,None,1,Bantam™ Mini Series (metric),AMS 5833 (CHEM ONLY),0.056,0.056,1.42,0.142,Reference,Reference,Reference,Reference,,7E-06
CBM011C 05 E,CBM011C 05 E,CBM011C05E,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.065,0.065,1.65,0.165,+/-0.003,+/-0.003,+/-0.08,+/-0.008,0.071,0.071,1.8,0.18,0.05,0.05,1.27,0.127,MIN,MIN,MIN,MIN,0.276,0.276,7,0.7,0.012,0.012,0.3,0.03,0.388,0.388,0.068,0.68,0.0069,0.069,6.93,69.3,0.0388,0.039,0.0068,0.068,0.00069,0.0069,0.693,6.93,0.044,0.044,1.12,0.112,0.0045,0.005,0.11,0.011,Elgiloy,Elgiloy,0.09,0.09,0.4,0.041,40.82,Squared,Factory Option,6.69,6.69,Reference,Reference,8.69,8.69,None,1,Bantam™ Mini Series (metric),AMS 5833 (CHEM ONLY),0.056,0.056,1.42,0.142,Reference,Reference,Reference,Reference,,8E-06
CBM011C 06 E,CBM011C 06 E,CBM011C06E,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.065,0.065,1.65,0.165,+/-0.003,+/-0.003,+/-0.08,+/-0.008,0.071,0.071,1.8,0.18,0.05,0.05,1.27,0.127,MIN,MIN,MIN,MIN,0.315,0.315,8,0.8,0.013,0.013,0.33,0.033,0.337,0.337,0.059,0.59,0.006,0.06,6.02,60.2,0.0337,0.034,0.0059,0.059,0.0006,0.006,0.602,6.02,0.048,0.048,1.22,0.122,0.0045,0.005,0.11,0.011,Elgiloy,Elgiloy,0.09,0.09,0.4,0.041,40.82,Squared,Factory Option,7.69,7.69,Reference,Reference,9.69,9.69,None,1,Bantam™ Mini Series (metric),AMS 5833 (CHEM ONLY),0.056,0.056,1.42,0.142,Reference,Reference,Reference,Reference,,8.9E-06
