title,model,field_published_stock_code,field_product_type,field_spring_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_product_series,field_revision,field_material,field_material_short_description,field_material_specification,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_outside_dia_tole_bd_spe_in,field_outside_dia_tole_in,field_outside_dia_tole_mm,field_outside_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_total_coils_bd_spe,field_total_coils,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_end,field_initial_ten_bud_spec_lb,field_initial_tension_lb,field_initial_tension_n,field_initial_tension_kg,field_initial_tension_gm,field_initial_ten_tol_bud_spc_lb,field_initial_ten_tol_lb,field_initial_ten_tol_n,field_initial_ten_tol_kg,field_initial_ten_tol_gm,field_max_load_build_spec_lb,field_max_load_lb,field_max_load_n,field_max_load_kg,field_max_load_gm,field_max_extend_len_bd_spe_in,field_max_extended_length_in,field_max_extended_length_mm,field_max_extended_length_cm,field_body_length_build_spec_in,field_body_length_in,field_body_length_mm,field_body_length_cm,field_direction_of_wind,field_finish,field_weight_per_item_lb,field_loop_insid_dia_bd_spec_in,field_loop_inside_diameter_in,field_loop_inside_diameter_mm,field_loop_inside_diameter_cm,field_loop_position,field_loop_opening_build_spec_in,field_loop_opening_in,field_loop_opening_mm,field_loop_opening_cm
LE 148K 06 S,LE 148K 06 S,LE148K06S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,1.25,1.25,31.75,3.175,0.03,0.03,0.76,0.076,5.5,5.5,139.7,13.97,0.11,0.11,2.79,0.279,19.261,19.261,3.373,33.73,0.344,3.44,344,3440,1.9261,1.9261,0.3373,3.373,0.0344,0.344,34.4,344,0.954,0.954,24.23,2.423,REF,Reference,Reference,Reference,23.27,23.3,0.148,0.148,3.76,0.376,Standard Loops,6.957,6.957,30.946,3.1557,3155.7,1.3914,1.3914,6.1893,0.63114,631.14,75.217,75.217,334.582,34.1184,34118.4,9.044,9.044,229.72,22.972,3.592,3.592,91.24,9.124,Factory Option,Passivate per ASTM A967,0.45197,0.954,0.954,24.23,2.423,Random,0.148,0.148,3.76,0.376
LE 148K 07 M,LE 148K 07 M,LE148K07M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Music Wire,MW,ASTM A228,1.25,1.25,31.75,3.175,0.03,0.03,0.76,0.076,6,6,152.4,15.24,0.12,0.12,3.05,0.305,19.34,19.34,3.387,33.87,0.3454,3.454,345.4,3454,1.934,1.934,0.3387,3.387,0.03454,0.3454,34.54,345.4,0.954,0.954,24.23,2.423,REF,Reference,Reference,Reference,26.65,26.7,0.148,0.148,3.76,0.376,Standard Loops,8,8,35.586,3.6288,3628.8,1.6,1.6,7.1172,0.72576,725.76,86.5,86.5,384.771,39.2364,39236.4,10.059,10.059,255.5,25.55,4.092,4.092,103.94,10.394,Factory Option,Zinc Plate and Bake per ASTM B633,0.50881,0.954,0.954,24.23,2.423,Random,0.148,0.148,3.76,0.376
LE 148K 07 S,LE 148K 07 S,LE148K07S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,1.25,1.25,31.75,3.175,0.03,0.03,0.76,0.076,6,6,152.4,15.24,0.12,0.12,3.05,0.305,16.817,16.817,2.945,29.45,0.3003,3.003,300.3,3003,1.6817,1.6817,0.2945,2.945,0.03003,0.3003,30.03,300.3,0.954,0.954,24.23,2.423,REF,Reference,Reference,Reference,26.65,26.7,0.148,0.148,3.76,0.376,Standard Loops,6.957,6.957,30.946,3.1557,3155.7,1.3914,1.3914,6.1893,0.63114,631.14,75.217,75.217,334.582,34.1184,34118.4,10.059,10.059,255.5,25.55,4.092,4.092,103.94,10.394,Factory Option,Passivate per ASTM A967,0.51239,0.954,0.954,24.23,2.423,Random,0.148,0.148,3.76,0.376
LE 148K 08 M,LE 148K 08 M,LE148K08M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Music Wire,MW,ASTM A228,1.25,1.25,31.75,3.175,0.03,0.03,0.76,0.076,6.5,6.5,165.1,16.51,0.13,0.13,3.3,0.33,17.16,17.16,3.005,30.05,0.3064,3.064,306.4,3064,1.716,1.716,0.3005,3.005,0.03064,0.3064,30.64,306.4,0.954,0.954,24.23,2.423,REF,Reference,Reference,Reference,30.03,30,0.148,0.148,3.76,0.376,Standard Loops,8,8,35.586,3.6288,3628.8,1.6,1.6,7.1172,0.72576,725.76,86.5,86.5,384.771,39.2364,39236.4,11.075,11.075,281.31,28.131,4.592,4.592,116.64,11.664,Factory Option,Zinc Plate and Bake per ASTM B633,0.56881,0.954,0.954,24.23,2.423,Random,0.148,0.148,3.76,0.376
LE 148K 08 S,LE 148K 08 S,LE148K08S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,1.25,1.25,31.75,3.175,0.03,0.03,0.76,0.076,6.5,6.5,165.1,16.51,0.13,0.13,3.3,0.33,14.922,14.922,2.613,26.13,0.2665,2.665,266.5,2665,1.4922,1.4922,0.2613,2.613,0.02665,0.2665,26.65,266.5,0.954,0.954,24.23,2.423,REF,Reference,Reference,Reference,30.03,30,0.148,0.148,3.76,0.376,Standard Loops,6.957,6.957,30.946,3.1557,3155.7,1.3914,1.3914,6.1893,0.63114,631.14,75.217,75.217,334.582,34.1184,34118.4,11.075,11.075,281.31,28.131,4.592,4.592,116.64,11.664,Factory Option,Passivate per ASTM A967,0.57282,0.954,0.954,24.23,2.423,Random,0.148,0.148,3.76,0.376
LE 148K 09 M,LE 148K 09 M,LE148K09M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Music Wire,MW,ASTM A228,1.25,1.25,31.75,3.175,0.03,0.03,0.76,0.076,7,7,177.8,17.78,0.14,0.14,3.56,0.356,15.43,15.43,2.702,27.02,0.2755,2.755,275.5,2755,1.543,1.543,0.2702,2.702,0.02755,0.2755,27.55,275.5,0.954,0.954,24.23,2.423,REF,Reference,Reference,Reference,33.41,33.4,0.148,0.148,3.76,0.376,Standard Loops,8,8,35.586,3.6288,3628.8,1.6,1.6,7.1172,0.72576,725.76,86.5,86.5,384.771,39.2364,39236.4,12.087,12.087,307.01,30.701,5.093,5.093,129.36,12.936,Factory Option,Zinc Plate and Bake per ASTM B633,0.62881,0.954,0.954,24.23,2.423,Random,0.148,0.148,3.76,0.376
LE 148K 09 S,LE 148K 09 S,LE148K09S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,1.25,1.25,31.75,3.175,0.03,0.03,0.76,0.076,7,7,177.8,17.78,0.14,0.14,3.56,0.356,13.417,13.417,2.35,23.5,0.2396,2.396,239.6,2396,1.3417,1.3417,0.235,2.35,0.02396,0.2396,23.96,239.6,0.954,0.954,24.23,2.423,REF,Reference,Reference,Reference,33.41,33.4,0.148,0.148,3.76,0.376,Standard Loops,6.957,6.957,30.946,3.1557,3155.7,1.3914,1.3914,6.1893,0.63114,631.14,75.217,75.217,334.582,34.1184,34118.4,12.087,12.087,307.01,30.701,5.093,5.093,129.36,12.936,Factory Option,Passivate per ASTM A967,0.63324,0.954,0.954,24.23,2.423,Random,0.148,0.148,3.76,0.376
LE 148K 10 M,LE 148K 10 M,LE148K10M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Music Wire,MW,ASTM A228,1.25,1.25,31.75,3.175,0.03,0.03,0.76,0.076,7.5,7.5,190.5,19.05,0.15,0.15,3.81,0.381,14.01,14.01,2.454,24.54,0.2502,2.502,250.2,2502,1.401,1.401,0.2454,2.454,0.02502,0.2502,25.02,250.2,0.954,0.954,24.23,2.423,REF,Reference,Reference,Reference,36.78,36.8,0.148,0.148,3.76,0.376,Standard Loops,8,8,35.586,3.6288,3628.8,1.6,1.6,7.1172,0.72576,725.76,86.5,86.5,384.771,39.2364,39236.4,13.103,13.103,332.82,33.282,5.591,5.591,142.01,14.201,Factory Option,Zinc Plate and Bake per ASTM B633,0.68881,0.954,0.954,24.23,2.423,Random,0.148,0.148,3.76,0.376
LE 148K 10 S,LE 148K 10 S,LE148K10S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,1.25,1.25,31.75,3.175,0.03,0.03,0.76,0.076,7.5,7.5,190.5,19.05,0.15,0.15,3.81,0.381,12.183,12.183,2.134,21.34,0.2176,2.176,217.6,2176,1.2183,1.2183,0.2134,2.134,0.02176,0.2176,21.76,217.6,0.954,0.954,24.23,2.423,REF,Reference,Reference,Reference,36.78,36.8,0.148,0.148,3.76,0.376,Standard Loops,6.957,6.957,30.946,3.1557,3155.7,1.3914,1.3914,6.1893,0.63114,631.14,75.217,75.217,334.582,34.1184,34118.4,13.103,13.103,332.82,33.282,5.591,5.591,142.01,14.201,Factory Option,Passivate per ASTM A967,0.69367,0.954,0.954,24.23,2.423,Random,0.148,0.148,3.76,0.376
LE 148L 01 M,LE 148L 01 M,LE148L01M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Music Wire,MW,ASTM A228,1.5,1.5,38.1,3.81,0.04,0.04,1.02,0.102,4.5,4.5,114.3,11.43,0.093,0.093,2.36,0.236,24.3,24.3,4.256,42.56,0.4339,4.339,433.9,4339,2.43,2.43,0.4256,4.256,0.04339,0.4339,43.39,433.9,1.204,1.204,30.58,3.058,REF,Reference,Reference,Reference,11.48,11.5,0.148,0.148,3.76,0.376,Standard Loops,6.7,6.7,29.803,3.0391,3039.1,1.34,1.34,5.9606,0.60782,607.82,70.63,70.63,314.178,32.0378,32037.8,7.131,7.131,181.13,18.113,2.092,2.092,53.14,5.314,Factory Option,Zinc Plate and Bake per ASTM B633,0.294,1.204,1.204,30.58,3.058,Random,0.148,0.148,3.76,0.376
