title,model,field_published_stock_code,field_product_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_out_dia_tol_bld_spc_in,field_out_dia_tol_in,field_out_dia_tol_mm,field_out_dia_tol_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_spring_type,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_color,field_weight_per_item_lb
CID040DG 04S,CID040DG 04S,CID040DG04S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.1732,0.173,4.4,0.44,+/-0.0078,+/-0.0078,+/-0.2,+/-0.02,0.1969,0.197,5,0.5,0.126,0.126,3.2,0.32,MIN,MIN,MIN,MIN,0.9882,0.988,25.1,2.51,0.03,0.03,0.76,0.076,1.622,1.622,0.284,2.84,0.029,0.29,28.97,289.7,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,0.249,0.249,6.32,0.632,0.0157,0.016,0.4,0.04,Stainless Steel,SS,1.207,1.207,5.37,0.547,547.5,Squared,Right Hand,12.5,12.5,,,14.5,14.5,Passivate per ASTM A967,1,DIN-Plus Series Part 2,DIN EN 10270-3,0.1418,0.142,3.6,0.36,Reference,Reference,Reference,Reference,,0.000399
CID040DG 05S,CID040DG 05S,CID040DG05S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.1732,0.173,4.4,0.44,+/-0.0078,+/-0.0078,+/-0.2,+/-0.02,0.1969,0.197,5,0.5,0.126,0.126,3.2,0.32,MIN,MIN,MIN,MIN,1.4409,1.441,36.6,3.66,0.044,0.044,1.12,0.112,1.119,1.119,0.196,1.96,0.02,0.2,19.98,199.8,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,0.3454,0.345,8.77,0.877,0.0157,0.016,0.4,0.04,Stainless Steel,SS,1.233,1.233,5.48,0.559,559.29,Squared,Right Hand,18.5,18.5,,,20.5,20.5,Passivate per ASTM A967,1,DIN-Plus Series Part 2,DIN EN 10270-3,0.1418,0.142,3.6,0.36,Reference,Reference,Reference,Reference,,0.000564
CID040EG 01S,CID040EG 01S,CID040EG01S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.2126,0.213,5.4,0.54,+/-0.0098,+/-0.0098,+/-0.25,+/-0.025,0.2362,0.236,6,0.6,0.1614,0.161,4.1,0.41,MIN,MIN,MIN,MIN,0.4291,0.429,10.9,1.09,0.015,0.015,0.38,0.038,2.969,2.969,0.52,5.2,0.053,0.53,53.02,530.2,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,0.1044,0.104,2.65,0.265,0.0157,0.016,0.4,0.04,Stainless Steel,SS,0.97,0.97,4.31,0.44,439.99,Squared,Right Hand,3.5,3.5,,,5.5,5.5,Passivate per ASTM A967,1,DIN-Plus Series Part 2,DIN EN 10270-3,0.1812,0.181,4.6,0.46,Reference,Reference,Reference,Reference,,0.000189
CID040EG 02S,CID040EG 02S,CID040EG02S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.2126,0.213,5.4,0.54,+/-0.0098,+/-0.0098,+/-0.25,+/-0.025,0.2362,0.236,6,0.6,0.1614,0.161,4.1,0.41,MIN,MIN,MIN,MIN,0.6457,0.646,16.4,1.64,0.02,0.02,0.51,0.051,1.901,1.901,0.333,3.33,0.034,0.34,33.95,339.5,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,0.1365,0.137,3.47,0.347,0.0157,0.016,0.4,0.04,Stainless Steel,SS,0.973,0.973,4.33,0.441,441.35,Squared,Right Hand,5.5,5.5,,,7.5,7.5,Passivate per ASTM A967,1,DIN-Plus Series Part 2,DIN EN 10270-3,0.1812,0.181,4.6,0.46,Reference,Reference,Reference,Reference,,0.000258
CID040EG 03S,CID040EG 03S,CID040EG03S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.2126,0.213,5.4,0.54,+/-0.0098,+/-0.0098,+/-0.25,+/-0.025,0.2362,0.236,6,0.6,0.1614,0.161,4.1,0.41,MIN,MIN,MIN,MIN,0.9724,0.972,24.7,2.47,0.029,0.029,0.74,0.074,1.233,1.233,0.216,2.16,0.022,0.22,22.02,220.2,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,0.1847,0.185,4.69,0.469,0.0157,0.016,0.4,0.04,Stainless Steel,SS,0.976,0.976,4.34,0.443,442.71,Squared,Right Hand,8.5,8.5,,,10.5,10.5,Passivate per ASTM A967,1,DIN-Plus Series Part 2,DIN EN 10270-3,0.1812,0.181,4.6,0.46,Reference,Reference,Reference,Reference,,0.000362
CID040EG 04S,CID040EG 04S,CID040EG04S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.2126,0.213,5.4,0.54,+/-0.0098,+/-0.0098,+/-0.25,+/-0.025,0.2362,0.236,6,0.6,0.1614,0.161,4.1,0.41,MIN,MIN,MIN,MIN,1.4094,1.409,35.8,3.58,0.043,0.043,1.09,0.109,0.839,0.839,0.147,1.47,0.015,0.15,14.98,149.8,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,0.249,0.249,6.32,0.632,0.0157,0.016,0.4,0.04,Stainless Steel,SS,0.978,0.978,4.35,0.444,443.62,Squared,Right Hand,12.5,12.5,,,14.5,14.5,Passivate per ASTM A967,1,DIN-Plus Series Part 2,DIN EN 10270-3,0.1812,0.181,4.6,0.46,Reference,Reference,Reference,Reference,,0.000498
CID040EG 05S,CID040EG 05S,CID040EG05S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.2126,0.213,5.4,0.54,+/-0.0098,+/-0.0098,+/-0.25,+/-0.025,0.2362,0.236,6,0.6,0.1614,0.161,4.1,0.41,MIN,MIN,MIN,MIN,2.063,2.063,52.4,5.24,0.063,0.063,1.6,0.16,0.56,0.56,0.098,0.98,0.01,0.1,10,100,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,0.3454,0.345,8.77,0.877,0.0157,0.016,0.4,0.04,Stainless Steel,SS,0.966,0.966,4.3,0.438,438.18,Squared,Right Hand,18.5,18.5,,,20.5,20.5,Passivate per ASTM A967,1,DIN-Plus Series Part 2,DIN EN 10270-3,0.1812,0.181,4.6,0.46,Reference,Reference,Reference,Reference,,0.000705
CIM010ZA 01S,CIM010ZA 01S,CIM010ZA01S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.024,0.024,0.6,0.06,+/-0.0028,+/-0.0028,+/-0.07,+/-0.007,0.031,0.031,0.8,0.08,0.012,0.012,0.3,0.03,MIN,MIN,MIN,MIN,0.039,0.039,1,0.1,0.002,0.002,0.05,0.005,11.249,11.249,1.97,19.7,0.2009,2.009,200.88,2008.8,1.125,1.125,0.197,1.97,0.02009,0.2009,20.09,200.9,0.026,0.026,0.66,0.066,0.004,0.004,0.1,0.01,Stainless Steel,SS,0.155,0.155,0.69,0.07,70.31,Squared,Right Hand,3.5,3.5,Reference,Reference,5.5,5.5,Passivate per ASTM A967,1,Instrument Compression Series (metric),ASTM A313,0.016,0.016,0.4,0.04,Reference,Reference,Reference,Reference,,0.0000012
CIM010ZA 02S,CIM010ZA 02S,CIM010ZA02S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.024,0.024,0.6,0.06,+/-0.0028,+/-0.0028,+/-0.07,+/-0.007,0.031,0.031,0.8,0.08,0.012,0.012,0.3,0.03,MIN,MIN,MIN,MIN,0.055,0.055,1.4,0.14,0.003,0.003,0.08,0.008,7.158,7.158,1.254,12.54,0.1278,1.278,127.83,1278.3,0.716,0.716,0.1254,1.254,0.01279,0.1279,12.786,127.86,0.033,0.033,0.84,0.084,0.004,0.004,0.1,0.01,Stainless Steel,SS,0.155,0.155,0.69,0.07,70.31,Squared,Right Hand,5.5,5.5,Reference,Reference,7.5,7.5,Passivate per ASTM A967,1,Instrument Compression Series (metric),ASTM A313,0.016,0.016,0.4,0.04,Reference,Reference,Reference,Reference,,0.0000016
CIM010ZA 03S,CIM010ZA 03S,CIM010ZA03S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.024,0.024,0.6,0.06,+/-0.0028,+/-0.0028,+/-0.07,+/-0.007,0.031,0.031,0.8,0.08,0.012,0.012,0.3,0.03,MIN,MIN,MIN,MIN,0.079,0.079,2,0.2,0.004,0.004,0.1,0.01,4.632,4.632,0.811,8.11,0.0827,0.827,82.72,827.2,0.463,0.463,0.0811,0.811,0.00827,0.0827,8.268,82.68,0.045,0.045,1.14,0.114,0.004,0.004,0.1,0.01,Stainless Steel,SS,0.155,0.155,0.69,0.07,70.31,Squared,Right Hand,8.5,8.5,Reference,Reference,10.5,10.5,Passivate per ASTM A967,1,Instrument Compression Series (metric),ASTM A313,0.016,0.016,0.4,0.04,Reference,Reference,Reference,Reference,,0.0000022
