title,model,field_published_stock_code,field_product_type,field_product_category,field_original_publication_date, ,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm, field_outside_dia_cm,field_outside_dia_tole_bd_spe_in,field_outside_dia_tole_in,field_outside_dia_tole_mm,field_outside_dia_tole_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm, field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_spring_type,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_inside_dia_tole_bd_spe_in,field_inside_dia_tole_in,field_inside_dia_tole_mm,field_inside_dia_tole_cm,field_color,field_weight_per_item_lb
LC 042D 11 S316,LC 042D 11 S316,LC042D11S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.3,0.3,7.62,0.762,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.313,0.313,7.95,0.795,0.205,0.205,5.21,0.521,MIN,MIN,MIN,MIN,1,1,25.4,2.54,0.033,0.033,0.84,0.084,25,25,4.378,43.78,0.4465,4.465,446.45,4464.5,2.5,2.5,0.4378,4.378,0.04465,0.4465,44.645,446.45,0.474,0.474,12.04,1.204,0.042,0.042,1.07,Stainless Steel Type 316,SS316,13.5779,13.578,60.4,6.159,6158.94,Squared and Ground,Factory Option,9.0595,9.0595,Reference,Reference,11.06,11.06,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.216,0.216,5.49,0.549,Reference,Reference,Reference,Reference,,0.0037807
LC 042D 12 M,LC 042D 12 M,LC042D12M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.3,0.3,7.62,0.762,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.313,0.313,7.95,0.795,0.205,0.205,5.21,0.521,MIN,MIN,MIN,MIN,1.125,1.125,28.58,2.858,0.035,0.035,0.89,0.089,28,28,4.904,49.04,0.5,5,500.02,5000.2,2.8,2.8,0.4904,4.904,0.05,0.5,50.002,500.02,0.506,0.506,12.85,1.285,0.042,0.042,1.07,Music Wire,MW,16.3,16.3,72.51,7.394,7393.68,Squared and Ground,Factory Option,9.7066,9.7066,Reference,Reference,11.71,11.71,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.216,0.216,5.49,0.549,Reference,Reference,Reference,Reference,,0.0039271
LC 042D 12 S,LC 042D 12 S,LC042D12S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.3,0.3,7.62,0.762,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.313,0.313,7.95,0.795,0.205,0.205,5.21,0.521,MIN,MIN,MIN,MIN,1.125,1.125,28.58,2.858,0.035,0.035,0.89,0.089,23.3,23.3,4.081,40.81,0.4161,4.161,416.09,4160.9,2.33,2.33,0.4081,4.081,0.04161,0.4161,41.609,416.09,0.506,0.506,12.85,1.285,0.042,0.042,1.07,Stainless Steel,SS,13.5779,13.578,60.4,6.159,6158.94,Squared and Ground,Factory Option,9.7205,9.7205,Reference,Reference,11.72,11.72,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.216,0.216,5.49,0.549,Reference,Reference,Reference,Reference,,0.0040067
LC 042D 12 S316,LC 042D 12 S316,LC042D12S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.3,0.3,7.62,0.762,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.313,0.313,7.95,0.795,0.205,0.205,5.21,0.521,MIN,MIN,MIN,MIN,1.125,1.125,28.58,2.858,0.035,0.035,0.89,0.089,23.3,23.3,4.081,40.81,0.4161,4.161,416.09,4160.9,2.33,2.33,0.4081,4.081,0.04161,0.4161,41.609,416.09,0.506,0.506,12.85,1.285,0.042,0.042,1.07,Stainless Steel Type 316,SS316,13.5779,13.578,60.4,6.159,6158.94,Squared and Ground,Factory Option,9.7205,9.7205,Reference,Reference,11.72,11.72,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.216,0.216,5.49,0.549,Reference,Reference,Reference,Reference,,0.0040067
LC 042D 13 M,LC 042D 13 M,LC042D13M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.3,0.3,7.62,0.762,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.313,0.313,7.95,0.795,0.205,0.205,5.21,0.521,MIN,MIN,MIN,MIN,1.25,1.25,31.75,3.175,0.039,0.039,0.99,0.099,24,24,4.203,42.03,0.4286,4.286,428.59,4285.9,2.4,2.4,0.4203,4.203,0.04286,0.4286,42.859,428.59,0.579,0.579,14.71,1.471,0.042,0.042,1.07,Music Wire,MW,16.3,16.3,72.51,7.394,7393.68,Squared and Ground,Factory Option,11.3244,11.3244,Reference,Reference,13.32,13.32,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.216,0.216,5.49,0.549,Reference,Reference,Reference,Reference,,0.0044698
LC 042D 13 S,LC 042D 13 S,LC042D13S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.3,0.3,7.62,0.762,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.313,0.313,7.95,0.795,0.205,0.205,5.21,0.521,MIN,MIN,MIN,MIN,1.25,1.25,31.75,3.175,0.039,0.039,0.99,0.099,20,20,3.503,35.03,0.3572,3.572,357.16,3571.6,2,2,0.3503,3.503,0.03572,0.3572,35.716,357.16,0.579,0.579,14.71,1.471,0.042,0.042,1.07,Stainless Steel,SS,13.5779,13.578,60.4,6.159,6158.94,Squared and Ground,Factory Option,11.3244,11.3244,Reference,Reference,13.32,13.32,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.216,0.216,5.49,0.549,Reference,Reference,Reference,Reference,,0.004555
LC 042D 13 S316,LC 042D 13 S316,LC042D13S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.3,0.3,7.62,0.762,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.313,0.313,7.95,0.795,0.205,0.205,5.21,0.521,MIN,MIN,MIN,MIN,1.25,1.25,31.75,3.175,0.039,0.039,0.99,0.099,20,20,3.503,35.03,0.3572,3.572,357.16,3571.6,2,2,0.3503,3.503,0.03572,0.3572,35.716,357.16,0.579,0.579,14.71,1.471,0.042,0.042,1.07,Stainless Steel Type 316,SS316,13.5779,13.578,60.4,6.159,6158.94,Squared and Ground,Factory Option,11.3244,11.3244,Reference,Reference,13.32,13.32,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.216,0.216,5.49,0.549,Reference,Reference,Reference,Reference,,0.004555
LC 042D 14 M,LC 042D 14 M,LC042D14M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.3,0.3,7.62,0.762,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.313,0.313,7.95,0.795,0.205,0.205,5.21,0.521,MIN,MIN,MIN,MIN,1.375,1.375,34.93,3.493,0.044,0.044,1.12,0.112,22,22,3.853,38.53,0.3929,3.929,392.88,3928.8,2.2,2.2,0.3853,3.853,0.03929,0.3929,39.288,392.88,0.631,0.631,16.03,1.603,0.042,0.042,1.07,Music Wire,MW,16.3,16.3,72.51,7.394,7393.68,Squared and Ground,Factory Option,12.3539,12.3539,Reference,Reference,14.35,14.35,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.216,0.216,5.49,0.549,Reference,Reference,Reference,Reference,,0.0048152
LC 042D 14 S,LC 042D 14 S,LC042D14S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.3,0.3,7.62,0.762,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.313,0.313,7.95,0.795,0.205,0.205,5.21,0.521,MIN,MIN,MIN,MIN,1.375,1.375,34.93,3.493,0.044,0.044,1.12,0.112,18.3,18.3,3.205,32.05,0.3268,3.268,326.8,3268,1.83,1.83,0.3205,3.205,0.03268,0.3268,32.68,326.8,0.631,0.631,16.03,1.603,0.042,0.042,1.07,Stainless Steel,SS,13.5779,13.578,60.4,6.159,6158.94,Squared and Ground,Factory Option,12.3764,12.3764,Reference,Reference,14.38,14.38,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.216,0.216,5.49,0.549,Reference,Reference,Reference,Reference,,0.0049146
LC 042D 14 S316,LC 042D 14 S316,LC042D14S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.3,0.3,7.62,0.762,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.313,0.313,7.95,0.795,0.205,0.205,5.21,0.521,MIN,MIN,MIN,MIN,1.375,1.375,34.93,3.493,0.044,0.044,1.12,0.112,18.3,18.3,3.205,32.05,0.3268,3.268,326.8,3268,1.83,1.83,0.3205,3.205,0.03268,0.3268,32.68,326.8,0.631,0.631,16.03,1.603,0.042,0.042,1.07,Stainless Steel Type 316,SS316,13.5779,13.578,60.4,6.159,6158.94,Squared and Ground,Factory Option,12.3764,12.3764,Reference,Reference,14.38,14.38,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.216,0.216,5.49,0.549,Reference,Reference,Reference,Reference,,0.0049146
