title,model,field_published_stock_code,field_product_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_out_dia_tol_bld_spc_in,field_out_dia_tol_in,field_out_dia_tol_mm,field_out_dia_tol_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_spring_type,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_color,field_weight_per_item_lb
LCM095G 06 S,LCM095G 06 S,LCM095G06S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.472,0.472,12,1.2,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.5,0.5,12.7,1.27,0.378,0.378,9.6,0.96,MIN,MIN,MIN,MIN,1.181,1.181,30,3,0.039,0.039,0.99,0.099,6.481,6.481,1.135,11.35,0.1157,1.157,115.74,1157.4,0.6481,0.648,0.1135,1.135,0.01157,0.1157,11.574,115.74,0.246,0.246,6.25,0.625,0.037,0.037,0.95,,Stainless Steel,SS,6.064,6.064,26.97,2.751,2750.63,Squared and Ground,Factory Option,4.6,4.6,Reference,Reference,6.6,6.6,Passivate per ASTM A967,1,Standard Compression Series (metric),ASTM A313,0.398,0.398,10.1,1.01,Reference,Reference,Reference,Reference,,0.002853
LCM095G 07 M,LCM095G 07 M,LCM095G07M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.472,0.472,12,1.2,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.5,0.5,12.7,1.27,0.378,0.378,9.6,0.96,MIN,MIN,MIN,MIN,1.378,1.378,35,3.5,0.048,0.048,1.22,0.122,6.6,6.6,1.156,11.56,0.1179,1.179,117.86,1178.6,0.66,0.66,0.1156,1.156,0.01179,0.1179,11.786,117.86,0.277,0.277,7.04,0.704,0.037,0.037,0.95,,Music Wire,MW,7.28,7.28,32.38,3.302,3302.21,Squared and Ground,Factory Option,5.1747,5.1747,Reference,Reference,7.17,7.17,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (metric),ASTM A228,0.398,0.398,10.1,1.01,Reference,Reference,Reference,Reference,,0.0031493
LCM095G 07 S,LCM095G 07 S,LCM095G07S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.472,0.472,12,1.2,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.5,0.5,12.7,1.27,0.378,0.378,9.6,0.96,MIN,MIN,MIN,MIN,1.378,1.378,35,3.5,0.048,0.048,1.22,0.122,5.5,5.5,0.963,9.63,0.0982,0.982,98.22,982.2,0.55,0.55,0.0963,0.963,0.00982,0.0982,9.822,98.22,0.277,0.277,7.04,0.704,0.037,0.037,0.95,,Stainless Steel,SS,6.064,6.064,26.97,2.751,2750.63,Squared and Ground,Factory Option,5.1747,5.1747,Reference,Reference,7.17,7.17,Passivate per ASTM A967,1,Standard Compression Series (metric),ASTM A313,0.398,0.398,10.1,1.01,Reference,Reference,Reference,Reference,,0.0032093
LCM095G 08 M,LCM095G 08 M,LCM095G08M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.472,0.472,12,1.2,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.5,0.5,12.7,1.27,0.378,0.378,9.6,0.96,MIN,MIN,MIN,MIN,1.575,1.575,40,4,0.053,0.053,1.35,0.135,5.7,5.7,0.998,9.98,0.1018,1.018,101.79,1017.9,0.57,0.57,0.0998,0.998,0.01018,0.1018,10.179,101.79,0.307,0.307,7.8,0.78,0.037,0.037,0.95,,Music Wire,MW,7.28,7.28,32.38,3.302,3302.21,Squared and Ground,Factory Option,5.9917,5.9917,Reference,Reference,7.99,7.99,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (metric),ASTM A228,0.398,0.398,10.1,1.01,Reference,Reference,Reference,Reference,,0.003508
LCM095G 08 S,LCM095G 08 S,LCM095G08S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.472,0.472,12,1.2,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.5,0.5,12.7,1.27,0.378,0.378,9.6,0.96,MIN,MIN,MIN,MIN,1.575,1.575,40,4,0.053,0.053,1.35,0.135,4.8,4.8,0.841,8.41,0.0857,0.857,85.72,857.2,0.48,0.48,0.0841,0.841,0.00857,0.0857,8.572,85.72,0.307,0.307,7.8,0.78,0.037,0.037,0.95,,Stainless Steel,SS,6.064,6.064,26.97,2.751,2750.63,Squared and Ground,Factory Option,5.929,5.929,Reference,Reference,7.93,7.93,Passivate per ASTM A967,1,Standard Compression Series (metric),ASTM A313,0.398,0.398,10.1,1.01,Reference,Reference,Reference,Reference,,0.003546
LCM095G 09 M,LCM095G 09 M,LCM095G09M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.472,0.472,12,1.2,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.5,0.5,12.7,1.27,0.378,0.378,9.6,0.96,MIN,MIN,MIN,MIN,1.772,1.772,45,4.5,0.062,0.062,1.57,0.157,5.07,5.07,0.888,8.88,0.0905,0.905,90.54,905.4,0.507,0.507,0.0888,0.888,0.00905,0.0905,9.054,90.54,0.338,0.338,8.59,0.859,0.037,0.037,0.95,,Music Wire,MW,7.28,7.28,32.38,3.302,3302.21,Squared and Ground,Factory Option,7.05,7.05,Reference,Reference,9.05,9.05,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (metric),ASTM A228,0.398,0.398,10.1,1.01,Reference,Reference,Reference,Reference,,0.003817
LCM095G 09 S,LCM095G 09 S,LCM095G09S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.472,0.472,12,1.2,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.5,0.5,12.7,1.27,0.378,0.378,9.6,0.96,MIN,MIN,MIN,MIN,1.772,1.772,45,4.5,0.062,0.062,1.57,0.157,4.223,4.223,0.74,7.4,0.0754,0.754,75.41,754.1,0.4223,0.422,0.074,0.74,0.00754,0.0754,7.541,75.41,0.338,0.338,8.59,0.859,0.037,0.037,0.95,,Stainless Steel,SS,6.064,6.064,26.97,2.751,2750.63,Squared and Ground,Factory Option,7.05,7.05,Reference,Reference,9.05,9.05,Passivate per ASTM A967,1,Standard Compression Series (metric),ASTM A313,0.398,0.398,10.1,1.01,Reference,Reference,Reference,Reference,,0.003925
LCM095G 10 M,LCM095G 10 M,LCM095G10M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.472,0.472,12,1.2,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.5,0.5,12.7,1.27,0.378,0.378,9.6,0.96,MIN,MIN,MIN,MIN,1.969,1.969,50,5,0.062,0.062,1.57,0.157,4.6,4.6,0.806,8.06,0.0821,0.821,82.15,821.5,0.46,0.46,0.0806,0.806,0.00821,0.0821,8.215,82.15,0.368,0.368,9.35,0.935,0.037,0.037,0.95,,Music Wire,MW,7.28,7.28,32.38,3.302,3302.21,Squared and Ground,Factory Option,7.4245,7.4245,Reference,Reference,9.42,9.42,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (metric),ASTM A228,0.398,0.398,10.1,1.01,Reference,Reference,Reference,Reference,,0.0041369
LCM095G 10 S,LCM095G 10 S,LCM095G10S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.472,0.472,12,1.2,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.5,0.5,12.7,1.27,0.378,0.378,9.6,0.96,MIN,MIN,MIN,MIN,1.969,1.969,50,5,0.062,0.062,1.57,0.157,3.8,3.8,0.666,6.66,0.0679,0.679,67.86,678.6,0.38,0.38,0.0666,0.666,0.00679,0.0679,6.786,67.86,0.368,0.368,9.35,0.935,0.037,0.037,0.95,,Stainless Steel,SS,6.064,6.064,26.97,2.751,2750.63,Squared and Ground,Factory Option,7.4897,7.4897,Reference,Reference,9.49,9.49,Passivate per ASTM A967,1,Standard Compression Series (metric),ASTM A313,0.398,0.398,10.1,1.01,Reference,Reference,Reference,Reference,,0.0042448
LCM095G 11 M,LCM095G 11 M,LCM095G11M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.472,0.472,12,1.2,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.5,0.5,12.7,1.27,0.378,0.378,9.6,0.96,MIN,MIN,MIN,MIN,2.165,2.165,55,5.5,0.07,0.07,1.78,0.178,4.12,4.12,0.722,7.22,0.0736,0.736,73.57,735.7,0.412,0.412,0.0722,0.722,0.00736,0.0736,7.357,73.57,0.399,0.399,10.14,1.014,0.037,0.037,0.95,,Music Wire,MW,7.28,7.28,32.38,3.302,3302.21,Squared and Ground,Factory Option,8.68,8.68,Reference,Reference,10.68,10.68,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (metric),ASTM A228,0.398,0.398,10.1,1.01,Reference,Reference,Reference,Reference,,0.004534
