title,model,field_published_stock_code,field_product_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_out_dia_tol_bld_spc_in,field_out_dia_tol_in,field_out_dia_tol_mm,field_out_dia_tol_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_spring_type,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_color,field_weight_per_item_lb
LC 135P 04 S,LC 135P 04 S,LC135P04S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.46,1.46,37.08,3.708,+/-0.03,+/-0.03,+/-0.76,+/-0.076,1.5,1.5,38.1,3.81,1.15,1.15,29.21,2.921,MIN,MIN,MIN,MIN,3,3,76.2,7.62,0.105,0.105,2.67,0.267,31.4782,31.478,5.513,55.13,0.5621,5.621,562.14,5621.4,3.148,3.148,0.5513,5.513,0.05622,0.5622,56.217,562.17,1.067,1.067,27.1,2.71,0.135,0.135,3.43,,Stainless Steel,SS,60.8625,60.863,270.73,27.607,27607.23,Squared and Ground,Factory Option,5.67,5.67,Reference,Reference,7.67,7.67,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,1.19,1.19,30.23,3.023,Reference,Reference,Reference,Reference,,0.139
LC 135P 04 S316,LC 135P 04 S316,LC135P04S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.46,1.46,37.08,3.708,+/-0.03,+/-0.03,+/-0.76,+/-0.076,1.5,1.5,38.1,3.81,1.15,1.15,29.21,2.921,MIN,MIN,MIN,MIN,3,3,76.2,7.62,0.105,0.105,2.67,0.267,31.4782,31.478,5.513,55.13,0.5621,5.621,562.14,5621.4,3.148,3.148,0.5513,5.513,0.05622,0.5622,56.217,562.17,1.067,1.067,27.1,2.71,0.135,0.135,3.43,,Stainless Steel Type 316,SS316,60.8625,60.863,270.73,27.607,27607.23,Squared and Ground,Factory Option,5.67,5.67,Reference,Reference,7.67,7.67,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,1.19,1.19,30.23,3.023,Reference,Reference,Reference,Reference,,0.139
LC 135P 05 M,LC 135P 05 M,LC135P05M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.46,1.46,37.08,3.708,+/-0.03,+/-0.03,+/-0.76,+/-0.076,1.5,1.5,38.1,3.81,1.15,1.15,29.21,2.921,MIN,MIN,MIN,MIN,3.5,3.5,88.9,8.89,0.125,0.125,3.18,0.318,30.6,30.6,5.359,53.59,0.5465,5.465,546.45,5464.5,3.06,3.06,0.5359,5.359,0.05465,0.5465,54.645,546.45,1.211,1.211,30.76,3.076,0.135,0.135,3.43,,Music Wire,MW,70.0493,70.049,311.59,31.774,31774.36,Squared and Ground,Factory Option,6.71,6.71,Reference,Reference,8.71,8.71,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,1.19,1.19,30.23,3.023,Reference,Reference,Reference,Reference,,0.155
LC 135P 05 S,LC 135P 05 S,LC135P05S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.46,1.46,37.08,3.708,+/-0.03,+/-0.03,+/-0.76,+/-0.076,1.5,1.5,38.1,3.81,1.15,1.15,29.21,2.921,MIN,MIN,MIN,MIN,3.5,3.5,88.9,8.89,0.125,0.125,3.18,0.318,26.6086,26.609,4.66,46.6,0.4752,4.752,475.18,4751.8,2.661,2.661,0.466,4.66,0.04752,0.4752,47.52,475.2,1.211,1.211,30.76,3.076,0.135,0.135,3.43,,Stainless Steel,SS,60.9124,60.912,270.95,27.63,27629.86,Squared and Ground,Factory Option,6.71,6.71,Reference,Reference,8.71,8.71,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,1.19,1.19,30.23,3.023,Reference,Reference,Reference,Reference,,0.158
LC 135P 05 S316,LC 135P 05 S316,LC135P05S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.46,1.46,37.08,3.708,+/-0.03,+/-0.03,+/-0.76,+/-0.076,1.5,1.5,38.1,3.81,1.15,1.15,29.21,2.921,MIN,MIN,MIN,MIN,3.5,3.5,88.9,8.89,0.125,0.125,3.18,0.318,26.6086,26.609,4.66,46.6,0.4752,4.752,475.18,4751.8,2.661,2.661,0.466,4.66,0.04752,0.4752,47.52,475.2,1.211,1.211,30.76,3.076,0.135,0.135,3.43,,Stainless Steel Type 316,SS316,60.9124,60.912,270.95,27.63,27629.86,Squared and Ground,Factory Option,6.71,6.71,Reference,Reference,8.71,8.71,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,1.19,1.19,30.23,3.023,Reference,Reference,Reference,Reference,,0.158
LC 135P 06 M,LC 135P 06 M,LC135P06M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.46,1.46,37.08,3.708,+/-0.03,+/-0.03,+/-0.76,+/-0.076,1.5,1.5,38.1,3.81,1.15,1.15,29.21,2.921,MIN,MIN,MIN,MIN,4,4,101.6,10.16,0.14,0.14,3.56,0.356,26.5,26.5,4.641,46.41,0.4732,4.732,473.24,4732.4,2.65,2.65,0.4641,4.641,0.04732,0.4732,47.324,473.24,1.355,1.355,34.42,3.442,0.135,0.135,3.43,,Music Wire,MW,70.0895,70.09,311.77,31.793,31792.6,Squared and Ground,Factory Option,7.75,7.75,Reference,Reference,9.75,9.75,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,1.19,1.19,30.23,3.023,Reference,Reference,Reference,Reference,,0.173
LC 135P 06 S,LC 135P 06 S,LC135P06S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.46,1.46,37.08,3.708,+/-0.03,+/-0.03,+/-0.76,+/-0.076,1.5,1.5,38.1,3.81,1.15,1.15,29.21,2.921,MIN,MIN,MIN,MIN,4,4,101.6,10.16,0.14,0.14,3.56,0.356,23.0434,23.043,4.036,40.36,0.4115,4.115,411.51,4115.1,2.304,2.304,0.4035,4.035,0.04114,0.4114,41.145,411.45,1.355,1.355,34.42,3.442,0.135,0.135,3.43,,Stainless Steel,SS,60.9474,60.947,271.11,27.646,27645.74,Squared and Ground,Factory Option,7.75,7.75,Reference,Reference,9.75,9.75,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,1.19,1.19,30.23,3.023,Reference,Reference,Reference,Reference,,0.177
LC 135P 06 S316,LC 135P 06 S316,LC135P06S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.46,1.46,37.08,3.708,+/-0.03,+/-0.03,+/-0.76,+/-0.076,1.5,1.5,38.1,3.81,1.15,1.15,29.21,2.921,MIN,MIN,MIN,MIN,4,4,101.6,10.16,0.14,0.14,3.56,0.356,23.0434,23.043,4.036,40.36,0.4115,4.115,411.51,4115.1,2.304,2.304,0.4035,4.035,0.04114,0.4114,41.145,411.45,1.355,1.355,34.42,3.442,0.135,0.135,3.43,,Stainless Steel Type 316,SS316,60.9474,60.947,271.11,27.646,27645.74,Squared and Ground,Factory Option,7.75,7.75,Reference,Reference,9.75,9.75,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,1.19,1.19,30.23,3.023,Reference,Reference,Reference,Reference,,0.177
LC 135Q 01 M,LC 135Q 01 M,LC135Q01M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.687,1.687,42.85,4.285,+/-0.04,+/-0.04,+/-1.02,+/-0.102,1.75,1.75,44.45,4.445,1.364,1.364,34.65,3.465,MIN,MIN,MIN,MIN,1.5,1.5,38.1,3.81,0.053,0.053,1.35,0.135,64.4,64.4,11.279,112.79,1.1501,11.501,1150.06,11500.6,6.44,6.44,1.1279,11.279,0.11501,1.1501,115.006,1150.06,0.554,0.554,14.07,1.407,0.135,0.135,3.43,,Music Wire,MW,60.9305,60.931,271.03,27.638,27638.07,Squared and Ground,Factory Option,1.98,1.98,Reference,Reference,3.98,3.98,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,1.417,1.417,35.99,3.599,Reference,Reference,Reference,Reference,,0.083
LC 135Q 01 S,LC 135Q 01 S,LC135Q01S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.687,1.687,42.85,4.285,+/-0.04,+/-0.04,+/-1.02,+/-0.102,1.75,1.75,44.45,4.445,1.364,1.364,34.65,3.465,MIN,MIN,MIN,MIN,1.5,1.5,38.1,3.81,0.053,0.053,1.35,0.135,56,56,9.807,98.07,1,10,1000.05,10000.5,5.6,5.6,0.9807,9.807,0.1,1,100.005,1000.05,0.554,0.554,14.07,1.407,0.135,0.135,3.43,,Stainless Steel,SS,52.983,52.983,235.68,24.033,24033.09,Squared and Ground,Factory Option,1.98,1.98,Reference,Reference,3.98,3.98,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,1.417,1.417,35.99,3.599,Reference,Reference,Reference,Reference,,0.085
