title,model,field_published_stock_code,field_product_type,field_product_category,field_original_publication_date, ,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm, field_outside_dia_cm,field_outside_dia_tole_bd_spe_in,field_outside_dia_tole_in,field_outside_dia_tole_mm,field_outside_dia_tole_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm, field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_spring_type,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_inside_dia_tole_bd_spe_in,field_inside_dia_tole_in,field_inside_dia_tole_mm,field_inside_dia_tole_cm,field_color,field_weight_per_item_lb
LC 026BC 10M,LC 026BC 10M,LC026BC10M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.21,0.21,5.33,0.533,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.219,0.219,5.56,0.556,0.15,0.15,3.81,0.381,MIN,MIN,MIN,MIN,1.25,1.25,31.75,3.175,0.039,0.039,0.99,0.099,6.3,6.3,1.103,11.03,0.1125,1.125,112.51,1125.1,0.63,0.63,0.1103,1.103,0.01125,0.1125,11.251,112.51,0.51,0.51,12.95,1.295,0.026,0.026,0.66,Music Wire,MW,5,5,22.24,2.268,2268,Squared and Ground,Factory Option,17.4658,17.4658,Reference,Reference,19.47,19.47,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.158,0.158,4.01,0.401,Reference,Reference,Reference,Reference,,0.0017846
LC 026BC 10S,LC 026BC 10S,LC026BC10S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.21,0.21,5.33,0.533,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.219,0.219,5.56,0.556,0.15,0.15,3.81,0.381,MIN,MIN,MIN,MIN,1.25,1.25,31.75,3.175,0.039,0.039,0.99,0.099,5.2,5.2,0.911,9.11,0.0929,0.929,92.86,928.6,0.52,0.52,0.0911,0.911,0.00929,0.0929,9.286,92.86,0.51,0.51,12.95,1.295,0.026,0.026,0.66,Stainless Steel,SS,4.165,4.165,18.53,1.889,1889.24,Squared and Ground,Factory Option,17.6338,17.6338,Reference,Reference,19.63,19.63,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.158,0.158,4.01,0.401,Reference,Reference,Reference,Reference,,0.0018343
LC 026BC 10S316,LC 026BC 10S316,LC026BC10S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.21,0.21,5.33,0.533,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.219,0.219,5.56,0.556,0.15,0.15,3.81,0.381,MIN,MIN,MIN,MIN,1.25,1.25,31.75,3.175,0.039,0.039,0.99,0.099,5.2,5.2,0.911,9.11,0.0929,0.929,92.86,928.6,0.52,0.52,0.0911,0.911,0.00929,0.0929,9.286,92.86,0.51,0.51,12.95,1.295,0.026,0.026,0.66,Stainless Steel Type 316,SS316,4.165,4.165,18.53,1.889,1889.24,Squared and Ground,Factory Option,17.6338,17.6338,Reference,Reference,19.63,19.63,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.158,0.158,4.01,0.401,Reference,Reference,Reference,Reference,,0.0018343
LC 026BC 11M,LC 026BC 11M,LC026BC11M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.21,0.21,5.33,0.533,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.219,0.219,5.56,0.556,0.15,0.15,3.81,0.381,MIN,MIN,MIN,MIN,1.5,1.5,38.1,3.81,0.048,0.048,1.22,0.122,5.3,5.3,0.928,9.28,0.0946,0.946,94.65,946.5,0.53,0.53,0.0928,0.928,0.00946,0.0946,9.465,94.65,0.605,0.605,15.37,1.537,0.026,0.026,0.66,Music Wire,MW,5,5,22.24,2.268,2268,Squared and Ground,Factory Option,20.7613,20.7613,Reference,Reference,22.76,22.76,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.158,0.158,4.01,0.401,Reference,Reference,Reference,Reference,,0.0020868
LC 026BC 11S,LC 026BC 11S,LC026BC11S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.21,0.21,5.33,0.533,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.219,0.219,5.56,0.556,0.15,0.15,3.81,0.381,MIN,MIN,MIN,MIN,1.5,1.5,38.1,3.81,0.048,0.048,1.22,0.122,4.4,4.4,0.771,7.71,0.0786,0.786,78.58,785.8,0.44,0.44,0.0771,0.771,0.00786,0.0786,7.858,78.58,0.605,0.605,15.37,1.537,0.026,0.026,0.66,Stainless Steel,SS,4.165,4.165,18.53,1.889,1889.24,Squared and Ground,Factory Option,20.8399,20.8399,Reference,Reference,22.84,22.84,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.158,0.158,4.01,0.401,Reference,Reference,Reference,Reference,,0.0021339
LC 026BC 11S316,LC 026BC 11S316,LC026BC11S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.21,0.21,5.33,0.533,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.219,0.219,5.56,0.556,0.15,0.15,3.81,0.381,MIN,MIN,MIN,MIN,1.5,1.5,38.1,3.81,0.048,0.048,1.22,0.122,4.4,4.4,0.771,7.71,0.0786,0.786,78.58,785.8,0.44,0.44,0.0771,0.771,0.00786,0.0786,7.858,78.58,0.605,0.605,15.37,1.537,0.026,0.026,0.66,Stainless Steel Type 316,SS316,4.165,4.165,18.53,1.889,1889.24,Squared and Ground,Factory Option,20.8399,20.8399,Reference,Reference,22.84,22.84,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.158,0.158,4.01,0.401,Reference,Reference,Reference,Reference,,0.0021339
LC 026BC 12M,LC 026BC 12M,LC026BC12M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.21,0.21,5.33,0.533,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.219,0.219,5.56,0.556,0.15,0.15,3.81,0.381,MIN,MIN,MIN,MIN,1.75,1.75,44.45,4.445,0.062,0.062,1.57,0.157,4.4693,4.469,0.783,7.83,0.0798,0.798,79.81,798.1,0.447,0.447,0.0783,0.783,0.00798,0.0798,7.983,79.83,0.713,0.713,18.11,1.811,0.026,0.026,0.66,Music Wire,MW,4.728,4.728,21.03,2.145,2144.62,Squared and Ground,Factory Option,24.62,24.62,Reference,Reference,26.62,26.62,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.158,0.158,4.01,0.401,Reference,Reference,Reference,Reference,,0.0024
LC 026BC 12S,LC 026BC 12S,LC026BC12S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.21,0.21,5.33,0.533,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.219,0.219,5.56,0.556,0.15,0.15,3.81,0.381,MIN,MIN,MIN,MIN,1.75,1.75,44.45,4.445,0.062,0.062,1.57,0.157,3.7244,3.724,0.652,6.52,0.0665,0.665,66.51,665.1,0.372,0.372,0.0651,0.651,0.00664,0.0664,6.643,66.43,0.713,0.713,18.11,1.811,0.026,0.026,0.66,Stainless Steel,SS,3.94,3.94,17.53,1.787,1787.18,Squared and Ground,Factory Option,24.62,24.62,Reference,Reference,26.62,26.62,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.158,0.158,4.01,0.401,Reference,Reference,Reference,Reference,,0.0025
LC 026BC 12S316,LC 026BC 12S316,LC026BC12S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.21,0.21,5.33,0.533,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.219,0.219,5.56,0.556,0.15,0.15,3.81,0.381,MIN,MIN,MIN,MIN,1.75,1.75,44.45,4.445,0.062,0.062,1.57,0.157,3.7244,3.724,0.652,6.52,0.0665,0.665,66.51,665.1,0.372,0.372,0.0651,0.651,0.00664,0.0664,6.643,66.43,0.713,0.713,18.11,1.811,0.026,0.026,0.66,Stainless Steel Type 316,SS316,3.94,3.94,17.53,1.787,1787.18,Squared and Ground,Factory Option,24.62,24.62,Reference,Reference,26.62,26.62,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.158,0.158,4.01,0.401,Reference,Reference,Reference,Reference,,0.0025
LC 026BC 13M,LC 026BC 13M,LC026BC13M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.21,0.21,5.33,0.533,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.219,0.219,5.56,0.556,0.15,0.15,3.81,0.381,MIN,MIN,MIN,MIN,2,2,50.8,5.08,0.07,0.07,1.78,0.178,3.9005,3.901,0.683,6.83,0.0697,0.697,69.66,696.6,0.39005,0.39,0.0683,0.683,0.00697,0.0697,6.966,69.66,0.809,0.809,20.55,2.055,0.026,0.026,0.66,Music Wire,MW,4.7373,4.737,21.07,2.149,2148.84,Squared and Ground,Factory Option,28.21,28.21,Reference,Reference,30.21,30.21,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.158,0.158,4.01,0.401,Reference,Reference,Reference,Reference,,0.0028
