title,model,field_published_stock_code,field_product_type,field_spring_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_out_dia_tol_bld_spc_in,field_out_dia_tol_in,field_out_dia_tol_mm,field_out_dia_tol_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_color,field_weight_per_item_lb,field_nominal_load_build_spec_lb,field_nominal_load_lb,field_nominal_load_n,field_nominal_load_kg,field_nominal_load_gm,field_working_height_bud_spc_in,field_working_height_in,field_working_height_mm,field_working_height_cm
LWM15 080 1900S,LWM15 080 1900S,LWM150801900S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.536,0.536,13.61,1.361,Reference,Reference,Reference,Reference,0.591,0.591,15,1.5,0.394,0.394,10,1,MIN,MIN,MIN,MIN,0.748,0.748,19,1.9,0.1,0.1,2.54,0.254,60.982,60.982,10.68,106.8,1.089,10.89,1089.02,10890.2,15.245,15.245,2.6699,26.699,0.27225,2.7225,272.245,2722.45,0.12,0.12,3.05,0.305,0.01,0.01,0.25,0.025,Stainless Steel Type 17-7 PH,17-7 PH,38.297,38.297,170.35,17.372,17371.52,Plain (End Turn is Wavy),Factory Option,11,11,Reference,Reference,11,11,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.421,0.421,13.11,1.311,Reference,Reference,Reference,Reference,,0.004203,17.985,17.985,80,8.158,8158,0.453,0.453,11.51,1.151
LWM16 025 0541S,LWM16 025 0541S,LWM160250541S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.576,0.576,14.63,1.463,Reference,Reference,Reference,Reference,0.63,0.63,16,1.6,0.433,0.433,11,1.1,MIN,MIN,MIN,MIN,0.213,0.213,5.41,0.541,0.04,0.04,1.02,0.102,43.224,43.224,7.57,75.7,0.7719,7.719,771.89,7718.9,10.806,10.806,1.8925,18.925,0.19297,1.9297,192.974,1929.74,0.04,0.04,1.02,0.102,0.01,0.01,0.25,0.025,Stainless Steel Type 17-7 PH,17-7 PH,7.478,7.478,33.26,3.392,3392.02,Plain (End Turn is Wavy),Factory Option,3,3,Reference,Reference,3,3,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.46,0.46,14.13,1.413,Reference,Reference,Reference,Reference,,0.00124,5.62,5.62,25,2.549,2549.23,0.083,0.083,2.11,0.211
LWM16 025 0721S,LWM16 025 0721S,LWM160250721S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.576,0.576,14.63,1.463,Reference,Reference,Reference,Reference,0.63,0.63,16,1.6,0.433,0.433,11,1.1,MIN,MIN,MIN,MIN,0.284,0.284,7.21,0.721,0.05,0.05,1.27,0.127,32.318,32.318,5.66,56.6,0.5771,5.771,577.13,5771.3,8.08,8.08,1.4151,14.151,0.14429,1.4429,144.293,1442.93,0.05,0.05,1.27,0.127,0.01,0.01,0.25,0.025,Stainless Steel Type 17-7 PH,17-7 PH,7.562,7.562,33.64,3.43,3430.12,Plain (End Turn is Wavy),Factory Option,4,4,Reference,Reference,4,4,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.46,0.46,14.13,1.413,Reference,Reference,Reference,Reference,,0.001654,5.62,5.62,25,2.549,2549.23,0.11,0.11,2.79,0.279
LWM16 025 0902S,LWM16 025 0902S,LWM160250902S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.576,0.576,14.63,1.463,Reference,Reference,Reference,Reference,0.63,0.63,16,1.6,0.433,0.433,11,1.1,MIN,MIN,MIN,MIN,0.355,0.355,9.02,0.902,0.06,0.06,1.52,0.152,25.923,25.923,4.54,45.4,0.4629,4.629,462.93,4629.3,6.481,6.481,1.135,11.35,0.11574,1.1574,115.738,1157.38,0.06,0.06,1.52,0.152,0.01,0.01,0.25,0.025,Stainless Steel Type 17-7 PH,17-7 PH,7.647,7.647,34.02,3.469,3468.68,Plain (End Turn is Wavy),Factory Option,5,5,Reference,Reference,5,5,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.46,0.46,14.13,1.413,Reference,Reference,Reference,Reference,,0.002067,5.62,5.62,25,2.549,2549.23,0.138,0.138,3.51,0.351
LWM16 025 1082S,LWM16 025 1082S,LWM160251082S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.576,0.576,14.63,1.463,Reference,Reference,Reference,Reference,0.63,0.63,16,1.6,0.433,0.433,11,1.1,MIN,MIN,MIN,MIN,0.426,0.426,10.82,1.082,0.07,0.07,1.78,0.178,21.526,21.526,3.77,37.7,0.3844,3.844,384.41,3844.1,5.382,5.382,0.9426,9.426,0.09611,0.9611,96.112,961.12,0.07,0.07,1.78,0.178,0.01,0.01,0.25,0.025,Stainless Steel Type 17-7 PH,17-7 PH,7.663,7.663,34.09,3.476,3475.94,Plain (End Turn is Wavy),Factory Option,6,6,Reference,Reference,6,6,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.46,0.46,14.13,1.413,Reference,Reference,Reference,Reference,,0.002481,5.62,5.62,25,2.549,2549.23,0.165,0.165,4.19,0.419
LWM16 025 1262S,LWM16 025 1262S,LWM160251262S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.576,0.576,14.63,1.463,Reference,Reference,Reference,Reference,0.63,0.63,16,1.6,0.433,0.433,11,1.1,MIN,MIN,MIN,MIN,0.497,0.497,12.62,1.262,0.08,0.08,2.03,0.203,18.5,18.5,3.24,32.4,0.3304,3.304,330.37,3303.7,4.625,4.625,0.81,8.1,0.08259,0.8259,82.593,825.93,0.08,0.08,2.03,0.203,0.01,0.01,0.25,0.025,Stainless Steel Type 17-7 PH,17-7 PH,7.715,7.715,34.32,3.5,3499.52,Plain (End Turn is Wavy),Factory Option,7,7,Reference,Reference,7,7,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.46,0.46,14.13,1.413,Reference,Reference,Reference,Reference,,0.002894,5.62,5.62,25,2.549,2549.23,0.193,0.193,4.9,0.49
LWM16 025 1623S,LWM16 025 1623S,LWM160251623S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.576,0.576,14.63,1.463,Reference,Reference,Reference,Reference,0.63,0.63,16,1.6,0.433,0.433,11,1.1,MIN,MIN,MIN,MIN,0.639,0.639,16.23,1.623,0.09,0.09,2.29,0.229,14.389,14.389,2.52,25.2,0.257,2.57,256.96,2569.6,3.597,3.597,0.63,6.3,0.06424,0.6424,64.235,642.35,0.1,0.1,2.54,0.254,0.01,0.01,0.25,0.025,Stainless Steel Type 17-7 PH,17-7 PH,7.756,7.756,34.5,3.518,3518.12,Plain (End Turn is Wavy),Factory Option,9,9,Reference,Reference,9,9,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.46,0.46,14.13,1.413,Reference,Reference,Reference,Reference,,0.003721,5.62,5.62,25,2.549,2549.23,0.248,0.248,6.3,0.63
LWM16 025 1984S,LWM16 025 1984S,LWM160251984S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.576,0.576,14.63,1.463,Reference,Reference,Reference,Reference,0.63,0.63,16,1.6,0.433,0.433,11,1.1,MIN,MIN,MIN,MIN,0.781,0.781,19.84,1.984,0.12,0.12,3.05,0.305,11.762,11.762,2.06,20.6,0.21,2.1,210.05,2100.5,2.941,2.941,0.5151,5.151,0.05252,0.5252,52.52,525.2,0.12,0.12,3.05,0.305,0.01,0.01,0.25,0.025,Stainless Steel Type 17-7 PH,17-7 PH,7.775,7.775,34.58,3.527,3526.74,Plain (End Turn is Wavy),Factory Option,11,11,Reference,Reference,11,11,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.46,0.46,14.13,1.413,Reference,Reference,Reference,Reference,,0.004548,5.62,5.62,25,2.549,2549.23,0.303,0.303,7.7,0.77
LWM16 025 2344S,LWM16 025 2344S,LWM160252344S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.576,0.576,14.63,1.463,Reference,Reference,Reference,Reference,0.63,0.63,16,1.6,0.433,0.433,11,1.1,MIN,MIN,MIN,MIN,0.923,0.923,23.44,2.344,0.125,0.125,3.18,0.318,9.935,9.935,1.74,17.4,0.1774,1.774,177.42,1774.2,2.484,2.484,0.435,4.35,0.04436,0.4436,44.359,443.59,0.14,0.14,3.56,0.356,0.01,0.01,0.25,0.025,Stainless Steel Type 17-7 PH,17-7 PH,7.779,7.779,34.6,3.529,3528.55,Plain (End Turn is Wavy),Factory Option,13,13,Reference,Reference,13,13,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.46,0.46,14.13,1.413,Reference,Reference,Reference,Reference,,0.005375,5.62,5.62,25,2.549,2549.23,0.358,0.358,9.09,0.909
LWM16 055 0541S,LWM16 055 0541S,LWM160550541S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.576,0.576,14.63,1.463,Reference,Reference,Reference,Reference,0.63,0.63,16,1.6,0.433,0.433,11,1.1,MIN,MIN,MIN,MIN,0.213,0.213,5.41,0.541,0.04,0.04,1.02,0.102,176.607,176.607,30.93,309.3,3.1538,31.538,3153.85,31538.5,44.152,44.152,7.7325,77.325,0.78847,7.8847,788.466,7884.66,0.04,0.04,1.02,0.102,0.01,0.01,0.25,0.025,Stainless Steel Type 17-7 PH,17-7 PH,30.553,30.553,135.91,13.859,13858.84,Plain (End Turn is Wavy),Factory Option,3,3,Reference,Reference,3,3,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.46,0.46,14.13,1.413,Reference,Reference,Reference,Reference,,0.00124,12.364,12.364,55,5.608,5608.31,0.143,0.143,3.63,0.363
LWM16 055 0721S,LWM16 055 0721S,LWM160550721S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.576,0.576,14.63,1.463,Reference,Reference,Reference,Reference,0.63,0.63,16,1.6,0.433,0.433,11,1.1,MIN,MIN,MIN,MIN,0.284,0.284,7.21,0.721,0.05,0.05,1.27,0.127,131.556,131.556,23.04,230.4,2.3493,23.493,2349.33,23493.3,32.889,32.889,5.7599,57.599,0.58733,5.8733,587.332,5873.32,0.05,0.05,1.27,0.127,0.01,0.01,0.25,0.025,Stainless Steel Type 17-7 PH,17-7 PH,30.784,30.784,136.93,13.964,13963.62,Plain (End Turn is Wavy),Factory Option,4,4,Reference,Reference,4,4,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.46,0.46,14.13,1.413,Reference,Reference,Reference,Reference,,0.001654,12.364,12.364,55,5.608,5608.31,0.19,0.19,4.83,0.483
LWM16 055 0902S,LWM16 055 0902S,LWM160550902S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.576,0.576,14.63,1.463,Reference,Reference,Reference,Reference,0.63,0.63,16,1.6,0.433,0.433,11,1.1,MIN,MIN,MIN,MIN,0.355,0.355,9.02,0.902,0.06,0.06,1.52,0.152,105.69,105.69,18.51,185.1,1.8874,18.874,1887.41,18874.1,26.423,26.423,4.6275,46.275,0.47186,4.7186,471.862,4718.62,0.06,0.06,1.52,0.152,0.01,0.01,0.25,0.025,Stainless Steel Type 17-7 PH,17-7 PH,31.179,31.179,138.69,14.143,14142.79,Plain (End Turn is Wavy),Factory Option,5,5,Reference,Reference,5,5,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.46,0.46,14.13,1.413,Reference,Reference,Reference,Reference,,0.002067,12.364,12.364,55,5.608,5608.31,0.238,0.238,6.05,0.605
LWM16 055 1082S,LWM16 055 1082S,LWM160551082S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.576,0.576,14.63,1.463,Reference,Reference,Reference,Reference,0.63,0.63,16,1.6,0.433,0.433,11,1.1,MIN,MIN,MIN,MIN,0.426,0.426,10.82,1.082,0.07,0.07,1.78,0.178,87.704,87.704,15.36,153.6,1.5662,15.662,1566.22,15662.2,21.926,21.926,3.84,38.4,0.39155,3.9155,391.555,3915.55,0.07,0.07,1.78,0.178,0.01,0.01,0.25,0.025,Stainless Steel Type 17-7 PH,17-7 PH,31.223,31.223,138.89,14.163,14162.75,Plain (End Turn is Wavy),Factory Option,6,6,Reference,Reference,6,6,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.46,0.46,14.13,1.413,Reference,Reference,Reference,Reference,,0.002481,12.364,12.364,55,5.608,5608.31,0.285,0.285,7.24,0.724
LWM16 055 1262S,LWM16 055 1262S,LWM160551262S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.576,0.576,14.63,1.463,Reference,Reference,Reference,Reference,0.63,0.63,16,1.6,0.433,0.433,11,1.1,MIN,MIN,MIN,MIN,0.497,0.497,12.62,1.262,0.08,0.08,2.03,0.203,75.371,75.371,13.2,132,1.346,13.46,1345.98,13459.8,18.843,18.843,3.3,33,0.3365,3.365,336.498,3364.98,0.08,0.08,2.03,0.203,0.01,0.01,0.25,0.025,Stainless Steel Type 17-7 PH,17-7 PH,31.43,31.43,139.81,14.257,14256.65,Plain (End Turn is Wavy),Factory Option,7,7,Reference,Reference,7,7,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.46,0.46,14.13,1.413,Reference,Reference,Reference,Reference,,0.002894,12.364,12.364,55,5.608,5608.31,0.333,0.333,8.46,0.846
