title,model,field_published_stock_code,field_product_type,field_spring_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_out_dia_tol_bld_spc_in,field_out_dia_tol_in,field_out_dia_tol_mm,field_out_dia_tol_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_color,field_weight_per_item_lb,field_nominal_load_build_spec_lb,field_nominal_load_lb,field_nominal_load_n,field_nominal_load_kg,field_nominal_load_gm,field_working_height_bud_spc_in,field_working_height_in,field_working_height_mm,field_working_height_cm
LWM15 050 1727S,LWM15 050 1727S,LWM150501727S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.536,0.536,13.61,1.361,Reference,Reference,Reference,Reference,0.591,0.591,15,1.5,0.394,0.394,10,1,MIN,MIN,MIN,MIN,0.68,0.68,17.27,1.727,0.09,0.09,2.29,0.229,48.877,48.877,8.56,85.6,0.8728,8.728,872.85,8728.5,12.219,12.219,2.14,21.4,0.21821,2.1821,218.207,2182.07,0.099,0.099,2.52,0.252,0.009,0.009,0.23,0.023,Stainless Steel Type 17-7 PH,17-7 PH,28.398,28.398,126.32,12.881,12881.33,Plain (End Turn is Wavy),Factory Option,10,10,Reference,Reference,10,10,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.421,0.421,13.15,1.315,Reference,Reference,Reference,Reference,,0.003515,11.24,11.24,50,5.098,5098.46,0.45,0.45,11.43,1.143
LWM15 050 1900S,LWM15 050 1900S,LWM150501900S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.536,0.536,13.61,1.361,Reference,Reference,Reference,Reference,0.591,0.591,15,1.5,0.394,0.394,10,1,MIN,MIN,MIN,MIN,0.748,0.748,19,1.9,0.1,0.1,2.54,0.254,44.423,44.423,7.78,77.8,0.7933,7.933,793.31,7933.1,11.106,11.106,1.945,19.45,0.19833,1.9833,198.331,1983.31,0.108,0.108,2.74,0.274,0.009,0.009,0.23,0.023,Stainless Steel Type 17-7 PH,17-7 PH,28.431,28.431,126.47,12.896,12896.3,Plain (End Turn is Wavy),Factory Option,11,11,Reference,Reference,11,11,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.421,0.421,13.15,1.315,Reference,Reference,Reference,Reference,,0.003866,11.24,11.24,50,5.098,5098.46,0.495,0.495,12.57,1.257
LWM15 080 0518S,LWM15 080 0518S,LWM150800518S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.536,0.536,13.61,1.361,Reference,Reference,Reference,Reference,0.591,0.591,15,1.5,0.394,0.394,10,1,MIN,MIN,MIN,MIN,0.204,0.204,5.18,0.518,0.04,0.04,1.02,0.102,230.566,230.566,40.38,403.8,4.1174,41.174,4117.45,41174.5,57.641,57.641,10.0948,100.948,1.02935,10.2935,1029.353,10293.53,0.04,0.04,1.02,0.102,0.01,0.01,0.25,0.025,Stainless Steel Type 17-7 PH,17-7 PH,37.813,37.813,168.2,17.152,17151.98,Plain (End Turn is Wavy),Factory Option,3,3,Reference,Reference,3,3,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.421,0.421,13.11,1.311,Reference,Reference,Reference,Reference,,0.001146,17.985,17.985,80,8.158,8158,0.126,0.126,3.2,0.32
LWM15 080 0691S,LWM15 080 0691S,LWM150800691S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.536,0.536,13.61,1.361,Reference,Reference,Reference,Reference,0.591,0.591,15,1.5,0.394,0.394,10,1,MIN,MIN,MIN,MIN,0.272,0.272,6.91,0.691,0.05,0.05,1.27,0.127,168.099,168.099,29.44,294.4,3.0019,30.019,3001.91,30019.1,42.025,42.025,7.36,73.6,0.75048,7.5048,750.482,7504.82,0.05,0.05,1.27,0.127,0.01,0.01,0.25,0.025,Stainless Steel Type 17-7 PH,17-7 PH,37.318,37.318,166,16.927,16927.44,Plain (End Turn is Wavy),Factory Option,4,4,Reference,Reference,4,4,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.421,0.421,13.11,1.311,Reference,Reference,Reference,Reference,,0.001528,17.985,17.985,80,8.158,8158,0.165,0.165,4.19,0.419
LWM15 080 0864S,LWM15 080 0864S,LWM150800864S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.536,0.536,13.61,1.361,Reference,Reference,Reference,Reference,0.591,0.591,15,1.5,0.394,0.394,10,1,MIN,MIN,MIN,MIN,0.34,0.34,8.64,0.864,0.06,0.06,1.52,0.152,134.183,134.183,23.5,235,2.3962,23.962,2396.24,23962.4,33.546,33.546,5.875,58.75,0.59906,5.9906,599.064,5990.64,0.06,0.06,1.52,0.152,0.01,0.01,0.25,0.025,Stainless Steel Type 17-7 PH,17-7 PH,37.571,37.571,167.12,17.042,17042.21,Plain (End Turn is Wavy),Factory Option,5,5,Reference,Reference,5,5,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.421,0.421,13.11,1.311,Reference,Reference,Reference,Reference,,0.00191,17.985,17.985,80,8.158,8158,0.206,0.206,5.23,0.523
LWM15 080 1036S,LWM15 080 1036S,LWM150801036S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.536,0.536,13.61,1.361,Reference,Reference,Reference,Reference,0.591,0.591,15,1.5,0.394,0.394,10,1,MIN,MIN,MIN,MIN,0.408,0.408,10.36,1.036,0.07,0.07,1.78,0.178,111.686,111.686,19.56,195.6,1.9945,19.945,1994.49,19944.9,27.921,27.921,4.8899,48.899,0.49861,4.9861,498.613,4986.13,0.07,0.07,1.78,0.178,0.01,0.01,0.25,0.025,Stainless Steel Type 17-7 PH,17-7 PH,37.75,37.75,167.92,17.123,17123.4,Plain (End Turn is Wavy),Factory Option,6,6,Reference,Reference,6,6,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.421,0.421,13.11,1.311,Reference,Reference,Reference,Reference,,0.002292,17.985,17.985,80,8.158,8158,0.247,0.247,6.27,0.627
LWM15 080 1209S,LWM15 080 1209S,LWM150801209S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.536,0.536,13.61,1.361,Reference,Reference,Reference,Reference,0.591,0.591,15,1.5,0.394,0.394,10,1,MIN,MIN,MIN,MIN,0.476,0.476,12.09,1.209,0.08,0.08,2.03,0.203,95.641,95.641,16.75,167.5,1.708,17.08,1707.96,17079.6,23.91,23.91,4.1874,41.874,0.42698,4.2698,426.985,4269.85,0.08,0.08,2.03,0.203,0.01,0.01,0.25,0.025,Stainless Steel Type 17-7 PH,17-7 PH,37.874,37.874,168.47,17.18,17179.65,Plain (End Turn is Wavy),Factory Option,7,7,Reference,Reference,7,7,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.421,0.421,13.11,1.311,Reference,Reference,Reference,Reference,,0.002674,17.985,17.985,80,8.158,8158,0.288,0.288,7.32,0.732
LWM15 080 1382S,LWM15 080 1382S,LWM150801382S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.536,0.536,13.61,1.361,Reference,Reference,Reference,Reference,0.591,0.591,15,1.5,0.394,0.394,10,1,MIN,MIN,MIN,MIN,0.544,0.544,13.82,1.382,0.09,0.09,2.29,0.229,83.65,83.65,14.65,146.5,1.4938,14.938,1493.82,14938.2,20.913,20.913,3.6626,36.626,0.37346,3.7346,373.464,3734.64,0.09,0.09,2.29,0.229,0.01,0.01,0.25,0.025,Stainless Steel Type 17-7 PH,17-7 PH,37.977,37.977,168.93,17.226,17226.37,Plain (End Turn is Wavy),Factory Option,8,8,Reference,Reference,8,8,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.421,0.421,13.11,1.311,Reference,Reference,Reference,Reference,,0.003056,17.985,17.985,80,8.158,8158,0.329,0.329,8.36,0.836
LWM15 080 1554S,LWM15 080 1554S,LWM150801554S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.536,0.536,13.61,1.361,Reference,Reference,Reference,Reference,0.591,0.591,15,1.5,0.394,0.394,10,1,MIN,MIN,MIN,MIN,0.612,0.612,15.54,1.554,0.09,0.09,2.29,0.229,74.286,74.286,13.01,130.1,1.3266,13.266,1326.6,13266,18.571,18.571,3.2524,32.524,0.33164,3.3164,331.641,3316.41,0.1,0.1,2.54,0.254,0.01,0.01,0.25,0.025,Stainless Steel Type 17-7 PH,17-7 PH,38.034,38.034,169.18,17.252,17252.22,Plain (End Turn is Wavy),Factory Option,9,9,Reference,Reference,9,9,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.421,0.421,13.11,1.311,Reference,Reference,Reference,Reference,,0.003438,17.985,17.985,80,8.158,8158,0.37,0.37,9.4,0.94
LWM15 080 1727S,LWM15 080 1727S,LWM150801727S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.536,0.536,13.61,1.361,Reference,Reference,Reference,Reference,0.591,0.591,15,1.5,0.394,0.394,10,1,MIN,MIN,MIN,MIN,0.68,0.68,17.27,1.727,0.09,0.09,2.29,0.229,67.091,67.091,11.75,117.5,1.1981,11.981,1198.11,11981.1,16.773,16.773,2.9375,29.375,0.29953,2.9953,299.532,2995.32,0.11,0.11,2.79,0.279,0.01,0.01,0.25,0.025,Stainless Steel Type 17-7 PH,17-7 PH,38.242,38.242,170.11,17.347,17346.57,Plain (End Turn is Wavy),Factory Option,10,10,Reference,Reference,10,10,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.421,0.421,13.11,1.311,Reference,Reference,Reference,Reference,,0.00382,17.985,17.985,80,8.158,8158,0.412,0.412,10.46,1.046
