title,model,field_published_stock_code,field_product_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_out_dia_tol_bld_spc_in,field_out_dia_tol_in,field_out_dia_tol_mm,field_out_dia_tol_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_spring_type,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_color,field_weight_per_item_lb
MS24585-1330,MS24585-1330,MS245851330,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,D,0.45,0.45,11.43,1.143,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,,,,,0,,0,,,,,1.5,1.5,38.1,3.81,Reference,Reference,Reference,Reference,25.5,25.5,4.466,44.66,0.4554,4.554,455.38,4553.8,2.55,2.55,0.4466,4.466,0.04554,0.4554,45.538,455.38,0.591,0.591,15.01,1.501,0.055,0.055,1.4,,Music Wire,MW,23.131,23.131,102.89,10.492,10492.22,Squared and Ground,Factory Option,8.75,8.75,Reference,Reference,10.75,10.75,"CAD Plate and Bake per QQ-P-416, Type II, Class 2",1,MIL SPEC Compression (MS24585),ASTM A228,0.34,0.34,8.64,0.864,Reference,Reference,Reference,Reference,,0.009617
MS24585-1331,MS24585-1331,MS245851331,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,D,0.5,0.5,12.7,1.27,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,,,,,0,,0,,,,,0.62,0.62,15.75,1.575,Reference,Reference,Reference,Reference,15.9,15.9,2.785,27.85,0.2839,2.839,283.94,2839.4,1.59,1.59,0.2785,2.785,0.02839,0.2839,28.394,283.94,0.152,0.152,3.86,0.386,0.038,0.038,0.97,,Music Wire,MW,7.422,7.422,33.01,3.367,3366.62,Squared and Ground,Factory Option,2,2,Reference,Reference,4,4,"CAD Plate and Bake per QQ-P-416, Type II, Class 2",1,MIL SPEC Compression (MS24585),ASTM A228,0.424,0.424,10.77,1.077,Reference,Reference,Reference,Reference,,0.001998
MS24585-1332,MS24585-1332,MS245851332,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,D,0.5,0.5,12.7,1.27,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,,,,,0,,0,,,,,0.69,0.69,17.53,1.753,Reference,Reference,Reference,Reference,14.1,14.1,2.469,24.69,0.2518,2.518,251.8,2518,1.41,1.41,0.2469,2.469,0.02518,0.2518,25.18,251.8,0.161,0.161,4.09,0.409,0.038,0.038,0.97,,Music Wire,MW,7.45,7.45,33.14,3.379,3379.32,Squared and Ground,Factory Option,2.25,2.25,Reference,Reference,4.25,4.25,"CAD Plate and Bake per QQ-P-416, Type II, Class 2",1,MIL SPEC Compression (MS24585),ASTM A228,0.424,0.424,10.77,1.077,Reference,Reference,Reference,Reference,,0.002123
MS24585-1333,MS24585-1333,MS245851333,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,D,0.5,0.5,12.7,1.27,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,,,,,0,,0,,,,,0.75,0.75,19.05,1.905,Reference,Reference,Reference,Reference,12.7,12.7,2.224,22.24,0.2268,2.268,226.8,2268,1.27,1.27,0.2224,2.224,0.02268,0.2268,22.68,226.8,0.171,0.171,4.34,0.434,0.038,0.038,0.97,,Music Wire,MW,7.3542,7.354,32.71,3.336,3335.87,Squared and Ground,Factory Option,2.5,2.5,Reference,Reference,4.5,4.5,"CAD Plate and Bake per QQ-P-416, Type II, Class 2",1,MIL SPEC Compression (MS24585),ASTM A228,0.424,0.424,10.77,1.077,Reference,Reference,Reference,Reference,,0.0022
MS24585-1334,MS24585-1334,MS245851334,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,D,0.5,0.5,12.7,1.27,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,,,,,0,,0,,,,,0.81,0.81,20.57,2.057,Reference,Reference,Reference,Reference,11.5,11.5,2.014,20.14,0.2054,2.054,205.37,2053.7,1.15,1.15,0.2014,2.014,0.02054,0.2054,20.537,205.37,0.18,0.18,4.57,0.457,0.038,0.038,0.97,,Music Wire,MW,7.26,7.26,32.29,3.293,3293.14,Squared and Ground,Factory Option,2.75,2.75,Reference,Reference,4.75,4.75,"CAD Plate and Bake per QQ-P-416, Type II, Class 2",1,MIL SPEC Compression (MS24585),ASTM A228,0.424,0.424,10.77,1.077,Reference,Reference,Reference,Reference,,0.002373
MS24585-1335,MS24585-1335,MS245851335,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,D,0.5,0.5,12.7,1.27,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,,,,,0,,0,,,,,0.88,0.88,22.35,2.235,Reference,Reference,Reference,Reference,10.6,10.6,1.856,18.56,0.1893,1.893,189.29,1892.9,1.06,1.06,0.1856,1.856,0.01893,0.1893,18.929,189.29,0.19,0.19,4.83,0.483,0.038,0.038,0.97,,Music Wire,MW,7.295,7.295,32.45,3.309,3309.01,Squared and Ground,Factory Option,3,3,Reference,Reference,5,5,"CAD Plate and Bake per QQ-P-416, Type II, Class 2",1,MIL SPEC Compression (MS24585),ASTM A228,0.424,0.424,10.77,1.077,Reference,Reference,Reference,Reference,,0.002498
MS24585-1336,MS24585-1336,MS245851336,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,D,0.5,0.5,12.7,1.27,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,,,,,0,,0,,,,,0.94,0.94,23.88,2.388,Reference,Reference,Reference,Reference,9.8,9.8,1.716,17.16,0.175,1.75,175.01,1750.1,0.98,0.98,0.1716,1.716,0.0175,0.175,17.501,175.01,0.199,0.199,5.06,0.506,0.038,0.038,0.97,,Music Wire,MW,7.227,7.227,32.15,3.278,3278.17,Squared and Ground,Factory Option,3.25,3.25,Reference,Reference,5.25,5.25,"CAD Plate and Bake per QQ-P-416, Type II, Class 2",1,MIL SPEC Compression (MS24585),ASTM A228,0.424,0.424,10.77,1.077,Reference,Reference,Reference,Reference,,0.002622
MS24585-1337,MS24585-1337,MS245851337,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,D,0.5,0.5,12.7,1.27,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,,,,,0,,0,,,,,1,1,25.4,2.54,Reference,Reference,Reference,Reference,9.1,9.1,1.594,15.94,0.1625,1.625,162.51,1625.1,0.91,0.91,0.1594,1.594,0.01625,0.1625,16.251,162.51,0.209,0.209,5.31,0.531,0.038,0.038,0.97,,Music Wire,MW,7.168,7.168,31.88,3.251,3251.4,Squared and Ground,Factory Option,3.5,3.5,Reference,Reference,5.5,5.5,"CAD Plate and Bake per QQ-P-416, Type II, Class 2",1,MIL SPEC Compression (MS24585),ASTM A228,0.424,0.424,10.77,1.077,Reference,Reference,Reference,Reference,,0.002747
MS24585-1338,MS24585-1338,MS245851338,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,D,0.5,0.5,12.7,1.27,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,,,,,0,,0,,,,,1.12,1.12,28.45,2.845,Reference,Reference,Reference,Reference,8.5,8.5,1.489,14.89,0.1518,1.518,151.79,1517.9,0.85,0.85,0.1489,1.489,0.01518,0.1518,15.179,151.79,0.218,0.218,5.54,0.554,0.038,0.038,0.97,,Music Wire,MW,7.625,7.625,33.92,3.459,3458.7,Squared and Ground,Factory Option,3.75,3.75,Reference,Reference,5.75,5.75,"CAD Plate and Bake per QQ-P-416, Type II, Class 2",1,MIL SPEC Compression (MS24585),ASTM A228,0.424,0.424,10.77,1.077,Reference,Reference,Reference,Reference,,0.002872
MS24585-1339,MS24585-1339,MS245851339,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,D,0.5,0.5,12.7,1.27,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,,,,,0,,0,,,,,1.25,1.25,31.75,3.175,Reference,Reference,Reference,Reference,7.5,7.5,1.313,13.13,0.1339,1.339,133.94,1339.4,0.75,0.75,0.1313,1.313,0.01339,0.1339,13.394,133.94,0.237,0.237,6.02,0.602,0.038,0.038,0.97,,Music Wire,MW,7.556,7.556,33.61,3.427,3427.4,Squared and Ground,Factory Option,4.25,4.25,Reference,Reference,6.25,6.25,"CAD Plate and Bake per QQ-P-416, Type II, Class 2",1,MIL SPEC Compression (MS24585),ASTM A228,0.424,0.424,10.77,1.077,Reference,Reference,Reference,Reference,,0.003122
