title,model,field_published_stock_code,field_product_type,field_product_category,field_original_publication_date, ,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm, field_outside_dia_cm,field_outside_dia_tole_bd_spe_in,field_outside_dia_tole_in,field_outside_dia_tole_mm,field_outside_dia_tole_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm, field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_spring_type,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_inside_dia_tole_bd_spe_in,field_inside_dia_tole_in,field_inside_dia_tole_mm,field_inside_dia_tole_cm,field_color,field_weight_per_item_lb
MS24585-2238,MS24585-2238,MS245852238,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,D,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,,,,,0,,0,,,,,1,1,25.4,2.54,Reference,Reference,Reference,Reference,8.5,8.5,1.489,14.89,0.1518,1.518,151.79,1517.9,0.85,0.85,0.1489,1.489,0.01518,0.1518,15.179,151.79,0.232,0.232,5.89,0.589,0.032,0.032,0.81,Music Wire,MW,6.52,6.52,29,2.957,2957.47,Squared and Ground,Factory Option,5.25,5.25,Reference,Reference,7.25,7.25,Zinc Plate and Bake per ASTM B633,1,MIL SPEC Compression (MS24585),ASTM A228,0.296,0.296,7.52,0.752,Reference,Reference,Reference,Reference,,0.001823
MS24585-2239,MS24585-2239,MS245852239,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,D,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,,,,,0,,0,,,,,1.12,1.12,28.45,2.845,Reference,Reference,Reference,Reference,7.5,7.5,1.313,13.13,0.1339,1.339,133.94,1339.4,0.75,0.75,0.1313,1.313,0.01339,0.1339,13.394,133.94,0.256,0.256,6.5,0.65,0.032,0.032,0.81,Music Wire,MW,6.418,6.418,28.55,2.911,2911.2,Squared and Ground,Factory Option,6,6,Reference,Reference,8,8,Zinc Plate and Bake per ASTM B633,1,MIL SPEC Compression (MS24585),ASTM A228,0.296,0.296,7.52,0.752,Reference,Reference,Reference,Reference,,0.002012
MS24585-224,MS24585-224,MS24585224,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,D,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,,,,,0,,0,,,,,0.75,0.75,19.05,1.905,Reference,Reference,Reference,Reference,6.1,6.1,1.068,10.68,0.1089,1.089,108.93,1089.3,0.61,0.61,0.1068,1.068,0.01089,0.1089,10.893,108.93,0.13,0.13,3.3,0.33,0.026,0.026,0.66,Music Wire,MW,3.802,3.802,16.91,1.725,1724.59,Squared and Ground,Factory Option,3,3,Reference,Reference,5,5,None,1,MIL SPEC Compression (MS24585),ASTM A228,0.308,0.308,7.82,0.782,Reference,Reference,Reference,Reference,,0.000845
MS24585-2240,MS24585-2240,MS245852240,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,D,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,,,,,0,,0,,,,,1.38,1.38,35.05,3.505,Reference,Reference,Reference,Reference,6,6,1.051,10.51,0.1071,1.071,107.15,1071.5,0.6,0.6,0.1051,1.051,0.01071,0.1071,10.715,107.15,0.304,0.304,7.72,0.772,0.032,0.032,0.81,Music Wire,MW,6.448,6.448,28.68,2.925,2924.81,Squared and Ground,Factory Option,7.5,7.5,Reference,Reference,9.5,9.5,Zinc Plate and Bake per ASTM B633,1,MIL SPEC Compression (MS24585),ASTM A228,0.296,0.296,7.52,0.752,Reference,Reference,Reference,Reference,,0.002389
MS24585-2241,MS24585-2241,MS245852241,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,D,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,,,,,0,,0,,,,,1.5,1.5,38.1,3.81,Reference,Reference,Reference,Reference,5.4,5.4,0.946,9.46,0.0964,0.964,96.43,964.3,0.54,0.54,0.0946,0.946,0.00964,0.0964,9.643,96.43,0.328,0.328,8.33,0.833,0.032,0.032,0.81,Music Wire,MW,6.332,6.332,28.17,2.872,2872.2,Squared and Ground,Factory Option,8.25,8.25,Reference,Reference,10.25,10.25,Zinc Plate and Bake per ASTM B633,1,MIL SPEC Compression (MS24585),ASTM A228,0.296,0.296,7.52,0.752,Reference,Reference,Reference,Reference,,0.002578
MS24585-225,MS24585-225,MS24585225,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,D,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,,,,,0,,0,,,,,0.81,0.81,20.57,2.057,Reference,Reference,Reference,Reference,5.7,5.7,0.998,9.98,0.1018,1.018,101.79,1017.9,0.57,0.57,0.0998,0.998,0.01018,0.1018,10.179,101.79,0.136,0.136,3.45,0.345,0.026,0.026,0.66,Music Wire,MW,3.812,3.812,16.96,1.729,1729.12,Squared and Ground,Factory Option,3.25,3.25,Reference,Reference,5.25,5.25,None,1,MIL SPEC Compression (MS24585),ASTM A228,0.308,0.308,7.82,0.782,Reference,Reference,Reference,Reference,,0.000888
MS24585-226,MS24585-226,MS24585226,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,D,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,,,,,0,,0,,,,,0.88,0.88,22.35,2.235,Reference,Reference,Reference,Reference,4.9,4.9,0.858,8.58,0.0875,0.875,87.5,875,0.49,0.49,0.0858,0.858,0.00875,0.0875,8.75,87.5,0.149,0.149,3.79,0.379,0.026,0.026,0.66,Music Wire,MW,3.584,3.584,15.94,1.626,1625.7,Squared and Ground,Factory Option,3.75,3.75,Reference,Reference,5.75,5.75,None,1,MIL SPEC Compression (MS24585),ASTM A228,0.308,0.308,7.82,0.782,Reference,Reference,Reference,Reference,,0.000972
MS24585-227,MS24585-227,MS24585227,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,D,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,,,,,0,,0,,,,,0.94,0.94,23.88,2.388,Reference,Reference,Reference,Reference,4.6,4.6,0.806,8.06,0.0821,0.821,82.15,821.5,0.46,0.46,0.0806,0.806,0.00821,0.0821,8.215,82.15,0.156,0.156,3.96,0.396,0.026,0.026,0.66,Music Wire,MW,3.606,3.606,16.04,1.636,1635.68,Squared and Ground,Factory Option,4,4,Reference,Reference,6,6,None,1,MIL SPEC Compression (MS24585),ASTM A228,0.308,0.308,7.82,0.782,Reference,Reference,Reference,Reference,,0.001014
MS24585-2270,MS24585-2270,MS245852270,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,D,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,,,,,0,,0,,,,,0.44,0.44,11.18,1.118,Reference,Reference,Reference,Reference,79,79,13.836,138.36,1.4108,14.108,1410.78,14107.8,7.9,7.9,1.3836,13.836,0.14108,1.4108,141.078,1410.78,0.202,0.202,5.13,0.513,0.045,0.045,1.14,Music Wire,MW,18.695,18.695,83.16,8.48,8480.05,Squared and Ground,Factory Option,2.5,2.5,Reference,Reference,4.5,4.5,Zinc Plate and Bake per ASTM B633,1,MIL SPEC Compression (MS24585),ASTM A228,0.27,0.27,6.86,0.686,Reference,Reference,Reference,Reference,,0.002149
MS24585-2271,MS24585-2271,MS245852271,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,D,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,,,,,0,,0,,,,,0.5,0.5,12.7,1.27,Reference,Reference,Reference,Reference,65.7,65.7,11.506,115.06,1.1733,11.733,1173.27,11732.7,6.57,6.57,1.1506,11.506,0.11733,1.1733,117.327,1173.27,0.225,0.225,5.72,0.572,0.045,0.045,1.14,Music Wire,MW,18.039,18.039,80.24,8.182,8182.49,Squared and Ground,Factory Option,3,3,Reference,Reference,5,5,Zinc Plate and Bake per ASTM B633,1,MIL SPEC Compression (MS24585),ASTM A228,0.27,0.27,6.86,0.686,Reference,Reference,Reference,Reference,,0.002388
MS24585-2272,MS24585-2272,MS245852272,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,D,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,,,,,0,,0,,,,,0.56,0.56,14.22,1.422,Reference,Reference,Reference,Reference,56.2,56.2,9.842,98.42,1.0036,10.036,1003.62,10036.2,5.62,5.62,0.9842,9.842,0.10036,1.0036,100.362,1003.62,0.247,0.247,6.27,0.627,0.045,0.045,1.14,Music Wire,MW,17.571,17.571,78.16,7.97,7970.21,Squared and Ground,Factory Option,3.5,3.5,Reference,Reference,5.5,5.5,Zinc Plate and Bake per ASTM B633,1,MIL SPEC Compression (MS24585),ASTM A228,0.27,0.27,6.86,0.686,Reference,Reference,Reference,Reference,,0.002627
MS24585-2273,MS24585-2273,MS245852273,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,D,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,,,,,0,,0,,,,,0.62,0.62,15.75,1.575,Reference,Reference,Reference,Reference,49.1,49.1,8.599,85.99,0.8768,8.768,876.83,8768.3,4.91,4.91,0.8599,8.599,0.08768,0.8768,87.683,876.83,0.27,0.27,6.86,0.686,0.045,0.045,1.14,Music Wire,MW,17.219,17.219,76.59,7.811,7810.54,Squared and Ground,Factory Option,4,4,Reference,Reference,6,6,Zinc Plate and Bake per ASTM B633,1,MIL SPEC Compression (MS24585),ASTM A228,0.27,0.27,6.86,0.686,Reference,Reference,Reference,Reference,,0.002866
MS24585-2274,MS24585-2274,MS245852274,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,D,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,,,,,0,,0,,,,,0.69,0.69,17.53,1.753,Reference,Reference,Reference,Reference,43.8,43.8,7.671,76.71,0.7822,7.822,782.18,7821.8,4.38,4.38,0.7671,7.671,0.07822,0.7822,78.218,782.18,0.292,0.292,7.42,0.742,0.045,0.045,1.14,Music Wire,MW,17.383,17.383,77.32,7.885,7884.93,Squared and Ground,Factory Option,4.5,4.5,Reference,Reference,6.5,6.5,Zinc Plate and Bake per ASTM B633,1,MIL SPEC Compression (MS24585),ASTM A228,0.27,0.27,6.86,0.686,Reference,Reference,Reference,Reference,,0.003104
MS24585-2275,MS24585-2275,MS245852275,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,D,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,,,,,0,,0,,,,,0.75,0.75,19.05,1.905,Reference,Reference,Reference,Reference,39.4,39.4,6.9,69,0.7036,7.036,703.61,7036.1,3.94,3.94,0.69,6.9,0.07036,0.7036,70.361,703.61,0.315,0.315,8,0.8,0.045,0.045,1.14,Music Wire,MW,17.121,17.121,76.16,7.766,7766.09,Squared and Ground,Factory Option,5,5,Reference,Reference,7,7,Zinc Plate and Bake per ASTM B633,1,MIL SPEC Compression (MS24585),ASTM A228,0.27,0.27,6.86,0.686,Reference,Reference,Reference,Reference,,0.003343
MS24585-2276,MS24585-2276,MS245852276,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,D,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,,,,,0,,0,,,,,0.81,0.81,20.57,2.057,Reference,Reference,Reference,Reference,35.8,35.8,6.27,62.7,0.6393,6.393,639.32,6393.2,3.58,3.58,0.627,6.27,0.06393,0.6393,63.932,639.32,0.337,0.337,8.56,0.856,0.045,0.045,1.14,Music Wire,MW,16.906,16.906,75.2,7.669,7668.56,Squared and Ground,Factory Option,5.5,5.5,Reference,Reference,7.5,7.5,Zinc Plate and Bake per ASTM B633,1,MIL SPEC Compression (MS24585),ASTM A228,0.27,0.27,6.86,0.686,Reference,Reference,Reference,Reference,,0.003582
MS24585-2277,MS24585-2277,MS245852277,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,D,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,,,,,0,,0,,,,,0.88,0.88,22.35,2.235,Reference,Reference,Reference,Reference,32.8,32.8,5.744,57.44,0.5857,5.857,585.74,5857.4,3.28,3.28,0.5744,5.744,0.05857,0.5857,58.574,585.74,0.36,0.36,9.14,0.914,0.045,0.045,1.14,Music Wire,MW,17.055,17.055,75.86,7.736,7736.15,Squared and Ground,Factory Option,6,6,Reference,Reference,8,8,Zinc Plate and Bake per ASTM B633,1,MIL SPEC Compression (MS24585),ASTM A228,0.27,0.27,6.86,0.686,Reference,Reference,Reference,Reference,,0.003821
