title,model,field_published_stock_code,field_product_type,field_product_category,field_original_publication_date, ,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm, field_outside_dia_cm,field_outside_dia_tole_bd_spe_in,field_outside_dia_tole_in,field_outside_dia_tole_mm,field_outside_dia_tole_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm, field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_spring_type,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_inside_dia_tole_bd_spe_in,field_inside_dia_tole_in,field_inside_dia_tole_mm,field_inside_dia_tole_cm,field_color,field_weight_per_item_lb
CID016ZN 04S,CID016ZN 04S,CID016ZN04S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.0535,0.054,1.36,0.136,+/-0.0031,+/-0.0031,+/-0.08,+/-0.008,0.063,0.063,1.6,0.16,0.0315,0.032,0.8,0.08,MIN,MIN,MIN,MIN,0.2638,0.264,6.7,0.67,0.014,0.014,0.36,0.036,1.57,1.57,0.275,2.75,0.028,0.28,28.04,280.4,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,0.1007,0.101,2.56,0.256,0.0063,0.006,0.16,Stainless Steel,SS,0.261,0.261,1.16,0.118,118.39,Squared,Right Hand,12.5,12.5,,,14.5,14.5,Passivate per ASTM A967,1,DIN-Plus Series Part 2,DIN EN 10270-3,0.0409,0.041,1.04,0.104,Reference,Reference,Reference,Reference,,1.9E-05
CID016ZN 05S,CID016ZN 05S,CID016ZN05S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.0535,0.054,1.36,0.136,+/-0.0031,+/-0.0031,+/-0.08,+/-0.008,0.063,0.063,1.6,0.16,0.0315,0.032,0.8,0.08,MIN,MIN,MIN,MIN,0.3819,0.382,9.7,0.97,0.019,0.019,0.48,0.048,1.062,1.062,0.186,1.86,0.019,0.19,18.97,189.7,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,0.1397,0.14,3.55,0.355,0.0063,0.006,0.16,Stainless Steel,SS,0.262,0.262,1.17,0.119,118.84,Squared,Right Hand,18.5,18.5,,,20.5,20.5,Passivate per ASTM A967,1,DIN-Plus Series Part 2,DIN EN 10270-3,0.0409,0.041,1.04,0.104,Reference,Reference,Reference,Reference,,2.7E-05
CID016ZR 01S,CID016ZR 01S,CID016ZR01S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.0693,0.069,1.76,0.176,+/-0.0039,+/-0.0039,+/-0.1,+/-0.01,0.0827,0.083,2.1,0.21,0.0433,0.043,1.1,0.11,MIN,MIN,MIN,MIN,0.122,0.122,3.1,0.31,0.008,0.008,0.2,0.02,2.352,2.352,0.412,4.12,0.042,0.42,42,420,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,0.0422,0.042,1.07,0.107,0.0063,0.006,0.16,Stainless Steel,SS,0.191,0.191,0.85,0.087,86.64,Squared,Right Hand,3.5,3.5,,,5.5,5.5,Passivate per ASTM A967,1,DIN-Plus Series Part 2,DIN EN 10270-3,0.0567,0.057,1.44,0.144,Reference,Reference,Reference,Reference,,1E-05
CID016ZR 02S,CID016ZR 02S,CID016ZR02S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.0693,0.069,1.76,0.176,+/-0.0039,+/-0.0039,+/-0.1,+/-0.01,0.0827,0.083,2.1,0.21,0.0433,0.043,1.1,0.11,MIN,MIN,MIN,MIN,0.185,0.185,4.7,0.47,0.012,0.012,0.3,0.03,1.513,1.513,0.265,2.65,0.027,0.27,27.02,270.2,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,0.0552,0.055,1.4,0.14,0.0063,0.006,0.16,Stainless Steel,SS,0.199,0.199,0.89,0.09,90.27,Squared,Right Hand,5.5,5.5,,,7.5,7.5,Passivate per ASTM A967,1,DIN-Plus Series Part 2,DIN EN 10270-3,0.0567,0.057,1.44,0.144,Reference,Reference,Reference,Reference,,1.3E-05
CID016ZR 03S,CID016ZR 03S,CID016ZR03S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.0693,0.069,1.76,0.176,+/-0.0039,+/-0.0039,+/-0.1,+/-0.01,0.0827,0.083,2.1,0.21,0.0433,0.043,1.1,0.11,MIN,MIN,MIN,MIN,0.2756,0.276,7,0.7,0.017,0.017,0.43,0.043,0.954,0.954,0.167,1.67,0.017,0.17,17.04,170.4,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,0.0747,0.075,1.9,0.19,0.0063,0.006,0.16,Stainless Steel,SS,0.194,0.194,0.86,0.088,88,Squared,Right Hand,8.5,8.5,,,10.5,10.5,Passivate per ASTM A967,1,DIN-Plus Series Part 2,DIN EN 10270-3,0.0567,0.057,1.44,0.144,Reference,Reference,Reference,Reference,,1.8E-05
CID016ZR 04S,CID016ZR 04S,CID016ZR04S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.0693,0.069,1.76,0.176,+/-0.0039,+/-0.0039,+/-0.1,+/-0.01,0.0827,0.083,2.1,0.21,0.0433,0.043,1.1,0.11,MIN,MIN,MIN,MIN,0.3937,0.394,10,1,0.019,0.019,0.48,0.048,0.674,0.674,0.118,1.18,0.012,0.12,12.04,120.4,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,0.1007,0.101,2.56,0.256,0.0063,0.006,0.16,Stainless Steel,SS,0.2,0.2,0.89,0.091,90.72,Squared,Right Hand,12.5,12.5,,,14.5,14.5,Passivate per ASTM A967,1,DIN-Plus Series Part 2,DIN EN 10270-3,0.0567,0.057,1.44,0.144,Reference,Reference,Reference,Reference,,2.6E-05
CID016ZR 05S,CID016ZR 05S,CID016ZR05S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.0693,0.069,1.76,0.176,+/-0.0039,+/-0.0039,+/-0.1,+/-0.01,0.0827,0.083,2.1,0.21,0.0433,0.043,1.1,0.11,MIN,MIN,MIN,MIN,0.5748,0.575,14.6,1.46,0.022,0.022,0.56,0.056,0.445,0.445,0.078,0.78,0.008,0.08,7.95,79.5,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,0.1397,0.14,3.55,0.355,0.0063,0.006,0.16,Stainless Steel,SS,0.196,0.196,0.87,0.089,88.91,Squared,Right Hand,18.5,18.5,,,20.5,20.5,Passivate per ASTM A967,1,DIN-Plus Series Part 2,DIN EN 10270-3,0.0567,0.057,1.44,0.144,Reference,Reference,Reference,Reference,,3.6E-05
CID020AC 01S,CID020AC 01S,CID020AC01S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.0866,0.087,2.2,0.22,+/-0.0059,+/-0.0059,+/-0.15,+/-0.015,0.1024,0.102,2.6,0.26,0.0591,0.059,1.5,0.15,MIN,MIN,MIN,MIN,0.1575,0.158,4,0.4,0.01,0.01,0.25,0.025,2.912,2.912,0.51,5.1,0.052,0.52,52,520,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,0.0525,0.053,1.33,0.133,0.0079,0.008,0.2,Stainless Steel,SS,0.31,0.31,1.38,0.141,140.62,Squared,Right Hand,3.5,3.5,,,5.5,5.5,Passivate per ASTM A967,1,DIN-Plus Series Part 2,DIN EN 10270-3,0.0708,0.071,1.8,0.18,Reference,Reference,Reference,Reference,,1.9E-05
CID020AC 02S,CID020AC 02S,CID020AC02S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.0866,0.087,2.2,0.22,+/-0.0059,+/-0.0059,+/-0.15,+/-0.015,0.1024,0.102,2.6,0.26,0.0591,0.059,1.5,0.15,MIN,MIN,MIN,MIN,0.2323,0.232,5.9,0.59,0.015,0.015,0.38,0.038,1.85,1.85,0.324,3.24,0.033,0.33,33.04,330.4,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,0.0686,0.069,1.74,0.174,0.0079,0.008,0.2,Stainless Steel,SS,0.306,0.306,1.36,0.139,138.8,Squared,Right Hand,5.5,5.5,,,7.5,7.5,Passivate per ASTM A967,1,DIN-Plus Series Part 2,DIN EN 10270-3,0.0708,0.071,1.8,0.18,Reference,Reference,Reference,Reference,,2.6E-05
CID020AC 03S,CID020AC 03S,CID020AC03S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.0866,0.087,2.2,0.22,+/-0.0059,+/-0.0059,+/-0.15,+/-0.015,0.1024,0.102,2.6,0.26,0.0591,0.059,1.5,0.15,MIN,MIN,MIN,MIN,0.3425,0.343,8.7,0.87,0.018,0.018,0.46,0.046,1.176,1.176,0.206,2.06,0.021,0.21,21,210,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,0.0928,0.093,2.36,0.236,0.0079,0.008,0.2,Stainless Steel,SS,0.296,0.296,1.32,0.134,134.27,Squared,Right Hand,8.5,8.5,,,10.5,10.5,Passivate per ASTM A967,1,DIN-Plus Series Part 2,DIN EN 10270-3,0.0708,0.071,1.8,0.18,Reference,Reference,Reference,Reference,,3.6E-05
