stock_code,price_code,price,min,currency,display_price_range
LTML100T 02 S,A,8.52,19,$,0-19
LTML100T 02 S,B,4.99,49,$,20-49
LTML100T 02 S,C,2.72,99,$,50-99
LTML100T 02 S,D,1.74,199,$,100-199
LTML100T 02 S,E,1.404,299,$,200-299
LTML100T 02 S,F,1.268,399,$,300-399
LTML100T 02 S,G,1.146,499,$,400-499
LTML100T 02 S,H,1.037,599,$,500-599
LTML100T 02 S,I,0.94,699,$,600-699
LTML100T 02 S,J,0.86,799,$,700-799
LTML100T 02 S,K,0.791,899,$,800-899
LTML100T 02 S,L,0.738,999,$,900-999
LTML100T 03 M,A,7.98,19,$,0-19
LTML100T 03 M,B,4.65,49,$,20-49
LTML100T 03 M,C,2.51,99,$,50-99
LTML100T 03 M,D,1.58,199,$,100-199
LTML100T 03 M,E,1.18,299,$,200-299
LTML100T 03 M,F,1.074,399,$,300-399
LTML100T 03 M,G,0.976,499,$,400-499
LTML100T 03 M,H,0.89,599,$,500-599
LTML100T 03 M,I,0.814,699,$,600-699
LTML100T 03 M,J,0.749,799,$,700-799
LTML100T 03 M,K,0.697,899,$,800-899
LTML100T 03 M,L,0.653,999,$,900-999
LTML100T 03 S,A,8.26,19,$,0-19
LTML100T 03 S,B,4.8,49,$,20-49
LTML100T 03 S,C,2.62,99,$,50-99
LTML100T 03 S,D,1.67,199,$,100-199
LTML100T 03 S,E,1.404,299,$,200-299
LTML100T 03 S,F,1.268,399,$,300-399
LTML100T 03 S,G,1.146,499,$,400-499
LTML100T 03 S,H,1.037,599,$,500-599
LTML100T 03 S,I,0.94,699,$,600-699
LTML100T 03 S,J,0.86,799,$,700-799
LTML100T 03 S,K,0.791,899,$,800-899
LTML100T 03 S,L,0.738,999,$,900-999
LTML100T 04 M,A,7.98,19,$,0-19
LTML100T 04 M,B,4.65,49,$,20-49
LTML100T 04 M,C,2.51,99,$,50-99
LTML100T 04 M,D,1.58,199,$,100-199
LTML100T 04 M,E,1.18,299,$,200-299
LTML100T 04 M,F,1.074,399,$,300-399
LTML100T 04 M,G,0.976,499,$,400-499
LTML100T 04 M,H,0.89,599,$,500-599
LTML100T 04 M,I,0.814,699,$,600-699
LTML100T 04 M,J,0.749,799,$,700-799
LTML100T 04 M,K,0.697,899,$,800-899
LTML100T 04 M,L,0.653,999,$,900-999
LTML100T 04 S,A,8.26,19,$,0-19
LTML100T 04 S,B,4.8,49,$,20-49
LTML100T 04 S,C,2.62,99,$,50-99
LTML100T 04 S,D,1.67,199,$,100-199
LTML100T 04 S,E,1.404,299,$,200-299
LTML100T 04 S,F,1.268,399,$,300-399
LTML100T 04 S,G,1.146,499,$,400-499
LTML100T 04 S,H,1.037,599,$,500-599
LTML100T 04 S,I,0.94,699,$,600-699
LTML100T 04 S,J,0.86,799,$,700-799
LTML100T 04 S,K,0.791,899,$,800-899
LTML100T 04 S,L,0.738,999,$,900-999
LTML100T 05 M,A,7.46,19,$,0-19
LTML100T 05 M,B,4.32,49,$,20-49
