stock_code,price_code,price,min,currency,display_price_range
LE 034D 02 S,A,6.48,19,$,0-19
LE 034D 02 S,B,3.74,49,$,20-49
LE 034D 02 S,C,1.94,99,$,50-99
LE 034D 02 S,D,1.18,199,$,100-199
LE 034D 02 S,E,1.058,299,$,200-299
LE 034D 02 S,F,1.013,399,$,300-399
LE 034D 02 S,G,0.972,499,$,400-499
LE 034D 02 S,H,0.934,599,$,500-599
LE 034D 02 S,I,0.903,699,$,600-699
LE 034D 02 S,J,0.876,799,$,700-799
LE 034D 02 S,K,0.854,899,$,800-899
LE 034D 02 S,L,0.836,999,$,900-999
LE 034D 02 S316,A,11.74,19,$,0-19
LE 034D 02 S316,B,7.07,49,$,20-49
LE 034D 02 S316,C,4.18,99,$,50-99
LE 034D 02 S316,D,2.82,199,$,100-199
LE 034D 02 S316,E,2.742,299,$,200-299
LE 034D 02 S316,F,2.597,399,$,300-399
LE 034D 02 S316,G,2.276,499,$,400-499
LE 034D 02 S316,H,2.025,599,$,500-599
LE 034D 02 S316,I,1.827,699,$,600-699
LE 034D 02 S316,J,1.667,799,$,700-799
LE 034D 02 S316,K,1.536,899,$,800-899
LE 034D 02 S316,L,1.425,999,$,900-999
LE 034D 03 M,A,6.48,19,$,0-19
LE 034D 03 M,B,3.74,49,$,20-49
LE 034D 03 M,C,1.94,99,$,50-99
LE 034D 03 M,D,1.18,199,$,100-199
LE 034D 03 M,E,1.046,299,$,200-299
LE 034D 03 M,F,0.996,399,$,300-399
LE 034D 03 M,G,0.949,499,$,400-499
LE 034D 03 M,H,0.91,599,$,500-599
LE 034D 03 M,I,0.874,699,$,600-699
LE 034D 03 M,J,0.844,799,$,700-799
LE 034D 03 M,K,0.818,899,$,800-899
LE 034D 03 M,L,0.799,999,$,900-999
LE 034D 03 S,A,6.48,19,$,0-19
LE 034D 03 S,B,3.74,49,$,20-49
LE 034D 03 S,C,1.94,99,$,50-99
LE 034D 03 S,D,1.18,199,$,100-199
LE 034D 03 S,E,1.061,299,$,200-299
LE 034D 03 S,F,1.017,399,$,300-399
LE 034D 03 S,G,0.978,499,$,400-499
LE 034D 03 S,H,0.941,599,$,500-599
LE 034D 03 S,I,0.911,699,$,600-699
LE 034D 03 S,J,0.885,799,$,700-799
LE 034D 03 S,K,0.863,899,$,800-899
LE 034D 03 S,L,0.845,999,$,900-999
LE 034D 03 S316,A,11.74,19,$,0-19
LE 034D 03 S316,B,7.07,49,$,20-49
LE 034D 03 S316,C,4.18,99,$,50-99
LE 034D 03 S316,D,2.82,199,$,100-199
LE 034D 03 S316,E,2.758,299,$,200-299
LE 034D 03 S316,F,2.617,399,$,300-399
LE 034D 03 S316,G,2.294,499,$,400-499
LE 034D 03 S316,H,2.042,599,$,500-599
LE 034D 03 S316,I,1.843,699,$,600-699
LE 034D 03 S316,J,1.682,799,$,700-799
LE 034D 03 S316,K,1.549,899,$,800-899
