title,model,field_published_stock_code,field_product_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_out_dia_tol_bld_spc_in,field_out_dia_tol_in,field_out_dia_tol_mm,field_out_dia_tol_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_spring_type,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_color,field_weight_per_item_lb
CI 011EG 13M,CI 011EG 13M,CI011EG13M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.218,0.218,5.54,0.554,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.234,0.234,5.94,0.594,0.185,0.185,4.7,0.47,MIN,MIN,MIN,MIN,1.75,1.75,44.45,4.445,0.062,0.062,1.57,0.157,0.201,0.201,0.035,0.35,0.0036,0.036,3.59,35.9,0.02,0.02,0.0035,0.035,0.00036,0.0036,0.357,3.57,0.169,0.169,4.29,0.429,0.011,0.011,0.28,0.028,Music Wire,MW,0.314,0.314,1.4,0.142,142.43,Squared,Factory Option,12.33,12.33,Reference,Reference,14.33,14.33,Pre-coated with Tin,1,Instrument Compression Series (inch),ASTM A228,0.196,0.196,4.98,0.498,Reference,Reference,Reference,Reference,,0.000264
CI 011EG 13S,CI 011EG 13S,CI011EG13S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.218,0.218,5.54,0.554,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.234,0.234,5.94,0.594,0.185,0.185,4.7,0.47,MIN,MIN,MIN,MIN,1.75,1.75,44.45,4.445,0.062,0.062,1.57,0.157,0.167,0.167,0.029,0.29,0.003,0.03,2.98,29.8,0.017,0.017,0.003,0.03,0.0003,0.003,0.304,3.04,0.169,0.169,4.29,0.429,0.011,0.011,0.28,0.028,Stainless Steel,SS,0.262,0.262,1.17,0.119,118.84,Squared,Factory Option,12.33,12.33,Reference,Reference,14.33,14.33,Passivate per ASTM A967,1,Instrument Compression Series (inch),ASTM A313,0.196,0.196,4.98,0.498,Reference,Reference,Reference,Reference,,0.000266
CI 011EG 13S316,CI 011EG 13S316,CI011EG13S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.218,0.218,5.54,0.554,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.234,0.234,5.94,0.594,0.185,0.185,4.7,0.47,MIN,MIN,MIN,MIN,1.75,1.75,44.45,4.445,0.062,0.062,1.57,0.157,0.167,0.167,0.029,0.29,0.003,0.03,2.98,29.8,0.017,0.017,0.003,0.03,0.0003,0.003,0.304,3.04,0.169,0.169,4.29,0.429,0.011,0.011,0.28,0.028,Stainless Steel Type 316,SS316,0.262,0.262,1.17,0.119,118.84,Squared,Factory Option,12.33,12.33,Reference,Reference,14.33,14.33,Passivate per ASTM A967,1,Instrument Compression Series (inch),ASTM A313,0.196,0.196,4.98,0.498,Reference,Reference,Reference,Reference,,0.000266
CI 012B 01 M,CI 012B 01 M,CI012B01M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.088,0.088,2.24,0.224,+/-0.003,+/-0.003,+/-0.08,+/-0.008,0.094,0.094,2.39,0.239,0.059,0.059,1.5,0.15,MIN,MIN,MIN,MIN,0.125,0.125,3.18,0.318,0.018,0.018,0.46,0.046,26,26,4.553,45.53,0.4643,4.643,464.31,4643.1,2.6,2.6,0.4553,4.553,0.04643,0.4643,46.431,464.31,0.069,0.069,1.75,0.175,0.012,0.012,0.3,0.03,Music Wire,MW,1.4,1.4,6.23,0.635,635.04,Squared,Factory Option,2.725,2.725,Reference,Reference,4.73,4.73,Pre-coated with Tin,1,Instrument Compression Series (inch),ASTM A228,0.064,0.064,1.63,0.163,Reference,Reference,Reference,Reference,,3.8E-05
CI 012B 01 S,CI 012B 01 S,CI012B01S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.088,0.088,2.24,0.224,+/-0.003,+/-0.003,+/-0.08,+/-0.008,0.094,0.094,2.39,0.239,0.059,0.059,1.5,0.15,MIN,MIN,MIN,MIN,0.125,0.125,3.18,0.318,0.018,0.018,0.46,0.046,21.7,21.7,3.8,38,0.3875,3.875,387.52,3875.2,2.17,2.17,0.38,3.8,0.03875,0.3875,38.752,387.52,0.069,0.069,1.75,0.175,0.012,0.012,0.3,0.03,Stainless Steel,SS,1.1662,1.166,5.19,0.529,528.99,Squared,Factory Option,2.721,2.721,Reference,Reference,4.72,4.72,Passivate per ASTM A967,1,Instrument Compression Series (inch),ASTM A313,0.064,0.064,1.63,0.163,Reference,Reference,Reference,Reference,,3.8E-05
CI 012B 01 S316,CI 012B 01 S316,CI012B01S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.088,0.088,2.24,0.224,+/-0.003,+/-0.003,+/-0.08,+/-0.008,0.094,0.094,2.39,0.239,0.059,0.059,1.5,0.15,MIN,MIN,MIN,MIN,0.125,0.125,3.18,0.318,0.018,0.018,0.46,0.046,21.7,21.7,3.8,38,0.3875,3.875,387.52,3875.2,2.17,2.17,0.38,3.8,0.03875,0.3875,38.752,387.52,0.069,0.069,1.75,0.175,0.012,0.012,0.3,0.03,Stainless Steel Type 316,SS316,1.1662,1.166,5.19,0.529,528.99,Squared,Factory Option,2.721,2.721,Reference,Reference,4.72,4.72,Passivate per ASTM A967,1,Instrument Compression Series (inch),ASTM A313,0.064,0.064,1.63,0.163,Reference,Reference,Reference,Reference,,3.8E-05
CI 012B 02 M,CI 012B 02 M,CI012B02M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.088,0.088,2.24,0.224,+/-0.003,+/-0.003,+/-0.08,+/-0.008,0.094,0.094,2.39,0.239,0.059,0.059,1.5,0.15,MIN,MIN,MIN,MIN,0.188,0.188,4.78,0.478,0.018,0.018,0.46,0.046,15,15,2.627,26.27,0.2679,2.679,267.87,2678.7,1.5,1.5,0.2627,2.627,0.02679,0.2679,26.787,267.87,0.093,0.093,2.36,0.236,0.012,0.012,0.3,0.03,Music Wire,MW,1.4,1.4,6.23,0.635,635.04,Squared,Factory Option,4.7237,4.7237,Reference,Reference,6.72,6.72,Pre-coated with Tin,1,Instrument Compression Series (inch),ASTM A228,0.064,0.064,1.63,0.163,Reference,Reference,Reference,Reference,,5.42E-05
CI 012B 02 S,CI 012B 02 S,CI012B02S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.088,0.088,2.24,0.224,+/-0.003,+/-0.003,+/-0.08,+/-0.008,0.094,0.094,2.39,0.239,0.059,0.059,1.5,0.15,MIN,MIN,MIN,MIN,0.188,0.188,4.78,0.478,0.018,0.018,0.46,0.046,12.5,12.5,2.189,21.89,0.2232,2.232,223.23,2232.3,1.25,1.25,0.2189,2.189,0.02232,0.2232,22.323,223.23,0.093,0.093,2.36,0.236,0.012,0.012,0.3,0.03,Stainless Steel,SS,1.1662,1.166,5.19,0.529,528.99,Squared,Factory Option,4.724,4.724,Reference,Reference,6.72,6.72,Passivate per ASTM A967,1,Instrument Compression Series (inch),ASTM A313,0.064,0.064,1.63,0.163,Reference,Reference,Reference,Reference,,5.5E-05
CI 012B 02 S316,CI 012B 02 S316,CI012B02S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.088,0.088,2.24,0.224,+/-0.003,+/-0.003,+/-0.08,+/-0.008,0.094,0.094,2.39,0.239,0.059,0.059,1.5,0.15,MIN,MIN,MIN,MIN,0.188,0.188,4.78,0.478,0.018,0.018,0.46,0.046,12.5,12.5,2.189,21.89,0.2232,2.232,223.23,2232.3,1.25,1.25,0.2189,2.189,0.02232,0.2232,22.323,223.23,0.093,0.093,2.36,0.236,0.012,0.012,0.3,0.03,Stainless Steel Type 316,SS316,1.1662,1.166,5.19,0.529,528.99,Squared,Factory Option,4.7237,4.7237,Reference,Reference,6.72,6.72,Passivate per ASTM A967,1,Instrument Compression Series (inch),ASTM A313,0.064,0.064,1.63,0.163,Reference,Reference,Reference,Reference,,5.52E-05
CI 012B 03 M,CI 012B 03 M,CI012B03M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.088,0.088,2.24,0.224,+/-0.003,+/-0.003,+/-0.08,+/-0.008,0.094,0.094,2.39,0.239,0.059,0.059,1.5,0.15,MIN,MIN,MIN,MIN,0.25,0.25,6.35,0.635,0.018,0.018,0.46,0.046,11,11,1.926,19.26,0.1964,1.964,196.44,1964.4,1.1,1.1,0.1926,1.926,0.01964,0.1964,19.644,196.44,0.114,0.114,2.9,0.29,0.012,0.012,0.3,0.03,Music Wire,MW,1.4,1.4,6.23,0.635,635.04,Squared,Factory Option,6.441,6.441,Reference,Reference,8.44,8.44,Pre-coated with Tin,1,Instrument Compression Series (inch),ASTM A228,0.064,0.064,1.63,0.163,Reference,Reference,Reference,Reference,,6.8E-05
