stock_code,price_code,price,min,currency,display_price_range
LE 075G 01 M,H,1.13,599,$,500-599
LE 075G 01 M,I,1.07,699,$,600-699
LE 075G 01 M,J,1.018,799,$,700-799
LE 075G 01 M,K,0.975,899,$,800-899
LE 075G 01 M,L,0.939,999,$,900-999
LE 075G 01 S,A,8.81,19,$,0-19
LE 075G 01 S,B,5.17,49,$,20-49
LE 075G 01 S,C,2.84,99,$,50-99
LE 075G 01 S,D,1.81,199,$,100-199
LE 075G 01 S,E,1.555,299,$,200-299
LE 075G 01 S,F,1.452,399,$,300-399
LE 075G 01 S,G,1.36,499,$,400-499
LE 075G 01 S,H,1.279,599,$,500-599
LE 075G 01 S,I,1.206,699,$,600-699
LE 075G 01 S,J,1.146,799,$,700-799
LE 075G 01 S,K,1.094,899,$,800-899
LE 075G 01 S,L,1.052,999,$,900-999
LE 075G 02 M,A,7.98,19,$,0-19
LE 075G 02 M,B,4.65,49,$,20-49
LE 075G 02 M,C,2.51,99,$,50-99
LE 075G 02 M,D,1.58,199,$,100-199
LE 075G 02 M,E,1.366,299,$,200-299
LE 075G 02 M,F,1.283,399,$,300-399
LE 075G 02 M,G,1.205,499,$,400-499
LE 075G 02 M,H,1.137,599,$,500-599
LE 075G 02 M,I,1.078,699,$,600-699
LE 075G 02 M,J,1.026,799,$,700-799
LE 075G 02 M,K,0.984,899,$,800-899
LE 075G 02 M,L,0.949,999,$,900-999
LE 075G 02 S,A,9.45,19,$,0-19
LE 075G 02 S,B,5.58,49,$,20-49
LE 075G 02 S,C,3.11,99,$,50-99
LE 075G 02 S,D,2.03,199,$,100-199
LE 075G 02 S,E,1.727,299,$,200-299
LE 075G 02 S,F,1.603,399,$,300-399
LE 075G 02 S,G,1.493,499,$,400-499
LE 075G 02 S,H,1.396,599,$,500-599
LE 075G 02 S,I,1.309,699,$,600-699
LE 075G 02 S,J,1.236,799,$,700-799
LE 075G 02 S,K,1.173,899,$,800-899
LE 075G 02 S,L,1.124,999,$,900-999
LE 075G 03 M,A,8.26,19,$,0-19
LE 075G 03 M,B,4.8,49,$,20-49
LE 075G 03 M,C,2.62,99,$,50-99
LE 075G 03 M,D,1.67,199,$,100-199
LE 075G 03 M,E,1.437,299,$,200-299
LE 075G 03 M,F,1.346,399,$,300-399
LE 075G 03 M,G,1.263,499,$,400-499
LE 075G 03 M,H,1.187,599,$,500-599
LE 075G 03 M,I,1.123,699,$,600-699
LE 075G 03 M,J,1.068,799,$,700-799
LE 075G 03 M,K,1.021,899,$,800-899
LE 075G 03 M,L,0.985,999,$,900-999
LE 075G 03 S,A,9.85,19,$,0-19
LE 075G 03 S,B,5.82,49,$,20-49
LE 075G 03 S,C,3.29,99,$,50-99
LE 075G 03 S,D,2.15,199,$,100-199
LE 075G 03 S,E,1.805,299,$,200-299
LE 075G 03 S,F,1.674,399,$,300-399
LE 075G 03 S,G,1.556,499,$,400-499
LE 075G 03 S,H,1.449,599,$,500-599
LE 075G 03 S,I,1.359,699,$,600-699
LE 075G 03 S,J,1.281,799,$,700-799
LE 075G 03 S,K,1.215,899,$,800-899
LE 075G 03 S,L,1.164,999,$,900-999
LE 075G 04 M,A,8.26,19,$,0-19
LE 075G 04 M,B,4.8,49,$,20-49
LE 075G 04 M,C,2.62,99,$,50-99
LE 075G 04 M,D,1.67,199,$,100-199
LE 075G 04 M,E,1.44,299,$,200-299
LE 075G 04 M,F,1.35,399,$,300-399
LE 075G 04 M,G,1.268,499,$,400-499
LE 075G 04 M,H,1.194,599,$,500-599
LE 075G 04 M,I,1.13,699,$,600-699
LE 075G 04 M,J,1.077,799,$,700-799
LE 075G 04 M,K,1.032,899,$,800-899
LE 075G 04 M,L,0.995,999,$,900-999
LE 075G 04 S,A,10.46,19,$,0-19
LE 075G 04 S,B,6.22,49,$,20-49
LE 075G 04 S,C,3.54,99,$,50-99
LE 075G 04 S,D,2.34,199,$,100-199
LE 075G 04 S,E,1.96,299,$,200-299
LE 075G 04 S,F,1.81,399,$,300-399
LE 075G 04 S,G,1.675,499,$,400-499
LE 075G 04 S,H,1.557,599,$,500-599
LE 075G 04 S,I,1.452,699,$,600-699
LE 075G 04 S,J,1.362,799,$,700-799
LE 075G 04 S,K,1.289,899,$,800-899
LE 075G 04 S,L,1.23,999,$,900-999
LE 075G 05 M,A,8.52,19,$,0-19
LE 075G 05 M,B,4.99,49,$,20-49
LE 075G 05 M,C,2.72,99,$,50-99
LE 075G 05 M,D,1.74,199,$,100-199
LE 075G 05 M,E,1.494,299,$,200-299
LE 075G 05 M,F,1.4,399,$,300-399
LE 075G 05 M,G,1.312,499,$,400-499
LE 075G 05 M,H,1.236,599,$,500-599
LE 075G 05 M,I,1.168,699,$,600-699
LE 075G 05 M,J,1.111,799,$,700-799
LE 075G 05 M,K,1.061,899,$,800-899
LE 075G 05 M,L,1.023,999,$,900-999
LE 075G 05 S,A,10.77,19,$,0-19
LE 075G 05 S,B,6.42,49,$,20-49
LE 075G 05 S,C,3.69,99,$,50-99
LE 075G 05 S,D,2.44,199,$,100-199
LE 075G 05 S,E,2.038,299,$,200-299
LE 075G 05 S,F,1.88,399,$,300-399
LE 075G 05 S,G,1.739,499,$,400-499
LE 075G 05 S,H,1.613,599,$,500-599
LE 075G 05 S,I,1.503,699,$,600-699
LE 075G 05 S,J,1.41,799,$,700-799
LE 075G 05 S,K,1.331,899,$,800-899
LE 075G 05 S,L,1.269,999,$,900-999
LE 075G 06 M,A,9.1,19,$,0-19
LE 075G 06 M,B,5.35,49,$,20-49
LE 075G 06 M,C,2.95,99,$,50-99
LE 075G 06 M,D,1.93,199,$,100-199
