title,model,field_published_stock_code,field_product_type,field_spring_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_product_series,field_revision,field_material,field_material_short_description,field_material_specification,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_outside_dia_tole_bd_spe_in,field_outside_dia_tole_in,field_outside_dia_tole_mm,field_outside_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_total_coils_bd_spe,field_total_coils,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_end,field_initial_ten_bud_spec_lb,field_initial_tension_lb,field_initial_tension_n,field_initial_tension_kg,field_initial_tension_gm,field_initial_ten_tol_bud_spc_lb,field_initial_ten_tol_lb,field_initial_ten_tol_n,field_initial_ten_tol_kg,field_initial_ten_tol_gm,field_max_load_build_spec_lb,field_max_load_lb,field_max_load_n,field_max_load_kg,field_max_load_gm,field_max_extend_len_bd_spe_in,field_max_extended_length_in,field_max_extended_length_mm,field_max_extended_length_cm,field_body_length_build_spec_in,field_body_length_in,field_body_length_mm,field_body_length_cm,field_direction_of_wind,field_finish,field_weight_per_item_lb,field_loop_insid_dia_bd_spec_in,field_loop_inside_diameter_in,field_loop_inside_diameter_mm,field_loop_inside_diameter_cm,field_loop_position,field_loop_opening_build_spec_in,field_loop_opening_in,field_loop_opening_mm,field_loop_opening_cm
LEM055AB 02 M,LEM055AB 02 M,LEM055AB02M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (metric),NR,Music Wire,MW,ASTM A228,0.138,0.138,3.51,0.351,0.006,0.006,0.15,0.015,0.52,0.52,13.21,1.321,0.02,0.02,0.51,0.051,12.96,12.96,2.27,22.7,0.2314,2.314,231.4,2314,1.296,1.296,0.227,2.27,0.02314,0.2314,23.14,231.4,0.096,0.096,2.44,0.244,REF,Reference,Reference,Reference,16,16,0.021,0.021,0.53,0.053,Standard Loops,0.535,0.535,2.38,0.2427,242.7,0.107,0.107,0.476,0.04854,48.54,3.53,3.53,15.702,1.6012,1601.2,0.752,0.752,19.1,1.91,0.374,0.374,9.5,0.95,Factory Option,Zinc Plate and Bake per ASTM B633,0.00073,0.094,0.094,2.39,0.239,Inline,0.021,0.021,0.53,0.053
LEM055AB 02 S,LEM055AB 02 S,LEM055AB02S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (metric),NR,Stainless Steel,SS,ASTM A313,0.138,0.138,3.51,0.351,0.006,0.006,0.15,0.015,0.52,0.52,13.21,1.321,0.02,0.02,0.51,0.051,10.79,10.79,1.89,18.9,0.1927,1.927,192.7,1927,1.079,1.079,0.189,1.89,0.01927,0.1927,19.27,192.7,0.096,0.096,2.44,0.244,REF,Reference,Reference,Reference,16,16,0.021,0.021,0.53,0.053,Standard Loops,0.446,0.446,1.984,0.2023,202.3,0.089,0.089,0.3959,0.04037,40.37,2.94,2.94,13.078,1.3336,1333.6,0.752,0.752,19.1,1.91,0.374,0.374,9.5,0.95,Factory Option,Passivate per ASTM A967,0.00074,0.094,0.094,2.39,0.239,Inline,0.021,0.021,0.53,0.053
LEM055AB 03 M,LEM055AB 03 M,LEM055AB03M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (metric),NR,Music Wire,MW,ASTM A228,0.138,0.138,3.51,0.351,0.006,0.006,0.15,0.015,0.713,0.713,18.11,1.811,0.02,0.02,0.51,0.051,8.28,8.28,1.45,14.5,0.1479,1.479,147.9,1479,0.828,0.828,0.145,1.45,0.01479,0.1479,14.79,147.9,0.096,0.096,2.44,0.244,REF,Reference,Reference,Reference,25,25,0.021,0.021,0.53,0.053,Standard Loops,0.535,0.535,2.38,0.2427,242.7,0.107,0.107,0.476,0.04854,48.54,3.53,3.53,15.702,1.6012,1601.2,1.075,1.075,27.31,2.731,0.572,0.572,14.53,1.453,Factory Option,Zinc Plate and Bake per ASTM B633,0.0011,0.094,0.094,2.39,0.239,Inline,0.021,0.021,0.53,0.053
LEM055AB 03 S,LEM055AB 03 S,LEM055AB03S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (metric),NR,Stainless Steel,SS,ASTM A313,0.138,0.138,3.51,0.351,0.006,0.006,0.15,0.015,0.713,0.713,18.11,1.811,0.02,0.02,0.51,0.051,6.91,6.91,1.21,12.1,0.1234,1.234,123.4,1234,0.691,0.691,0.121,1.21,0.01234,0.1234,12.34,123.4,0.096,0.096,2.44,0.244,REF,Reference,Reference,Reference,25,25,0.021,0.021,0.53,0.053,Standard Loops,0.446,0.446,1.984,0.2023,202.3,0.089,0.089,0.3959,0.04037,40.37,2.94,2.94,13.078,1.3336,1333.6,1.075,1.075,27.31,2.731,0.572,0.572,14.53,1.453,Factory Option,Passivate per ASTM A967,0.00111,0.094,0.094,2.39,0.239,Inline,0.021,0.021,0.53,0.053
LEM055AB 04 M,LEM055AB 04 M,LEM055AB04M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (metric),NR,Music Wire,MW,ASTM A228,0.138,0.138,3.51,0.351,0.006,0.006,0.15,0.015,1.039,1.039,26.39,2.639,0.021,0.021,0.53,0.053,5.14,5.14,0.9,9,0.0918,0.918,91.8,918,0.514,0.514,0.09,0.9,0.00918,0.0918,9.18,91.8,0.096,0.096,2.44,0.244,REF,Reference,Reference,Reference,40,40,0.021,0.021,0.53,0.053,Standard Loops,0.535,0.535,2.38,0.2427,242.7,0.107,0.107,0.476,0.04854,48.54,3.53,3.53,15.702,1.6012,1601.2,1.618,1.618,41.1,4.11,0.902,0.902,22.91,2.291,Factory Option,Zinc Plate and Bake per ASTM B633,0.00172,0.094,0.094,2.39,0.239,Inline,0.021,0.021,0.53,0.053
LEM055AB 04 S,LEM055AB 04 S,LEM055AB04S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (metric),NR,Stainless Steel,SS,ASTM A313,0.138,0.138,3.51,0.351,0.006,0.006,0.15,0.015,1.039,1.039,26.39,2.639,0.021,0.021,0.53,0.053,4.28,4.28,0.75,7.5,0.0764,0.764,76.4,764,0.428,0.428,0.075,0.75,0.00764,0.0764,7.64,76.4,0.096,0.096,2.44,0.244,REF,Reference,Reference,Reference,40,40,0.021,0.021,0.53,0.053,Standard Loops,0.446,0.446,1.984,0.2023,202.3,0.089,0.089,0.3959,0.04037,40.37,2.94,2.94,13.078,1.3336,1333.6,1.618,1.618,41.1,4.11,0.902,0.902,22.91,2.291,Factory Option,Passivate per ASTM A967,0.00173,0.094,0.094,2.39,0.239,Inline,0.021,0.021,0.53,0.053
LEM055BC 01 M,LEM055BC 01 M,LEM055BC01M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (metric),NR,Music Wire,MW,ASTM A228,0.236,0.236,5.99,0.599,0.01,0.01,0.25,0.025,0.547,0.547,13.89,1.389,0.02,0.02,0.51,0.051,3.31,3.31,0.58,5.8,0.0591,0.591,59.1,591,0.331,0.331,0.058,0.58,0.00591,0.0591,5.91,59.1,0.194,0.194,4.93,0.493,REF,Reference,Reference,Reference,10,10,0.021,0.021,0.53,0.053,Standard Loops,0.245,0.245,1.09,0.1111,111.1,0.049,0.049,0.218,0.02223,22.23,2.14,2.14,9.519,0.9707,970.7,1.102,1.102,27.99,2.799,0.242,0.242,6.15,0.615,Factory Option,Zinc Plate and Bake per ASTM B633,0.00089,0.192,0.192,4.88,0.488,Inline,0.021,0.021,0.53,0.053
LEM055BC 01 S,LEM055BC 01 S,LEM055BC01S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (metric),NR,Stainless Steel,SS,ASTM A313,0.236,0.236,5.99,0.599,0.01,0.01,0.25,0.025,0.547,0.547,13.89,1.389,0.02,0.02,0.51,0.051,2.74,2.74,0.48,4.8,0.0489,0.489,48.9,489,0.274,0.274,0.048,0.48,0.00489,0.0489,4.89,48.9,0.194,0.194,4.93,0.493,REF,Reference,Reference,Reference,10,10,0.021,0.021,0.53,0.053,Standard Loops,0.204,0.204,0.907,0.0925,92.5,0.041,0.041,0.1824,0.0186,18.6,1.78,1.78,7.918,0.8074,807.4,1.102,1.102,27.99,2.799,0.242,0.242,6.15,0.615,Factory Option,Passivate per ASTM A967,0.00091,0.192,0.192,4.88,0.488,Inline,0.021,0.021,0.53,0.053
LEM055BC 02 M,LEM055BC 02 M,LEM055BC02M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (metric),NR,Music Wire,MW,ASTM A228,0.236,0.236,5.99,0.599,0.01,0.01,0.25,0.025,0.677,0.677,17.2,1.72,0.02,0.02,0.51,0.051,2.06,2.06,0.361,3.61,0.0368,0.368,36.8,368,0.206,0.206,0.0361,0.361,0.00368,0.0368,3.68,36.8,0.194,0.194,4.93,0.493,REF,Reference,Reference,Reference,16,16,0.021,0.021,0.53,0.053,Standard Loops,0.245,0.245,1.09,0.1111,111.1,0.049,0.049,0.218,0.02223,22.23,2.14,2.14,9.519,0.9707,970.7,1.563,1.563,39.7,3.97,0.374,0.374,9.5,0.95,Factory Option,Zinc Plate and Bake per ASTM B633,0.00135,0.192,0.192,4.88,0.488,Inline,0.021,0.021,0.53,0.053
LEM055BC 02 S,LEM055BC 02 S,LEM055BC02S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (metric),NR,Stainless Steel,SS,ASTM A313,0.236,0.236,5.99,0.599,0.01,0.01,0.25,0.025,0.677,0.677,17.2,1.72,0.02,0.02,0.51,0.051,1.71,1.71,0.299,2.99,0.0305,0.305,30.5,305,0.171,0.171,0.0299,0.299,0.00305,0.0305,3.05,30.5,0.194,0.194,4.93,0.493,REF,Reference,Reference,Reference,16,16,0.021,0.021,0.53,0.053,Standard Loops,0.204,0.204,0.907,0.0925,92.5,0.041,0.041,0.1824,0.0186,18.6,1.78,1.78,7.918,0.8074,807.4,1.563,1.563,39.7,3.97,0.374,0.374,9.5,0.95,Factory Option,Passivate per ASTM A967,0.00136,0.192,0.192,4.88,0.488,Inline,0.021,0.021,0.53,0.053
